/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min        	avg        	max       	std        
0  	5.95903e+06	5.39175e+07	1.6121e+08	2.69673e+07
1  	5.95903e+06	5.40654e+07	1.48307e+08	2.67718e+07
2  	5.95903e+06	5.36793e+07	1.62806e+08	2.57019e+07
3  	4.85001e+06	5.28641e+07	1.4014e+08 	2.5138e+07 
4  	4.7473e+06 	5.31397e+07	1.45226e+08	2.55673e+07
5  	4.7473e+06 	5.2143e+07 	1.57172e+08	2.53778e+07
6  	3.39681e+06	5.18572e+07	1.47928e+08	2.59436e+07
7  	3.39681e+06	5.18047e+07	1.70311e+08	2.66682e+07
8  	3.39681e+06	5.12796e+07	1.44708e+08	2.57517e+07
9  	3.39681e+06	5.07811e+07	1.30195e+08	2.41967e+07
10 	3.39681e+06	4.97759e+07	1.29243e+08	2.35171e+07
11 	3.39681e+06	4.99219e+07	1.39507e+08	2.41249e+07
12 	3.39681e+06	5.00434e+07	1.50072e+08	2.52372e+07
13 	3.39681e+06	4.91382e+07	1.37312e+08	2.41849e+07
14 	3.39681e+06	4.90877e+07	1.45057e+08	2.5399e+07 
15 	3.39681e+06	4.80246e+07	1.30682e+08	2.50007e+07
16 	3.39681e+06	4.80847e+07	1.45484e+08	2.57054e+07
17 	3.39681e+06	4.74326e+07	1.33098e+08	2.48388e+07
18 	3.39681e+06	4.68873e+07	1.53762e+08	2.45059e+07
19 	3.39681e+06	4.64674e+07	1.43612e+08	2.41753e+07
20 	3.39681e+06	4.57947e+07	1.18493e+08	2.24388e+07
21 	3.39681e+06	4.49696e+07	1.20754e+08	2.16295e+07
22 	3.34369e+06	4.42389e+07	1.1725e+08 	2.0922e+07 
23 	3.34369e+06	4.43469e+07	1.10376e+08	2.0917e+07 
24 	3.34369e+06	4.37267e+07	1.10376e+08	1.94475e+07
25 	3.34369e+06	4.30852e+07	1.08604e+08	1.8983e+07 
26 	3.34369e+06	4.29675e+07	1.04497e+08	1.92391e+07
27 	3.34369e+06	4.28057e+07	1.02102e+08	1.92163e+07
28 	3.34369e+06	4.3159e+07 	1.11811e+08	2.01271e+07
29 	3.34369e+06	4.3001e+07 	1.14119e+08	2.04682e+07
30 	3.34369e+06	4.24557e+07	1.15592e+08	2.01981e+07
31 	3.34369e+06	4.23048e+07	1.06923e+08	2.04594e+07
32 	3.34369e+06	4.18706e+07	1.09815e+08	1.99526e+07
33 	3.34369e+06	4.13553e+07	1.01305e+08	1.96532e+07
34 	3.18792e+06	4.09452e+07	1.00381e+08	1.91452e+07
35 	3.18792e+06	4.0209e+07 	9.21807e+07	1.85562e+07
36 	3.18792e+06	3.9583e+07 	9.70489e+07	1.8659e+07 
37 	3.18792e+06	3.94536e+07	9.83495e+07	1.92204e+07
38 	2.74522e+06	3.91843e+07	1.04144e+08	1.94385e+07
39 	2.74522e+06	3.92237e+07	1.04144e+08	1.96767e+07
40 	2.74522e+06	3.91075e+07	1.01645e+08	1.96164e+07
41 	2.74522e+06	3.86177e+07	9.39916e+07	1.92174e+07
42 	2.74522e+06	3.84749e+07	1.03922e+08	1.90732e+07
43 	2.74522e+06	3.83072e+07	1.07382e+08	1.94808e+07
44 	2.46044e+06	3.78467e+07	1.10186e+08	1.83863e+07
45 	2.46044e+06	3.77387e+07	9.15011e+07	1.77397e+07
46 	2.46044e+06	3.72526e+07	9.12347e+07	1.75537e+07
47 	2.46044e+06	3.735e+07  	9.91989e+07	1.80937e+07
48 	2.46044e+06	3.70475e+07	9.36617e+07	1.79967e+07
49 	2.46044e+06	3.68123e+07	9.58896e+07	1.76687e+07
50 	2.46044e+06	3.64874e+07	9.31075e+07	1.74923e+07
51 	2.46044e+06	3.59369e+07	9.13325e+07	1.7027e+07 
52 	2.46044e+06	3.59858e+07	9.88135e+07	1.75113e+07
53 	2.46044e+06	3.5906e+07 	1.00756e+08	1.75215e+07
54 	2.46044e+06	3.56871e+07	1.03332e+08	1.74636e+07
55 	2.46044e+06	3.54699e+07	8.94687e+07	1.74999e+07
56 	2.46044e+06	3.52235e+07	8.24168e+07	1.7006e+07 
57 	2.46044e+06	3.48676e+07	8.39372e+07	1.68105e+07
58 	2.46044e+06	3.42612e+07	8.58566e+07	1.63548e+07
59 	2.46044e+06	3.42272e+07	8.31216e+07	1.63042e+07
60 	2.46044e+06	3.42292e+07	8.52754e+07	1.60487e+07
61 	2.46044e+06	3.42046e+07	8.28256e+07	1.61441e+07
62 	2.46044e+06	3.40792e+07	8.23599e+07	1.58851e+07
63 	2.46044e+06	3.38155e+07	8.23599e+07	1.54722e+07
64 	2.46044e+06	3.3377e+07 	8.04636e+07	1.51899e+07
65 	2.46044e+06	3.35988e+07	8.46234e+07	1.54934e+07
66 	2.46044e+06	3.30929e+07	7.95248e+07	1.49026e+07
67 	2.39824e+06	3.30737e+07	7.97908e+07	1.49771e+07
68 	2.1538e+06 	3.28131e+07	7.71985e+07	1.52928e+07
69 	2.1538e+06 	3.27872e+07	8.14495e+07	1.53263e+07
