/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min       	avg        	max        	std        
0  	8.6487e+06	5.23039e+07	1.37901e+08	2.47313e+07
1  	6.95327e+06	5.23301e+07	1.49124e+08	2.57751e+07
2  	5.88392e+06	5.14562e+07	1.45585e+08	2.54222e+07
3  	5.88392e+06	5.12854e+07	1.34527e+08	2.57339e+07
4  	5.88392e+06	5.05432e+07	1.46885e+08	2.52645e+07
5  	5.88392e+06	5.04736e+07	1.35914e+08	2.48531e+07
6  	5.88392e+06	5.0176e+07 	1.4327e+08 	2.50708e+07
7  	5.88392e+06	4.92579e+07	1.58309e+08	2.42737e+07
8  	5.87885e+06	4.88066e+07	1.45552e+08	2.44301e+07
9  	5.87885e+06	4.81777e+07	1.21758e+08	2.33912e+07
10 	5.85356e+06	4.74973e+07	1.17612e+08	2.27167e+07
11 	5.85356e+06	4.71012e+07	1.30092e+08	2.31045e+07
12 	5.85356e+06	4.7161e+07 	1.33945e+08	2.29169e+07
13 	4.24386e+06	4.68633e+07	1.15464e+08	2.27915e+07
14 	4.00212e+06	4.65641e+07	1.15606e+08	2.23449e+07
15 	4.00212e+06	4.66655e+07	1.11877e+08	2.29228e+07
16 	4.00212e+06	4.63085e+07	1.16557e+08	2.32058e+07
17 	3.24433e+06	4.59219e+07	1.24679e+08	2.32868e+07
18 	3.24433e+06	4.59784e+07	1.40857e+08	2.32266e+07
19 	3.24433e+06	4.54588e+07	1.46773e+08	2.23986e+07
20 	3.24433e+06	4.47713e+07	1.32116e+08	2.13917e+07
21 	3.24433e+06	4.41343e+07	1.09371e+08	2.06469e+07
22 	3.24433e+06	4.37744e+07	1.03229e+08	2.07587e+07
23 	3.24433e+06	4.36148e+07	1.2222e+08 	2.1137e+07 
24 	3.24433e+06	4.35247e+07	1.2486e+08 	2.11268e+07
25 	3.24433e+06	4.30596e+07	1.21859e+08	2.0114e+07 
26 	3.24433e+06	4.29685e+07	1.11905e+08	1.96383e+07
27 	3.24433e+06	4.26717e+07	1.03774e+08	1.99731e+07
28 	3.24433e+06	4.21975e+07	1.0096e+08 	1.91793e+07
29 	3.24433e+06	4.18392e+07	9.57105e+07	1.8778e+07 
30 	2.38921e+06	4.16209e+07	1.12556e+08	1.86598e+07
31 	2.38921e+06	4.05328e+07	1.10154e+08	1.88083e+07
32 	2.38921e+06	4.02734e+07	9.89894e+07	1.88119e+07
33 	2.38921e+06	4.0047e+07 	9.05471e+07	1.84601e+07
34 	2.38921e+06	3.95904e+07	1.00716e+08	1.9116e+07 
35 	2.38921e+06	3.9359e+07 	1.01313e+08	1.9482e+07 
