/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min        	avg        	max        	std       
0  	7.69599e+06	5.31795e+07	1.53737e+08	2.6721e+07
1  	6.87919e+06	5.31232e+07	1.92874e+08	2.86019e+07
2  	6.87919e+06	5.20696e+07	1.63522e+08	2.67188e+07
3  	5.00176e+06	5.15689e+07	1.45553e+08	2.67285e+07
4  	5.00176e+06	5.09234e+07	1.83104e+08	2.63797e+07
5  	5.00176e+06	5.03448e+07	1.47412e+08	2.50477e+07
6  	5.00176e+06	4.95239e+07	1.47949e+08	2.39419e+07
7  	4.23747e+06	4.94515e+07	1.3622e+08 	2.36128e+07
8  	4.23747e+06	4.89844e+07	1.31715e+08	2.43804e+07
9  	4.23747e+06	4.87052e+07	1.33482e+08	2.35022e+07
10 	4.23747e+06	4.86597e+07	1.33482e+08	2.34788e+07
11 	4.23747e+06	4.80296e+07	1.3763e+08 	2.30233e+07
12 	4.23747e+06	4.76125e+07	1.25723e+08	2.30105e+07
13 	4.23747e+06	4.70684e+07	1.28388e+08	2.2706e+07 
14 	4.23747e+06	4.64718e+07	1.34736e+08	2.20018e+07
15 	4.23747e+06	4.64271e+07	1.23506e+08	2.15747e+07
16 	4.23747e+06	4.62342e+07	1.23506e+08	2.11072e+07
17 	4.23747e+06	4.5768e+07 	1.2396e+08 	2.16509e+07
18 	4.23747e+06	4.51036e+07	1.20275e+08	2.17527e+07
19 	3.86983e+06	4.51601e+07	1.26149e+08	2.24839e+07
20 	3.86983e+06	4.46622e+07	1.11811e+08	2.20731e+07
21 	3.49889e+06	4.43955e+07	1.10132e+08	2.1899e+07 
22 	3.49889e+06	4.39914e+07	1.32003e+08	2.19764e+07
23 	3.49889e+06	4.39999e+07	1.26344e+08	2.17044e+07
24 	3.49889e+06	4.36858e+07	1.26254e+08	2.12043e+07
25 	3.36662e+06	4.29873e+07	1.28541e+08	2.1146e+07 
26 	3.36662e+06	4.25409e+07	1.18355e+08	2.06662e+07
27 	3.36662e+06	4.25914e+07	1.06847e+08	2.07685e+07
28 	3.36662e+06	4.21339e+07	1.0652e+08 	2.03798e+07
29 	2.57235e+06	4.17277e+07	1.13638e+08	2.04176e+07
30 	2.57235e+06	4.139e+07  	1.18186e+08	2.02604e+07
31 	2.41025e+06	4.12164e+07	1.04414e+08	2.01552e+07
32 	2.41025e+06	4.15231e+07	1.25332e+08	2.06187e+07
33 	2.41025e+06	4.11304e+07	1.24471e+08	1.97652e+07
34 	2.28262e+06	4.06177e+07	1.0486e+08 	1.92696e+07
35 	2.28262e+06	3.98854e+07	9.97119e+07	1.8663e+07 
36 	2.28262e+06	3.95612e+07	9.85642e+07	1.91909e+07
37 	2.28262e+06	3.90246e+07	8.9184e+07 	1.843e+07  
38 	2.28262e+06	3.86553e+07	9.78133e+07	1.82626e+07
39 	2.28262e+06	3.84283e+07	9.80117e+07	1.81898e+07
40 	2.28262e+06	3.82175e+07	9.54224e+07	1.80944e+07
41 	2.28262e+06	3.80363e+07	9.33196e+07	1.82298e+07
42 	2.28262e+06	3.81409e+07	1.08143e+08	1.86446e+07
43 	2.1623e+06 	3.79603e+07	1.02149e+08	1.86088e+07
44 	2.1623e+06 	3.7572e+07 	9.24234e+07	1.8093e+07 
45 	2.1623e+06 	3.7265e+07 	9.55321e+07	1.8155e+07 
46 	2.1623e+06 	3.69767e+07	9.00209e+07	1.81388e+07
47 	2.1623e+06 	3.71264e+07	1.19968e+08	1.82951e+07
48 	2.1623e+06 	3.70743e+07	1.08722e+08	1.77169e+07
49 	2.1623e+06 	3.63507e+07	9.41147e+07	1.70438e+07
50 	2.1623e+06 	3.6163e+07 	9.5706e+07 	1.73132e+07
51 	2.1623e+06 	3.59499e+07	1.02943e+08	1.70455e+07
52 	2.1623e+06 	3.50544e+07	1.0846e+08 	1.6651e+07 
53 	1.82642e+06	3.45381e+07	1.04101e+08	1.61214e+07
54 	1.82642e+06	3.4369e+07 	1.04058e+08	1.60209e+07
55 	1.82642e+06	3.41951e+07	9.68213e+07	1.6367e+07 
56 	1.82642e+06	3.40097e+07	9.31861e+07	1.67496e+07
57 	1.82642e+06	3.39409e+07	8.88425e+07	1.64034e+07
58 	1.67651e+06	3.37884e+07	8.78686e+07	1.5764e+07 
59 	1.67651e+06	3.3712e+07 	8.17717e+07	1.65177e+07
60 	1.67651e+06	3.36588e+07	8.35162e+07	1.62601e+07
61 	1.67651e+06	3.35638e+07	8.15306e+07	1.5968e+07 
62 	1.67651e+06	3.33133e+07	8.33125e+07	1.56569e+07
63 	1.67651e+06	3.32458e+07	8.22346e+07	1.58296e+07
64 	1.67515e+06	3.30149e+07	8.78178e+07	1.58702e+07
65 	1.67515e+06	3.2562e+07 	8.55403e+07	1.56449e+07
66 	1.67515e+06	3.25122e+07	9.12347e+07	1.59645e+07
67 	1.67515e+06	3.22319e+07	8.52638e+07	1.54537e+07
68 	1.67515e+06	3.22815e+07	7.61551e+07	1.54046e+07
69 	1.67515e+06	3.21533e+07	7.93369e+07	1.52379e+07
70 	1.67515e+06	3.15031e+07	8.43345e+07	1.50975e+07
71 	1.67515e+06	3.14469e+07	7.80819e+07	1.4729e+07 
72 	1.67515e+06	3.1143e+07 	7.89434e+07	1.46259e+07
73 	1.67515e+06	3.08971e+07	7.87989e+07	1.49678e+07
74 	1.67515e+06	3.07597e+07	7.11977e+07	1.46331e+07
75 	1.67515e+06	3.05896e+07	8.2659e+07 	1.44858e+07
76 	1.67515e+06	3.04827e+07	7.58555e+07	1.42478e+07
77 	1.67515e+06	3.03075e+07	7.48696e+07	1.43884e+07
78 	1.67515e+06	2.99553e+07	7.03853e+07	1.4011e+07 
79 	1.67515e+06	2.9617e+07 	7.09534e+07	1.36518e+07
80 	1.67515e+06	2.95907e+07	7.07871e+07	1.37704e+07
81 	1.67259e+06	2.94453e+07	6.78115e+07	1.40661e+07
82 	1.67259e+06	2.93706e+07	7.45745e+07	1.39463e+07
83 	1.67259e+06	2.88532e+07	6.91023e+07	1.38063e+07
84 	1.67259e+06	2.89277e+07	7.29507e+07	1.38048e+07
85 	1.67259e+06	2.87448e+07	6.89285e+07	1.39612e+07
86 	1.67259e+06	2.87243e+07	7.04294e+07	1.40175e+07
87 	1.67259e+06	2.83636e+07	7.34514e+07	1.35655e+07
88 	1.67259e+06	2.81946e+07	7.03933e+07	1.3386e+07 
89 	1.67259e+06	2.80516e+07	6.95432e+07	1.31075e+07
90 	1.67259e+06	2.76941e+07	6.91304e+07	1.27463e+07
91 	1.67259e+06	2.76529e+07	6.6517e+07 	1.24283e+07
92 	1.67259e+06	2.73222e+07	6.94442e+07	1.23714e+07
93 	1.67259e+06	2.73208e+07	6.87419e+07	1.25659e+07
94 	1.65244e+06	2.72142e+07	6.9141e+07 	1.2822e+07 
