/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min      	avg        	max        	std        
0  	8.165e+06	5.51669e+07	1.74154e+08	2.79695e+07
1  	8.165e+06	5.51045e+07	1.67624e+08	2.72089e+07
2  	7.83142e+06	5.46104e+07	1.84004e+08	2.69264e+07
3  	7.05173e+06	5.41328e+07	1.62258e+08	2.62637e+07
4  	7.05173e+06	5.3241e+07 	1.59285e+08	2.55924e+07
5  	7.05173e+06	5.25441e+07	1.79613e+08	2.47485e+07
6  	7.05173e+06	5.18379e+07	1.79613e+08	2.5333e+07 
7  	7.05173e+06	5.15779e+07	1.58643e+08	2.56737e+07
8  	5.98078e+06	5.13274e+07	1.49226e+08	2.45474e+07
9  	5.98078e+06	5.1173e+07 	1.41246e+08	2.36215e+07
10 	5.98078e+06	5.09969e+07	1.31485e+08	2.32518e+07
11 	5.21031e+06	5.01998e+07	1.37279e+08	2.35569e+07
12 	4.91332e+06	4.94019e+07	1.49752e+08	2.35269e+07
13 	3.49674e+06	4.90235e+07	1.28218e+08	2.31952e+07
14 	3.49674e+06	4.88847e+07	1.27485e+08	2.28916e+07
15 	3.49674e+06	4.83345e+07	1.39321e+08	2.24579e+07
16 	3.49674e+06	4.78243e+07	1.56032e+08	2.37452e+07
17 	3.49674e+06	4.74545e+07	1.39215e+08	2.2721e+07 
18 	3.49674e+06	4.69925e+07	1.20706e+08	2.25915e+07
19 	3.4397e+06 	4.65506e+07	1.18391e+08	2.22657e+07
20 	3.4397e+06 	4.58791e+07	1.11004e+08	2.17026e+07
21 	3.41791e+06	4.54528e+07	1.11004e+08	2.15038e+07
22 	3.41791e+06	4.46815e+07	1.16275e+08	2.16323e+07
23 	3.33328e+06	4.42795e+07	1.11947e+08	2.12233e+07
24 	3.33328e+06	4.37612e+07	1.10789e+08	2.04787e+07
25 	3.33328e+06	4.36631e+07	1.19443e+08	2.07538e+07
26 	3.33328e+06	4.39253e+07	1.25417e+08	2.14668e+07
27 	3.33328e+06	4.40027e+07	1.36837e+08	2.13706e+07
28 	3.33328e+06	4.38696e+07	1.19463e+08	2.17104e+07
29 	3.33328e+06	4.43107e+07	1.02646e+08	2.1167e+07 
30 	3.33328e+06	4.35836e+07	1.06332e+08	2.1279e+07 
31 	3.33328e+06	4.29377e+07	1.07844e+08	2.11144e+07
32 	3.33328e+06	4.29926e+07	1.12437e+08	2.10675e+07
33 	3.33328e+06	4.24246e+07	1.12437e+08	2.14372e+07
34 	3.33328e+06	4.20636e+07	1.26015e+08	2.04008e+07
35 	3.33328e+06	4.17312e+07	1.22986e+08	2.03212e+07
36 	3.16777e+06	4.09741e+07	1.03135e+08	1.94005e+07
37 	3.16777e+06	4.05678e+07	1.00831e+08	1.92174e+07
38 	3.16777e+06	4.05816e+07	1.06338e+08	1.89156e+07
39 	3.16777e+06	4.01494e+07	9.43097e+07	1.79851e+07
40 	3.16777e+06	3.9698e+07 	9.81754e+07	1.80403e+07
41 	3.16777e+06	3.94055e+07	1.05423e+08	1.78434e+07
42 	3.16777e+06	3.92071e+07	1.02012e+08	1.83827e+07
43 	3.16777e+06	3.92204e+07	1.02371e+08	1.89162e+07
44 	3.16777e+06	3.85307e+07	1.02371e+08	1.88927e+07
45 	3.16777e+06	3.81602e+07	1.01138e+08	1.84751e+07
46 	3.16777e+06	3.77567e+07	9.53872e+07	1.83526e+07
47 	3.16777e+06	3.81949e+07	9.96973e+07	1.81527e+07
48 	2.80971e+06	3.81008e+07	1.01329e+08	1.844e+07  
49 	2.80971e+06	3.7794e+07 	1.05759e+08	1.80889e+07
50 	2.80971e+06	3.73675e+07	9.4201e+07 	1.79733e+07
51 	2.80971e+06	3.76541e+07	9.79184e+07	1.8585e+07 
52 	2.80971e+06	3.69963e+07	9.93784e+07	1.86522e+07
53 	2.80971e+06	3.70419e+07	9.5922e+07 	1.85679e+07
54 	2.80971e+06	3.66361e+07	9.40789e+07	1.86893e+07
55 	2.80971e+06	3.64841e+07	9.41844e+07	1.86954e+07
56 	2.80971e+06	3.62022e+07	8.98874e+07	1.7104e+07 
57 	2.80971e+06	3.63814e+07	8.74105e+07	1.66495e+07
58 	2.80971e+06	3.59069e+07	9.61002e+07	1.65359e+07
59 	2.80971e+06	3.5429e+07 	8.83576e+07	1.62156e+07
