/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min        	avg        	max        	std        
0  	6.20431e+06	5.40394e+07	1.52723e+08	2.67298e+07
1  	6.20431e+06	5.37636e+07	1.48528e+08	2.62389e+07
2  	6.20431e+06	5.3586e+07 	1.4088e+08 	2.73204e+07
3  	6.20431e+06	5.24503e+07	1.56881e+08	2.66757e+07
4  	6.20431e+06	5.25168e+07	1.26205e+08	2.54709e+07
5  	6.20431e+06	5.16631e+07	1.29619e+08	2.55519e+07
6  	5.66249e+06	5.09151e+07	1.31936e+08	2.39065e+07
7  	5.66249e+06	5.07197e+07	1.39255e+08	2.41387e+07
8  	5.66249e+06	5.02776e+07	1.28201e+08	2.34494e+07
9  	5.66249e+06	5.06349e+07	1.65738e+08	2.55168e+07
10 	5.1655e+06 	4.95961e+07	1.40692e+08	2.47805e+07
11 	5.1655e+06 	4.91852e+07	1.50461e+08	2.50915e+07
12 	3.95519e+06	4.8896e+07 	1.54186e+08	2.48668e+07
13 	3.95519e+06	4.86845e+07	1.57203e+08	2.52328e+07
14 	3.59978e+06	4.81057e+07	1.40209e+08	2.46997e+07
15 	3.59978e+06	4.67491e+07	1.40209e+08	2.3646e+07 
16 	2.91982e+06	4.68201e+07	1.38864e+08	2.28415e+07
17 	2.91982e+06	4.64825e+07	1.20108e+08	2.24968e+07
18 	2.91982e+06	4.5839e+07 	1.27361e+08	2.19204e+07
19 	2.91982e+06	4.52179e+07	1.27361e+08	2.21461e+07
20 	2.45322e+06	4.49565e+07	1.09337e+08	2.20547e+07
21 	2.45322e+06	4.46569e+07	1.30881e+08	2.21024e+07
22 	2.45322e+06	4.4465e+07 	1.30881e+08	2.17109e+07
23 	2.45322e+06	4.43284e+07	1.07675e+08	2.16318e+07
24 	2.45322e+06	4.42251e+07	1.12933e+08	2.11753e+07
25 	2.45322e+06	4.38407e+07	1.17363e+08	2.1331e+07 
26 	2.45322e+06	4.33162e+07	1.08322e+08	2.1024e+07 
27 	2.45322e+06	4.30874e+07	1.02809e+08	2.06507e+07
28 	2.45322e+06	4.27082e+07	1.04854e+08	1.99247e+07
29 	2.18667e+06	4.27374e+07	1.02232e+08	2.02339e+07
30 	2.18667e+06	4.23641e+07	1.04702e+08	2.03817e+07
31 	2.18667e+06	4.22783e+07	1.095e+08  	2.10367e+07
32 	2.18667e+06	4.21193e+07	1.11229e+08	2.13856e+07
33 	2.18667e+06	4.19758e+07	1.17997e+08	2.14637e+07
34 	2.18667e+06	4.10871e+07	1.17941e+08	2.10094e+07
35 	2.18667e+06	4.11274e+07	1.14189e+08	2.08544e+07
36 	2.18667e+06	4.02459e+07	1.13002e+08	1.98549e+07
37 	2.18667e+06	4.05293e+07	1.02587e+08	2.02157e+07
38 	2.18667e+06	4.0082e+07 	1.04541e+08	1.98738e+07
39 	2.18667e+06	3.961e+07  	1.02434e+08	1.93167e+07
40 	2.18667e+06	3.93227e+07	9.68926e+07	1.91279e+07
41 	2.18667e+06	3.91116e+07	1.02997e+08	1.96686e+07
42 	2.18667e+06	3.91464e+07	9.99063e+07	1.94851e+07
43 	2.18667e+06	3.83367e+07	9.58007e+07	1.88107e+07
44 	2.18667e+06	3.76715e+07	9.58281e+07	1.8407e+07 
45 	2.18667e+06	3.75781e+07	1.03479e+08	1.89073e+07
46 	2.18667e+06	3.77119e+07	1.03621e+08	1.89998e+07
47 	2.18667e+06	3.74077e+07	9.19726e+07	1.7938e+07 
48 	2.18667e+06	3.72216e+07	8.99652e+07	1.80209e+07
49 	2.18667e+06	3.71907e+07	9.1354e+07 	1.81423e+07
50 	2.18667e+06	3.69445e+07	9.55829e+07	1.77611e+07
51 	2.18667e+06	3.65261e+07	9.72789e+07	1.76523e+07
52 	2.18667e+06	3.61731e+07	8.65066e+07	1.74733e+07
53 	2.18667e+06	3.5959e+07 	9.73937e+07	1.70402e+07
54 	2.18667e+06	3.58762e+07	9.29841e+07	1.70277e+07
55 	2.18667e+06	3.56898e+07	8.44624e+07	1.65353e+07
56 	2.18667e+06	3.53914e+07	8.84093e+07	1.63179e+07
57 	2.18667e+06	3.51572e+07	9.27076e+07	1.63687e+07
58 	2.18667e+06	3.50048e+07	9.27076e+07	1.61845e+07
59 	2.18667e+06	3.52757e+07	8.6964e+07 	1.61475e+07
60 	2.18667e+06	3.49446e+07	7.76125e+07	1.58967e+07
61 	2.18667e+06	3.44343e+07	9.12451e+07	1.59877e+07
62 	2.18667e+06	3.45356e+07	8.6498e+07 	1.60556e+07
63 	2.18667e+06	3.43936e+07	8.38463e+07	1.58867e+07
64 	2.18667e+06	3.39537e+07	8.68146e+07	1.57375e+07
65 	2.18667e+06	3.39633e+07	8.73445e+07	1.56027e+07
66 	2.18667e+06	3.38972e+07	8.9497e+07 	1.52741e+07
67 	2.18667e+06	3.36476e+07	7.9533e+07 	1.53636e+07
