/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min   	avg        	max        	std        
0  	505.74	9.81269e+06	7.54201e+07	1.29525e+07
1  	505.74	8.90657e+06	6.9343e+07 	1.13354e+07
2  	490.251	9.04433e+06	7.03022e+07	1.16403e+07
3  	450.053	8.65987e+06	7.1975e+07 	1.06486e+07
4  	450.053	8.28273e+06	5.52943e+07	9.77553e+06
5  	450.053	8.45208e+06	5.52943e+07	1.02859e+07
6  	450.053	8.32601e+06	6.14551e+07	1.05896e+07
7  	450.053	8.27333e+06	5.30127e+07	1.04287e+07
8  	450.053	8.85302e+06	5.67011e+07	1.09584e+07
9  	450.053	8.67771e+06	6.06761e+07	1.05498e+07
10 	450.053	8.52974e+06	5.56344e+07	1.03221e+07
11 	450.053	8.33981e+06	6.03949e+07	1.03311e+07
12 	450.053	8.07913e+06	5.65779e+07	9.8514e+06 
13 	435.016	7.95675e+06	6.24114e+07	9.60092e+06
14 	424.285	7.84305e+06	5.59917e+07	9.65753e+06
15 	424.285	7.72557e+06	5.70263e+07	9.70164e+06
16 	424.285	8.14508e+06	5.81608e+07	1.03009e+07
17 	424.285	8.32454e+06	5.66916e+07	1.03686e+07
18 	424.285	8.3744e+06 	5.20739e+07	1.02413e+07
19 	424.285	8.41699e+06	6.44237e+07	1.03535e+07
20 	424.285	7.79954e+06	4.73208e+07	9.5581e+06 
21 	415.784	7.73065e+06	5.67097e+07	9.68411e+06
22 	415.784	7.36101e+06	4.87517e+07	9.30463e+06
23 	415.784	7.15461e+06	6.83611e+07	9.45198e+06
24 	415.784	6.99767e+06	4.87615e+07	9.05522e+06
25 	415.784	7.17336e+06	4.93416e+07	9.07001e+06
26 	415.784	6.75199e+06	4.01339e+07	8.66335e+06
27 	415.784	6.22971e+06	4.26036e+07	8.15195e+06
28 	378.962	6.00208e+06	4.43707e+07	7.52101e+06
29 	378.962	5.91022e+06	4.16698e+07	7.20229e+06
30 	378.962	5.85341e+06	3.96998e+07	7.46778e+06
31 	378.962	5.88475e+06	3.96998e+07	7.33054e+06
32 	378.962	5.78608e+06	3.85985e+07	7.07747e+06
33 	378.962	5.743e+06  	3.33513e+07	6.92908e+06
34 	378.962	5.72299e+06	3.91078e+07	6.99376e+06
35 	378.962	5.80321e+06	4.08411e+07	7.11723e+06
36 	334.633	5.72407e+06	3.8652e+07 	6.87802e+06
37 	334.633	5.68025e+06	4.27592e+07	7.1117e+06 
38 	334.633	5.42079e+06	3.74746e+07	6.48899e+06
39 	334.633	5.52249e+06	3.74746e+07	6.89825e+06
40 	334.633	5.73748e+06	3.6943e+07 	7.25361e+06
41 	334.633	5.36327e+06	4.25377e+07	7.11107e+06
42 	334.633	5.38325e+06	3.55905e+07	6.96988e+06
43 	334.633	5.32155e+06	3.77408e+07	6.81498e+06
44 	334.633	5.07022e+06	4.12594e+07	6.78547e+06
45 	334.633	5.05388e+06	3.60768e+07	6.63919e+06
46 	334.633	4.84383e+06	3.76994e+07	6.48059e+06
47 	334.633	5.18244e+06	3.3314e+07 	6.8897e+06 
48 	334.633	4.88818e+06	3.18313e+07	6.29838e+06
49 	334.633	5.03981e+06	2.91263e+07	6.45089e+06
50 	334.633	5.03307e+06	3.36696e+07	6.48234e+06
51 	334.633	5.13572e+06	3.72725e+07	7.00379e+06
52 	334.633	4.94224e+06	3.35275e+07	6.49964e+06
53 	334.633	4.9011e+06 	3.17229e+07	6.06592e+06
54 	334.633	4.58931e+06	3.60741e+07	6.00317e+06
55 	334.633	4.64978e+06	4.26767e+07	6.46554e+06
56 	334.633	4.8026e+06 	4.03019e+07	6.248e+06  
57 	334.633	5.01582e+06	3.99631e+07	6.63887e+06
58 	334.633	4.7318e+06 	3.72611e+07	6.16328e+06
59 	334.633	4.32196e+06	3.22283e+07	5.72641e+06
60 	334.633	4.29573e+06	2.79141e+07	5.12964e+06
61 	334.633	4.236e+06  	2.7184e+07 	4.85287e+06
62 	334.633	4.26806e+06	2.78595e+07	5.32409e+06
63 	334.633	4.22364e+06	2.99034e+07	5.29695e+06
64 	334.633	4.1131e+06 	3.21051e+07	5.13422e+06
65 	334.633	4.11901e+06	2.88096e+07	5.09538e+06
66 	334.633	3.93098e+06	2.88067e+07	4.69289e+06
67 	334.633	3.80256e+06	2.9062e+07 	4.78435e+06
68 	334.633	3.55556e+06	2.51683e+07	4.42202e+06
69 	334.633	3.66978e+06	3.40719e+07	4.802e+06  
70 	334.633	3.89684e+06	3.31664e+07	4.95122e+06
71 	334.633	3.70437e+06	2.9956e+07 	4.83104e+06
72 	334.633	3.82477e+06	2.89293e+07	5.12897e+06
73 	334.633	3.94888e+06	2.96749e+07	5.38375e+06
74 	293.704	3.94856e+06	3.09258e+07	5.46225e+06
75 	293.704	3.85948e+06	2.81266e+07	5.04558e+06
76 	293.704	3.79911e+06	2.50779e+07	4.70265e+06
77 	293.704	3.94503e+06	2.76028e+07	4.85365e+06
78 	293.704	3.926e+06  	2.70455e+07	4.91087e+06
79 	293.704	3.75812e+06	2.60278e+07	4.72425e+06
80 	293.704	3.79691e+06	2.77138e+07	4.69615e+06
81 	293.704	3.6634e+06 	2.67293e+07	4.48315e+06
82 	293.704	3.6898e+06 	3.0043e+07 	4.91559e+06
83 	293.704	3.61177e+06	3.00004e+07	4.90057e+06
84 	293.704	3.65133e+06	2.88639e+07	4.68915e+06
85 	293.704	3.58363e+06	2.70443e+07	4.54932e+06
86 	293.704	3.69251e+06	2.36164e+07	4.60477e+06
87 	293.704	3.67758e+06	2.86561e+07	4.79551e+06
88 	293.704	3.53429e+06	2.24968e+07	4.57787e+06
89 	293.704	3.67023e+06	2.41851e+07	4.63129e+06
90 	293.704	3.39131e+06	2.4593e+07 	4.2489e+06 
91 	293.704	3.2278e+06 	2.74106e+07	4.18006e+06
92 	293.704	3.14566e+06	2.65476e+07	4.0295e+06 
93 	293.704	3.10308e+06	3.21221e+07	3.882e+06  
94 	293.704	3.07461e+06	2.0505e+07 	3.80252e+06
95 	293.704	3.14101e+06	2.1511e+07 	3.91209e+06
96 	293.704	3.18136e+06	2.01202e+07	4.09204e+06
97 	293.704	3.104e+06  	2.79839e+07	3.95035e+06
98 	293.704	3.1764e+06 	2.83447e+07	4.06113e+06
99 	293.704	3.04777e+06	2.27591e+07	4.00243e+06
100	293.704	2.86551e+06	2.51543e+07	3.77792e+06
101	293.704	2.75372e+06	2.19214e+07	3.53841e+06
102	293.704	2.69471e+06	2.10573e+07	3.4154e+06 
103	293.704	2.6204e+06 	1.77646e+07	3.15074e+06
104	293.704	2.8044e+06 	2.27422e+07	3.4796e+06 
105	293.704	2.74452e+06	2.17398e+07	3.35075e+06
106	293.704	2.6742e+06 	2.43336e+07	3.4737e+06 
107	293.704	2.48725e+06	2.02052e+07	3.093e+06  
108	289.523	2.55813e+06	1.74908e+07	3.15404e+06
109	289.523	2.58113e+06	1.8095e+07 	3.20197e+06
110	289.523	2.53673e+06	1.72472e+07	3.21909e+06
