/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg        	max       	std        
0  	601.395	8.45968e+06	5.8903e+07	1.03935e+07
1  	601.395	8.64345e+06	5.90797e+07	1.02807e+07
2  	497.296	8.58219e+06	5.98524e+07	1.03513e+07
3  	493.611	8.31479e+06	5.37275e+07	1.00722e+07
4  	493.611	8.57612e+06	5.85431e+07	1.03546e+07
5  	493.611	8.34809e+06	6.34681e+07	1.02825e+07
6  	493.611	7.98143e+06	5.55716e+07	1.04702e+07
7  	493.611	8.2359e+06 	4.74039e+07	9.74919e+06
8  	493.611	8.48137e+06	5.42267e+07	1.00013e+07
9  	493.611	8.44801e+06	5.06333e+07	1.01973e+07
10 	460.359	8.15798e+06	4.5518e+07 	1.00449e+07
11 	460.359	7.78554e+06	4.60009e+07	9.57632e+06
12 	460.359	7.40285e+06	4.15782e+07	8.80518e+06
13 	460.359	7.18661e+06	3.94312e+07	8.42931e+06
14 	460.359	7.2699e+06 	5.43359e+07	8.81582e+06
15 	424.798	7.21036e+06	5.06598e+07	8.7748e+06 
16 	424.798	6.96524e+06	5.35121e+07	8.88453e+06
17 	424.798	6.82905e+06	5.17475e+07	8.52497e+06
18 	424.798	6.96411e+06	4.5282e+07 	8.47883e+06
19 	424.798	6.77539e+06	5.17678e+07	8.28633e+06
20 	387.002	6.87973e+06	4.08921e+07	8.18093e+06
21 	387.002	6.94411e+06	4.87248e+07	8.22198e+06
22 	358.526	7.10203e+06	6.45611e+07	8.8933e+06 
23 	358.526	6.79015e+06	4.93084e+07	8.23668e+06
24 	358.526	6.65803e+06	5.18739e+07	8.17638e+06
25 	358.526	6.65047e+06	4.19875e+07	7.87408e+06
26 	358.526	6.84282e+06	4.99006e+07	8.7101e+06 
27 	354.7  	6.79037e+06	4.95053e+07	8.51325e+06
