/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg        	max        	std       
0  	583.679	9.90353e+06	1.05551e+08	1.2989e+07
1  	583.679	9.77582e+06	8.96698e+07	1.24868e+07
2  	583.679	9.67917e+06	8.90301e+07	1.24937e+07
3  	555.968	8.82365e+06	6.25108e+07	1.0907e+07 
4  	555.968	8.83253e+06	1.0131e+08 	1.15494e+07
5  	555.968	8.47124e+06	6.21218e+07	1.02303e+07
6  	420.239	8.46646e+06	6.60954e+07	1.10653e+07
7  	420.239	8.55499e+06	6.52285e+07	1.10731e+07
8  	420.239	8.43836e+06	6.37539e+07	1.05689e+07
9  	420.239	8.53353e+06	6.16943e+07	1.10226e+07
10 	420.239	8.22999e+06	5.67776e+07	1.01749e+07
11 	420.239	7.65144e+06	4.8545e+07 	9.22725e+06
12 	420.239	7.59633e+06	4.9795e+07 	9.58294e+06
13 	420.239	7.54157e+06	4.85226e+07	9.29731e+06
14 	420.239	7.57945e+06	5.49706e+07	9.46007e+06
15 	420.239	7.42927e+06	5.40147e+07	9.04445e+06
16 	420.239	7.17575e+06	4.65827e+07	8.78538e+06
17 	420.239	7.26411e+06	4.828e+07  	8.9401e+06 
18 	420.239	7.00003e+06	5.37041e+07	9.02852e+06
19 	420.239	6.85119e+06	5.09589e+07	8.91071e+06
20 	420.239	6.48856e+06	3.97972e+07	8.25474e+06
21 	420.239	6.68903e+06	4.73089e+07	8.4817e+06 
22 	420.239	7.02036e+06	5.66004e+07	9.07937e+06
23 	420.239	7.11056e+06	5.96969e+07	9.18871e+06
24 	420.239	7.14328e+06	4.94688e+07	9.09299e+06
25 	420.239	6.97868e+06	4.24942e+07	8.50621e+06
26 	420.239	7.15902e+06	4.45662e+07	8.47954e+06
27 	420.239	6.89727e+06	4.17511e+07	8.31331e+06
28 	420.239	6.49921e+06	4.97053e+07	8.01886e+06
29 	420.239	6.24888e+06	6.1656e+07 	7.98287e+06
30 	420.239	6.21218e+06	4.5666e+07 	8.1038e+06 
31 	420.239	6.40045e+06	6.17594e+07	8.55899e+06
32 	420.239	6.19112e+06	5.52829e+07	8.12011e+06
33 	420.239	6.16667e+06	4.62187e+07	7.98296e+06
34 	420.239	6.29358e+06	4.80533e+07	8.0366e+06 
35 	420.239	6.17946e+06	4.67545e+07	7.9704e+06 
36 	420.239	6.11156e+06	4.84585e+07	7.84712e+06
37 	420.239	6.13981e+06	4.49864e+07	7.58712e+06
38 	323.332	6.22855e+06	4.05307e+07	7.80507e+06
39 	323.332	5.96366e+06	4.04595e+07	7.41383e+06
40 	323.332	6.00774e+06	3.62071e+07	7.4718e+06 
41 	323.332	6.19286e+06	4.56886e+07	7.50535e+06
42 	323.332	6.22509e+06	3.99303e+07	7.50547e+06
43 	323.332	6.13578e+06	3.95556e+07	7.7005e+06 
44 	323.332	6.01998e+06	3.68685e+07	7.38882e+06
45 	323.332	5.66155e+06	3.69792e+07	6.77852e+06
46 	323.332	5.52224e+06	3.80492e+07	6.64897e+06
47 	323.332	5.31001e+06	3.29902e+07	6.31801e+06
48 	323.332	5.3233e+06 	3.46587e+07	6.40935e+06
49 	323.332	4.75011e+06	3.05937e+07	5.6407e+06 
50 	323.332	4.59469e+06	2.92306e+07	5.59234e+06
51 	323.332	4.6867e+06 	3.57733e+07	5.87756e+06
52 	323.332	4.80037e+06	2.80227e+07	5.9779e+06 
53 	323.332	4.91823e+06	3.13507e+07	6.06067e+06
54 	323.332	4.91105e+06	3.3745e+07 	6.1602e+06 
55 	323.332	4.88223e+06	3.19188e+07	5.96974e+06
56 	323.332	5.05195e+06	3.5451e+07 	6.41335e+06
57 	323.332	5.23019e+06	3.48942e+07	6.57919e+06
58 	323.332	4.94323e+06	3.37243e+07	6.3474e+06 
59 	323.332	4.90694e+06	3.51746e+07	6.47245e+06
60 	323.332	4.70576e+06	3.53476e+07	6.22951e+06
61 	323.332	4.77278e+06	3.28044e+07	5.93342e+06
62 	323.332	4.76394e+06	3.02601e+07	5.97698e+06
63 	323.332	4.76995e+06	3.38349e+07	5.98457e+06
64 	323.332	4.66158e+06	3.268e+07  	5.9899e+06 
65 	323.332	4.59427e+06	3.21446e+07	5.83951e+06
66 	323.332	4.83878e+06	3.54656e+07	5.95469e+06
67 	323.332	4.42112e+06	3.63197e+07	5.9311e+06 
68 	323.332	4.36457e+06	3.50928e+07	5.92903e+06
69 	323.332	4.49176e+06	3.08985e+07	5.85632e+06
70 	323.332	4.21323e+06	3.17305e+07	5.4429e+06 
71 	323.332	4.34314e+06	3.38904e+07	5.68272e+06
72 	323.332	4.12166e+06	2.62672e+07	5.21328e+06
73 	309.659	3.96851e+06	2.5486e+07 	5.01065e+06
74 	309.659	3.81735e+06	2.88348e+07	5.00275e+06
75 	309.659	3.75225e+06	3.18779e+07	4.98575e+06
76 	309.659	3.92723e+06	3.15598e+07	5.18785e+06
77 	309.659	3.97921e+06	3.58841e+07	5.0571e+06 
78 	309.659	3.79434e+06	2.51742e+07	4.8775e+06 
79 	309.659	3.94967e+06	3.06619e+07	5.22527e+06
80 	309.659	3.93957e+06	3.12566e+07	5.3625e+06 
81 	309.659	3.87712e+06	3.05734e+07	5.32151e+06
82 	280.029	3.81862e+06	3.11327e+07	5.33585e+06
83 	280.029	3.8165e+06 	2.88963e+07	5.05145e+06
84 	280.029	3.69715e+06	2.88963e+07	4.9177e+06 
85 	280.029	3.56449e+06	3.0261e+07 	4.60819e+06
86 	280.029	3.43379e+06	2.3095e+07 	4.26738e+06
87 	280.029	3.40411e+06	2.80629e+07	4.36385e+06
88 	280.029	3.45301e+06	2.89813e+07	4.60593e+06
89 	280.029	3.37869e+06	2.74527e+07	4.42443e+06
90 	280.029	3.2564e+06 	3.18959e+07	4.47681e+06
91 	280.029	3.3088e+06 	3.00166e+07	4.3462e+06 
92 	280.029	3.46264e+06	2.63582e+07	4.29342e+06
93 	280.029	3.56619e+06	2.56348e+07	4.48524e+06
94 	280.029	3.58519e+06	2.37082e+07	4.46422e+06
95 	280.029	3.53622e+06	2.63083e+07	4.49436e+06
96 	280.029	3.55063e+06	2.51952e+07	4.80297e+06
97 	280.029	3.47806e+06	2.76789e+07	4.85201e+06
98 	280.029	3.48516e+06	2.75076e+07	4.68012e+06
99 	280.029	3.35982e+06	2.48452e+07	4.51531e+06
100	280.029	3.26529e+06	3.02263e+07	4.27443e+06
101	280.029	3.13803e+06	2.36682e+07	4.09333e+06
102	280.029	2.9592e+06 	2.37112e+07	3.90661e+06
103	280.029	3.12037e+06	2.34711e+07	4.1016e+06 
104	280.029	3.24187e+06	2.24213e+07	4.32983e+06
105	276.948	3.11325e+06	2.31912e+07	4.2214e+06 
106	276.948	3.03505e+06	2.68241e+07	4.00605e+06
107	276.948	2.97062e+06	2.93353e+07	3.93273e+06
108	276.948	3.01036e+06	2.12238e+07	3.79303e+06
109	276.948	2.97941e+06	2.41503e+07	3.69661e+06
110	276.948	2.94935e+06	1.77129e+07	3.67965e+06
111	276.948	2.86309e+06	1.74405e+07	3.57056e+06
112	276.948	2.84291e+06	2.27694e+07	3.55481e+06
113	276.948	2.69545e+06	1.5799e+07 	3.24109e+06
114	276.948	2.58215e+06	1.6615e+07 	3.18007e+06
115	257.361	2.65045e+06	1.61528e+07	3.11811e+06
116	257.361	2.68417e+06	1.68237e+07	3.38133e+06
117	257.361	2.6852e+06 	2.18965e+07	3.40729e+06
118	257.361	2.67646e+06	2.1031e+07 	3.37444e+06
119	257.361	2.52063e+06	2.18725e+07	3.17761e+06
120	257.361	2.48845e+06	1.80647e+07	3.17415e+06
121	257.361	2.50005e+06	1.66825e+07	3.05229e+06
122	257.361	2.50372e+06	1.7668e+07 	3.00697e+06
123	257.361	2.42902e+06	1.60479e+07	2.85799e+06
124	257.361	2.35936e+06	1.53605e+07	2.83657e+06
125	257.361	2.26703e+06	1.61017e+07	2.70593e+06
126	247.48 	2.34936e+06	2.08977e+07	2.90362e+06
127	247.48 	2.2887e+06 	2.04657e+07	2.81575e+06
128	247.48 	2.26105e+06	1.45108e+07	2.77417e+06
129	247.48 	2.20415e+06	1.92931e+07	2.80782e+06
130	247.48 	2.32119e+06	1.8118e+07 	2.74222e+06
131	247.48 	2.28957e+06	1.44686e+07	2.78861e+06
132	247.48 	2.35174e+06	1.44686e+07	2.70608e+06
133	247.48 	2.35615e+06	1.70977e+07	2.81698e+06
134	247.48 	2.25111e+06	1.8033e+07 	2.7895e+06 
135	247.48 	2.18481e+06	1.72799e+07	2.7174e+06 
136	247.48 	2.2295e+06 	1.75642e+07	2.72594e+06
137	247.48 	2.10275e+06	2.032e+07  	2.73059e+06
138	247.48 	2.01265e+06	1.92981e+07	2.64528e+06
139	247.48 	2.0412e+06 	1.47552e+07	2.55127e+06
140	247.48 	2.13591e+06	1.67968e+07	2.62066e+06
141	247.48 	2.0993e+06 	1.78512e+07	2.60501e+06
142	247.48 	2.08394e+06	1.78512e+07	2.55354e+06
143	247.48 	2.07609e+06	1.50877e+07	2.55855e+06
144	247.48 	2.09895e+06	1.43926e+07	2.69585e+06
145	247.48 	1.97365e+06	1.52888e+07	2.49559e+06
146	247.48 	1.95232e+06	1.30195e+07	2.42029e+06
147	247.48 	1.89302e+06	1.19807e+07	2.31007e+06
148	247.48 	1.87212e+06	1.10219e+07	2.23716e+06
149	247.48 	1.88884e+06	1.07651e+07	2.21811e+06
150	247.48 	1.84207e+06	1.33543e+07	2.18846e+06
151	247.48 	1.85896e+06	1.47359e+07	2.27021e+06
152	247.48 	1.87545e+06	1.37891e+07	2.23588e+06
153	247.48 	1.81687e+06	1.08431e+07	2.14934e+06
154	247.48 	1.85016e+06	1.19244e+07	2.1998e+06 
155	247.48 	1.80978e+06	1.17296e+07	2.16251e+06
156	247.48 	1.86826e+06	1.19689e+07	2.24506e+06
157	247.48 	1.8429e+06 	1.61233e+07	2.20802e+06
158	247.48 	1.85599e+06	1.42245e+07	2.18426e+06
159	247.48 	1.78114e+06	1.34845e+07	2.11843e+06
160	244.709	1.72922e+06	1.12459e+07	2.08417e+06
161	244.709	1.75604e+06	1.35293e+07	2.15288e+06
162	244.709	1.66496e+06	1.03289e+07	1.9599e+06 
163	244.709	1.581e+06  	1.00528e+07	1.86135e+06
164	244.709	1.60482e+06	1.1138e+07 	1.8808e+06 
165	244.709	1.57208e+06	8.9352e+06 	1.80191e+06
166	244.709	1.58373e+06	1.13393e+07	1.86806e+06
167	244.709	1.53344e+06	1.13393e+07	1.85639e+06
168	244.709	1.55824e+06	9.41689e+06	1.88177e+06
169	244.709	1.48525e+06	9.08864e+06	1.71257e+06
170	244.709	1.46256e+06	9.01865e+06	1.70499e+06
171	244.709	1.49715e+06	9.51397e+06	1.75785e+06
172	244.709	1.49134e+06	9.83184e+06	1.82619e+06
173	244.709	1.4887e+06 	9.79537e+06	1.80995e+06
174	244.709	1.45242e+06	8.26619e+06	1.69161e+06
175	244.709	1.46634e+06	8.92031e+06	1.83003e+06
176	244.709	1.45645e+06	8.46593e+06	1.77936e+06
177	244.709	1.43533e+06	1.20278e+07	1.78695e+06
178	244.709	1.43479e+06	9.8728e+06 	1.72296e+06
179	240.832	1.39447e+06	9.15247e+06	1.66753e+06
180	240.832	1.40034e+06	7.97286e+06	1.63719e+06
181	240.832	1.3661e+06 	6.90432e+06	1.58342e+06
182	240.832	1.36252e+06	8.24225e+06	1.62147e+06
183	240.832	1.34188e+06	8.53373e+06	1.61053e+06
184	240.832	1.34816e+06	9.31513e+06	1.62641e+06
185	240.832	1.32843e+06	8.92318e+06	1.63796e+06
186	240.832	1.30426e+06	8.09393e+06	1.59083e+06
187	240.832	1.33281e+06	8.9222e+06 	1.60958e+06
188	240.832	1.3654e+06 	9.03944e+06	1.64219e+06
189	240.832	1.33572e+06	9.02838e+06	1.60166e+06
190	240.832	1.30684e+06	8.04727e+06	1.56549e+06
191	240.832	1.30088e+06	7.84716e+06	1.54946e+06
192	240.832	1.3275e+06 	1.0182e+07 	1.6389e+06 
193	240.832	1.34505e+06	9.99358e+06	1.59495e+06
194	240.832	1.36174e+06	8.73097e+06	1.59102e+06
195	240.832	1.32934e+06	7.76074e+06	1.54789e+06
196	240.832	1.30142e+06	6.64998e+06	1.46512e+06
197	240.832	1.34435e+06	9.52796e+06	1.59676e+06
198	240.832	1.33527e+06	8.1219e+06 	1.57831e+06
199	240.832	1.2709e+06 	8.11496e+06	1.4955e+06 
Result of algorithm run: SUCCESS, 0, 0, 240.832246, 0
