/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg       	max        	std       
0  	751.009	1.0795e+07	1.04354e+08	1.3765e+07
1  	751.009	1.074e+07 	9.14681e+07	1.38766e+07
2  	751.009	1.02884e+07	8.20289e+07	1.30619e+07
3  	511.853	9.82871e+06	7.59671e+07	1.26109e+07
4  	511.853	9.75917e+06	6.91454e+07	1.25638e+07
5  	511.853	9.59955e+06	7.86012e+07	1.29997e+07
6  	511.853	9.74106e+06	6.82595e+07	1.21101e+07
7  	511.853	9.65208e+06	6.82595e+07	1.2043e+07 
8  	511.853	8.89462e+06	6.99855e+07	1.13226e+07
9  	391.072	8.80104e+06	5.90031e+07	1.07531e+07
10 	391.072	8.91181e+06	9.06628e+07	1.16015e+07
11 	391.072	8.80867e+06	7.92164e+07	1.16162e+07
12 	391.072	8.21471e+06	4.81002e+07	9.98925e+06
13 	391.072	7.99381e+06	5.18415e+07	9.8507e+06 
14 	391.072	8.22066e+06	7.75725e+07	1.01759e+07
15 	391.072	8.22765e+06	5.66738e+07	1.00413e+07
16 	391.072	7.94735e+06	5.62414e+07	9.95591e+06
17 	390.778	7.97695e+06	5.55603e+07	1.00313e+07
18 	390.778	7.90145e+06	5.55603e+07	9.49545e+06
19 	390.778	7.76626e+06	6.00674e+07	9.78717e+06
20 	390.778	7.56157e+06	5.69781e+07	9.1864e+06 
21 	390.778	7.57117e+06	6.47957e+07	9.40406e+06
22 	390.778	7.26698e+06	6.0615e+07 	8.89904e+06
23 	390.778	7.3065e+06 	6.33033e+07	9.38262e+06
24 	390.778	7.20492e+06	7.17881e+07	9.61531e+06
25 	390.778	7.22143e+06	7.48239e+07	9.70628e+06
26 	390.778	6.96053e+06	5.81669e+07	9.14806e+06
27 	390.778	6.71883e+06	6.43827e+07	8.81649e+06
