/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg        	max        	std        
0  	482.565	9.43277e+06	9.87082e+07	1.25043e+07
1  	482.565	9.23338e+06	9.59207e+07	1.24466e+07
2  	482.565	9.05227e+06	7.85886e+07	1.17452e+07
3  	482.565	8.96028e+06	6.44416e+07	1.09752e+07
4  	482.565	8.65024e+06	5.87001e+07	1.02423e+07
5  	438.637	8.79166e+06	6.29937e+07	1.09585e+07
6  	438.637	8.70344e+06	6.64011e+07	1.12308e+07
7  	438.637	8.56399e+06	7.26166e+07	1.1113e+07 
8  	438.637	8.34776e+06	6.98578e+07	1.0631e+07 
9  	416.028	8.44459e+06	5.64887e+07	1.07162e+07
10 	416.028	8.18919e+06	5.91256e+07	1.06463e+07
11 	416.028	7.97044e+06	5.63029e+07	1.03257e+07
12 	416.028	8.29254e+06	4.95425e+07	9.8818e+06 
13 	400.766	8.35052e+06	6.36754e+07	1.02461e+07
14 	400.766	7.96138e+06	7.49235e+07	1.02605e+07
15 	400.766	7.5543e+06 	4.81995e+07	9.42963e+06
16 	400.766	7.55421e+06	5.29088e+07	9.29801e+06
17 	400.766	7.28117e+06	5.79317e+07	9.31052e+06
18 	400.766	6.88677e+06	5.55311e+07	8.85659e+06
19 	400.766	7.03112e+06	5.02505e+07	8.89138e+06
20 	400.766	6.99162e+06	5.67771e+07	8.87845e+06
21 	400.766	7.28417e+06	6.1293e+07 	9.47544e+06
22 	400.766	7.54141e+06	7.36331e+07	1.03547e+07
23 	400.766	7.31249e+06	5.85893e+07	9.77512e+06
24 	385.498	6.83323e+06	5.48353e+07	8.97799e+06
25 	385.498	6.97195e+06	4.97112e+07	8.65143e+06
26 	385.498	6.89497e+06	4.55022e+07	8.65907e+06
27 	385.498	7.05075e+06	4.87937e+07	8.4359e+06 
28 	385.498	6.86667e+06	4.48302e+07	8.29642e+06
29 	385.498	6.58811e+06	5.38946e+07	8.50722e+06
30 	385.498	6.78587e+06	5.58925e+07	8.93784e+06
31 	385.498	6.60585e+06	4.89364e+07	8.5668e+06 
32 	385.498	6.35087e+06	4.58704e+07	8.50668e+06
33 	385.498	6.26382e+06	3.81641e+07	7.87834e+06
34 	385.498	6.21439e+06	4.4374e+07 	7.94665e+06
35 	385.498	5.8449e+06 	3.89328e+07	7.54018e+06
36 	385.498	5.833e+06  	3.61812e+07	7.38708e+06
37 	385.498	6.0531e+06 	4.54368e+07	7.7244e+06 
