/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min        	avg       	max       	std       
0  	4.76649e+08	6.9118e+09	2.7757e+11	2.1109e+10
1  	4.61384e+08	7.13184e+09	2.77234e+11	2.47454e+10
2  	3.23833e+08	5.78945e+09	2.932e+11  	1.97373e+10
3  	2.97473e+08	4.90236e+09	1.04311e+11	9.28529e+09
4  	2.88898e+08	4.76893e+09	1.0339e+11 	9.57569e+09
5  	2.67001e+08	4.85473e+09	9.9197e+10 	9.5429e+09 
6  	2.67001e+08	4.65145e+09	1.4281e+11 	9.41351e+09
7  	2.67001e+08	4.2009e+09 	1.04677e+11	8.09939e+09
8  	2.06795e+08	3.9244e+09 	8.68089e+10	6.35407e+09
9  	1.8924e+08 	3.65761e+09	6.1939e+10 	6.12087e+09
10 	1.8924e+08 	3.67758e+09	6.72157e+10	7.02097e+09
11 	1.8924e+08 	3.62767e+09	9.89464e+10	7.32322e+09
12 	1.8924e+08 	3.50137e+09	1.02408e+11	7.36489e+09
13 	1.8924e+08 	3.49668e+09	8.23714e+10	6.07123e+09
14 	1.7349e+08 	3.25697e+09	5.45383e+10	4.94029e+09
15 	1.7349e+08 	3.27336e+09	5.28585e+10	4.94497e+09
16 	1.7349e+08 	3.50459e+09	9.91104e+10	6.55178e+09
17 	1.7349e+08 	2.90599e+09	2.63556e+10	3.49999e+09
18 	1.7349e+08 	2.93272e+09	3.92416e+10	3.9149e+09 
19 	1.49921e+08	2.74568e+09	2.92434e+10	3.41797e+09
20 	1.49921e+08	2.84987e+09	4.83135e+10	4.46607e+09
21 	1.49921e+08	2.76843e+09	3.2273e+10 	3.59441e+09
22 	1.49921e+08	3.04124e+09	6.9593e+10 	5.51238e+09
23 	1.49921e+08	2.88353e+09	5.96785e+10	4.92155e+09
24 	1.48953e+08	2.89622e+09	5.21277e+10	4.96089e+09
25 	1.48953e+08	2.51436e+09	4.05308e+10	3.55668e+09
26 	1.48953e+08	2.44297e+09	3.19728e+10	3.34018e+09
27 	1.48953e+08	2.30723e+09	2.40369e+10	2.77916e+09
28 	1.48953e+08	2.51499e+09	4.82402e+10	4.64783e+09
29 	1.48953e+08	2.23698e+09	3.66154e+10	3.03159e+09
30 	1.27023e+08	2.36979e+09	4.1131e+10 	3.66418e+09
31 	1.27023e+08	2.33949e+09	3.72954e+10	3.62002e+09
32 	1.27023e+08	2.23273e+09	3.13119e+10	3.30814e+09
33 	1.27023e+08	2.14873e+09	2.97833e+10	3.01456e+09
34 	1.27023e+08	1.99084e+09	2.65516e+10	2.37757e+09
35 	1.27023e+08	1.9257e+09 	2.15372e+10	2.12514e+09
36 	1.27023e+08	1.862e+09  	1.60148e+10	1.93096e+09
37 	1.27023e+08	1.86822e+09	1.78313e+10	2.19162e+09
38 	1.27023e+08	1.80194e+09	3.73255e+10	2.47391e+09
39 	1.27023e+08	1.77677e+09	2.23026e+10	2.05008e+09
40 	1.27023e+08	1.84165e+09	2.23026e+10	2.32359e+09
41 	1.27023e+08	1.75592e+09	2.32597e+10	2.17982e+09
42 	1.27023e+08	1.75013e+09	2.49459e+10	2.34189e+09
43 	1.27023e+08	1.66717e+09	1.73586e+10	1.92459e+09
44 	1.1003e+08 	1.46774e+09	1.17669e+10	1.35682e+09
45 	1.1003e+08 	1.45362e+09	1.17302e+10	1.34429e+09
46 	1.1003e+08 	1.39711e+09	1.11897e+10	1.15462e+09
47 	1.1003e+08 	1.36492e+09	6.61358e+09	1.09834e+09
48 	1.1003e+08 	1.41702e+09	1.24219e+10	1.43242e+09
49 	1.1003e+08 	1.48508e+09	1.12406e+10	1.60343e+09
50 	1.1003e+08 	1.43824e+09	1.22079e+10	1.52128e+09
51 	1.1003e+08 	1.38474e+09	1.04163e+10	1.37013e+09
52 	1.1003e+08 	1.36848e+09	1.03946e+10	1.2852e+09 
53 	1.1003e+08 	1.33684e+09	7.84817e+09	1.17444e+09
54 	1.05236e+08	1.31959e+09	3.24411e+10	1.80513e+09
55 	1.05236e+08	1.31089e+09	1.45128e+10	1.42018e+09
56 	1.05236e+08	1.30075e+09	1.62511e+10	1.32855e+09
57 	1.05236e+08	1.24418e+09	1.59794e+10	1.27417e+09
58 	1.05236e+08	1.25102e+09	1.61552e+10	1.32314e+09
59 	1.01442e+08	1.22079e+09	1.48568e+10	1.30667e+09
60 	1.01442e+08	1.17482e+09	8.09794e+09	1.05856e+09
61 	1.01442e+08	1.15772e+09	1.12003e+10	1.16064e+09
62 	1.01442e+08	1.08304e+09	7.99773e+09	9.61558e+08
63 	1.01442e+08	1.07177e+09	6.14701e+09	8.95015e+08
64 	1.01442e+08	1.06012e+09	7.45654e+09	8.84451e+08
65 	1.01442e+08	1.06009e+09	6.32591e+09	9.04736e+08
66 	1.01442e+08	1.02011e+09	7.17095e+09	8.16006e+08
67 	1.01442e+08	1.03186e+09	9.73076e+09	9.18156e+08
68 	1.01442e+08	1.04665e+09	1.05241e+10	9.77563e+08
69 	1.01442e+08	9.99032e+08	7.80964e+09	9.03137e+08
70 	1.01442e+08	9.54515e+08	6.40743e+09	7.84871e+08
71 	9.18665e+07	9.3358e+08 	5.83893e+09	7.48618e+08
72 	9.18665e+07	9.30603e+08	5.83893e+09	8.20351e+08
73 	8.44066e+07	9.01351e+08	5.83893e+09	7.72232e+08
74 	8.44066e+07	9.19923e+08	8.46159e+09	8.46849e+08
75 	8.44066e+07	9.02013e+08	7.87588e+09	8.46362e+08
76 	8.44066e+07	8.89248e+08	6.61759e+09	7.56292e+08
77 	7.93531e+07	8.805e+08  	6.61759e+09	7.3125e+08 
78 	7.93531e+07	8.55406e+08	5.60593e+09	6.85261e+08
79 	7.93531e+07	8.2891e+08 	5.59135e+09	6.35792e+08
80 	7.93531e+07	8.18127e+08	5.72038e+09	6.3339e+08 
81 	7.93531e+07	7.96613e+08	4.19842e+09	5.63168e+08
82 	7.92391e+07	7.89928e+08	4.19842e+09	5.59767e+08
83 	7.29692e+07	7.98008e+08	4.19842e+09	5.92711e+08
84 	7.29692e+07	7.78714e+08	3.68644e+09	5.5204e+08 
85 	7.29692e+07	7.72572e+08	5.0408e+09 	5.77726e+08
86 	7.29692e+07	7.65802e+08	4.28642e+09	5.78533e+08
87 	7.29692e+07	7.35222e+08	4.66775e+09	5.2084e+08 
88 	7.29692e+07	7.2999e+08 	3.05988e+09	4.82824e+08
89 	7.29692e+07	7.23767e+08	3.02385e+09	4.80127e+08
90 	7.29692e+07	7.21129e+08	5.67069e+09	5.41325e+08
