/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min       	avg       	max        	std        
0  	3.8819e+08	7.7884e+09	5.03747e+11	2.81574e+10
1  	3.20714e+08	5.96852e+09	1.87455e+11	1.4014e+10 
2  	3.20714e+08	5.55611e+09	1.35367e+11	1.26456e+10
3  	3.20714e+08	4.40121e+09	6.48389e+10	6.93291e+09
4  	3.20714e+08	4.21577e+09	8.74315e+10	6.34665e+09
5  	3.20714e+08	3.97733e+09	8.24678e+10	6.00809e+09
6  	2.93955e+08	4.06112e+09	5.93404e+10	6.07715e+09
7  	2.69291e+08	3.91619e+09	4.26265e+10	5.03973e+09
8  	2.69291e+08	3.69646e+09	4.73933e+10	4.74363e+09
9  	2.40532e+08	3.42194e+09	4.37049e+10	4.30651e+09
10 	2.31203e+08	3.42119e+09	6.98043e+10	5.16464e+09
11 	2.31203e+08	3.30342e+09	3.29552e+10	4.03417e+09
12 	2.31203e+08	3.22024e+09	2.84707e+10	3.78954e+09
13 	2.31203e+08	3.26351e+09	2.92271e+10	4.16138e+09
14 	2.31203e+08	3.16565e+09	4.08606e+10	4.27863e+09
15 	2.31203e+08	3.32301e+09	5.11812e+10	4.68645e+09
16 	2.31203e+08	2.97856e+09	2.7543e+10 	3.36576e+09
17 	2.31203e+08	2.95887e+09	2.85122e+10	3.2747e+09 
18 	2.31203e+08	3.07481e+09	3.08689e+10	3.65927e+09
19 	2.31203e+08	3.35265e+09	8.14978e+10	6.72762e+09
20 	2.31203e+08	3.16823e+09	5.54486e+10	4.88554e+09
21 	2.24304e+08	3.04354e+09	5.54486e+10	4.27004e+09
22 	2.24304e+08	2.81769e+09	3.1878e+10 	3.53561e+09
23 	2.14606e+08	2.60467e+09	2.69898e+10	3.07526e+09
24 	2.00087e+08	2.46237e+09	2.34424e+10	2.74055e+09
25 	1.9556e+08 	2.47893e+09	2.43694e+10	2.89889e+09
26 	1.9556e+08 	2.35923e+09	2.07362e+10	2.75637e+09
27 	1.9556e+08 	2.3869e+09 	1.97709e+10	2.81032e+09
28 	1.7851e+08 	2.27802e+09	1.50419e+10	2.61126e+09
29 	1.5869e+08 	2.19107e+09	2.68951e+10	2.58386e+09
30 	1.5869e+08 	2.10162e+09	1.94919e+10	2.28296e+09
31 	1.5869e+08 	2.13475e+09	1.96138e+10	2.39933e+09
32 	1.52852e+08	2.07619e+09	2.26142e+10	2.28167e+09
33 	1.52852e+08	2.09261e+09	2.44472e+10	2.55874e+09
34 	1.52852e+08	2.13565e+09	3.52122e+10	2.97604e+09
35 	1.52852e+08	1.97101e+09	2.64269e+10	2.52134e+09
36 	1.52852e+08	1.83119e+09	2.49822e+10	2.21261e+09
37 	1.52852e+08	1.82638e+09	2.49822e+10	2.13919e+09
38 	1.52852e+08	1.76687e+09	1.79887e+10	2.01027e+09
39 	1.52852e+08	1.74943e+09	1.48495e+10	1.79466e+09
40 	1.52852e+08	1.74745e+09	1.68033e+10	1.88173e+09
41 	1.52852e+08	1.7071e+09 	2.33245e+10	1.8975e+09 
42 	1.52852e+08	1.68911e+09	1.1134e+10 	1.61873e+09
43 	1.4943e+08 	1.63239e+09	1.48297e+10	1.61358e+09
44 	1.4943e+08 	1.57746e+09	1.22956e+10	1.4413e+09 
45 	1.19515e+08	1.61866e+09	1.30619e+10	1.60771e+09
46 	1.19515e+08	1.62132e+09	1.14176e+10	1.61127e+09
47 	1.19515e+08	1.53589e+09	1.07915e+10	1.41166e+09
48 	1.19515e+08	1.50109e+09	1.29042e+10	1.41578e+09
49 	1.19515e+08	1.48696e+09	1.24489e+10	1.43162e+09
50 	1.19515e+08	1.43733e+09	1.22268e+10	1.35512e+09
51 	1.19515e+08	1.42323e+09	1.23265e+10	1.40409e+09
52 	1.19515e+08	1.39238e+09	1.23265e+10	1.42775e+09
53 	1.19515e+08	1.3986e+09 	1.15775e+10	1.46624e+09
54 	1.19515e+08	1.31697e+09	1.67009e+10	1.31046e+09
55 	1.19515e+08	1.33787e+09	1.32636e+10	1.42776e+09
56 	1.14278e+08	1.30861e+09	9.06069e+09	1.25484e+09
57 	1.12231e+08	1.30076e+09	1.20741e+10	1.31505e+09
58 	1.12231e+08	1.23203e+09	9.73258e+09	1.1569e+09 
59 	1.12231e+08	1.20326e+09	1.0402e+10 	1.13713e+09
60 	1.12231e+08	1.1927e+09 	9.5134e+09 	1.09474e+09
61 	1.12231e+08	1.14325e+09	9.5134e+09 	1.05445e+09
62 	1.12231e+08	1.13306e+09	8.79265e+09	1.00046e+09
63 	1.12231e+08	1.0869e+09 	8.4159e+09 	8.35565e+08
64 	1.12231e+08	1.07178e+09	5.77147e+09	8.18186e+08
