/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min        	avg      	max        	std        
0  	4.86855e+08	6.359e+09	2.13087e+11	1.57525e+10
1  	4.15211e+08	6.1219e+09	2.26407e+11	1.48249e+10
2  	4.15211e+08	5.29843e+09	1.53644e+11	1.15351e+10
3  	4.15211e+08	5.51865e+09	1.70047e+11	1.37601e+10
4  	3.92877e+08	4.75763e+09	7.77739e+10	8.52266e+09
5  	3.82332e+08	4.91306e+09	1.03938e+11	9.42746e+09
6  	3.82332e+08	4.55463e+09	8.4442e+10 	8.31842e+09
7  	3.10782e+08	4.29507e+09	9.6173e+10 	7.99371e+09
8  	3.10782e+08	4.07013e+09	7.76328e+10	6.76015e+09
9  	3.10782e+08	3.79811e+09	4.09634e+10	5.28354e+09
10 	3.10782e+08	3.6228e+09 	3.73485e+10	4.53074e+09
11 	3.10782e+08	3.59684e+09	4.07524e+10	4.94778e+09
12 	2.88844e+08	3.64208e+09	6.35164e+10	5.49732e+09
13 	2.88844e+08	3.54102e+09	3.78891e+10	4.70252e+09
14 	2.88844e+08	3.5725e+09 	5.35171e+10	5.20092e+09
15 	2.52722e+08	3.33749e+09	4.9901e+10 	4.93904e+09
16 	2.5017e+08 	3.28895e+09	8.18704e+10	5.75774e+09
17 	2.5017e+08 	3.34089e+09	7.63916e+10	6.12786e+09
18 	2.5017e+08 	2.93193e+09	4.51496e+10	4.03195e+09
19 	2.42388e+08	3.00258e+09	4.51496e+10	4.23019e+09
20 	2.42388e+08	2.87897e+09	3.23749e+10	3.77195e+09
21 	2.42388e+08	2.80058e+09	5.39413e+10	4.1183e+09 
22 	2.42388e+08	2.5917e+09 	2.28342e+10	3.10722e+09
23 	2.25828e+08	2.51761e+09	4.02764e+10	3.49033e+09
24 	2.25779e+08	2.4857e+09 	4.02764e+10	3.50391e+09
25 	2.25779e+08	2.4192e+09 	3.21637e+10	3.11924e+09
26 	2.25779e+08	2.41753e+09	2.90634e+10	3.2076e+09 
27 	2.25779e+08	2.33971e+09	2.1606e+10 	2.69098e+09
28 	2.14367e+08	2.2174e+09 	1.63171e+10	2.34583e+09
29 	2.14367e+08	2.18909e+09	2.72969e+10	2.65571e+09
30 	2.14367e+08	2.16509e+09	3.27638e+10	2.68834e+09
31 	2.00774e+08	2.13587e+09	2.00643e+10	2.38118e+09
32 	2.00774e+08	2.01133e+09	1.76226e+10	2.26816e+09
33 	2.00774e+08	1.94775e+09	1.44622e+10	2.09586e+09
34 	2.00774e+08	1.92969e+09	2.61455e+10	2.32053e+09
35 	1.96482e+08	1.97432e+09	2.40078e+10	2.34827e+09
36 	1.96482e+08	1.91672e+09	2.45816e+10	2.43218e+09
37 	1.92239e+08	1.85994e+09	1.64792e+10	1.96332e+09
38 	1.82145e+08	1.80697e+09	2.29477e+10	2.07415e+09
39 	1.82145e+08	1.81286e+09	2.11595e+10	2.05228e+09
40 	1.82145e+08	1.64156e+09	1.17971e+10	1.44507e+09
41 	1.82145e+08	1.62253e+09	1.4276e+10 	1.51157e+09
42 	1.82145e+08	1.6092e+09 	1.07513e+10	1.43165e+09
43 	1.82145e+08	1.60428e+09	1.07513e+10	1.41159e+09
44 	1.82145e+08	1.65993e+09	1.34908e+10	1.70429e+09
45 	1.65822e+08	1.62243e+09	1.43799e+10	1.68833e+09
46 	1.56335e+08	1.77125e+09	1.3921e+10 	2.02093e+09
47 	1.56335e+08	1.64871e+09	1.46471e+10	1.78912e+09
48 	1.56335e+08	1.56008e+09	1.11342e+10	1.54551e+09
49 	1.56335e+08	1.49757e+09	1.33514e+10	1.50757e+09
50 	1.45088e+08	1.39356e+09	1.14439e+10	1.323e+09  
51 	1.45088e+08	1.3832e+09 	8.60413e+09	1.22453e+09
52 	1.45088e+08	1.29972e+09	8.31051e+09	1.07247e+09
53 	1.38476e+08	1.28897e+09	8.76052e+09	1.12302e+09
54 	1.38476e+08	1.28359e+09	1.27239e+10	1.2166e+09 
55 	1.38476e+08	1.26485e+09	1.46151e+10	1.13318e+09
56 	1.38476e+08	1.22572e+09	8.30228e+09	1.04997e+09
57 	1.38476e+08	1.16852e+09	7.56977e+09	9.40619e+08
58 	1.38476e+08	1.20643e+09	1.51897e+10	1.13824e+09
59 	1.38476e+08	1.23424e+09	1.73204e+10	1.24599e+09
60 	1.38476e+08	1.25753e+09	2.5357e+10 	1.69577e+09
61 	1.38476e+08	1.17827e+09	8.81262e+09	9.97111e+08
62 	1.38476e+08	1.18967e+09	9.31048e+09	1.04176e+09
63 	1.27966e+08	1.20304e+09	9.77559e+09	1.10823e+09
64 	1.24214e+08	1.15584e+09	1.11296e+10	1.06386e+09
65 	1.24214e+08	1.12989e+09	1.02848e+10	1.01505e+09
66 	1.24214e+08	1.11767e+09	7.79041e+09	9.13621e+08
67 	1.24214e+08	1.04273e+09	8.74345e+09	8.1408e+08 
68 	1.24214e+08	1.01814e+09	7.01324e+09	8.02542e+08
69 	1.24214e+08	1.00112e+09	5.37211e+09	7.06367e+08
70 	1.24214e+08	1.00913e+09	6.48315e+09	7.67074e+08
71 	1.11172e+08	1.02773e+09	8.46826e+09	8.34108e+08
72 	1.11172e+08	9.82331e+08	5.94205e+09	7.45388e+08
73 	1.11172e+08	9.48557e+08	4.44587e+09	6.67175e+08
74 	1.11172e+08	9.5569e+08 	7.73089e+09	7.18167e+08
