/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min        	avg       	max        	std        
0  	3.37224e+08	5.5402e+09	1.14115e+11	9.97299e+09
1  	3.37224e+08	5.35306e+09	8.85143e+10	9.34689e+09
2  	3.17567e+08	5.0202e+09 	1.69077e+11	1.052e+10  
3  	3.17567e+08	4.56149e+09	8.59209e+10	7.98852e+09
4  	3.17567e+08	4.0625e+09 	3.90687e+10	5.10068e+09
5  	3.17567e+08	4.13161e+09	4.28113e+10	5.22984e+09
6  	2.74861e+08	4.35662e+09	6.12118e+10	6.75522e+09
7  	2.74861e+08	4.2158e+09 	5.5528e+10 	6.46284e+09
8  	2.74861e+08	3.91813e+09	5.17703e+10	5.63849e+09
9  	2.74861e+08	3.95754e+09	3.82727e+10	6.00433e+09
10 	2.74861e+08	4.41473e+09	1.65819e+11	1.03389e+10
11 	2.74861e+08	3.90151e+09	8.93687e+10	7.71514e+09
12 	2.74861e+08	4.04816e+09	1.01828e+11	8.8234e+09 
13 	2.70195e+08	3.84781e+09	6.86002e+10	6.83964e+09
14 	2.70195e+08	3.63416e+09	5.00049e+10	5.65617e+09
15 	2.70195e+08	3.45316e+09	9.09175e+10	6.94203e+09
16 	2.42456e+08	3.37565e+09	9.26372e+10	6.7423e+09 
17 	2.40623e+08	3.11621e+09	4.63971e+10	4.67766e+09
18 	2.40623e+08	3.03098e+09	4.10618e+10	4.45126e+09
19 	2.14605e+08	3.0179e+09 	3.15619e+10	4.0915e+09 
20 	2.09505e+08	2.88923e+09	3.11736e+10	3.68212e+09
21 	2.09505e+08	2.97716e+09	5.18009e+10	4.55794e+09
22 	2.09505e+08	2.79121e+09	2.54516e+10	3.67821e+09
23 	2.09505e+08	2.79739e+09	2.87165e+10	3.69961e+09
24 	2.09505e+08	2.81694e+09	3.13306e+10	3.74787e+09
25 	2.09505e+08	2.63242e+09	2.75074e+10	3.32597e+09
26 	2.09505e+08	2.62638e+09	6.90756e+10	4.17846e+09
27 	2.09505e+08	2.68891e+09	3.14282e+10	3.89653e+09
28 	2.09505e+08	2.54414e+09	2.79764e+10	3.47362e+09
29 	2.09505e+08	2.54091e+09	4.95458e+10	3.85049e+09
30 	2.09505e+08	2.25265e+09	2.32069e+10	2.76206e+09
31 	1.95351e+08	2.26517e+09	3.09685e+10	3.02174e+09
32 	1.95351e+08	2.22428e+09	5.50466e+10	3.7092e+09 
33 	1.95351e+08	1.9932e+09 	1.79002e+10	2.21756e+09
34 	1.95351e+08	1.94569e+09	1.69114e+10	2.01902e+09
35 	1.79144e+08	2.15415e+09	3.72985e+10	3.19375e+09
36 	1.79144e+08	2.1854e+09 	3.22343e+10	3.12335e+09
37 	1.79144e+08	2.11552e+09	5.18176e+10	3.4479e+09 
38 	1.79144e+08	2.01397e+09	3.92503e+10	2.76019e+09
39 	1.79144e+08	1.94885e+09	2.24786e+10	2.27833e+09
40 	1.79144e+08	1.85846e+09	2.24952e+10	2.32199e+09
41 	1.79144e+08	1.88239e+09	2.32926e+10	2.60444e+09
42 	1.79144e+08	1.79593e+09	1.94485e+10	2.19333e+09
43 	1.68511e+08	1.88957e+09	2.27305e+10	2.59351e+09
