/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg    	max    	std    
0  	3243.71	4571.76	5852.12	477.125
1  	3073.6 	4564.11	5907.57	486.808
2  	3073.6 	4551.95	5977.33	497.502
3  	3073.6 	4536.43	5785.2 	500.902
4  	3056.01	4523.02	5848.76	505.327
5  	3038.39	4511.79	5706.75	503.203
6  	3038.39	4492.43	5733.16	502.134
7  	3038.39	4476.46	5760.55	524.825
8  	3038.39	4463.67	5779.11	519.37 
9  	2698.73	4445.88	5674.4 	497.197
10 	2698.73	4422.13	5757.13	514.989
11 	2660.23	4406.81	5764.57	509.673
12 	2660.23	4392.86	5786.91	490.399
13 	2660.23	4374.95	5675.91	482.588
14 	2660.23	4366.96	5581.47	480.009
15 	2660.23	4355.75	5581.47	479.289
16 	2660.23	4334.37	5569.65	484.408
17 	2660.23	4318.7 	5502.03	476.38 
18 	2660.23	4298.83	5502.03	475.606
19 	2660.23	4281.52	5759.47	481.833
20 	2652.43	4259.71	5603.8 	472.845
21 	2652.43	4241.79	5336.02	454.876
22 	2652.43	4225.1 	5347.66	460.231
23 	2652.43	4208.51	5341.84	464.251
24 	2652.43	4197.03	5331.72	464.918
25 	2652.43	4175.41	5261.27	453.53 
26 	2652.43	4164.57	5450.17	449.506
27 	2652.43	4149.65	5450.17	461.351
28 	2652.43	4128.16	5380.61	463.821
29 	2652.43	4115.8 	5281.58	455.15 
30 	2652.43	4103.79	5216.34	442.411
31 	2652.43	4087.19	5230.45	447.722
32 	2561.13	4065.73	5217.59	451.809
33 	2558.37	4058.81	5332.89	458.676
34 	2439.32	4050.15	5359.59	455.196
35 	2439.32	4041.08	5248.68	457.974
36 	2439.32	4033.56	5233.89	448.286
37 	2439.32	4009.95	5280.88	453.932
38 	2439.32	3995.01	5229.77	467.165
39 	2399.29	3979.77	5244.53	463.062
40 	2399.29	3962.71	5201.13	453.197
41 	2399.29	3947.09	5018.11	445.017
42 	2399.29	3925.98	5004.13	454.678
43 	2399.29	3911.15	4960.08	459.502
44 	2315.2 	3900.56	5027.46	471.229
45 	2315.2 	3885.09	5172.98	463.28 
46 	2315.2 	3878.95	5032.47	455.307
47 	2280.57	3865.95	4974.75	471.322
48 	2280.57	3854.13	5008.74	459.654
49 	2280.57	3839.4 	5034.74	455.867
50 	2258.88	3829.61	5038.04	456.827
51 	2258.88	3817.31	5102.47	454.066
52 	2258.88	3803.85	4943.84	454.584
53 	2258.88	3788.84	4875.04	447.839
54 	2258.88	3774.03	4825.61	448.958
55 	2258.88	3764.05	4769.84	454.119
56 	2200.03	3757.58	4871.67	454.818
57 	2190.09	3739.93	4908.67	452.314
58 	2190.09	3727.02	4936.42	443.637
59 	2027.69	3714.75	4868.41	448.361
60 	2027.69	3712.44	5077.62	432.373
61 	2027.69	3696.27	4884.81	431.521
62 	2027.69	3682.16	4746.86	431.248
63 	2027.69	3675.13	4681.12	432.419
64 	2027.69	3666.81	4722.9 	429.642
65 	2027.69	3655.46	4794.73	436.074
66 	2027.69	3644.52	4756.15	423.286
67 	2027.69	3635.03	4878.78	421.052
68 	2027.69	3623.58	4705.08	435.305
69 	2027.69	3620.48	4705.08	428.759
70 	2027.69	3603.67	4703.53	430.647
71 	2027.69	3596   	4703.53	421.296
72 	2027.69	3584.92	4789.18	419.573
73 	2027.69	3567.65	4667.9 	421.491
74 	2008.69	3554.7 	4733.89	421.116
75 	2008.69	3548.45	4876.24	415.355
76 	2008.69	3533.89	4783.23	407.95 
77 	1999.17	3527.93	4783.23	419.245
78 	1999.17	3517.75	4639.74	408.891
79 	1999.17	3508.3 	4639.74	409.398
80 	1776.17	3499.3 	4579.72	409.063
81 	1776.17	3484.57	4580.91	395.735
82 	1776.17	3478.45	4580.91	394.797
83 	1776.17	3467.83	4413.52	400.549
84 	1776.17	3458.11	4421.43	407.43 
85 	1776.17	3445.04	4414.75	402.507
86 	1776.17	3436.99	4369.27	391.698
87 	1773.19	3430.94	4375.79	394.338
88 	1773.19	3424.07	4411.83	393.436
89 	1773.19	3413.02	4438   	383.166
90 	1773.19	3407.72	4224.47	376.846
91 	1773.19	3398.36	4225.83	377.325
92 	1773.19	3393.16	4332.64	362.309
93 	1773.19	3387.55	4291.57	361.821
