/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg    	max    	std  
0  	22.5261	295.154	1519.13	196.9
1  	22.5261	287.949	1519.13	185.921
2  	15.1926	283.503	1219.22	184.319
3  	15.1926	285.5  	1480.69	184.265
4  	15.1926	277.6  	1039.8 	176.162
5  	13.2293	270.908	1166.16	178.601
6  	-1.12115	264.107	1148.61	170.146
7  	-1.12115	258.143	957.958	163.846
8  	-1.12115	254.962	918.476	162.415
9  	-1.12115	255.169	947.228	169.277
10 	-1.12115	251.607	974.95 	169.476
11 	-1.12115	255.235	1025.98	169.759
12 	-1.4548 	251.783	1151.05	170.508
13 	-1.4548 	245.661	1142.11	160.964
14 	-1.4548 	237.09 	914.2  	144.938
15 	-7.94462	227.326	799.378	139.222
16 	-7.94462	223.291	825.127	138.149
17 	-7.94462	222.824	825.466	135.257
18 	-7.94462	219.51 	915.372	134.271
19 	-7.94462	222.262	874.519	143.888
20 	-7.94462	218.903	875.33 	146.67 
21 	-7.94462	218.808	1247.83	152.028
22 	-7.94462	210.656	943.583	138.923
23 	-7.94462	204.426	930.125	132.42 
24 	-7.94462	202.683	888.004	130.25 
25 	-10.3154	198.151	754.232	121.938
26 	-10.3154	200.018	821.173	128.343
27 	-10.3154	196.767	823.315	126.678
28 	-10.3154	192.471	723.276	119.516
29 	-13.6248	189.968	681.246	122.827
30 	-13.6248	183.787	728.791	121.68 
31 	-13.6248	184.946	873.065	124.934
32 	-13.6248	184.81 	786.16 	123.131
33 	-13.6248	185.622	647.732	122.902
34 	-13.6248	186.815	882.567	136.514
35 	-13.6248	180.445	876.736	128.766
36 	-13.6248	174.673	869.137	124.172
37 	-16.4416	169.005	730.533	119.461
38 	-16.4416	166.38 	641.317	112.266
39 	-16.4416	165.645	672.711	114.887
40 	-16.4416	163.801	741.402	111.38 
41 	-23.5761	163.709	741.402	113.966
42 	-23.5761	162.868	804.424	115.292
43 	-23.5761	160.283	603.151	107.619
44 	-23.5761	156.714	517.774	100.947
45 	-23.5761	154.195	574.118	101.884
46 	-23.5761	151.087	704.114	99.1815
47 	-23.5761	147.346	623.25 	98.9477
48 	-23.5761	143.554	491.536	94.5399
49 	-23.5761	143.624	499.077	97.3406
50 	-23.5761	143.983	614.063	99.7847
51 	-23.5761	141.954	575.015	94.5488
52 	-23.5761	140.339	577.746	94.2729
53 	-23.7031	137.613	500.436	91.798 
54 	-23.7031	136.909	496.113	93.5797
55 	-24.6772	137.698	638.382	95.3951
56 	-24.6772	135.21 	567.712	91.8922
57 	-24.6772	132.588	509.276	90.222 
58 	-24.6772	132.177	537.53 	93.0857
59 	-24.6772	130.527	500.906	91.3203
60 	-24.6772	129.33 	492.53 	88.7797
61 	-24.6772	126.661	557.453	84.9524
62 	-24.6772	126.005	498.893	81.1679
63 	-24.6772	124.092	415.267	78.9883
64 	-24.6772	121.271	390.623	76.4109
65 	-24.6772	118.548	486.449	76.587 
66 	-26.4932	115.794	396.646	75.6546
