/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min   	avg    	max    	std   
0  	113.06	153.525	207.093	15.853
1  	110.421	152.385	210.262	15.8901
2  	110.421	152.365	188.566	14.8213
3  	109.36 	152.359	196.397	15.183 
4  	109.36 	152.683	195.124	15.8897
5  	109.36 	152.126	199.543	15.4722
6  	109.36 	151.352	196.892	15.4539
7  	109.36 	152.806	206.311	15.5666
8  	109.36 	151.45 	203.041	15.7864
9  	108.749	150.787	194.817	15.8069
10 	108.749	150.904	200.445	15.2885
11 	108.749	152.088	200.445	14.8811
12 	108.749	151.83 	191.505	14.3962
13 	108.749	152.377	197.054	15.0437
14 	108.749	152.891	210.172	15.296 
15 	108.749	153.302	207.246	16.0495
16 	108.299	153.382	217.455	15.9004
17 	108.299	152.046	203.978	15.5379
18 	108.299	151.369	200.503	15.2128
19 	108.299	152.099	191.57 	15.4865
20 	108.299	152.089	206.841	16.0027
21 	108.299	151.579	200.417	15.5374
22 	108.299	151.71 	200.875	16.3301
23 	108.299	151.845	209.207	15.7339
24 	108.299	153.075	209.207	15.9985
25 	103.378	153.167	205.462	16.3663
26 	103.378	152.371	204.989	15.371 
27 	103.378	152.768	203.723	15.1867
28 	103.378	151.99 	202.318	15.6119
29 	103.378	152.012	204.216	16.1583
30 	103.378	152.244	191.144	14.9799
31 	103.378	150.838	197.412	15.1331
32 	103.378	151.401	193.95 	15.897 
33 	103.378	151.901	218.279	14.8394
34 	103.378	152.357	194.096	15.7327
35 	103.378	152.061	199.831	14.9499
36 	100.391	151.634	202.304	15.4034
37 	100.391	151.284	200.761	15.6613
38 	100.391	152.235	201.26 	15.533 
39 	100.391	151.685	199.182	15.2369
40 	100.391	151.311	209.287	15.0951
41 	100.391	150.664	193.028	15.5018
42 	100.391	152.014	197.745	15.1858
43 	100.391	151.492	210.835	15.8396
44 	100.391	152.933	196.654	15.7678
45 	100.391	152.592	209.491	16.688 
46 	100.391	150.844	196.141	16.0199
47 	100.391	151.27 	206.237	15.9803
48 	100.391	150.504	201.354	15.6686
49 	100.391	151.42 	201.611	14.9279
50 	100.391	153.124	199.783	15.7293
51 	100.391	153.333	197.442	16.0374
52 	100.391	151.21 	202.176	15.0375
53 	100.391	152.374	202.28 	15.5618
54 	100.391	152.276	210.793	15.638 
55 	100.391	151.812	206.372	16.2987
56 	100.391	152.39 	210.937	16.032 
57 	100.391	152.136	199.097	15.4975
58 	100.391	151.514	191.972	15.2774
59 	100.391	151.626	208.58 	14.8522
60 	100.391	152.675	211.76 	14.861 
