/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min  	avg    	max    	std    
0  	112.7	152.147	202.327	15.3888
1  	112.7	151.577	197.232	15.1289
2  	112.7	151.204	202.44 	15.3326
3  	112.7	150.954	201.55 	15.1635
4  	112.7	151.461	208.566	15.8762
5  	112.7	151.623	195.112	15.6835
6  	111.132	151.711	197.9  	15.7338
7  	111.132	151.188	197.9  	14.7119
8  	109.852	152.074	195.753	15.5946
9  	109.852	151.924	207.265	15.5163
10 	109.852	151.775	193.919	14.4499
11 	102.823	150.405	197.579	16.0757
12 	102.823	151.856	191.378	15.784 
13 	102.823	153.437	208.003	16.0224
14 	102.823	152.164	212.217	16.0908
15 	102.823	152.417	195.642	14.4988
16 	102.823	154.274	195.201	15.2142
17 	102.823	153.3  	194.383	15.5868
18 	102.823	152.05 	197.044	15.2618
19 	102.823	152.232	193.148	15.0041
20 	102.823	151.821	193.461	14.6111
21 	102.823	152.7  	207.437	16.1324
22 	102.823	152.479	204.967	15.6049
23 	102.823	152.083	202.77 	15.0689
24 	102.823	151.992	197.91 	15.7985
25 	102.823	153.421	201.622	15.2309
26 	102.823	151.743	201.906	14.8931
27 	102.823	152.619	201.839	15.6873
28 	102.823	151.007	196.966	14.7527
29 	102.823	152.263	202.755	15.9775
30 	102.823	151.689	196.619	15.4718
31 	102.823	152.105	197.897	15.4801
32 	102.823	154.269	204.48 	15.5154
33 	102.823	151.95 	200.521	14.7505
34 	102.823	151.996	200.416	15.3257
35 	102.823	151.762	193.404	15.4884
36 	102.823	151.476	198.131	15.8228
37 	102.823	151.236	200.254	15.3748
38 	102.823	151.388	193.554	14.968 
39 	102.823	151.997	195.946	15.0872
40 	102.823	151.96 	195.856	15.6198
41 	102.823	151.207	228.122	16.4319
42 	102.823	151.241	196.667	15.9693
43 	102.823	152.371	203.396	15.5833
44 	102.823	152.911	203.665	15.6028
45 	102.823	152.721	205.056	15.9526
46 	102.823	153.032	210.354	15.6353
47 	102.823	151.425	209.542	15.2589
48 	102.823	152.511	204.001	15.6191
49 	102.823	152.378	207.046	16.4209
50 	102.823	150.321	198.515	15.1836
51 	100.848	150.83 	194.679	14.9236
52 	100.848	151.586	200.242	15.549 
53 	100.848	151.997	204.558	16.2619
54 	100.848	152.11 	204.558	15.8807
55 	100.848	151.625	205.123	15.8821
56 	100.848	152.801	213.425	15.5038
57 	100.848	152.894	194.136	15.1634
58 	100.848	152.822	209.026	15.6999
59 	100.848	152.635	204.108	15.4783
60 	100.848	151.834	199.538	15.5002
61 	100.848	152.367	205.584	16.0221
62 	100.848	151.919	204.372	15.564 
63 	100.848	152.392	206.691	15.1409
64 	100.848	152.231	215.869	15.593 
65 	100.848	152.619	207.573	17.0316
66 	100.848	151.876	203.497	16.0945
67 	100.848	152.649	196.743	15.0476
68 	100.848	151.605	205.828	15.4691
69 	100.848	152.405	204.247	15.6209
70 	100.848	152.214	197.308	15.5889
71 	100.848	152.498	205.563	16.4305
72 	100.848	152.529	199.504	15.3162
73 	100.848	152.203	196.837	15.7009
74 	100.848	150.738	203.859	15.6695
75 	100.848	151.839	193.413	14.8567
76 	100.848	152.178	196.382	14.7618
77 	100.848	151.467	195.689	16.3537
78 	100.848	151.11 	199.97 	15.4459
