/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min     	avg   	max    	std   
0  	-1.72798	38.019	346.017	41.429
1  	-1.72798	37.312	267.239	38.0677
2  	-2.0186 	38.0002	285.373	38.558 
3  	-2.9179 	37.3008	253.416	37.5726
4  	-2.9179 	35.2276	217.504	32.3972
5  	-2.9179 	32.9479	208.412	31.1058
6  	-2.9179 	32.3454	196.736	31.1456
7  	-4.79555	31.8948	181.044	29.1386
8  	-4.79555	32.3419	247.984	30.8566
9  	-4.79555	31.5475	185.321	29.009 
10 	-7.57737	31.238 	195.385	28.2515
11 	-7.57737	30.274 	198.937	26.9945
12 	-7.57737	29.6806	205.447	27.2868
13 	-7.57737	29.7288	278.452	28.6355
14 	-7.57737	29.3922	315.679	30.2837
15 	-7.57737	28.4876	171.716	28.0142
16 	-7.57737	27.7508	157.889	27.1221
17 	-7.57737	27.4917	172.298	26.9553
18 	-7.57737	26.9975	191.774	26.2718
19 	-7.57737	27.2536	182.847	27.8603
20 	-7.57737	26.4185	236.04 	27.5285
21 	-7.57737	26.3853	183.891	26.0372
22 	-7.57737	25.0923	233.227	26.1329
23 	-7.57737	25.2864	175.171	24.9744
24 	-8.3712 	23.8553	137.068	21.9972
25 	-8.3712 	23.3174	130.439	21.7462
26 	-8.3712 	23.9335	151.052	23.1502
27 	-8.3712 	24.118 	159.624	24.6045
28 	-8.3712 	23.419 	149.408	23.6702
29 	-8.3712 	22.6243	156.572	22.7644
30 	-8.3712 	22.0918	125.959	21.6452
31 	-8.3712 	21.6875	117.546	20.8167
32 	-8.3712 	22.002 	141.811	22.2156
33 	-8.3712 	21.0521	154.258	20.2503
34 	-8.3712 	21.382 	176.308	22.79  
35 	-8.3712 	20.8954	152.395	21.6106
36 	-8.3712 	20.3054	153.153	20.2546
37 	-8.3712 	19.3183	140.47 	19.289 
38 	-8.3712 	19.65  	125.71 	19.1027
39 	-8.3712 	19.6412	131.164	19.2942
40 	-8.3712 	19.831 	126.866	19.9851
41 	-8.3712 	19.8881	138.578	20.5569
42 	-8.3712 	20.1955	133.912	20.8484
43 	-8.3712 	18.7523	117.031	18.896 
44 	-8.3712 	18.4802	139.546	19.5755
45 	-8.3712 	18.3788	139.546	19.9501
46 	-8.3712 	17.8328	130.839	18.2659
47 	-8.3712 	16.8915	159.706	17.6436
48 	-8.3712 	16.8031	135.579	17.8078
49 	-8.3712 	16.6391	129.258	18.1249
50 	-8.3712 	15.6527	83.8662	15.5963
51 	-8.3712 	15.7385	117.677	16.6612
52 	-8.3712 	15.6543	148.372	18.0877
53 	-8.3712 	15.3576	131.759	17.453 
54 	-8.3712 	15.0168	100.978	16.3289
55 	-8.3712 	14.7374	117.906	16.1269
56 	-8.3712 	14.1446	128.577	15.8098
57 	-8.3712 	13.619 	97.0733	14.5411
58 	-8.3712 	13.4111	112.372	15.7821
59 	-8.3712 	13.117 	105.514	14.9336
60 	-8.3712 	13.1357	93.491 	14.728 
61 	-8.3712 	13.0344	107.26 	15.0594
62 	-8.81199	12.9064	122.613	15.4898
63 	-8.81199	12.5251	118.291	14.9084
64 	-8.81199	12.1771	79.0671	13.5657
