/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min     	avg    	max    	std    
0  	-4.19944	38.7733	242.494	33.9518
1  	-4.19944	36.9996	213.544	32.303 
2  	-4.19944	36.5804	238.629	33.4564
3  	-4.19944	36.3718	211.52 	32.0385
4  	-4.19944	35.8571	216.262	32.5314
5  	-4.19944	37.5599	289.29 	37.7064
6  	-4.19944	35.4555	212.591	32.4209
7  	-4.19944	35.9558	201.405	32.4886
8  	-4.19944	35.3612	217.056	31.7758
9  	-4.6478 	35.1608	209.523	32.3451
10 	-4.6478 	32.7593	163.159	28.0342
11 	-4.6478 	33.343 	193.259	30.5199
12 	-4.6478 	31.335 	190.236	27.8346
13 	-4.6478 	31.7565	184.334	27.2957
14 	-4.6478 	31.4032	150.556	26.2234
15 	-4.6478 	31.1754	300.557	28.2015
16 	-4.6478 	31.2681	209.331	27.0246
17 	-4.6478 	29.9784	162.483	25.9566
18 	-4.6478 	29.9844	166.435	27.3643
19 	-4.6478 	30.3683	218.519	30.3514
20 	-4.66734	29.9798	277.299	30.9902
21 	-4.66734	30.2588	286.974	30.4631
22 	-4.68308	29.1552	202.432	27.366 
23 	-4.68308	29.5266	219.315	31.7904
24 	-4.68308	29.2905	314.287	32.1603
25 	-4.95504	28.6064	247.363	30.884 
26 	-6.34159	28.0538	229.065	30.0264
27 	-6.34159	25.8438	171.187	26.3759
28 	-6.34159	25.509 	169.538	25.1858
29 	-6.34159	25.0157	159.774	24.8371
30 	-6.34159	23.6098	124.399	21.7901
31 	-6.34159	24.1768	146.701	22.741 
32 	-6.34159	23.674 	121.949	21.9352
33 	-6.34159	22.9936	141.958	22.4877
34 	-6.34159	22.5603	140.533	22.712 
35 	-6.34159	22.6942	177.369	22.9241
36 	-6.34159	22.62  	147.763	21.9334
37 	-6.34159	21.3696	117.449	19.8516
38 	-7.7046 	22.0594	104.855	20.548 
39 	-7.7046 	20.1623	111.934	19.0013
40 	-7.7046 	20.1323	116.3  	19.335 
41 	-7.7046 	20.4065	131.927	19.7861
42 	-8.76962	19.0217	111.892	18.2577
43 	-10.46  	18.4966	109.849	17.7569
44 	-10.46  	18.0415	115.036	17.7809
45 	-10.46  	17.5472	123.687	17.8928
46 	-10.46  	17.1452	97.1558	16.8255
47 	-10.46  	17.2215	121.65 	18.063 
48 	-10.46  	17.0255	131.79 	18.5785
49 	-10.46  	16.5892	131.79 	18.5319
50 	-10.46  	16.6517	120.136	17.8795
51 	-10.46  	15.7739	147.764	17.2182
52 	-10.46  	15.4917	99.2297	15.7987
53 	-10.46  	15.0509	98.6627	15.2397
54 	-10.46  	14.9066	92.6789	14.5778
55 	-10.46  	15.02  	97.8439	15.7543
56 	-10.46  	14.5028	95.2711	14.9958
57 	-10.46  	14.1056	80.2746	14.526 
58 	-10.46  	14.177 	118.818	15.6803
59 	-10.46  	14.6553	140.666	16.6178
60 	-10.46  	14.5689	98.9582	15.9612
61 	-10.46  	13.838 	92.6509	14.9036
62 	-10.46  	13.1424	84.3221	13.6049
63 	-10.46  	12.804 	81.9882	13.2318
64 	-10.46  	12.7716	78.6264	13.5496
65 	-10.46  	12.2865	102.256	14.2594
66 	-10.46  	11.7492	71.2839	12.6469
67 	-10.46  	11.9813	92.8454	13.7166
68 	-10.46  	11.7933	82.1945	12.9649
69 	-10.46  	11.5283	77.0358	12.8451
70 	-10.46  	11.4918	106.955	13.4554
71 	-10.46  	11.6915	91.4287	13.3079
72 	-10.46  	11.211 	70.6501	12.3568
73 	-10.46  	10.9379	78.0187	12.7374
74 	-10.46  	9.9037 	92.7539	11.5007
75 	-10.46  	9.72865	63.5043	10.9788
76 	-10.46  	9.95204	50.2627	10.5999
77 	-10.46  	9.98514	53.5096	10.827 
78 	-10.46  	9.74923	57.6203	10.7074
79 	-10.46  	9.24524	74.1948	10.9987
80 	-10.46  	9.10476	65.5411	10.765 
81 	-10.46  	9.13578	65.7421	11.1011
82 	-10.46  	9.02789	63.6846	10.5902
83 	-10.46  	8.66227	67.8906	10.1038
84 	-10.46  	8.10713	48.3253	9.38586
85 	-10.46  	7.66898	46.6798	8.84193
86 	-10.46  	7.37816	51.4162	9.00869
87 	-10.46  	7.36418	43.02  	8.61689
88 	-10.46  	7.44009	45.0616	8.77507
89 	-10.46  	7.45343	57.6693	9.23659
90 	-10.46  	7.57089	53.0953	9.71791
91 	-10.46  	7.34198	53.4143	9.89716
92 	-10.46  	7.33526	52.5679	9.55602
93 	-10.46  	7.13861	48.1714	9.16041
94 	-10.46  	6.80357	52.9395	8.80536
95 	-10.46  	6.53109	48.2308	8.38416
96 	-10.46  	6.66838	51.2372	8.80863
97 	-10.46  	6.38215	49.3726	8.70209
98 	-10.46  	6.56788	42.7812	8.75519
99 	-10.46  	6.52689	46.6654	8.48715
100	-10.46  	6.40155	47.0451	8.28097
101	-10.46  	6.08524	42.8104	8.26456
102	-10.46  	6.06763	46.3832	8.03043
103	-10.46  	5.76975	35.1636	7.5825 
104	-10.46  	5.59556	45.514 	7.73132
105	-10.46  	5.39977	46.3826	7.56637
106	-10.46  	5.31569	42.1284	7.63826
107	-10.46  	5.36125	43.9913	8.07064
108	-10.46  	5.02998	50.0361	7.58632
109	-10.46  	4.99804	45.0926	7.63187
110	-10.46  	4.9103 	37.6771	7.53927
111	-10.46  	5.05643	44.3164	8.21397
112	-10.46  	4.96031	43.2159	7.93207
113	-10.46  	4.68652	43.9098	7.74491
114	-10.46  	4.77257	43.9098	7.69945
115	-10.46  	4.70162	47.895 	7.72145
116	-10.46  	4.8082 	36.2604	7.96282
117	-10.46  	4.57247	39.4003	7.50092
118	-10.46  	4.40697	39.4003	7.45757
119	-10.6458	4.34531	46.0264	7.80336
120	-10.6458	3.95357	40.6708	7.3758 
121	-10.6458	3.53361	33.5419	6.8034 
122	-10.6458	3.67452	37.0567	6.83733
123	-10.6458	3.29742	31.1042	6.35924
124	-10.6458	3.05534	34.8583	6.3631 
125	-10.6458	3.16604	33.4528	6.31678
126	-10.6458	3.33149	35.0487	6.55903
127	-11.2416	3.40596	36.921 	6.80609
128	-11.2416	3.31702	44.0887	6.65797
129	-11.2416	3.18089	44.2691	6.30995
130	-11.2416	2.86385	31.3684	5.97307
131	-11.2416	2.72117	26.3624	5.82432
132	-11.2416	2.76513	28.8806	6.03431
133	-11.2416	2.90519	26.0936	6.11452
134	-11.2416	2.86613	26.403 	5.94269
135	-11.2416	2.77738	33.0075	5.94068
136	-11.2416	2.60812	34.9612	6.02155
137	-11.2416	2.44063	25.9744	5.80324
138	-11.2416	2.31104	32.7998	6.15005
139	-11.2416	2.442  	28.9398	5.90143
140	-11.2416	2.41243	29.79  	5.84892
141	-11.2416	2.49671	30.3077	5.83571
142	-11.2416	2.37208	29.1044	5.82555
143	-11.2416	1.92203	20.8365	5.42973
144	-11.2416	1.72497	24.0987	5.13835
145	-11.2416	1.55079	20.3988	4.9652 
146	-11.2416	1.61774	20.0045	4.73106
147	-11.2416	1.59301	19.1278	4.79819
148	-11.2416	1.5596 	26.8986	5.06246
149	-11.2416	1.44257	23.6815	5.07262
150	-11.2416	1.40352	26.3224	5.15371
151	-11.2416	1.36009	26.3224	5.15665
152	-11.2416	1.24033	22.649 	5.16595
153	-11.2416	1.21938	22.0196	4.91255
154	-11.2416	1.0838 	25.2846	5.10044
155	-11.2416	1.05485	21.0363	4.65083
156	-11.2416	1.0908 	19.4226	4.62163
157	-11.2416	0.966398	18.7425	4.7013 
158	-11.2416	0.987903	18.7425	4.64911
159	-11.2416	0.81379 	20.9211	4.50512
160	-11.2416	0.952925	17.9297	4.54622
161	-11.2416	0.691957	20.1864	4.58489
162	-11.2416	0.78443 	19.4262	4.58793
163	-11.2416	0.821723	22.1986	4.78229
164	-11.2416	0.683163	21.8997	4.58339
165	-11.2416	0.851676	18.3477	4.52167
166	-11.2416	0.608257	15.4103	4.54159
167	-11.2416	0.585854	18.5888	4.6243 
168	-11.2416	0.435498	16.2314	4.31263
