/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min   	avg    	max    	std    
0  	36.538	213.033	1080.29	146.777
1  	36.538	215.032	1296.16	167.482
2  	36.538	211.709	1191.88	161.601
3  	31.9911	208.563	1392.32	160.589
4  	31.9911	200.207	992.141	140.025
5  	29.5032	192.834	864.505	124.579
6  	29.5032	193.545	893.794	127.042
7  	29.5032	189.323	885.114	131.268
8  	29.5032	185.591	689.168	118.212
9  	29.5032	194.161	1032.08	139.793
10 	29.5032	185.388	1173.13	126.086
11 	29.5032	185.353	787.644	122.98 
12 	29.5032	182.379	822.815	120.464
13 	29.5032	183.809	740.971	119.11 
14 	27.8236	181.151	876.753	121.937
15 	27.5093	181.959	916.796	126.179
16 	27.5093	178.047	1041.48	129.673
17 	27.5093	175.901	958.246	126.471
18 	27.5093	176.489	1135.04	132.717
19 	26.8656	171.535	941.235	128.74 
20 	26.8656	165.882	901.764	117.045
21 	26.8656	164.205	903.947	115.958
22 	26.8656	165.527	701.381	114.577
23 	26.8656	160.993	916.05 	115.332
24 	26.8656	157.022	703.125	105.174
25 	26.8656	158.894	703.461	107.254
26 	21.5364	158.856	787.167	108.714
27 	21.5364	155.255	714.684	103.658
28 	21.5364	147.836	636.264	93.5695
29 	21.5364	148.34 	636.264	91.0233
30 	17.0138	152.969	799.527	100.631
31 	17.0138	149.76 	769.388	98.2278
32 	17.0138	143.799	628.022	86.9123
33 	17.0138	142.819	573.902	89.9073
34 	17.0138	144.509	617.922	92.2858
35 	17.0138	142.605	621.887	91.8437
36 	17.0138	140.579	682.623	86.6843
37 	17.0138	140.293	528.173	82.6157
38 	17.0138	138.433	612.472	87.5483
39 	17.0138	137.238	648.437	88.0507
40 	17.0138	138.875	532.828	88.4129
41 	17.0138	137.249	574.711	93.6786
42 	17.0138	135.716	623.896	91.8549
43 	17.0138	133.767	546.345	88.669 
44 	17.0138	131.949	696.037	90.3661
45 	17.0138	127.354	472.442	79.2009
46 	17.0138	126.573	459.117	77.6184
47 	17.0138	125.084	530.49 	75.201 
48 	17.0138	127.351	931.447	88.7323
49 	17.0138	121.455	754.097	77.7746
50 	17.0138	120.249	613.297	74.8015
51 	17.0138	117.024	434.152	66.6545
52 	17.0138	117.337	456.978	66.7034
53 	17.0138	115.399	466.777	65.9795
54 	17.0138	112.219	629.035	66.4775
55 	17.0138	110.004	413.766	61.6591
56 	17.0138	113.084	477.01 	64.2478
57 	17.0138	111.134	448.142	62.277 
58 	17.0138	110.232	431.596	59.2541
59 	17.0138	106.343	379.132	54.3785
60 	17.0138	105.838	456.161	57.7953
61 	17.0138	103.391	402.391	57.5473
62 	17.0138	102.8  	390.522	58.2705
63 	17.0138	101.189	416.872	55.8543
64 	17.0138	99.9622	505.427	55.9233
65 	17.0138	97.6955	424.249	51.5922
66 	17.0138	96.5139	330.749	48.5118
67 	17.0138	96.5471	355.905	52.3969
68 	17.0138	95.3702	472.755	50.5634
69 	17.0138	96.1584	571.39 	53.5082
70 	17.0138	94.8244	312.799	50.1236
71 	17.0138	93.9517	356.676	46.9412
72 	17.0138	93.3332	349.234	47.8943
73 	17.0138	91.7186	333.221	45.6456
74 	17.0138	94.295 	333.764	51.5837
75 	17.0138	95.3953	340.23 	52.6037
76 	17.0138	94.4977	340.23 	48.2923
77 	17.0138	94.7266	319.57 	49.6244
78 	17.0138	93.832 	327.017	48.0003
79 	17.0138	92.7797	306.634	49.3085
80 	17.0138	92.6729	313.297	49.0534
81 	17.0138	91.2983	301.09 	47.4299
82 	17.0138	88.0123	301.09 	45.3819
83 	17.0138	86.6534	357.226	44.9428
84 	17.0138	88.0969	367.686	47.3859
85 	17.0138	87.0951	314.221	46.3384
86 	17.0138	86.1992	338.87 	44.7096
87 	13.3193	86.9105	370.603	47.2194
88 	13.3193	85.3328	353.73 	43.3892
89 	13.3193	84.9458	318.199	41.9358
90 	13.3193	85.1141	305.26 	45.0983
91 	13.3193	84.1752	416.457	48.4937
92 	13.3193	82.7499	352.875	44.762 
93 	13.3193	82.4204	437.589	44.7519
94 	13.3193	80.6577	312.322	40.4   
95 	13.3193	80.2886	251.701	37.7379
96 	13.3193	79.8083	245.252	36.8752
97 	13.3193	77.9068	248.423	36.9899
98 	13.3193	78.1036	273.749	36.7286
99 	13.3193	76.7337	264.683	35.1115
100	13.3193	76.6901	226.831	33.7911
101	13.3193	76.9733	254.053	33.2381
102	13.3193	76.8836	235.658	35.3297
103	13.3193	75.7695	238.351	34.001 
104	13.3193	75.317 	277.828	35.6814
105	13.3193	75.7532	248.924	35.563 
106	13.3193	75.6859	221.007	35.2319
107	13.3193	74.3103	265.901	34.7242
108	13.3193	73.0186	206.853	32.5975
109	13.3193	73.3102	238.5  	33.3788
110	13.3193	73.122 	215.249	32.3865
111	13.3193	73.1089	244.064	33.3073
112	13.3193	73.115 	226.842	34.2354
113	13.3193	71.4596	201.891	31.3462
114	11.6521	71.1944	218.446	31.935 
115	11.6521	70.8439	218.446	31.6245
116	11.6521	70.8268	260.218	34.2308
117	11.6521	69.2825	232.265	32.1293
118	11.6521	68.983 	198.593	30.1377
119	11.6521	69.4202	234.583	31.4222
120	11.6521	69.5738	231.356	31.0325
121	11.6521	68.7549	229.121	29.8804
122	11.6521	68.2503	179.942	27.3459
123	11.6521	67.609 	237.072	28.1416
124	11.6521	67.6811	214.464	28.6618
125	11.6521	66.5836	192.14 	27.2137
126	11.6521	67.1124	212.483	28.7726
127	11.6521	66.6453	202.687	26.9975
128	11.6521	67.1937	197.637	27.9347
129	11.6521	65.7047	194.281	27.3875
130	11.6521	65.1227	170.395	26.6774
131	11.6521	64.2419	194.377	27.0009
132	11.6521	63.7674	163.093	25.2361
133	11.6521	63.3277	182.638	25.6836
134	11.6521	63.5492	179.669	25.5853
135	11.6521	63.0822	212.161	24.9727
136	11.6521	62.7319	175.885	25.5566
137	11.6521	62.5298	172.361	25.3087
138	11.6521	62.0133	163.051	25.5491
139	11.6521	62.2552	169.93 	25.3605
140	11.6521	61.2655	177.707	24.1331
141	11.6521	60.6985	158.105	24.2093
142	11.6521	60.1902	163.592	22.5702
143	11.6521	59.8113	166.224	22.9925
144	11.6521	60.2811	155.166	22.956 
145	11.6521	60.1491	165.617	23.4672
146	11.6521	59.3374	161.097	23.2176
147	11.6521	59.3396	169.168	23.0704
148	11.6521	59.1622	162.575	23.4289
149	11.6521	59.7453	136.569	22.112 
150	11.6521	59.459 	175.944	22.9245
151	11.6521	59.7684	171.169	23.4554
152	11.6521	58.2942	175.036	21.9901
153	11.6521	58.0996	173.682	21.4084
154	11.6521	58.6031	167.712	21.4477
155	11.6521	57.6336	174.368	21.5063
156	11.6521	56.7855	142.639	20.0638
157	11.6521	56.4996	121.134	19.2852
158	11.6521	56.4093	133.971	19.6394
159	11.6521	56.5826	133.222	18.8974
160	11.6521	56.89  	143.135	19.1225
161	11.6521	56.4753	118.421	19.2508
162	11.6521	56.1657	125.23 	19.3381
163	11.6521	56.712 	148.908	19.5203
164	11.6521	56.0125	146.631	19.797 
165	11.6521	55.8583	128.573	19.5592
166	11.6521	55.6229	165.349	19.8536
167	11.6521	55.3779	142.003	19.189 
168	11.6521	54.6964	159.026	19.0269
169	11.6521	54.6384	128.449	19.1964
170	11.6521	54.8117	140.615	19.4559
171	11.6521	54.7511	130.059	18.8862
