/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg     	max    	std    
0  	-81.418	-40.3991	27.8872	19.8858
1  	-81.418	-41.556 	25.3009	19.3159
2  	-81.8757	-43.4123	26.6685	19.1461
3  	-82.644 	-44.215 	25.7257	18.3385
4  	-82.644 	-44.9565	25.7257	18.3316
5  	-82.644 	-46.3568	20.7139	17.8475
6  	-82.644 	-47.0172	25.4919	17.774 
7  	-86.0639	-48.4398	20.8268	16.9109
8  	-86.0639	-49.1   	10.4475	16.6291
9  	-86.0639	-50.1761	-2.68168	16.3371
10 	-86.0698	-50.712 	11.6516 	17.3053
11 	-89.0993	-52.1933	15.7288 	17.126 
12 	-89.0993	-53.091 	9.2019  	16.9112
13 	-89.0993	-53.874 	1.64122 	16.2027
14 	-89.0993	-54.7682	5.2556  	15.8461
15 	-89.0993	-55.0061	0.369306	15.9256
16 	-89.0993	-55.732 	5.35848 	15.9382
17 	-89.2079	-56.7896	-2.37409	14.8365
18 	-89.2079	-57.4936	-2.37409	14.3829
19 	-90.7166	-58.3574	1.67304 	13.9042
20 	-90.7166	-59.2851	-7.94906	13.8097
21 	-90.7166	-60.0794	-11.8791	14.0412
22 	-90.7166	-60.7334	-7.88241	13.612 
23 	-90.7166	-61.5395	-6.11605	13.4971
24 	-90.7166	-62.3311	8.81454 	13.6755
25 	-90.8125	-62.8615	-14.8168	13.743 
26 	-90.8125	-63.4318	-9.69435	13.4279
27 	-90.8125	-64.3826	-17.9847	12.7875
28 	-90.8125	-64.6647	8.00582 	13.4965
29 	-90.8125	-65.2942	-9.61217	13.0645
30 	-90.8125	-66.1664	6.22688 	12.8232
31 	-90.8125	-66.6279	-16.1033	12.2845
32 	-90.8125	-67.0104	-17.6593	12.2625
33 	-90.8125	-67.1141	-13.0291	12.1598
34 	-90.8125	-67.6252	-22.6707	12.2064
35 	-90.8125	-68.0084	-23.7388	11.5052
36 	-90.8125	-68.431 	-23.906 	11.7339
37 	-90.8125	-68.7873	-26.497 	11.7948
38 	-90.8125	-69.5512	-12.5576	11.1342
39 	-90.8125	-69.7687	-34.6171	11.1201
40 	-90.8125	-70.7259	-33.5602	10.4368
41 	-91.0603	-71.3958	-33.7092	10.2759
42 	-91.0603	-71.4315	-25.4478	10.4673
43 	-91.0603	-71.9451	-34.521 	10.0064
44 	-91.1968	-72.1749	-34.9843	10.2182
45 	-91.1968	-72.6354	-38.2378	9.86713
46 	-91.1968	-72.7356	-37.4185	10.2629
47 	-93.1273	-73.5916	-36.0944	9.87342
48 	-93.1273	-74.0199	-34.4549	9.85504
49 	-93.1273	-74.178 	-26.2096	10.1084
50 	-93.1273	-74.5252	-28.5651	10.233 
51 	-93.1273	-74.67  	-31.5956	9.63881
52 	-93.1273	-75.2377	-34.3932	9.16092
53 	-93.1273	-75.8745	-45.9001	8.64154
54 	-93.1273	-76.0957	-45.1656	8.69177
55 	-93.1273	-76.3442	-34.4184	8.76288
56 	-93.1273	-76.5238	-38.6451	8.80713
57 	-93.1273	-77.0512	-42.3071	8.41361
58 	-93.1273	-77.3396	-51.3865	7.9115 
59 	-93.1273	-77.8017	-36.2556	8.04333
60 	-93.1273	-78.0703	-38.2212	8.35175
61 	-93.1273	-78.5168	-40.0462	8.06575
62 	-93.1273	-78.871 	-45.5703	7.81869
63 	-93.1753	-78.8546	-46.1536	7.77402
64 	-93.1753	-79.1643	-41.4435	7.86319
65 	-93.1753	-79.5475	-48.2609	7.52547
66 	-93.1753	-79.9027	-50.2434	7.2867 
67 	-93.1753	-80.398 	-51.1948	6.88587
68 	-93.1753	-80.7052	-49.4527	6.48276
69 	-93.1753	-80.8581	-50.8542	6.32698
70 	-93.1753	-80.9724	-54.7418	6.32232
71 	-93.1753	-81.2049	-56.5343	6.3822 
72 	-93.1753	-81.5331	-54.4811	6.29548
73 	-93.1753	-81.7936	-60.2327	5.91914
74 	-93.1753	-82.2703	-62.7132	5.42421
75 	-93.1753	-82.2583	-56.8687	5.67121
76 	-93.9443	-82.4279	-62.5975	5.84021
77 	-93.972 	-82.5906	-56.3885	5.63549
78 	-93.972 	-82.8658	-59.3603	5.61045
79 	-93.972 	-83.082 	-62.9935	5.55454
80 	-93.972 	-83.079 	-63.3334	5.58978
81 	-93.972 	-83.3893	-59.4197	5.34651
82 	-93.972 	-83.8673	-63.1108	5.02177
83 	-93.972 	-83.7784	-66.4981	5.00358
84 	-93.972 	-84.0259	-65.2339	4.94658
85 	-93.972 	-84.1437	-61.926 	4.99501
86 	-93.972 	-84.2593	-64.3288	5.12205
87 	-93.972 	-84.3997	-68.4624	4.75324
88 	-93.972 	-84.6093	-65.7223	4.737  
89 	-93.9959	-85.0148	-70.7145	4.33261
90 	-93.9959	-85.1226	-70.7145	4.40625
91 	-94.444 	-85.3927	-70.8443	4.3209 
92 	-94.444 	-85.5137	-69.4675	4.31963
93 	-94.5401	-85.5966	-67.1674	4.52647
94 	-94.5401	-85.722 	-67.2428	4.27662
95 	-94.7562	-85.9221	-70.1447	4.17801
96 	-94.7562	-85.877 	-65.7158	4.39806
97 	-94.7562	-86.0716	-67.0249	4.33614
98 	-94.7562	-86.2595	-65.0487	4.121  
99 	-94.7562	-86.321 	-70.6219	3.95726
100	-94.7562	-86.4533	-68.0248	4.00775
101	-94.7562	-86.7147	-67.9523	4.01727
102	-94.7562	-86.7049	-69.6357	4.05349
103	-94.7562	-86.7397	-67.0358	3.95325
104	-94.7562	-86.8566	-67.6586	4.04337
105	-94.7562	-86.9224	-72.1979	3.82627
106	-94.7562	-87.0046	-71.9497	4.04248
107	-94.7562	-87.1194	-71.9941	3.82545
108	-94.7562	-87.1768	-72.5498	3.7714 
109	-94.7562	-87.3575	-71.927 	3.61662
110	-94.7562	-87.4447	-71.0339	3.65728
111	-94.7562	-87.7035	-73.4101	3.4278 
112	-94.7562	-87.6764	-70.9965	3.63373
113	-94.7562	-87.7128	-71.4892	3.60177
114	-94.7562	-87.8196	-69.8281	3.54415
115	-94.7562	-87.8552	-69.2569	3.4672 
116	-94.7562	-88.0457	-72.9716	3.20557
117	-94.7562	-88.0907	-75.8775	3.11879
118	-94.7562	-88.1555	-77.0925	3.00308
119	-94.7562	-88.2632	-76.9178	3.06109
120	-94.7562	-88.2561	-76.4158	3.07331
121	-94.7562	-88.3377	-75.5029	3.04322
122	-94.7562	-88.4089	-76.1272	2.97637
123	-94.7562	-88.6092	-76.1272	2.95389
124	-94.7562	-88.696 	-78.4125	2.83499
125	-95.9842	-88.8339	-79.3605	2.67693
126	-95.9842	-88.847 	-79.671 	2.53991
127	-95.9842	-88.9437	-78.3546	2.61634
128	-95.9842	-88.9502	-81.5745	2.40913
129	-95.9842	-89.077 	-78.2956	2.43322
130	-95.9842	-89.2248	-80.3177	2.31444
131	-95.9842	-89.1833	-81.8722	2.27953
132	-96.0363	-89.3356	-81.8722	2.23531
133	-96.0363	-89.411 	-80.9544	2.23548
134	-96.0363	-89.3915	-78.9447	2.25913
135	-96.0363	-89.4685	-80.9827	2.34022
136	-96.0363	-89.4557	-82.0735	2.31864
137	-96.0363	-89.7148	-80.9754	2.3538 
138	-96.0363	-89.6125	-81.7303	2.18198
139	-96.0363	-89.5966	-78.1034	2.3317 
140	-96.0363	-89.7366	-79.7692	2.40103
141	-96.0363	-89.7673	-80.5616	2.44313
142	-96.0363	-89.8033	-81.3221	2.21121
143	-96.0363	-89.8379	-81.959 	2.20747
144	-96.0363	-89.8813	-80.5526	2.23927
145	-96.0363	-89.9219	-81.5767	2.25533
146	-96.0363	-89.9669	-80.0129	2.33694
147	-96.0363	-89.9823	-80.4573	2.31407
148	-96.0363	-90.1534	-80.4573	2.22631
149	-96.0363	-90.1512	-80.8788	2.25301
150	-96.0363	-90.2354	-82.4731	2.17622
151	-96.0363	-90.263 	-81.1013	2.1272 
152	-96.5066	-90.2612	-83.6439	2.0315 
153	-96.5066	-90.3905	-81.8327	2.04757
154	-96.5066	-90.4759	-83.2945	1.9689 
155	-96.5066	-90.4549	-83.4395	2.0241 
156	-96.5066	-90.4669	-82.7224	1.97262
157	-96.5066	-90.5258	-82.7224	1.96153
158	-96.5066	-90.5611	-82.4506	1.85373
159	-96.5066	-90.5076	-83.2381	1.9199 
160	-96.5066	-90.5692	-83.8103	1.90566
161	-96.5066	-90.7034	-83.7354	1.85692
162	-96.5066	-90.7209	-84.3234	1.80599
163	-96.5066	-90.7116	-82.2635	1.67834
164	-96.5066	-90.7259	-82.9211	1.81315
165	-96.5066	-90.7839	-84.8677	1.75601
166	-96.5066	-90.7942	-84.8677	1.77022
167	-96.5066	-90.7983	-85.0863	1.75541
168	-96.5066	-90.7993	-83.7119	1.84736
169	-96.5066	-90.8439	-83.2925	1.88515
170	-96.5066	-90.904 	-83.9737	1.84674
171	-96.5066	-90.992 	-82.7436	1.84962
172	-96.5066	-90.9228	-84.1131	1.794  
173	-96.5066	-90.9718	-83.8648	1.60267
174	-96.5066	-91.0128	-83.1635	1.71149
175	-96.5066	-91.0244	-85.5951	1.59165
176	-96.5066	-91.1613	-86.0962	1.59671
177	-96.8397	-91.1132	-87.0037	1.53023
178	-96.8397	-91.1611	-86.0105	1.66797
179	-96.8397	-91.1557	-85.9474	1.57519
180	-96.8397	-91.181 	-85.4045	1.57681
181	-96.8397	-91.1386	-85.4045	1.55396
182	-96.8397	-91.2657	-85.9315	1.61411
183	-96.8397	-91.1497	-85.4518	1.65959
184	-96.8397	-91.2937	-85.117 	1.59335
185	-96.8397	-91.3423	-84.3927	1.60333
186	-96.8397	-91.3759	-85.371 	1.59349
187	-96.8397	-91.3192	-85.6788	1.54432
188	-96.8397	-91.4075	-86.0507	1.53435
189	-96.8397	-91.4391	-85.2989	1.49615
190	-96.8397	-91.4818	-86.0512	1.52404
191	-96.8397	-91.4634	-86.0725	1.46367
192	-96.8397	-91.5789	-86.1057	1.45678
193	-96.8397	-91.519 	-85.3699	1.44288
194	-96.8397	-91.4481	-86.2045	1.44106
195	-96.8397	-91.4861	-84.7977	1.51721
196	-96.8397	-91.5434	-85.6963	1.4734 
197	-96.8397	-91.6406	-87.5635	1.42451
198	-96.8397	-91.6056	-84.7663	1.47   
199	-96.8397	-91.4845	-85.6988	1.50954
Result of algorithm run: SUCCESS, 0, 0, -96.839670, 0
