/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min     	avg     	max    	std    
0  	-83.1191	-38.3576	57.9912	21.6163
1  	-84.4599	-39.2928	58.0365	19.7103
2  	-84.4599	-40.2097	35.2226	19.329 
3  	-84.4599	-41.2911	26.9489	19.0154
4  	-84.4599	-42.7367	32.5095	18.7536
5  	-84.4599	-44.8703	51.7317	18.2856
6  	-86.2073	-46.6751	21.4981	18.4036
7  	-86.2073	-47.5092	29.8206	18.0426
8  	-86.2073	-48.2372	16.4648	18.1297
9  	-86.2073	-48.352 	15.6536	18.6241
10 	-88.2366	-49.3059	10.7214	18.0629
11 	-88.2366	-50.1471	13.9863	17.9156
12 	-88.2366	-51.3698	13.9863	17.7626
13 	-89.9644	-52.797 	7.36084	16.8629
14 	-89.9644	-54.1224	9.53835	16.2586
15 	-89.9644	-54.8754	9.53835	16.0122
16 	-89.9644	-55.2007	9.36155	15.6702
17 	-89.9644	-56.5223	1.05677	14.2485
18 	-89.9644	-57.0949	-1.11213	14.5812
19 	-89.9644	-57.3123	-7.41872	14.9188
20 	-89.9644	-57.7741	6.106   	14.8732
21 	-90.4563	-58.0837	0.485757	14.9145
22 	-90.4563	-59.1742	2.33075 	14.3141
23 	-90.4563	-59.6774	-2.52609	14.545 
24 	-90.4563	-60.2891	-15.3697	13.7397
25 	-90.4563	-61.2556	-6.9026 	13.6443
26 	-90.4563	-61.6999	-11.4569	13.527 
27 	-90.4563	-62.1688	-18.7519	13.3048
28 	-92.9157	-62.3545	0.181897	13.9093
29 	-92.9157	-63.1189	-6.77788	13.4098
30 	-92.9157	-63.616 	-7.64791	13.1399
31 	-92.9157	-64.6887	-19.9844	12.7032
32 	-92.9157	-65.5126	-17.1699	12.6076
33 	-92.9157	-66.1535	-14.6636	12.4843
34 	-92.9157	-66.5249	-14.756 	12.0113
35 	-92.9157	-67.1067	-16.0419	11.4483
36 	-92.9157	-67.801 	-23.273 	11.3543
37 	-92.9157	-68.4626	-25.4838	11.0772
38 	-92.9157	-69.0762	-29.9756	11.1551
39 	-92.9157	-69.3748	-24.3436	11.3709
40 	-92.9157	-69.7673	-18.6925	11.3476
41 	-92.9157	-70.2874	-18.2248	11.0929
42 	-92.9157	-70.8399	-23.7316	10.9632
43 	-92.9157	-71.4315	-37.9576	10.17  
44 	-92.9157	-72.0634	-41.6587	9.71733
45 	-92.9157	-72.4937	-38.2988	9.53232
46 	-92.9157	-73.0137	-34.4278	9.50967
47 	-92.9157	-73.5548	-39.9475	9.22196
48 	-92.9157	-73.9748	-44.4778	9.09211
49 	-92.9157	-74.1177	-39.3935	9.29869
50 	-92.9157	-74.695 	-38.254 	9.28089
51 	-92.9157	-75.0796	-38.8157	9.38953
52 	-92.9157	-75.2575	-41.6407	9.18426
53 	-92.9157	-75.4355	-38.8892	8.94514
54 	-92.9157	-75.6822	-42.1503	8.56706
55 	-92.9157	-76.1601	-45.5147	8.40324
