/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min     	avg     	max   	std    
0  	-76.9422	-39.6537	53.278	20.1032
1  	-79.6095	-41.3079	42.0995	19.3593
2  	-79.6095	-42.8544	25.655 	19.0182
3  	-85.0201	-43.4909	20.4726	19.1337
4  	-85.0201	-43.87  	20.3106	19.3532
5  	-85.0201	-44.6409	16.2698	19.2779
6  	-85.0201	-45.72  	21.4367	18.7462
7  	-85.0201	-46.6706	11.5422	18.3417
8  	-85.0201	-47.3992	19.6526	18.4873
9  	-85.2232	-48.9397	15.6077	17.4395
10 	-85.6448	-50.238 	11.1258	16.7391
11 	-85.6448	-51.1269	16.7497	16.2412
12 	-85.6448	-51.7812	13.4438	16.0765
13 	-88.2614	-52.2918	18.3241	16.912 
14 	-88.2614	-52.9673	15.322 	16.7074
15 	-88.2614	-53.7803	10.9997	15.6572
16 	-88.2614	-54.7431	-5.80322	15.1339
17 	-88.2614	-55.7748	-2.37766	14.317 
18 	-88.2614	-56.3396	-1.88265	14.4978
19 	-88.2614	-56.9167	7.26922 	14.0388
20 	-88.2614	-57.8599	-10.4928	13.7046
21 	-88.2614	-58.4799	-15.2314	14.0471
22 	-88.2614	-58.8586	3.76732 	14.6902
23 	-88.2614	-59.3211	-1.42797	14.569 
24 	-88.3321	-60.1701	6.32507 	14.6283
25 	-88.3321	-60.9605	0.147482	13.9687
26 	-89.3242	-60.9428	-4.26215	13.9521
27 	-89.3242	-61.8458	-10.7244	12.8188
28 	-89.5287	-62.8866	-8.312  	12.9761
29 	-89.5287	-63.7453	-15.8078	12.8081
30 	-89.5287	-64.3083	-17.906 	12.4503
31 	-89.5287	-65.0509	-19.9922	12.3705
32 	-89.5287	-65.8571	-19.9922	12.5654
33 	-90.0564	-66.4082	-21.486 	12.0607
34 	-90.0564	-66.7348	-22.8393	12.0843
35 	-90.0564	-67.0246	-2.25335	12.1946
36 	-90.4721	-67.5092	-20.0041	12.3336
37 	-90.4721	-68.0201	-14.8145	12.7482
38 	-90.4721	-68.4777	-14.613 	11.8787
39 	-90.5113	-69.016 	-31.7638	11.3402
40 	-90.5113	-69.7226	-29.8119	11.329 
41 	-90.5113	-70.3789	-25.5374	11.3157
42 	-90.5113	-70.7478	-28.4487	10.8652
43 	-90.5113	-71.2366	-26.5538	10.6562
44 	-90.5113	-71.6456	-20.8388	10.7022
45 	-90.5113	-72.1165	-27.3409	10.0609
46 	-92.0318	-72.6013	-35.3361	9.74656
47 	-92.0318	-72.7281	-31.0543	10.1352
48 	-92.0318	-73.4395	-36.791 	9.76724
49 	-92.0318	-73.5868	-37.8056	9.58079
50 	-92.0318	-74.1185	-37.4134	9.23372
51 	-92.0318	-74.6026	-32.8095	8.8403 
52 	-92.0318	-74.5113	-35.4145	9.10618
53 	-92.0318	-75.0212	-39.2211	8.99482
54 	-92.0318	-75.4459	-43.1945	8.72196
55 	-92.0318	-75.9916	-35.0797	8.63859
56 	-92.0318	-76.4654	-38.2811	8.1679 
57 	-92.0318	-76.7801	-49.1651	8.13268
58 	-92.0318	-77.1517	-41.7019	8.30165
59 	-92.0318	-77.5575	-41.7952	8.20484
60 	-93.2308	-77.5922	-39.5166	8.31843
61 	-93.2308	-77.5866	-37.0537	8.715  
62 	-93.2308	-78.0603	-22.5377	8.47363
63 	-93.2308	-78.4049	-41.2384	7.9351 
64 	-93.2308	-78.825 	-47.9851	7.63998
65 	-93.2308	-79.1701	-47.073 	7.458  
66 	-93.2308	-79.1665	-50.9261	7.17759
