/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min     	avg     	max    	std   
0  	-78.6237	-40.7802	42.1205	18.741
1  	-79.5186	-42.4423	28.5563	18.4532
2  	-80.7003	-43.211 	50.2243	18.2942
3  	-80.7003	-44.0873	12.5239	17.2264
4  	-81.053 	-45.7761	22.7595	17.3463
5  	-81.053 	-46.1843	24.7571	17.7456
6  	-81.5708	-46.8086	19.2188	17.9727
7  	-81.5708	-47.5439	25.5052	17.494 
8  	-81.5708	-48.3681	24.3866	17.7554
9  	-84.12  	-49.6131	19.7024	17.6356
10 	-84.12  	-50.3669	20.1291	16.5889
11 	-84.12  	-51.0613	13.9172	17.6686
12 	-86.7392	-51.7465	14.6982	17.5509
13 	-86.7392	-52.38  	22.5178	17.6677
14 	-86.7392	-53.2798	21.1351	17.5067
15 	-86.9653	-54.0856	14.3789	17.0468
16 	-86.9653	-55.5967	4.5646 	16.1519
17 	-86.9653	-56.3788	0.207204	15.307 
18 	-86.9653	-56.6001	32.024  	16.2054
19 	-86.9653	-57.1953	12.1316 	16.0314
20 	-87.3209	-57.8503	1.00084 	15.6727
21 	-87.3209	-58.6003	4.34401 	15.0419
22 	-87.3209	-59.5329	6.66297 	15.3781
23 	-87.3209	-60.2284	9.57461 	14.3728
24 	-87.3209	-60.6882	7.58179 	14.5098
25 	-87.7109	-61.5951	-2.58762	13.8755
26 	-87.7109	-61.84  	-10.3363	13.9784
27 	-87.7109	-63.1227	-13.1233	12.7036
28 	-87.7109	-63.7217	-19.8043	12.4199
29 	-87.7109	-64.4976	-24.3628	12.2766
30 	-87.7109	-64.9273	-23.4995	12.219 
31 	-87.7109	-65.691 	-25.7622	11.8098
32 	-87.7109	-66.4339	-24.6493	11.9089
33 	-87.7109	-66.709 	-15.7173	11.3993
34 	-89.3374	-66.7107	-10.5192	11.7862
35 	-89.3374	-67.6796	-26.3472	11.0253
36 	-89.3374	-67.9245	-15.4215	11.2517
37 	-89.56  	-67.9421	-20.2317	11.7543
38 	-89.56  	-68.2045	-14.1541	12.1611
39 	-91.1595	-69.093 	-16.8022	11.2695
40 	-91.1595	-69.6768	-31.1076	11.1488
41 	-91.1595	-70.1814	-31.1076	11.1136
42 	-91.1595	-70.7882	-26.9716	10.7653
43 	-91.1595	-71.2514	-13.5299	10.9501
44 	-91.1595	-72.1754	-26.1299	10.3738
45 	-91.3709	-72.692 	-35.1506	9.92042
46 	-92.2665	-72.8614	-35.1506	9.76749
47 	-92.2665	-73.1301	-40.5849	9.51661
48 	-92.2665	-73.3243	-33.9755	9.44199
49 	-92.2665	-73.7984	-31.5942	9.64475
50 	-92.2665	-74.2223	-34.2017	9.28911
51 	-92.3839	-74.7689	-38.7313	9.06899
52 	-92.7224	-75.1716	-38.0225	8.97592
53 	-92.7224	-75.352 	-38.082 	9.32751
54 	-92.7224	-75.9239	-33.6492	8.91462
55 	-92.7224	-76.373 	-38.0975	8.65059
56 	-92.9633	-76.5508	-39.7465	8.84301
57 	-92.9633	-76.8594	-38.3965	8.72048
58 	-94.4055	-77.0452	-39.6249	8.68314
59 	-94.4055	-77.4736	-39.6249	8.24066
60 	-94.4055	-77.7914	-51.6868	7.63146
61 	-94.4055	-77.9617	-42.0385	8.12098
62 	-94.4055	-78.2828	-21.2172	8.14575
63 	-94.4055	-78.3802	-37.0877	7.75699
64 	-94.4055	-78.8332	-45.9622	7.27226
65 	-94.4055	-79.0915	-45.9622	7.19195
66 	-94.4055	-79.4075	-50.7265	7.3008 
67 	-94.4055	-79.8373	-54.9599	6.71679
68 	-94.4055	-80.3273	-57.9394	6.61475
69 	-94.4055	-80.6219	-57.9394	6.59306
70 	-94.4055	-80.8054	-58.1515	6.52575
71 	-94.4055	-80.9017	-50.5879	6.79131
72 	-94.4055	-80.9993	-54.7277	6.68171
73 	-94.4055	-81.3165	-59.0948	6.54699
74 	-94.4055	-81.6645	-59.6053	6.17691
75 	-94.6053	-81.8627	-52.9174	6.30801
76 	-94.6053	-82.1398	-55.832 	6.03152
77 	-94.6053	-82.4227	-57.0625	6.00371
78 	-94.6053	-82.6872	-55.3533	5.98841
79 	-94.6053	-82.8011	-55.3533	6.0676 
80 	-94.6053	-82.7433	-52.3605	5.99896
81 	-94.6053	-83.13  	-61.1569	5.85461
82 	-94.6053	-83.2204	-65.9826	5.33526
83 	-94.6053	-83.668 	-65.082 	5.16094
84 	-94.6053	-83.789 	-66.1011	5.31213
85 	-94.6053	-84.1192	-65.1213	4.87043
86 	-94.6053	-84.3514	-66.7172	4.70633
87 	-94.6053	-84.4871	-65.5634	4.52168
88 	-94.6053	-84.5248	-65.2016	4.62948
89 	-94.6053	-84.6892	-64.0998	4.65975
90 	-94.6053	-84.8463	-64.7908	4.5004 
91 	-94.6053	-85.1285	-67.4835	4.328  
92 	-94.6053	-85.3497	-66.1346	4.45364
93 	-94.6053	-85.4731	-67.2063	4.43466
94 	-94.6053	-85.3728	-68.8028	4.41724
95 	-94.6053	-85.5969	-69.6846	4.26065
96 	-94.6053	-85.8195	-69.4529	4.15233
97 	-94.6053	-86.0333	-71.0888	3.98007
98 	-94.6053	-86.2262	-71.4385	4.13721
99 	-94.6053	-86.3622	-70.0992	3.89289
100	-94.6053	-86.3582	-72.2724	3.74939
101	-94.8138	-86.3125	-69.4032	4.1069 
102	-94.8138	-86.6165	-68.5547	3.82659
103	-94.8138	-86.7117	-68.672 	3.65706
104	-94.8138	-86.8522	-69.1127	3.62245
105	-94.8138	-86.9643	-69.7035	3.43958
106	-94.8138	-87.0865	-71.7325	3.6551 
107	-94.8138	-87.0456	-68.4224	3.58065
108	-94.8138	-87.2247	-66.9798	3.58835
109	-94.8138	-87.3078	-73.7477	3.37674
110	-94.8138	-87.3824	-72.6165	3.43755
111	-94.8138	-87.4453	-72.9737	3.50604
112	-94.8138	-87.56  	-75.3745	3.31736
113	-94.8138	-87.663 	-74.9005	3.38981
114	-94.8138	-87.8289	-73.2849	3.25405
115	-94.8138	-87.8906	-74.4101	3.21788
116	-94.8138	-87.8841	-75.4083	3.21469
117	-94.8138	-88.0453	-75.4617	3.23363
118	-94.8138	-88.1888	-75.3741	3.12501
119	-94.8138	-88.1808	-77.1322	3.15174
120	-94.8138	-88.3437	-77.7759	2.92975
121	-94.8138	-88.429 	-75.2678	2.9331 
122	-94.8138	-88.5936	-74.1095	2.93045
123	-94.8138	-88.5701	-76.8892	2.98091
124	-94.8138	-88.6612	-76.2614	2.92888
125	-94.8138	-88.737 	-74.9293	2.90858
126	-94.8267	-88.7812	-77.7504	2.85355
127	-94.8267	-88.848 	-76.7375	2.81249
128	-94.8267	-88.893 	-78.6402	2.75367
129	-94.8267	-88.9786	-78.0686	2.644  
130	-95.5942	-89.2032	-78.967 	2.48183
131	-95.5942	-89.1313	-76.8961	2.67363
132	-95.5942	-89.2056	-77.0878	2.61421
133	-95.5942	-89.271 	-77.4554	2.5669 
134	-95.5942	-89.4257	-80.5406	2.47272
135	-95.5942	-89.3927	-77.9439	2.45279
136	-95.5942	-89.5403	-80.8194	2.31372
137	-95.5942	-89.4576	-76.8776	2.34428
138	-95.6985	-89.5449	-80.8482	2.23612
139	-95.6985	-89.6055	-81.7055	2.28588
140	-95.6985	-89.7333	-82.1726	2.16417
141	-95.6985	-89.8377	-82.1471	2.13245
142	-95.6985	-89.9328	-83.2369	2.16469
143	-95.6985	-89.8551	-83.1056	2.11773
144	-95.6985	-89.9577	-82.6717	2.13239
145	-95.6985	-89.9664	-81.1871	2.09471
146	-95.6985	-90.0405	-81.2923	2.08953
147	-95.6985	-90.1708	-83.2825	2.07419
148	-95.6985	-90.2007	-82.5366	1.93248
149	-95.6985	-90.1638	-81.9355	1.99267
150	-95.6985	-90.2571	-82.8824	1.99173
151	-95.6985	-90.2858	-82.6446	1.95431
152	-95.6985	-90.4337	-83.121 	1.88845
153	-95.6985	-90.364 	-82.6504	1.97083
154	-95.9326	-90.4426	-82.8845	1.99908
155	-95.9326	-90.4429	-82.5279	2.0385 
156	-95.9326	-90.5384	-81.112 	1.99925
157	-95.9326	-90.5753	-82.1371	1.90833
158	-95.9326	-90.5125	-84.0514	1.92796
159	-95.9326	-90.6234	-82.6994	1.87895
160	-95.9326	-90.676 	-83.9215	1.73972
161	-95.9326	-90.6321	-84.396 	1.75746
162	-95.9326	-90.6322	-84.0342	1.79568
163	-96.1355	-90.7353	-83.9468	1.88802
164	-96.1355	-90.7066	-84.0342	1.89157
165	-96.1355	-90.727 	-84.3119	1.71357
166	-96.1355	-90.8081	-83.2218	1.77651
167	-96.1355	-90.826 	-83.3439	1.78551
168	-96.1355	-90.9107	-84.5951	1.70339
169	-96.7569	-90.9101	-84.7539	1.70987
170	-96.7569	-90.9487	-83.7272	1.67155
171	-96.7569	-90.8662	-84.6021	1.70401
172	-96.7569	-90.9476	-85.0634	1.64024
173	-96.7569	-90.9146	-85.1045	1.64738
174	-96.7569	-90.9607	-85.1366	1.71186
175	-96.7569	-91.1005	-83.6003	1.69113
176	-96.7569	-91.1664	-85.7545	1.6485 
177	-96.7569	-91.1055	-85.3771	1.62624
178	-96.7569	-91.1185	-85.6789	1.59458
179	-96.7569	-91.0912	-86.0248	1.52349
180	-96.7569	-91.1853	-85.9386	1.58295
181	-96.7569	-91.258 	-84.8538	1.5616 
182	-96.7569	-91.3103	-85.2391	1.55366
183	-96.7569	-91.1903	-85.6946	1.5868 
184	-96.7569	-91.3888	-85.7401	1.5856 
185	-96.7569	-91.2673	-86.3229	1.51216
186	-96.7569	-91.2636	-86.2569	1.47884
187	-96.7569	-91.3458	-86.284 	1.4636 
188	-96.7569	-91.3813	-86.6296	1.47054
189	-96.7569	-91.3444	-85.8467	1.49127
190	-96.7569	-91.3872	-85.8467	1.47211
191	-96.7569	-91.5675	-85.6725	1.44443
192	-96.7569	-91.6056	-86.0504	1.45253
193	-96.7569	-91.5652	-84.8729	1.4862 
194	-96.7569	-91.5372	-86.4641	1.42188
195	-96.7569	-91.5346	-86.3002	1.43517
196	-96.7569	-91.4864	-87.1957	1.4349 
197	-96.7569	-91.5709	-85.5849	1.43536
198	-96.7569	-91.5195	-87.5842	1.37367
199	-96.7569	-91.6007	-87.5842	1.44121
Result of algorithm run: SUCCESS, 0, 0, -96.756898, 0
