gen	min    	avg   	max   	std   
0  	336.241	579.86	829.77	87.551
1  	321.794	575.58	808.769	90.4117
2  	321.794	571.323	813.664	90.021 
3  	305.859	567.261	802.388	90.2997
4  	305.859	562.557	778.029	87.3247
5  	303.945	559.043	782.961	88.0724
6  	303.945	554.481	768.818	85.8008
7  	303.945	549.867	747.774	85.8131
8  	303.945	546.549	739.287	85.1178
9  	303.945	542.593	749.077	85.4936
10 	288.941	539.037	761.715	85.2598
11 	288.941	535.29 	752.483	85.6691
12 	288.941	530.718	736.964	84.5715
13 	288.778	526.547	733.108	82.8867
14 	274.167	522.705	784.272	83.2679
15 	274.167	519.025	743.973	81.0969
16 	274.167	515.274	724.333	82.0886
17 	274.167	511.533	752.603	83.2233
18 	249.874	508.442	752.603	83.4789
19 	247.77 	504.658	729.344	81.628 
20 	247.77 	501.685	723.098	83.1036
21 	242.766	498.872	730.345	81.5364
22 	242.766	495.202	737.1  	81.0293
23 	242.766	490.514	715.962	78.157 
24 	242.766	487.505	697.643	80.0336
25 	232.616	484.35 	692.978	80.3117
26 	232.616	480.768	705.415	81.3658
27 	232.616	478.715	701.061	80.922 
28 	232.616	475.262	675.802	80.0038
29 	232.616	472.105	675.328	77.9681
30 	230.615	468.432	680.174	75.9285
31 	225.688	465.13 	657.423	74.4144
32 	225.688	461.531	685.109	75.1474
33 	225.688	459.153	668.243	76.9776
34 	225.688	455.394	652.885	75.1835
35 	225.688	452.287	672.327	75.7932
36 	225.688	449.864	672.327	74.1553
37 	225.688	446.692	655.638	73.4054
38 	225.688	443.307	624.82 	72.5217
39 	225.393	440.762	632.184	71.963 
40 	224.401	438.043	639.473	73.1225
41 	222.607	435.952	625.937	71.9218
42 	222.607	432.148	630.399	75.1849
43 	222.607	429.819	613.267	75.966 
44 	222.607	427.955	622.392	75.123 
45 	222.607	425.786	602.069	72.8659
46 	222.607	423.818	585.809	70.3284
47 	222.607	420.927	620.867	70.2592
48 	222.607	418.3  	612.198	71.3853
49 	198.089	415.649	633.619	71.3871
50 	195.382	413.444	620.993	70.7854
51 	195.382	410.932	627.439	71.7022
52 	189.492	408.397	623.553	70.4451
53 	189.492	405.349	609.141	69.1512
54 	188.293	403.191	606.177	67.5771
55 	188.293	401.035	581.078	68.8493
56 	188.293	398.68 	573.058	66.8717
57 	182.424	396.58 	566.815	67.8668
58 	182.424	394.395	573.382	68.1023
59 	169.711	391.722	576.123	68.0095
60 	169.711	389.933	577.445	67.4418
61 	169.711	387.683	577.569	67.1746
62 	169.711	385.182	567.524	64.5634
63 	169.711	383.189	557.328	64.8457
64 	169.711	381.218	541.679	62.7271
65 	169.711	379.273	542.127	63.7667
66 	169.711	376.85 	532.043	62.6687
67 	169.711	374.651	532.537	62.7334
68 	166.615	372.739	536.183	63.1735
69 	166.615	370.915	546.329	65.0619
70 	166.615	368.647	574.295	64.1271
71 	166.615	366.486	549.761	63.2389
72 	166.615	364.126	547.956	62.866 
73 	166.615	362.394	517.604	61.4588
74 	166.615	360.408	518.092	62.0941
75 	166.615	358.153	543.812	60.3151
76 	166.615	356.304	534.733	59.6228
77 	166.615	354.204	550.153	60.4783
78 	165.143	352.128	556.408	60.0611
79 	165.143	349.866	529.678	58.311 
80 	165.143	348.564	508.853	57.6566
81 	165.143	347.047	519.031	57.161 
82 	165.143	345.061	550.38 	56.6025
83 	165.143	343.593	522.108	54.7649
84 	165.143	341.908	492.067	54.3711
85 	165.143	340.323	496.371	55.3398
86 	165.143	338.911	493.475	55.3218
87 	165.143	337.144	486.908	55.8924
88 	165.143	335.299	498.105	56.3983
89 	163.918	333.521	485.871	56.9799
90 	163.918	332.141	493.923	57.0827
91 	163.918	330.358	506.727	56.0793
92 	163.918	328.964	503.023	56.3264
93 	163.918	326.966	503.638	54.6588
94 	163.918	325.374	509.112	55.9692
95 	163.918	323.709	507.177	54.5114
96 	163.918	322.311	478.926	54.2725
97 	163.918	320.676	468.185	53.1577
98 	162.676	319.21 	479.04 	53.2469
99 	162.676	317.591	486.873	53.6075
100	160.625	316.381	484.917	52.7338
101	160.625	315.202	459.09 	53.0178
102	153.787	313.627	464.345	51.5419
103	153.787	312.33 	460.077	50.2624
104	153.742	311.027	441.01 	49.4649
105	153.742	309.673	478.075	49.8566
106	152.161	308.491	458.481	49.1983
107	152.161	307.333	458.481	48.8834
108	152.093	306.191	458.481	49.7284
109	152.093	305.127	458.481	48.775 
110	152.093	303.648	437.641	48.5569
111	152.093	302.281	453.086	47.951 
112	152.093	301.289	451.424	46.8205
113	152.093	299.8  	439.306	48.125 
114	152.093	298.868	433.585	46.4564
115	152.093	298.002	433.581	46.0711
116	152.093	296.73 	434.636	44.2689
117	152.093	295.507	417.374	42.9734
118	152.093	294.318	414.455	41.6091
119	152.093	293.169	423.937	42.7583
120	152.093	291.704	419.719	42.2277
121	152.093	290.572	419.497	41.3832
122	152.093	289.246	416.822	40.9521
123	152.093	288.07 	416.822	40.7345
124	151.083	287.191	399.519	40.8895
125	151.083	286.413	397.399	40.2943
126	151.083	285.159	397.375	39.4212
127	151.083	284.124	389.632	39.2458
128	151.083	283.168	384.321	40.0307
129	151.083	282.342	391.286	39.7612
130	151.083	281.349	400.359	40.2475
131	151.083	280.613	385.68 	38.6263
132	151.083	279.638	378.318	37.4567
133	151.083	278.942	379.1  	37.9805
134	151.083	277.792	385.829	38.3888
135	151.083	277.033	389.698	38.1926
136	151.083	275.885	362.172	37.2427
137	151.083	275.242	382.368	36.8317
138	151.083	274.338	387.11 	36.2493
139	151.083	273.417	380.981	36.7997
140	151.083	272.762	382.893	36.9586
141	151.083	272.074	374.425	36.5425
142	151.083	271.32 	380.42 	38.0681
143	151.083	270.616	376.593	37.0566
144	151.083	269.851	369.476	36.3837
145	151.083	269.011	393.939	36.0312
146	151.083	268.061	373.806	35.2278
147	151.083	267.264	374.039	34.7532
148	149.053	266.519	374.635	34.8088
149	146.792	265.945	359.756	35.1206
150	144.809	265.295	378.605	35.0726
151	144.809	264.587	368.294	34.833 
152	144.809	264.089	351.673	35.0604
153	144.809	263.418	354.147	33.8184
154	144.809	262.83 	356.258	33.547 
155	144.809	262.217	362.482	33.6037
156	144.809	261.625	361.112	33.3314
157	144.809	260.55 	348.961	32.5966
158	144.809	259.905	359.656	32.7798
159	144.809	259.137	373.453	33.2026
160	144.809	258.676	353.233	33.1109
161	144.809	258.165	376.728	33.1294
162	144.809	257.293	353.087	32.6774
163	144.809	256.672	353.668	32.7103
164	144.809	256.015	357.981	32.5986
165	144.809	255.204	339.785	31.9262
166	144.809	254.588	339.245	32.1353
167	144.09 	253.886	363.653	31.6598
168	144.09 	253.462	338.904	31.6841
169	144.09 	252.973	339.288	31.7891
170	144.09 	252.308	342.25 	31.8559
171	144.09 	251.584	343.548	31.7847
172	144.09 	250.886	337.067	29.613 
173	144.09 	250.294	337.929	29.4732
174	144.09 	249.774	338.78 	28.9841
175	144.09 	249.281	338.276	29.9364
176	144.09 	248.61 	340.517	28.9038
177	144.09 	248.088	341.714	29.4433
178	144.09 	247.418	340.237	28.8449
179	144.09 	246.945	338.58 	28.6242
180	144.09 	246.535	322.139	28.7429
181	144.09 	246.049	322.054	27.8049
182	144.09 	245.733	328.802	27.9374
183	144.09 	245.356	343.277	28.257 
184	143.526	244.97 	338.385	27.9844
185	141.849	244.288	325.192	27.1708
186	141.849	243.92 	325.055	27.1882
187	141.849	243.202	324.271	27.4846
188	141.849	242.863	336.458	27.8966
189	141.849	242.356	317.477	27.1307
190	141.849	241.973	317.054	28.2815
191	141.849	241.538	317.443	27.874 
192	140.422	240.979	313.777	27.0281
193	139.717	240.516	317.468	26.8012
194	138.223	240.011	315.639	26.4322
195	138.223	239.478	310.487	26.4434
196	138.223	238.927	309.728	25.2501
197	138.223	238.445	308.126	25.0083
198	138.223	238.152	310.181	24.9563
199	138.223	237.763	309.239	23.9815
Result of algorithm run: SUCCESS, 0, 0, 138.223358, 0
