gen	min    	avg    	max    	std   
0  	336.346	577.392	812.455	84.634
1  	317.878	572.617	805.263	87.2642
2  	317.878	569.016	797.959	86.9923
3  	317.878	564.224	799.225	89.483 
4  	302.12 	561.145	797.848	90.3573
5  	301.485	557.502	797.848	90.0589
6  	301.485	553.479	787.377	88.1242
7  	301.485	549.516	806.386	86.8875
8  	301.485	545.559	807.006	85.7931
9  	271.133	541.609	818.729	85.1941
10 	271.133	537.92 	781.54 	86.6128
11 	239.467	533.613	757.082	86.1338
12 	229.785	530.726	763.07 	88.1649
13 	218.034	527.395	767.825	89.2332
14 	218.034	523.329	769.395	89.6481
15 	212.602	519.188	797.517	90.494 
16 	202.486	516.19 	757.603	89.4212
17 	202.486	511.867	744.21 	87.2227
18 	202.486	508.516	723.854	86.3632
19 	202.486	505.035	722.804	83.2712
20 	202.486	501.14 	716.589	82.6332
21 	192.826	497.841	721.478	86.1545
22 	192.826	493.66 	716.629	85.0056
23 	192.826	489.682	727.059	84.6572
24 	192.826	486.705	708.619	83.9002
25 	192.826	482.926	686.841	82.2807
26 	192.826	479.746	684.723	84.7273
27 	192.826	476.169	689.042	85.447 
28 	192.826	472.624	684.155	85.1527
29 	192.826	469.285	672.276	85.4083
30 	192.826	465.744	683.367	85.2516
31 	177.753	462.25 	678.375	85.5733
32 	177.753	458.578	683.44 	84.6841
33 	177.753	455.531	700.679	84.8589
34 	177.753	452.589	704.341	82.3906
35 	177.753	450.68 	683.786	79.3259
36 	177.753	447.934	670.089	76.955 
37 	177.753	444.913	676.583	78.8314
38 	173.123	441.45 	671.343	75.6308
39 	173.123	438.066	657.741	74.8566
40 	173.123	435.849	628.866	74.5399
41 	173.123	433.084	612.173	74.4262
42 	173.123	429.997	634.848	74.6959
43 	170.402	426.836	616.493	73.5591
44 	170.402	424.153	600.773	74.0922
45 	170.402	421.051	610.663	75.1731
46 	170.402	418.139	621.35 	74.4243
47 	169.582	415.459	624.994	73.4277
48 	169.582	412.959	602.092	73.1246
49 	169.582	410.767	590.59 	73.5606
50 	169.582	408.045	583.571	71.4149
51 	169.582	405.644	589.484	71.2764
52 	169.582	403.301	598.594	70.4849
53 	169.582	401.087	567.224	70.3096
54 	165.257	398.545	576.818	68.9544
55 	165.257	396.041	574.872	68.2429
56 	165.257	393.924	602.47 	68.2103
57 	165.257	391.632	628.037	66.8422
58 	165.257	388.711	607.043	66.6103
59 	165.257	386.034	603.104	66.507 
60 	159.707	383.104	591.407	67.1967
61 	159.707	380.864	567.851	64.8758
62 	159.707	378.636	554.884	65.4074
63 	159.707	376.419	544.692	64.9094
64 	159.707	373.872	557.902	64.4469
65 	149.546	371.669	572.585	64.7297
66 	149.546	369.669	563.704	65.8769
67 	149.546	368.135	566.673	65.0152
68 	149.546	365.944	563.45 	65.2504
69 	149.546	363.674	534.007	65.6794
70 	149.546	361.581	565.491	64.1202
71 	149.546	359.096	563.915	65.1786
72 	149.546	357.206	559.376	64.9635
73 	149.546	355.37 	540.535	62.6411
74 	149.546	353.611	526.117	60.5912
75 	149.546	351.78 	513.343	59.3449
76 	149.546	350.014	533.029	58.7736
77 	149.546	347.486	527.297	58.2943
78 	149.546	345.942	497.966	57.098 
79 	149.546	344.212	511.602	57.3725
80 	149.546	341.778	502.05 	57.1861
81 	149.546	340.31 	483.929	56.6231
82 	149.546	338.738	488.184	58.0865
83 	149.546	337.343	488.883	58.7978
84 	149.546	335.708	513.358	58.6835
85 	149.546	334.104	501.867	58.2629
86 	149.546	332.454	477.708	57.3941
87 	149.546	331.098	497.249	58.0161
