gen	min   	avg    	max    	std   
0  	311.39	582.138	833.988	88.739
1  	311.39	577.414	822.203	88.8212
2  	311.39	573.368	822.016	90.2135
3  	311.39	569.034	809.501	89.802 
4  	311.39	563.863	806.131	91.3175
5  	308.924	558.342	785.852	89.9673
6  	308.924	554.091	786.292	90.9469
7  	281.536	549.179	786.292	90.9059
8  	279.178	544.264	801.725	90.1477
9  	279.178	540.073	764.983	88.8821
10 	267.551	536.705	760.222	89.6861
11 	267.551	532.738	776.56 	89.3645
12 	263.736	528.633	806.021	89.7393
13 	259.246	525.142	743.822	91.6046
14 	259.246	521.372	757.438	89.5052
15 	259.246	516.758	765.263	88.8479
16 	259.246	513.556	755.919	88.7722
17 	259.246	510.284	752.051	87.3279
18 	259.246	507.503	726.176	85.7125
19 	259.246	504.566	713.89 	85.7029
20 	238.614	499.998	709.038	85.114 
21 	238.614	497.36 	720.2  	85.0887
22 	222.232	494.193	704.649	84.2396
23 	211.782	490.858	722.249	84.6155
24 	211.482	487.532	729.446	84.5247
25 	210.668	484.988	702.618	84.8261
26 	210.668	482.145	790.155	82.9697
27 	210.668	478.353	709.836	81.6825
28 	210.668	475.032	681.655	80.1496
29 	210.668	472.32 	699.835	79.4346
30 	195.94 	469.449	674.306	76.7296
31 	195.94 	466.198	677.46 	76.6619
32 	195.94 	462.668	667.634	77.7909
33 	195.94 	459.56 	663.47 	77.4828
34 	195.94 	457.121	649.209	78.8291
35 	195.94 	452.912	686.543	77.6005
36 	195.94 	449.794	654.433	76.847 
37 	195.94 	446.572	648.829	75.1216
38 	195.94 	443.212	635.313	75.4751
39 	195.94 	440.504	633.729	74.6504
40 	186.025	437.458	621.412	75.0389
41 	186.025	434.669	625.629	74.8717
42 	186.025	432.118	625.629	73.477 
43 	186.025	429.397	653.396	71.5987
44 	186.025	426.613	604.733	71.7797
45 	186.025	424.288	610.029	73.7467
46 	186.025	421.499	637.186	75.2347
47 	186.025	418.746	646.469	74.3709
48 	186.025	416.222	619.019	71.0653
49 	183.555	413.836	611.712	71.9989
50 	183.555	410.813	597.373	71.8769
51 	183.555	407.709	590.932	70.5648
52 	183.555	404.966	600.232	70.1914
53 	183.555	403.11 	597.994	71.2562
54 	183.555	400.644	590.972	70.6822
55 	183.555	398.674	571.771	68.6091
56 	183.555	396.685	583.726	69.7877
57 	183.555	395.012	572.101	68.241 
58 	183.555	392.673	558.114	67.664 
59 	183.555	390.823	571.674	69.0745
60 	183.555	388.641	539.808	68.1272
61 	183.555	386.245	561.637	67.252 
62 	183.555	383.598	556.593	66.2734
63 	183.555	381.319	534    	65.1676
64 	183.555	379.444	535.872	63.7708
65 	183.555	377.488	538.901	63.2534
66 	183.555	375.564	523.07 	63.093 
67 	183.555	373.964	538.844	64.3657
68 	183.555	371.944	558.432	63.881 
69 	183.555	370.315	558.432	63.9789
70 	183.555	367.924	533.435	63.0686
71 	183.555	365.962	533.435	62.4391
72 	182.821	364.231	533.435	63.5869
73 	182.821	362.756	533.435	61.8466
74 	179.842	361.258	529.235	60.8127
75 	179.842	359.716	521.256	60.2063
76 	179.842	358.228	531.815	61.1752
77 	179.842	355.966	511.809	59.9546
78 	179.842	354.783	498.06 	60.432 
79 	179.842	352.938	520.519	60.1524
80 	179.842	350.816	523.313	59.8526
81 	179.842	349.229	506.002	58.1975
82 	179.842	347.691	492.137	57.6013
83 	179.842	345.789	508.47 	58.8127
84 	179.842	344.407	500.625	57.9104
85 	179.842	342.458	486.372	55.4155
86 	179.842	340.394	511.766	56.7337
87 	179.842	338.495	514.645	55.9264
88 	179.842	337.134	496.185	56.7072
89 	176.305	335.83 	496.185	55.4413
90 	174.654	334.081	470.826	54.2738
91 	169.045	332.449	488.073	53.656 
92 	169.045	330.961	483.97 	53.7978
93 	169.045	329.447	480.373	54.6251
94 	169.045	327.78 	468.15 	51.8479
95 	169.045	326.242	459.346	50.9799
96 	169.045	324.952	457.37 	50.9748
