gen	min    	avg    	max    	std    
0  	353.763	581.385	880.551	89.6729
1  	353.763	578.054	872.613	88.7439
2  	328.275	573.888	829.636	88.1002
3  	322.511	570.311	847.937	87.028 
4  	322.511	566.477	797.516	85.2564
5  	322.511	561.667	807.701	86.2822
6  	290.351	557.87 	790.426	87.6291
7  	290.351	554.676	797.642	89.1319
8  	290.351	550.874	766.684	87.009 
9  	280.085	546.188	771.367	87.6331
10 	277.148	542.459	790.055	89.4483
11 	260.923	538.856	773.692	88.7645
12 	255.985	534.281	748.704	88.8378
13 	216.43 	531.136	754.751	87.3466
14 	216.43 	526.507	751.03 	87.4079
15 	216.43 	523.86 	735.012	89.3957
16 	216.43 	520.803	734.111	89.4965
17 	216.43 	516.575	720.396	88.7256
18 	206.718	512.081	734.733	88.1746
19 	201.86 	508.336	735.871	89.0981
20 	201.86 	504.865	718.149	87.1891
21 	201.86 	500.927	728.708	87.5676
22 	201.86 	497.641	721.757	85.1663
23 	201.86 	493.901	724.723	84.3209
24 	201.86 	490.659	717.81 	85.4957
25 	201.86 	487.656	735.441	83.8451
26 	201.86 	484.08 	738.867	82.6827
27 	201.86 	480.77 	699.488	82.1766
28 	201.86 	477.711	711.794	82.6105
29 	201.86 	474.249	693.166	79.7757
30 	201.86 	470.924	687.998	81.2439
31 	200.148	467.738	675.877	82.387 
32 	200.148	464.001	647.499	78.5692
33 	200.148	460.375	655.705	77.6577
34 	200.148	457.398	656.766	78.5841
35 	200.148	454.685	653.509	78.4936
36 	194.894	451.634	648.63 	79.0387
37 	194.894	449.194	646.248	77.7691
38 	194.894	446.53 	658.051	77.712 
39 	194.894	443.399	683.342	76.9626
40 	188.419	439.798	677.386	76.0324
41 	188.419	436.911	632.39 	75.6589
42 	188.419	434.014	636.565	76.6121
43 	182.684	431.226	625.724	77.8344
44 	182.684	428.1  	616.396	73.9245
45 	182.684	424.635	617.145	70.9386
46 	182.684	421.497	617.265	68.3434
47 	182.684	419.268	603.284	68.8532
48 	182.684	417.042	603.284	71.5506
49 	182.684	414.769	625.071	72.3515
50 	182.684	411.988	623.573	72.7834
51 	182.684	409.638	624.715	71.8071
52 	182.684	407.209	614.691	70.1537
53 	182.684	405.339	602.812	71.4293
54 	182.684	402.764	602.812	71.1455
55 	182.684	400.594	577.938	69.8477
56 	182.684	398.668	565.097	68.8511
57 	182.684	396.603	577.398	67.637 
58 	182.684	394.055	570.078	67.2945
59 	182.684	391.26 	556.042	68.5706
60 	178.711	388.97 	571.751	68.8244
61 	176.591	386.871	567.235	68.2883
62 	165.999	384.83 	544.027	68.6557
63 	165.377	382.776	551.668	68.9448
64 	165.377	380.515	551.912	68.1886
65 	161.377	378.525	545.498	67.4993
66 	161.377	376.669	548.57 	66.9116
67 	161.377	374.323	541.186	67.2925
68 	161.377	372.514	538.92 	65.1193
69 	158.302	370.555	536.93 	63.6416
70 	158.302	368.102	551.932	62.9176
71 	158.302	365.787	542.071	61.6019
72 	158.302	363.85 	527.152	62.3926
73 	158.302	362.063	515.35 	59.7609
74 	158.302	359.969	513.921	58.5597
75 	154.688	358.023	518.972	57.5659
76 	154.688	356.16 	547.157	57.4075
77 	154.688	353.953	510.486	57.2225
78 	154.688	351.777	518.275	57.8512
79 	154.688	349.493	498.61 	57.1989
80 	154.688	347.576	503.625	59.3455
81 	154.688	346.415	504.386	58.1916
82 	154.688	344.668	498.874	56.4912
83 	154.688	343.27 	503.055	57.3259
84 	153.245	341.604	519.379	57.3573
85 	153.245	340.238	510.354	56.1471
86 	153.245	337.985	494.166	56.828 
87 	153.245	336.395	515.786	57.9615
88 	153.245	334.61 	511.165	58.6561
89 	150.52 	333.03 	515.204	59.3847
90 	150.52 	331.54 	487.846	58.4627
91 	150.52 	329.455	491.11 	58.0171
92 	150.52 	328.118	484.001	55.9081
93 	150.52 	326.711	473.304	55.8803
94 	150.52 	325.115	473.304	54.2143
95 	150.52 	323.773	478.809	54.3499
96 	150.52 	321.662	489.456	53.1714
97 	150.52 	319.816	469.475	52.6231
98 	150.52 	317.958	490.383	53.0242
99 	150.52 	316.55 	476.167	51.6822
100	150.52 	314.963	457.939	52.8739
101	150.52 	313.516	459.588	54.1173
102	150.52 	312.271	465.683	52.9987
103	150.52 	310.439	461.265	53.2647
104	150.52 	309.129	457.565	52.7818
105	150.52 	307.813	450.987	53.6015
106	150.52 	306.278	449.638	52.15  
107	150.52 	304.876	439.132	50.5595
108	150.52 	303.927	439.483	49.9833
109	148.976	302.695	440.018	49.0943
110	148.976	301.326	453.916	49.8796
111	148.976	300.106	443.57 	50.2246
112	148.976	299.094	439.663	49.3658
113	148.976	297.615	453.368	48.8722
114	148.976	296.498	439.524	47.6885
115	148.976	295.429	453.435	47.8233
116	148.976	294.316	481.802	47.4562
117	148.976	293.142	435.194	46.8064
118	148.976	291.348	434.41 	45.9566
119	147.004	290.209	425.722	45.5604
120	147.004	289.323	423.478	44.8712
121	147.004	288.121	409.279	43.5512
122	147.004	287.028	429.359	44.4887
123	147.004	286.047	431.505	44.1319
124	140.591	284.729	422.782	43.4008
125	139.108	283.855	408.298	42.5909
126	139.108	282.934	414.694	43.3533
127	139.108	281.741	408.84 	41.4471
128	139.108	280.739	395.507	40.8439
129	139.108	279.871	420.936	41.6517
130	139.108	278.998	413.842	42.672 
131	139.108	278.128	418.128	42.5655
132	139.108	276.765	410.115	42.4555
133	139.108	275.725	408.476	42.09  
134	138.141	274.655	401.51 	41.3708
135	138.141	273.607	400.737	40.7945
136	138.141	272.694	399.297	41.5016
137	138.141	271.703	383.887	40.1789
138	138.141	270.855	376.269	39.5952
139	138.141	269.867	367.812	40.172 
140	138.141	269.044	374.316	39.707 
141	138.141	268.248	388.962	39.2907
142	138.141	267.465	373.438	38.6887
143	138.141	266.624	389.083	38.6565
144	137.122	266.057	379.672	37.0951
145	137.122	265.363	371.029	36.406 
146	137.122	264.773	383.493	35.3531
147	137.122	264.128	353.296	34.7827
148	137.122	263.584	355.522	35.0925
149	137.122	262.856	357.172	35.6   
150	136.974	261.93 	358.589	35.6397
151	135.248	261.256	369.272	36.4695
152	135.248	260.543	350.987	35.9553
153	135.248	259.54 	351.825	35.4715
154	135.248	258.873	361.571	35.6193
155	135.248	257.874	357.809	35.0835
156	135.248	257.08 	347.136	34.0261
157	135.248	256.592	343.52 	33.3115
158	134.395	255.999	356.452	32.506 
159	134.395	255.154	355.046	31.8957
160	134.395	254.563	348.394	30.7674
161	134.395	254.206	332.741	30.0319
162	134.395	253.592	339.566	31.2401
163	133.969	252.832	347.555	31.6239
164	133.784	252.2  	341.204	31.1142
165	129.005	251.495	354.216	30.4622
166	129.005	250.992	339.653	29.9569
167	129.005	250.261	330.419	30.1525
168	129.005	249.806	327.064	31.045 
169	129.005	249.312	326.882	30.9052
170	129.005	248.697	336.219	31.1005
171	129.005	248.244	332.259	31.7603
172	129.005	247.563	338.411	31.2117
173	129.005	247.085	338.853	30.5752
174	129.005	246.535	329.188	30.7446
175	129.005	246.004	328.557	29.6451
176	129.005	245.334	328.557	29.7907
177	129.005	244.879	331.953	29.492 
178	129.005	244.26 	329.55 	29.5981
179	129.005	243.634	323.172	29.7224
180	129.005	243.205	329.029	30.1967
181	129.005	242.679	326.248	30.9454
182	129.005	242.143	347.551	30.4274
183	129.005	241.729	334.851	29.6604
184	129.005	241.235	330.267	28.8707
185	129.005	240.88 	321.256	28.7993
186	127.977	240.212	321.365	27.9892
187	127.977	239.869	317.918	28.3346
188	127.977	239.43 	321.151	28.3604
189	127.977	238.909	325.53 	27.9302
190	127.977	238.314	316.129	26.8332
191	127.977	237.86 	316.135	26.845 
192	125.352	237.454	320.106	27.3668
193	125.352	236.995	319.196	26.6596
194	125.352	236.572	324.085	26.5881
195	125.352	236.11 	312.102	26.5979
196	125.352	235.545	309.597	26.9061
197	125.352	235.067	327.753	26.6811
198	125.352	234.453	308.184	26.5672
199	125.352	233.994	303.245	26.3821
Result of algorithm run: SUCCESS, 0, 0, 125.352182, 0
