gen	min   	avg    	max    	std    
0  	362.69	589.962	858.247	87.2197
1  	339.426	586.442	858.196	88.4178
2  	339.426	582.572	822.608	86.5911
3  	320.371	577.935	841.565	87.4751
4  	320.371	573.203	793.329	88.1756
5  	320.371	568.161	776.847	87.7068
6  	314.85 	564.307	799.149	88.6078
7  	314.597	559.772	789.297	88.9744
8  	309.395	556.329	780.411	91.7099
9  	306.564	552.259	821.382	91.1765
10 	306.564	548.079	787.639	91.0107
11 	306.197	543.903	780.795	91.2772
12 	295.824	539.021	804.544	89.4053
13 	269.005	534.893	778.397	86.5637
14 	248.781	530.104	754.231	84.5415
15 	248.781	526.372	760.265	84.1092
16 	248.781	523.112	750.76 	82.8528
17 	248.781	519.853	744.486	80.4287
18 	248.781	516.58 	734.223	81.3327
19 	248.781	512.062	733.44 	81.8852
20 	248.781	508.642	704.454	83.0107
21 	248.781	504.47 	704.454	84.0667
22 	235.755	501.323	749.155	84.4303
23 	235.755	498.367	735.935	83.8597
24 	235.755	495.448	698.558	80.2807
25 	229.577	492.346	721.773	81.662 
26 	229.577	489.171	718.588	80.1443
27 	229.577	486.303	694.915	80.2294
28 	229.577	483.307	713.675	82.1011
29 	229.577	480.834	692.181	81.5315
30 	229.577	477.225	704.305	82.5874
31 	229.577	474.164	711.117	81.6372
32 	229.577	470.33 	689.351	82.4785
33 	229.577	466.935	684.464	81.1993
34 	229.577	464.051	677.345	81.9226
35 	227.845	461.27 	668.646	80.074 
36 	222.005	457.562	668.646	77.9789
37 	222.005	454.644	668.646	76.7799
38 	222.005	451.091	660.927	74.7639
39 	222.005	447.854	660.927	76.9341
40 	222.005	443.679	659.239	74.8989
41 	222.005	440.562	646.846	73.5007
42 	222.005	438.055	649.805	74.4289
43 	211.068	434.739	652.101	76.4754
44 	211.068	432.784	646.717	75.8258
45 	200.027	429.371	639.669	74.5409
46 	200.027	426.715	638.389	74.3485
47 	200.027	423.928	633.31 	73.3597
48 	200.027	421.331	633.855	73.6938
49 	200.027	418.796	617.541	74.7133
50 	200.027	416.478	614.214	75.8794
51 	200.027	413.987	612.81 	73.1483
52 	200.027	410.859	601.76 	73.0538
53 	200.027	408.853	593.582	71.9305
54 	200.027	406.917	589.188	70.4999
55 	191.799	404.443	593.428	69.1706
56 	191.799	402.542	597.69 	68.9616
57 	191.799	400.404	593.659	67.5622
58 	191.799	397.965	614.012	66.5061
59 	188.721	395.797	565.66 	66.726 
60 	188.721	392.649	563.019	67.0645
61 	188.721	390.098	580.848	65.9462
62 	187.487	388.056	575.173	65.0481
63 	187.487	385.554	565.645	65.2487
64 	187.487	383.458	575.442	65.6936
65 	187.487	381.209	575.442	66.8637
66 	187.328	378.502	575.442	65.5233
67 	187.328	376.362	573.372	65.587 
68 	187.328	374.029	571.064	65.9074
69 	179.272	371.737	531.718	62.7366
70 	166.715	369.843	520.755	62.5288
71 	166.715	367.68 	537.564	61.4197
72 	166.715	365.866	535.87 	61.916 
73 	166.715	363.271	520.553	59.6443
74 	166.715	361.23 	520.131	60.2593
75 	166.715	358.871	507.269	59.72  
76 	166.715	357.461	542.579	59.7413
77 	166.715	355.962	520.88 	58.5649
78 	166.715	354.221	522.548	58.5548
79 	166.715	352.78 	535.294	57.4673
80 	166.715	350.903	526.929	56.2243
81 	166.715	349.267	535.548	58.6072
82 	166.715	347.584	510.924	56.3858
83 	166.715	345.831	503.592	56.7912
84 	166.715	344.127	485.353	55.8196
85 	166.715	342.478	480.817	54.6632
86 	166.715	341.106	521.427	57.0829
87 	166.715	339.649	503.517	56.574 
88 	166.715	337.72 	503.517	55.344 
89 	166.715	335.848	491.146	54.8798
90 	166.715	334.365	505.574	54.5655
91 	166.715	332.593	503.861	54.3581
92 	166.715	330.549	487.003	52.9653
93 	166.715	329.093	488.694	52.8053
94 	166.715	327.736	481.065	53.3016
95 	165.165	326.221	498.295	53.1196
96 	162.28 	324.949	478.29 	53.2669
97 	162.28 	323.791	477.849	52.8736
98 	162.28 	322.509	473.135	52.9687
99 	162.28 	321.057	463.971	51.5846
100	162.28 	319.81 	463.787	50.1766
101	162.28 	318.274	459.185	49.1863
102	162.28 	316.699	460.648	47.9225
103	156.41 	314.806	454.29 	49.7722
104	156.41 	313.62 	458.142	49.221 
105	156.41 	312.503	448.36 	47.0661
106	156.41 	311.248	453.502	47.497 
107	156.41 	309.587	450.439	48.4328
108	156.41 	308.304	460.159	48.0417
109	156.41 	306.919	457.067	47.8994
110	156.41 	305.575	450.518	47.1883
111	150.983	304.426	439.992	48.1136
112	147.398	303.176	442.047	47.2676
113	147.398	301.714	434.947	48.0992
114	147.398	300.398	441.544	48.8127
115	147.398	299.259	446.658	48.6851
116	147.398	298.217	434.207	47.3024
117	147.398	297.009	445.728	46.7632
118	147.398	296.177	439.998	45.7163
119	147.398	295.268	433.075	46.7978
120	144.88 	293.944	426.976	45.6862
121	144.88 	292.745	438.04 	45.7504
122	144.88 	291.436	416.809	44.5844
123	144.88 	290.168	413.106	43.8666
124	144.88 	288.371	412.483	43.5411
125	144.88 	287.309	401.3  	43.8204
126	144.88 	286.247	406.574	42.641 
127	138.199	285.19 	398.594	42.3239
128	138.199	283.931	407.174	42.1905
129	138.199	282.864	403.496	41.7454
130	138.199	282.006	398.214	40.8725
131	138.199	281.183	389.028	39.0008
132	135.97 	280.304	386.497	38.9945
133	135.97 	279.678	379.132	38.6758
134	135.97 	278.444	385.319	39.0913
135	135.97 	277.791	378.724	39.312 
136	135.97 	276.875	387.766	38.179 
137	135.97 	276.226	373.078	37.4595
138	135.97 	275.43 	382.21 	36.9282
139	135.97 	274.71 	378.738	37.6823
140	135.97 	273.856	387.925	38.5312
141	135.97 	273.088	393.507	38.8829
142	135.97 	272.187	391.251	38.7697
143	135.97 	271.559	391.898	37.8709
144	135.97 	270.818	391.251	38.6357
145	135.97 	269.864	390.825	38.0074
146	135.97 	269.072	374.311	38.4641
147	130.893	268.109	383.743	38.689 
148	130.893	267.134	383.743	37.7437
149	130.893	266.343	379.273	36.942 
150	130.777	265.487	372.918	36.4691
151	130.777	264.612	384.511	37.21  
152	130.777	263.912	375.178	36.7763
