/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min   	avg   	max   	std   
0  	108624	395130	948370	140177
1  	95488.8	387891	783085	131516
2  	79864.5	383278	786443	130589
3  	79864.5	377789	767402	127797
4  	77145.2	372908	789627	130547
5  	70543.1	367492	770378	129351
6  	59956.5	363478	756448	129456
7  	59956.5	359202	761683	130787
8  	59949.1	355697	732591	129000
9  	59949.1	350822	725285	129676
10 	52080.3	349374	827963	134668
11 	52080.3	345221	759342	131842
12 	52080.3	339730	729773	127370
13 	52080.3	337598	760150	124795
14 	52080.3	333075	711783	123798
15 	37491.3	329434	672943	122636
16 	37491.3	324701	693948	123056
17 	31961.5	320132	676108	124310
18 	29612.8	314071	670220	120720
19 	27184.8	310009	694335	119129
20 	27184.8	306942	672242	118370
21 	27184.8	302989	646700	119152
22 	27184.8	300706	728882	120843
23 	27184.8	296126	676009	117919
24 	27184.8	292183	647937	115154
25 	27184.8	287942	670127	110849
26 	26784.2	284627	679002	111971
27 	26784.2	280592	642803	111547
28 	16063.9	276363	595520	111112
29 	16063.9	271739	599333	108826
30 	16063.9	268321	595413	106777
31 	16063.9	264379	627822	105841
32 	13461.9	260553	594512	103741
33 	13461.9	257447	581288	105340
34 	13461.9	253623	611030	105587
35 	13461.9	250243	560970	106857
36 	13461.9	249260	554402	105936
37 	12989.8	246699	617159	106935
38 	12989.8	244161	605748	108880
39 	10817  	240189	601859	108284
40 	10817  	236000	578067	104753
41 	10817  	233744	574803	104637
42 	10817  	231059	564451	101792
43 	10817  	228978	578266	103678
44 	10817  	227458	619546	105990
45 	10817  	223331	620301	102296
46 	10817  	220470	570802	100409
47 	10817  	217570	570802	99256.2
48 	10817  	214858	556314	95915.2
49 	10501.5	212771	553474	94463.8
50 	10501.5	211201	549907	97003.8
51 	10501.5	208919	531915	99223  
52 	7719.45	206704	521832	97527.1
53 	7719.45	205261	489377	94686.2
54 	7719.45	203361	484120	94878.9
55 	6814.29	199959	497353	92867.4
56 	6814.29	197684	499188	91766.7
57 	6814.29	195775	531507	92968.8
58 	6814.29	192906	506619	90605.4
59 	6814.29	190448	506619	89082  
60 	6814.29	188175	520524	89169.6
61 	6802.73	186518	482787	90913.3
62 	6802.73	183832	473414	87451  
63 	6802.73	180574	455253	85180.8
64 	6802.73	178624	451088	85396.4
65 	6802.73	176353	429637	81133.9
66 	6802.73	173821	422852	79998.3
67 	6802.73	171888	421351	78305.6
68 	6802.73	169685	475371	78416.1
69 	6802.73	168328	470894	79690.6
70 	6802.73	166065	429198	78299.2
71 	6802.73	164695	429198	76640.9
72 	6802.73	163484	410257	77904.9
73 	6802.73	160294	401988	74183  
74 	6802.73	158387	409448	72390  
75 	6802.73	156648	417852	72092.1
76 	6802.73	155498	437443	73037.3
77 	6802.73	154077	435774	74139.9
78 	6802.73	152317	435607	74633.7
79 	6774.75	150364	413358	74780.7
80 	6774.75	149217	417852	76344.4
81 	6435.7 	147761	417852	76628.5
82 	6099.49	145865	416241	74452.2
83 	6099.49	143513	411916	72878.8
84 	6080.02	140878	443077	69809.5
85 	6080.02	138589	438792	66488.3
86 	6080.02	136268	387843	63828  
87 	6080.02	134727	363175	62817.8
88 	4153.8 	133153	345844	61961  
89 	4135.26	131138	341313	62728.7
90 	4135.26	129840	324733	63163.2
91 	4135.26	128090	324847	61625.2
92 	4135.26	126347	363649	62426.6
93 	4135.26	124908	326333	61086.8
94 	4135.26	122969	326333	60522.2
95 	4135.26	121895	330877	60409.1
96 	4135.26	120944	314576	58765.5
97 	4135.26	119914	309573	59200.4
98 	3929.85	118557	321500	59914.7
99 	3929.85	116986	302600	58033  
100	3929.85	115065	312576	58410.1
101	3929.85	113703	307465	56058.1
102	3929.85	111743	320818	56367.6
103	3704.32	110134	303283	55524.8
104	3610.66	108759	274220	54745.2
105	3610.66	107637	276763	54338.9
106	3610.66	106137	272392	53753  
107	3610.66	104763	305026	54272.2
108	3610.66	103442	282331	52409.6
109	3610.66	102491	250431	50276.8
110	3610.66	101689	256678	49167.1
111	3610.66	100757	249530	49349  
112	3610.66	99446.7	253187	48671.7
113	3610.66	98151.6	251803	47780.2
114	3610.06	96344.3	255890	47132.4
115	3610.06	95171.8	282404	47466  
116	3610.06	93676.2	270940	46135.1
117	3610.06	93301.7	253697	45229.1
118	3610.06	92621.2	256772	44510.2
119	3610.06	90907.9	252557	44938.8
120	3610.06	90169  	261448	44425.3
121	3610.06	89289.6	258323	43962.3
122	3243.68	88369.4	246487	43570.9
123	3229.25	87403.9	220009	42882.5
124	3229.25	86590.5	251277	43736.9
125	3229.25	85920.8	228284	42716.8
126	3229.25	85140.2	225625	43339.3
127	3229.25	84207.1	244657	42945.1
128	3229.16	83505.3	244657	43179.2
129	3229.16	82513.5	252963	43178.6
130	3229.16	81362.7	236721	42277.6
131	3229.16	80440.1	227212	41427.4
132	2553.12	79830.2	211992	40597.8
133	2553.12	78994.1	211992	39478.1
134	2553.12	78427.5	215771	38606.2
135	2553.12	77856.3	205707	38120.5
136	2553.12	76971.6	204039	37648.1
137	2553.12	76031.5	193105	35881.1
138	2553.12	75426.5	186353	34970.9
139	2553.12	74957.4	225742	36618.2
140	2553.12	74084.8	228909	36441.8
141	2553.12	73454.5	186530	35084.2
142	2553.12	73067  	192400	34819.6
143	2553.12	72007.2	191596	34740.6
144	2553.12	71413.5	197378	34591.1
145	2553.12	70611.6	182905	34223.6
146	2553.12	69931.3	189454	34008.7
147	2553.12	69375.1	170814	33130.8
148	2008.78	68775.7	172325	32602.4
149	2005.66	67893.2	177616	31788.7
150	2005.66	67308.6	185286	31582.1
151	2005.66	66603.7	180121	32320  
152	2005.66	66163.2	164623	31684  
153	2005.66	65842.7	164623	31500.8
154	2005.66	65393.9	167801	30585.8
155	2005.66	64766.2	159171	29977.6
156	2005.66	64248.8	155696	29731.7
157	2005.66	63406  	166170	30422.6
158	2005.66	62998.3	166170	30716.2
159	2005.66	62570.6	157717	29563.9
160	2005.66	62163.9	157717	29657.9
161	2005.66	61619.1	158895	29771.8
162	1779.38	61199.5	154815	28752.2
163	1779.38	60974.5	151136	28349.1
164	1779.38	60168.7	149288	27304  
165	1779.38	59614.4	149288	27793.3
166	1779.38	59009.1	145655	27700.7
167	1779.38	58610.9	151405	27235.1
168	1779.38	58363.1	162457	27012.1
169	1779.38	57743.6	154804	26163.5
170	1779.38	57182.9	159457	25933.8
171	1727.73	56716.1	162191	25793.7
172	1727.73	56101.5	155990	25742.9
173	1727.73	55773.7	147567	25654  
174	1727.58	55336.3	149841	24965.4
175	1727.58	54986.4	144215	24242.6
176	1727.58	54615  	138515	23811.6
177	1727.58	54248  	137246	24054.8
178	1727.58	54108.7	139232	24157  
179	1727.58	53733  	136542	22962.9
180	1704.77	53522.4	131591	22347.6
181	1617   	53103.3	128338	21423.9
182	1617   	52483.5	151207	21410  
183	1617   	52252.8	121656	20764.8
184	1617   	51777  	132946	20521.3
185	1617   	51488.3	155231	21161.6
186	1617   	51294.5	139120	20772.3
187	1617   	50976.5	143729	21527.9
188	1617   	50625.1	132001	21092.6
189	1617   	50256.3	127211	20874.4
190	1617   	50226.3	119513	20506.2
191	1617   	49940.1	130542	20306.4
192	1617   	49662.8	123535	20261.9
193	1617   	49383.6	121701	20400.2
194	1617   	49114.5	120005	20287.4
195	1617   	48637.7	123849	20066.3
196	1616.91	48329.9	122129	20306.7
197	1616.91	47935.7	117053	19450.3
198	1616.91	47734  	112737	18875.1
199	1616.91	47461.6	112737	19182  
