/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg   	max   	std   
0  	89368.2	397065	955414	138354
1  	89368.2	391916	850772	135804
2  	87764.4	385663	832025	135947
3  	82357.1	380998	775475	136368
4  	82357.1	375528	752826	137471
5  	74022.6	371130	738354	135069
6  	65995.1	366914	727317	133880
7  	65995.1	364519	752647	133103
8  	65995.1	360148	802130	132385
9  	65995.1	356040	803435	129183
10 	65995.1	351339	769301	127178
11 	65995.1	346202	746283	125047
12 	65995.1	342833	745966	122284
13 	65995.1	339085	694497	116871
14 	65995.1	334837	656628	118032
15 	65995.1	331090	652108	115680
16 	65995.1	325935	691948	115493
17 	65995.1	320870	666143	116194
18 	65995.1	317708	637501	119275
19 	58907.9	313040	637501	118471
20 	58907.9	310993	619856	116114
21 	58907.9	308034	670308	117075
22 	58907.9	302730	664780	118950
23 	58907.9	299587	695239	117742
24 	51924.1	295491	681410	118182
25 	51924.1	292399	658582	119032
26 	51924.1	289376	653660	116182
27 	51924.1	285894	661170	113342
28 	51924.1	282421	647894	112798
29 	47410.7	278736	619431	112621
30 	47410.7	274536	666738	109539
31 	47410.7	271054	639052	109587
32 	45315.4	267547	623222	110219
33 	45315.4	265116	623985	107665
34 	45315.4	261935	587635	104490
35 	45315.4	257810	606792	106247
36 	45315.4	252119	591324	102017
37 	45315.4	250593	550237	103089
38 	42025.3	247580	521178	101243
39 	42025.3	245456	541443	102444
40 	42025.3	241944	558451	101685
41 	23747.8	238207	598851	97738.7
42 	23747.8	235283	574240	99032.1
43 	23747.8	233011	555741	97344.1
44 	23747.8	229746	536466	95134.2
45 	23747.8	227033	587409	96127.5
46 	23747.8	224570	547380	95684.8
47 	23747.8	221417	559808	94399.2
48 	23747.8	218748	564291	96276  
49 	23747.8	215816	574479	94161.8
50 	23747.8	212745	523463	89708.1
51 	23747.8	210854	522772	91131.4
52 	23747.8	207520	481572	88800.5
53 	20072.7	205503	460735	87627.1
54 	20072.7	202474	449521	85329.2
55 	20072.7	200081	482545	84582.7
56 	20072.7	198413	452320	83998.6
57 	20072.7	195869	458665	85705.4
58 	20072.7	193870	500311	85402.9
59 	20072.7	191411	459834	83351  
60 	20072.7	188812	478039	83864.1
61 	20072.7	186397	469209	84566.7
62 	20072.7	183293	413652	81111.8
63 	20072.7	181232	456537	79760  
64 	19469.9	179962	466653	79905.7
65 	19469.9	178771	440373	81786.1
66 	19469.9	177409	453576	81563.9
67 	13456.5	175165	460083	81518.1
68 	13456.5	172674	442836	81796.2
69 	13456.5	170293	464353	82545.8
70 	13456.5	167797	464353	79846.1
71 	13456.5	165900	456348	78660.4
72 	13456.5	163879	425963	75713.4
73 	13456.5	160567	417870	72048.1
74 	13346.9	158629	423373	72516  
75 	11358.7	156274	423516	71485  
76 	11358.7	154460	395373	67913  
77 	9216.33	153188	407945	68872.6
78 	8825.91	151616	379396	69360.1
79 	8825.91	149477	373022	68293  
80 	8825.91	148119	413994	68215.3
81 	8825.91	146539	407150	67209.3
82 	8825.91	145098	393124	66803  
83 	8825.91	143643	394929	65346.8
84 	8229.2 	142340	381991	66466.9
85 	8229.2 	141742	376813	66217.9
86 	8229.2 	140226	410432	67555.3
87 	8229.2 	138559	375648	67718.6
88 	8229.2 	137756	391893	67436.1
89 	7152.43	135836	375568	65652.9
90 	7152.43	133516	365994	64362.9
91 	7152.43	132590	352789	65320.5
92 	6973   	131181	333454	62419.9
93 	6973   	129402	339565	63525.6
94 	6973   	127345	320139	63116.4
95 	6973   	126214	318204	61250.3
96 	6973   	124967	308371	60347.3
97 	6203.37	123611	368516	60408  
98 	6203.37	121837	320073	60071.9
99 	6203.37	120470	319606	59250.9
100	6203.37	118754	319606	57571.2
101	5951.7 	117146	377284	58009.2
102	5951.7 	115768	363812	56942.1
103	5513.54	114398	342503	58854.5
104	4430.79	112902	339911	58497.9
105	4430.79	111695	324005	58443.1
106	4430.79	110218	333142	57425.1
107	4430.79	109542	313523	57186.2
108	4430.79	108220	313023	55305  
109	4430.79	106927	315137	55259.8
110	4430.79	105685	320482	54483.4
111	4333.77	104305	291539	53237.9
112	3550.57	102917	280813	50533.5
113	3550.57	101641	281367	49868.9
114	3550.57	100584	270458	49023  
115	3034.91	99703.6	283804	47811  
116	2994.39	98439.5	273297	48363.3
117	2994.39	97908.2	275579	50918  
118	2994.39	96477.8	258838	48237.9
119	2994.39	94876.7	253058	45142.5
120	2994.39	94286.7	258621	45197  
121	2994.39	93832.5	260644	44720.9
122	2994.39	92911.6	246703	45874.5
123	2994.39	91796.6	270780	47253.9
124	2994.39	91189.1	295100	46519.9
125	2994.39	90295.4	264018	46360.9
126	2994.39	89435.1	250149	45114.5
127	2994.39	88629.9	250149	45050.4
128	2994.39	87321.3	250210	44774.7
129	2994.39	86393.9	260086	43711.4
130	2994.39	85435.9	257709	43065.3
131	2994.39	84589.4	248713	42694.8
132	2994.39	83850.1	244117	41977.4
133	2994.39	83085.7	238556	41753.6
134	2985.37	82122.1	238022	41498.7
135	2985.37	81380.8	239047	40815.2
136	2985.37	80435.1	238523	39829.2
137	2985.37	79545.8	252323	39564.1
138	2985.37	78736.3	224350	39070.9
139	2985.37	77889.3	206761	38054.5
140	2985.37	77216.2	206761	39038.7
141	2985.37	76285.9	217617	38035.3
142	2985.37	75944.8	205231	37694.3
143	2985.37	75268.8	205231	37222.5
144	2985.37	74580.2	200000	36664.6
145	2985.37	73708.9	225231	36243.5
146	2985.37	73481.6	213138	35844.3
147	2985.37	72687.1	224413	36417.1
148	2985.37	71989.8	224413	36183  
149	2985.37	71221.7	222911	35854.6
150	2985.37	70339.1	207123	35209.6
151	2925.37	69891.4	205041	35060.1
152	2925.37	69244.3	208523	34279.7
153	2925.37	68592.9	203115	33373.7
154	2925.37	67840.9	209285	32995.5
155	2925.37	67037.2	190218	31681.7
156	2925.37	66474.2	175950	31847.4
157	2925.37	66009.5	170925	30961.3
158	2925.37	65032.3	174921	30207.4
159	2925.37	64392.4	175275	29656.8
160	2925.37	64086  	158498	29020.3
161	2925.37	63210  	149598	28820.9
162	2925.37	62745.2	166933	29182.6
163	2925.37	62167.1	163378	28463.6
164	2925.37	61887.6	158396	28651.9
165	2925.37	61253.9	165093	28076.6
166	2925.37	60486.6	161027	27970  
167	2925.37	60107.4	157228	27020.1
168	2925.37	59599.3	155337	26856.6
169	2925.37	59005.5	149268	26441.9
170	2925.37	58595.6	140339	26278.4
171	2925.37	58280.3	142314	26191.8
172	2925.37	57815.9	135905	25880.6
173	2925.37	57496.6	140598	25085.2
174	2925.37	56743.7	140598	25365.5
175	2925.37	56551.2	151681	25135.1
176	2925.37	56068.1	161512	25659.7
177	2925.3 	55517.4	137058	25932.7
178	2925.3 	54999  	162161	25854.9
179	2925.3 	54705.8	143287	24777.5
180	2925.3 	54174.5	147927	23981.3
181	2759.11	53680.1	134253	23532.4
182	2759.11	53140.2	151428	23964.6
183	2759.11	52782.9	144860	24155.7
184	2759.11	52237.6	139166	23458.5
185	2759.11	51681.4	140178	23462  
186	2759.11	51550.4	137598	23535.6
187	2759.11	51144.3	136465	22457.2
188	2759.11	50859.4	122647	22291.3
189	2759.11	50483.9	118467	21729.9
190	2759.11	50178.3	123526	21328  
191	2759.11	49861.9	123474	21364.6
192	2669.38	49627.2	118903	20859.3
193	2669.38	49300.9	118903	20831.4
194	2669.38	48936.1	125070	20221  
195	2669.38	48570.8	127576	20245.6
196	2669.38	48209.7	120302	19711.7
197	2669.38	47814.9	118872	20015.6
198	2669.38	47406.4	128528	19994.2
199	2669.34	46954  	130906	19864.1
Result of algorithm run: SUCCESS, 0, 0, 2669.342927, 0
