/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg    	max    	std     
0  	122.677	126.853	127.314	0.442133
1  	122.382	126.81 	127.297	0.548791
2  	122.382	126.794	127.281	0.509815
3  	122.382	126.757	127.274	0.537664
4  	122.382	126.753	127.283	0.583148
5  	120.195	126.743	127.295	0.648072
6  	118.79 	126.728	127.289	0.744252
7  	118.79 	126.679	127.274	0.831503
8  	118.02 	126.673	127.272	0.790641
9  	115.909	126.609	127.299	0.997879
10 	115.909	126.57 	127.267	1.06446 
11 	115.909	126.57 	127.278	1.06616 
12 	115.909	126.52 	127.278	1.05603 
13 	115.433	126.468	127.274	1.13142 
14 	115.433	126.514	127.273	0.925115
15 	115.433	126.503	127.261	0.950786
16 	115.433	126.46 	127.244	1.02329 
17 	113.613	126.426	127.262	1.17117 
18 	113.393	126.383	127.274	1.29058 
19 	113.393	126.353	127.245	1.35413 
20 	113.066	126.33 	127.256	1.32787 
21 	113.066	126.307	127.257	1.31047 
22 	113.066	126.266	127.251	1.3387  
23 	111.968	126.233	127.22 	1.42977 
24 	111.968	126.209	127.197	1.43275 
25 	111.968	126.179	127.23 	1.39628 
26 	111.968	126.191	127.216	1.43855 
27 	111.968	126.177	127.216	1.34119 
28 	111.968	126.139	127.233	1.34119 
29 	111.622	126.123	127.229	1.39312 
30 	111.622	126.102	127.193	1.33164 
31 	111.622	126.088	127.218	1.32034 
32 	111.622	126.066	127.239	1.35505 
33 	111.622	126.007	127.228	1.38221 
34 	111.622	125.959	127.177	1.4149  
35 	111.622	125.969	127.199	1.38604 
36 	111.622	125.962	127.19 	1.44671 
37 	111.622	125.917	127.204	1.52609 
38 	111.622	125.859	127.204	1.60287 
39 	111.622	125.845	127.197	1.56191 
40 	111.622	125.851	127.158	1.46157 
41 	111.622	125.748	127.143	1.55423 
