/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min     	avg     	max     	std     
0  	-915.883	-913.707	-913.444	0.303563
1  	-915.883	-913.733	-913.447	0.348031
2  	-917.613	-913.757	-913.451	0.399465
3  	-917.613	-913.761	-913.456	0.396206
4  	-918.289	-913.788	-913.451	0.479114
5  	-918.852	-913.795	-913.453	0.470597
6  	-918.852	-913.811	-913.451	0.448982
7  	-918.852	-913.827	-913.453	0.451523
8  	-918.852	-913.84 	-913.453	0.500746
9  	-918.867	-913.867	-913.457	0.560357
10 	-919.059	-913.888	-913.453	0.632816
11 	-920.805	-913.883	-913.462	0.649961
12 	-920.805	-913.901	-913.466	0.669984
13 	-920.805	-913.902	-913.47 	0.611341
14 	-920.805	-913.918	-913.461	0.64399 
15 	-920.805	-913.937	-913.457	0.637583
16 	-921.587	-913.99 	-913.465	0.762543
17 	-921.587	-913.991	-913.472	0.742864
18 	-921.587	-914.009	-913.474	0.7766  
19 	-921.587	-914.028	-913.473	0.786442
20 	-921.587	-914.035	-913.48 	0.746785
21 	-921.587	-914.056	-913.463	0.785396
22 	-921.587	-914.084	-913.466	0.819725
23 	-921.587	-914.09 	-913.465	0.774272
24 	-921.587	-914.141	-913.465	0.832738
25 	-923.22 	-914.162	-913.475	0.944796
26 	-924.84 	-914.199	-913.466	1.05956 
27 	-924.84 	-914.185	-913.467	0.940248
28 	-924.84 	-914.192	-913.485	0.90371 
29 	-925.305	-914.204	-913.486	1.001   
30 	-925.305	-914.229	-913.474	1.0158  
31 	-925.305	-914.266	-913.483	0.995531
32 	-925.305	-914.289	-913.482	1.06381 
33 	-925.305	-914.297	-913.49 	1.01708 
34 	-925.305	-914.303	-913.493	1.04562 
35 	-925.305	-914.365	-913.499	1.18359 
36 	-925.305	-914.375	-913.48 	1.06695 
37 	-925.305	-914.393	-913.497	1.08365 
38 	-925.305	-914.415	-913.494	1.13998 
39 	-925.305	-914.436	-913.5  	1.12759 
40 	-925.305	-914.452	-913.523	1.08604 
41 	-925.305	-914.482	-913.51 	1.19891 
42 	-925.305	-914.516	-913.511	1.17917 
43 	-925.305	-914.515	-913.521	1.13217 
44 	-925.305	-914.544	-913.536	1.18015 
45 	-925.305	-914.581	-913.54 	1.21914 
46 	-925.305	-914.586	-913.514	1.20265 
47 	-925.305	-914.623	-913.533	1.22177 
48 	-925.305	-914.65 	-913.514	1.2675  
49 	-925.305	-914.667	-913.514	1.23923 
50 	-925.305	-914.703	-913.541	1.2358  
51 	-925.305	-914.763	-913.532	1.3228  
52 	-925.307	-914.792	-913.601	1.37497 
53 	-925.307	-914.832	-913.578	1.40428 
54 	-925.307	-914.854	-913.545	1.34197 
55 	-925.307	-914.857	-913.541	1.38361 
56 	-925.307	-914.854	-913.613	1.34499 
57 	-925.307	-914.89 	-913.621	1.3372  
58 	-925.307	-914.88 	-913.598	1.37472 
59 	-925.307	-914.892	-913.625	1.33731 
60 	-925.307	-914.928	-913.628	1.34867 
61 	-925.307	-914.955	-913.597	1.38265 
