/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min     	avg     	max    	std     
0  	-916.184	-913.726	-913.45	0.351773
1  	-916.184	-913.727	-913.444	0.350468
2  	-916.184	-913.73 	-913.447	0.336791
3  	-916.184	-913.745	-913.448	0.362418
4  	-916.191	-913.746	-913.453	0.369248
5  	-916.282	-913.755	-913.458	0.35571 
6  	-916.282	-913.764	-913.455	0.362509
7  	-916.282	-913.786	-913.456	0.392157
8  	-916.853	-913.801	-913.459	0.408977
9  	-916.853	-913.823	-913.453	0.441669
10 	-916.853	-913.83 	-913.455	0.460972
11 	-917.097	-913.835	-913.461	0.460568
12 	-918.304	-913.855	-913.467	0.493215
13 	-918.609	-913.883	-913.457	0.541639
14 	-918.609	-913.877	-913.467	0.521267
15 	-918.609	-913.892	-913.466	0.553231
16 	-918.609	-913.902	-913.459	0.520698
17 	-918.779	-913.935	-913.459	0.598051
18 	-919.697	-913.963	-913.47 	0.62831 
19 	-921.41 	-913.965	-913.467	0.67836 
20 	-921.535	-913.973	-913.467	0.699514
21 	-921.535	-914.014	-913.469	0.801426
22 	-921.535	-914.049	-913.471	0.85127 
23 	-921.535	-914.049	-913.469	0.801999
24 	-921.535	-914.057	-913.469	0.737578
25 	-921.535	-914.072	-913.465	0.757078
26 	-921.535	-914.09 	-913.465	0.761916
27 	-921.535	-914.094	-913.461	0.798161
28 	-921.544	-914.124	-913.496	0.87304 
29 	-921.544	-914.139	-913.479	0.898875
30 	-921.544	-914.139	-913.474	0.802723
31 	-921.544	-914.154	-913.509	0.79552 
32 	-922.74 	-914.164	-913.513	0.879936
33 	-922.74 	-914.182	-913.508	0.855636
34 	-922.74 	-914.206	-913.497	0.909345
35 	-922.74 	-914.224	-913.491	0.877175
36 	-922.74 	-914.277	-913.495	0.973675
37 	-922.74 	-914.303	-913.51 	1.00333 
38 	-922.74 	-914.359	-913.515	1.10258 
39 	-922.74 	-914.384	-913.515	1.07761 
40 	-922.74 	-914.403	-913.504	1.11386 
41 	-922.74 	-914.401	-913.493	1.04515 
42 	-922.74 	-914.396	-913.5  	1.02513 
43 	-922.831	-914.464	-913.506	1.07338 
44 	-922.831	-914.463	-913.521	1.06301 
45 	-922.831	-914.507	-913.527	1.09889 
46 	-922.831	-914.49 	-913.527	1.02221 
47 	-922.948	-914.487	-913.507	1.01364 
48 	-922.948	-914.504	-913.506	1.05401 
49 	-923.725	-914.527	-913.512	1.10484 
