/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min   	avg    	max   	std    
0  	1235.9	1829.63	2407.5	202.892
1  	1221.18	1816.11	2413.47	210.272
2  	1139.72	1805.32	2399.59	206.903
3  	1139.72	1794.38	2368.8 	202.357
4  	1139.72	1775.67	2299.79	207.381
5  	1139.72	1766.04	2285.34	207.922
6  	1091.19	1753.92	2341.47	197.19 
7  	1091.19	1736.68	2308.1 	204.309
8  	1035   	1721.08	2308.1 	206.387
9  	944.94 	1711.66	2229.22	209.47 
10 	944.94 	1702.24	2260.2 	212.56 
11 	944.94 	1690.56	2226.03	210.613
12 	944.94 	1681.38	2279.89	200.546
13 	944.94 	1673.45	2233.09	198.738
14 	944.94 	1668.46	2229.35	204.054
15 	944.94 	1656.68	2229.35	205.181
16 	871.52 	1638.92	2117.87	202.979
17 	871.52 	1632.23	2141.55	193.598
18 	871.52 	1615.79	2169.76	195.88 
19 	871.52 	1608.8 	2085.32	195.983
20 	871.52 	1602.23	2102.89	199.713
21 	871.52 	1592.02	2119.39	198.063
22 	871.52 	1577.84	2123.02	197.575
23 	871.52 	1568.65	2040.38	197.105
24 	871.52 	1565.09	2105.75	200.335
25 	871.52 	1552.68	2118.01	204.959
26 	871.52 	1541.84	2097.78	205.366
27 	871.52 	1531.52	2073.8 	202.777
28 	801.531	1525.13	2121.09	199.621
29 	801.531	1513.71	2000.12	195.132
30 	801.531	1499.39	1994.53	198.896
31 	801.531	1490.34	2003.01	195.73 
32 	801.531	1478.82	1926.91	196.838
33 	801.531	1472.69	1945.96	191.898
34 	801.531	1464.8 	1923.31	193.151
35 	801.531	1453.59	2003.82	188.635
36 	801.531	1448.03	1902   	182.321
37 	801.531	1436.15	1926.54	181.206
38 	801.531	1427.93	1937.61	188.271
39 	801.531	1420.84	1909.51	189.275
40 	801.531	1409.84	1912.51	187.243
41 	801.531	1403.83	1969.57	187.323
42 	801.531	1392.59	1878.17	180.551
43 	801.531	1387.6 	1878.76	182.386
44 	801.531	1378.58	1839.1 	179.212
45 	801.531	1371.45	1806.85	178.023
46 	801.531	1363.34	1821.27	175.478
47 	801.531	1351.12	1847.89	171.365
48 	801.531	1341.97	1815.71	178.833
49 	801.531	1334.14	1822.89	179.522
50 	801.531	1326.54	1916.7 	175.022
51 	801.531	1319.9 	1856.25	177.34 
52 	801.531	1314.95	1833.2 	171.06 
53 	801.531	1314.09	1784.96	164.187
54 	801.531	1302.29	1756.14	161.978
55 	801.531	1297.23	1727.53	159.06 
56 	801.531	1288.48	1715.56	160.677
57 	801.531	1280.49	1818.05	163.639
58 	801.531	1270.51	1810.08	169.451
59 	795.028	1264.53	1762.05	171.234
60 	794.176	1261.73	1691.91	173.27 
61 	791.806	1251.26	1677.08	166.895
62 	791.806	1245.31	1698.57	167.304
63 	779.445	1235.84	1698.57	161.547
64 	779.445	1231.51	1701.93	161.636
65 	779.445	1219.91	1710.09	159.384
66 	779.445	1214.59	1691.7 	157.802
67 	779.445	1215.41	1707.3 	160.56 
68 	748.953	1204.63	1605.74	160.387
69 	748.953	1201.31	1591.97	158.207
70 	748.953	1193.73	1578.9 	156.074
71 	748.953	1185.61	1597.04	154.948
72 	727.152	1177.77	1561.65	158.269
73 	727.152	1169.93	1553.73	152.71 
74 	727.152	1169.66	1570.59	153.368
75 	727.152	1163.42	1635.44	157.838
76 	719.099	1165.57	1623.67	149.403
77 	716.914	1152.61	1556.89	147.89 
78 	716.914	1150.41	1553.5 	147.915
79 	716.914	1145.2 	1639.99	147.372
80 	689.394	1141.41	1548.02	151.361
81 	689.394	1136.68	1537.35	143.375
82 	689.394	1126.13	1506.96	140.016
83 	689.394	1117.51	1490.84	135.674
84 	689.394	1112.48	1461.07	137.052
85 	689.394	1110.35	1451.71	134.912
86 	689.394	1104.59	1457.6 	142.03 
87 	689.394	1099.43	1449.5 	133.112
88 	651.807	1095.7 	1476.79	141.432
89 	651.807	1092.07	1485.37	137.829
90 	651.807	1087.5 	1543.55	136.911
91 	651.807	1082.98	1538.85	137.046
92 	651.807	1081.81	1474.72	138.768
93 	651.807	1075.87	1489.82	137.289
94 	651.807	1067.29	1437.43	136.38 
95 	651.807	1063.28	1463.41	137.353
96 	651.807	1056.18	1463.41	132.145
97 	651.807	1051.7 	1431.95	133.12 
98 	651.807	1050.9 	1412.87	135.66 
99 	651.807	1044.69	1393.42	127.486
100	651.807	1035.85	1400.41	130.548
101	651.807	1037.27	1406.55	126    
102	627.526	1034.76	1396.88	124.349
103	627.526	1034.98	1381.92	122.7  
104	627.526	1028.04	1405.83	121.996
105	627.526	1022.23	1341.83	124.009
106	627.526	1018.04	1370.55	122.173
107	627.526	1014.72	1361.71	123.343
108	627.526	1015.06	1322.55	123.757
109	627.526	1008.49	1317.69	115.992
110	627.526	1007.35	1310.47	118.038
111	627.526	1004.17	1305.97	110.678
112	627.526	1000.4 	1302.25	112.741
113	627.526	992.468	1328.54	112.448
114	627.526	989.012	1320.08	111.374
115	627.526	986.723	1343.14	111.023
116	627.526	982.078	1398.64	114.838
117	627.526	980.407	1351.27	113.263
118	627.526	975.184	1336.07	112.492
119	627.526	975.3  	1332.44	115.907
120	627.526	970.012	1325.41	116.052
121	627.526	969.553	1331.23	119.378
122	627.526	969.289	1309.71	117.006
123	627.526	965.29 	1299.36	115.776
124	627.526	958.486	1309.87	113.164
125	627.526	959.066	1323.37	112.832
126	627.526	960.062	1270.76	109.81 
127	627.526	959.283	1275.51	110.405
128	627.526	948.631	1272.62	111.021
129	627.526	953.01 	1272.62	113.108
130	627.526	943.095	1228.98	111.527
131	627.526	941.404	1270.08	107.351
132	627.526	938.729	1244.59	104.389
133	627.526	938.375	1239.26	101.404
134	627.526	932.634	1243.03	100.523
135	627.526	931.116	1194.35	102.361
136	627.526	930.186	1261.2 	100.635
137	627.526	926.554	1212.38	100.133
138	627.526	924.512	1163.29	98.5782
139	627.526	921.432	1191.12	99.7053
140	620.806	916.345	1212.68	102.239
141	620.806	914.752	1196.45	100.285
142	620.806	912.1  	1196.45	102.504
143	620.806	908.974	1254.5 	98.2228
144	620.806	907    	1224.18	100.705
145	620.806	904.997	1220.79	100.408
146	620.806	902.352	1220.17	98.5815
147	620.806	902.362	1189.45	96.6143
148	620.806	901.516	1151.32	95.5257
149	620.806	893.779	1158.96	97.6985
150	620.806	892.574	1168.16	97.0484
151	620.806	891.3  	1225.72	96.5966
152	620.806	889.589	1157.49	93.4883
153	620.806	882.703	1170.6 	95.0849
154	620.806	883.679	1170.6 	91.0816
155	620.806	882.785	1150.97	89.7706
156	620.806	883.033	1146.82	92.1207
157	620.806	880.413	1170.57	91.7261
158	620.806	878.017	1200.64	93.7122
159	620.806	877.068	1173.35	87.1493
160	612.206	877.701	1178.42	92.959 
161	612.206	877.236	1146.25	91.5685
162	587.967	871.923	1145.01	88.535 
163	587.967	874.021	1165.1 	89.6355
164	587.967	869.102	1128.66	88.5523
165	587.967	866.741	1140.9 	83.7453
166	587.967	866.996	1129.46	88.7121
167	587.967	867.673	1112.16	83.7958
168	587.967	859.882	1145.62	85.866 
169	587.967	859.359	1119.1 	88.5619
170	587.967	859.171	1095.21	82.6391
171	587.967	854.332	1093.49	84.0898
172	587.967	857.914	1085.31	82.1727
173	587.967	853.71 	1103.66	82.7492
174	587.967	849.445	1053.86	79.126 
175	587.967	850.961	1052.05	78.389 
176	587.967	849.497	1044.58	77.2339
177	587.967	848.474	1103   	78.5581
178	587.967	846.058	1089.07	80.8119
179	587.967	845.682	1111.98	78.6081
180	587.967	841.198	1048.79	78.9786
181	587.967	840.824	1077.3 	78.1004
182	587.967	842.081	1059.83	77.6642
183	587.967	841.776	1054.37	75.9596
184	587.967	839.642	1047.66	76.8052
185	587.967	838.757	1044.66	76.4102
186	587.967	835.653	1073   	73.5773
187	587.967	837.715	1066.63	73.3245
188	587.967	836.376	1069.88	74.2963
189	587.967	834.506	1065.41	73.2611
190	587.967	833.732	1066.81	74.9837
191	587.967	832.093	1071.23	75.59  
192	587.967	827.618	1117.59	77.8338
193	587.967	824.962	1073.25	76.5156
194	587.967	821.871	1084.21	73.8209
195	587.967	823.613	1086.51	76.9518
196	587.967	825.244	1044.91	74.5097
197	587.967	820.778	1011.09	70.1934
198	587.967	822.691	1026.32	70.951 
199	587.967	819.048	1023.01	71.7478
Result of algorithm run: SUCCESS, 0, 0, 587.966726, 0
