gen	min        	avg        	max        	std        
0  	8.53931e+06	3.22328e+07	7.03981e+07	1.27791e+07
1  	7.35863e+06	3.18881e+07	7.0398e+07 	1.27318e+07
2  	7.03859e+06	3.15885e+07	6.87115e+07	1.25026e+07
3  	6.32049e+06	3.12735e+07	6.6014e+07 	1.25948e+07
4  	6.31017e+06	3.09542e+07	6.55653e+07	1.2372e+07 
5  	3.75169e+06	3.06615e+07	6.68235e+07	1.24359e+07
6  	3.75169e+06	3.00792e+07	6.50182e+07	1.23185e+07
7  	3.75169e+06	2.97224e+07	6.08837e+07	1.20021e+07
8  	3.75169e+06	2.93171e+07	6.08834e+07	1.20024e+07
9  	3.75169e+06	2.8985e+07 	6.34138e+07	1.22023e+07
10 	3.75169e+06	2.84917e+07	6.35174e+07	1.23343e+07
11 	3.67805e+06	2.81903e+07	6.19415e+07	1.22864e+07
12 	3.67805e+06	2.79368e+07	6.18121e+07	1.21786e+07
13 	3.65285e+06	2.7504e+07 	6.04092e+07	1.22675e+07
14 	3.65285e+06	2.72423e+07	5.94684e+07	1.19694e+07
15 	3.65285e+06	2.69686e+07	5.69876e+07	1.165e+07  
16 	3.65285e+06	2.66274e+07	5.69875e+07	1.19438e+07
17 	3.30465e+06	2.62772e+07	6.40607e+07	1.16572e+07
18 	3.30465e+06	2.59662e+07	5.79148e+07	1.16593e+07
19 	3.30465e+06	2.56927e+07	5.80671e+07	1.18156e+07
20 	3.21556e+06	2.54405e+07	5.80032e+07	1.17757e+07
21 	2.65215e+06	2.51478e+07	5.78876e+07	1.15916e+07
22 	2.65215e+06	2.49181e+07	5.76897e+07	1.17326e+07
23 	2.53831e+06	2.46392e+07	6.18988e+07	1.17863e+07
24 	2.53831e+06	2.44286e+07	5.87446e+07	1.16448e+07
25 	2.53831e+06	2.40296e+07	5.95837e+07	1.13352e+07
26 	2.2291e+06 	2.3827e+07 	5.88963e+07	1.11866e+07
27 	2.2291e+06 	2.35721e+07	5.88988e+07	1.12155e+07
28 	2.2291e+06 	2.33413e+07	6.07118e+07	1.10966e+07
29 	2.05732e+06	2.31493e+07	6.80339e+07	1.11974e+07
30 	1.94626e+06	2.28218e+07	5.96577e+07	1.07795e+07
31 	1.94626e+06	2.25732e+07	6.665e+07  	1.04457e+07
32 	1.94626e+06	2.22958e+07	5.78621e+07	1.02449e+07
33 	1.94626e+06	2.2075e+07 	5.51861e+07	1.04795e+07
34 	1.83316e+06	2.17558e+07	5.45969e+07	1.03847e+07
35 	1.83316e+06	2.13872e+07	5.63141e+07	1.04628e+07
36 	1.83316e+06	2.1136e+07 	5.47404e+07	1.03561e+07
37 	1.83316e+06	2.09309e+07	5.45286e+07	1.04041e+07
38 	1.83316e+06	2.06711e+07	5.45286e+07	1.03802e+07
39 	1.83316e+06	2.04405e+07	5.45228e+07	1.0317e+07 
40 	1.64027e+06	2.01926e+07	5.00169e+07	1.02266e+07
41 	1.64027e+06	1.99854e+07	4.92191e+07	9.76806e+06
42 	1.64027e+06	1.97919e+07	4.97113e+07	9.71926e+06
43 	1.60897e+06	1.94113e+07	4.7924e+07 	9.56181e+06
44 	1.5747e+06 	1.91476e+07	4.72289e+07	9.5239e+06 
45 	1.5747e+06 	1.89242e+07	5.01155e+07	9.50734e+06
46 	1.5747e+06 	1.87597e+07	4.87135e+07	9.35327e+06
47 	1.5747e+06 	1.84571e+07	4.91313e+07	9.13267e+06
48 	1.50472e+06	1.82718e+07	4.76886e+07	8.96969e+06
49 	1.50472e+06	1.80938e+07	4.60971e+07	8.91353e+06
50 	1.33058e+06	1.78954e+07	4.60971e+07	8.99595e+06
51 	1.33058e+06	1.7659e+07 	4.57205e+07	8.96885e+06
52 	1.33058e+06	1.74769e+07	4.74556e+07	8.76852e+06
53 	1.33058e+06	1.73198e+07	4.65808e+07	8.62623e+06
54 	1.05291e+06	1.7078e+07 	4.54981e+07	8.47049e+06
55 	1.05291e+06	1.68243e+07	4.54721e+07	8.4909e+06 
56 	1.05291e+06	1.66674e+07	4.4781e+07 	8.25068e+06
57 	1.05291e+06	1.64892e+07	4.45206e+07	8.22912e+06
58 	1.05291e+06	1.62662e+07	4.31367e+07	8.14003e+06
59 	1.05291e+06	1.60881e+07	4.61872e+07	8.01244e+06
60 	1.05291e+06	1.58808e+07	4.30563e+07	7.72572e+06
61 	1.05291e+06	1.57664e+07	3.99668e+07	7.71123e+06
62 	1.05291e+06	1.55684e+07	3.75202e+07	7.62986e+06
63 	1.05291e+06	1.54084e+07	3.87392e+07	7.61074e+06
64 	1.0529e+06 	1.53045e+07	3.77403e+07	7.43555e+06
65 	985702     	1.51445e+07	3.73378e+07	7.43126e+06
66 	985702     	1.49837e+07	3.80151e+07	7.46923e+06
67 	928402     	1.48371e+07	3.8004e+07 	7.35025e+06
68 	928402     	1.47207e+07	3.80192e+07	7.33564e+06
69 	928402     	1.45603e+07	3.66636e+07	7.28431e+06
70 	928402     	1.43482e+07	3.71317e+07	7.12821e+06
71 	928402     	1.42006e+07	3.70267e+07	7.10923e+06
72 	928402     	1.4022e+07 	3.68469e+07	7.01585e+06
73 	928402     	1.38809e+07	3.67479e+07	7.10284e+06
74 	928402     	1.37505e+07	4.13992e+07	7.15366e+06
75 	928402     	1.3612e+07 	3.98976e+07	6.98076e+06
76 	905112     	1.34767e+07	3.57882e+07	6.81681e+06
77 	905112     	1.32882e+07	4.21437e+07	6.91823e+06
78 	905112     	1.30894e+07	4.4362e+07 	6.93973e+06
79 	787436     	1.29267e+07	4.36505e+07	6.6335e+06 
80 	787436     	1.278e+07  	3.96192e+07	6.53803e+06
81 	787436     	1.25957e+07	3.60632e+07	6.44948e+06
82 	787436     	1.2467e+07 	3.3359e+07 	6.4208e+06 
83 	787436     	1.23528e+07	3.50994e+07	6.38988e+06
84 	787355     	1.21676e+07	3.2765e+07 	6.25523e+06
85 	743797     	1.20625e+07	3.27557e+07	6.1875e+06 
86 	743797     	1.19305e+07	3.22668e+07	6.08e+06   
87 	743797     	1.18135e+07	3.32347e+07	6.01742e+06
88 	743797     	1.17158e+07	3.22201e+07	5.81479e+06
89 	743797     	1.15648e+07	2.94488e+07	5.78891e+06
90 	743797     	1.14512e+07	2.96974e+07	5.70512e+06
91 	743797     	1.13526e+07	3.0313e+07 	5.6716e+06 
92 	743797     	1.11835e+07	3.01144e+07	5.66662e+06
93 	743797     	1.10866e+07	2.98494e+07	5.4796e+06 
94 	743797     	1.10034e+07	2.99191e+07	5.49478e+06
95 	743797     	1.08547e+07	2.90713e+07	5.36779e+06
96 	532048     	1.07518e+07	2.87039e+07	5.27725e+06
97 	532048     	1.065e+07  	3.03313e+07	5.26353e+06
98 	532048     	1.05718e+07	2.85825e+07	5.25098e+06
99 	532048     	1.04825e+07	2.85825e+07	5.22307e+06
100	532048     	1.03232e+07	2.86953e+07	5.13073e+06
101	532048     	1.02337e+07	2.7739e+07 	4.90302e+06
102	532048     	1.01562e+07	2.83953e+07	4.9041e+06 
103	532048     	1.00908e+07	2.84035e+07	4.84741e+06
104	532048     	9.97536e+06	2.87143e+07	4.78513e+06
105	532048     	9.90292e+06	2.6693e+07 	4.83907e+06
106	532048     	9.8364e+06 	2.60091e+07	4.83265e+06
107	532048     	9.78684e+06	2.5942e+07 	4.85563e+06
108	470403     	9.70347e+06	2.59421e+07	4.73904e+06
109	470403     	9.62332e+06	2.47559e+07	4.77158e+06
110	470403     	9.53319e+06	2.39855e+07	4.60506e+06
111	466585     	9.47387e+06	2.37671e+07	4.3647e+06 
112	466585     	9.41276e+06	2.28296e+07	4.28771e+06
113	466376     	9.29416e+06	2.34654e+07	4.22905e+06
114	466376     	9.21724e+06	2.3193e+07 	4.1764e+06 
115	466376     	9.12145e+06	2.1436e+07 	4.08728e+06
116	466376     	9.02953e+06	2.1436e+07 	4.06318e+06
117	466376     	8.9602e+06 	2.15627e+07	4.02343e+06
118	466376     	8.87973e+06	2.16891e+07	4.00441e+06
119	466376     	8.81627e+06	2.16346e+07	3.92741e+06
120	466376     	8.768e+06  	2.16263e+07	3.90568e+06
121	466376     	8.69068e+06	2.0606e+07 	3.85411e+06
122	466376     	8.6136e+06 	2.04884e+07	3.82366e+06
123	466376     	8.53533e+06	2.08355e+07	3.89684e+06
124	466376     	8.4777e+06 	2.07103e+07	3.8367e+06 
125	466376     	8.38077e+06	2.41555e+07	3.79594e+06
126	466376     	8.28688e+06	2.07115e+07	3.72126e+06
127	458091     	8.23313e+06	1.98626e+07	3.68502e+06
128	458091     	8.15346e+06	2.06839e+07	3.69012e+06
129	458091     	8.09893e+06	2.11415e+07	3.71085e+06
130	448158     	8.01936e+06	2.07403e+07	3.58266e+06
131	448158     	7.94012e+06	2.03632e+07	3.47636e+06
132	448158     	7.87534e+06	2.01073e+07	3.43165e+06
133	448158     	7.75995e+06	2.00909e+07	3.34501e+06
134	448158     	7.70176e+06	1.98407e+07	3.25387e+06
135	448158     	7.63647e+06	1.94016e+07	3.17047e+06
136	448158     	7.58401e+06	1.88825e+07	3.1742e+06 
137	448158     	7.54794e+06	1.8322e+07 	3.11936e+06
138	448158     	7.50396e+06	1.8237e+07 	3.06296e+06
139	448158     	7.44887e+06	1.7452e+07 	3.03242e+06
140	448158     	7.40201e+06	1.69493e+07	3.03343e+06
141	448158     	7.35191e+06	1.69353e+07	3.00485e+06
142	448158     	7.30929e+06	1.92209e+07	2.97154e+06
143	448158     	7.27179e+06	2.20109e+07	2.9671e+06 
144	448158     	7.22406e+06	1.76841e+07	2.89865e+06
145	448158     	7.18475e+06	1.71082e+07	2.86042e+06
146	448158     	7.15393e+06	1.70059e+07	2.87482e+06
147	448158     	7.11334e+06	1.69335e+07	2.8523e+06 
148	448158     	7.0761e+06 	1.65834e+07	2.81828e+06
149	448158     	7.03776e+06	1.67856e+07	2.77661e+06
150	448158     	6.99385e+06	1.67763e+07	2.7171e+06 
151	448158     	6.94454e+06	1.67081e+07	2.72437e+06
152	448158     	6.89069e+06	1.55457e+07	2.66484e+06
153	448158     	6.83955e+06	1.54748e+07	2.61077e+06
154	448158     	6.79196e+06	1.57518e+07	2.62679e+06
155	448158     	6.74996e+06	1.56779e+07	2.61147e+06
156	448158     	6.69138e+06	1.60355e+07	2.61305e+06
157	448158     	6.63966e+06	1.60502e+07	2.55801e+06
158	448158     	6.61032e+06	1.50341e+07	2.47629e+06
159	448158     	6.58281e+06	1.51049e+07	2.43045e+06
160	448158     	6.54183e+06	1.49827e+07	2.34789e+06
161	448158     	6.51612e+06	1.4894e+07 	2.3137e+06 
162	448158     	6.48976e+06	1.41456e+07	2.28044e+06
163	448158     	6.45559e+06	1.4593e+07 	2.32469e+06
