gen	min        	avg        	max       	std        
0  	4.70523e+06	3.18245e+07	7.7255e+07	1.29529e+07
1  	4.70523e+06	3.14903e+07	7.0777e+07	1.29175e+07
2  	4.70523e+06	3.11632e+07	6.76877e+07	1.26929e+07
3  	3.65155e+06	3.07538e+07	6.58141e+07	1.265e+07  
4  	3.65155e+06	3.04316e+07	6.6207e+07 	1.25389e+07
5  	3.65155e+06	3.02083e+07	6.6207e+07 	1.27577e+07
6  	3.00503e+06	2.98403e+07	7.19567e+07	1.24998e+07
7  	3.00503e+06	2.95383e+07	6.4072e+07 	1.20718e+07
8  	2.62457e+06	2.93215e+07	6.29907e+07	1.22481e+07
9  	2.62457e+06	2.88945e+07	7.0641e+07 	1.26813e+07
10 	2.45135e+06	2.84601e+07	6.91161e+07	1.25027e+07
11 	2.45135e+06	2.81633e+07	6.70476e+07	1.26468e+07
12 	2.16331e+06	2.78895e+07	6.70772e+07	1.23191e+07
13 	2.16331e+06	2.75934e+07	6.91339e+07	1.24138e+07
14 	2.15698e+06	2.72729e+07	6.40663e+07	1.2328e+07 
15 	2.15698e+06	2.6964e+07 	6.87459e+07	1.21993e+07
16 	2.15698e+06	2.66645e+07	6.40799e+07	1.22607e+07
17 	2.15698e+06	2.63923e+07	6.39698e+07	1.21075e+07
18 	2.15698e+06	2.59556e+07	6.27962e+07	1.19171e+07
19 	2.15698e+06	2.56718e+07	6.34649e+07	1.18138e+07
20 	2.15651e+06	2.5407e+07 	6.3785e+07 	1.1782e+07 
21 	2.15651e+06	2.5142e+07 	6.07656e+07	1.17368e+07
22 	2.15651e+06	2.47244e+07	5.83459e+07	1.13637e+07
23 	2.15651e+06	2.45187e+07	5.73487e+07	1.12012e+07
24 	2.15651e+06	2.42002e+07	6.18436e+07	1.10383e+07
25 	2.15651e+06	2.3941e+07 	6.16797e+07	1.10591e+07
26 	2.15651e+06	2.36105e+07	5.74339e+07	1.0854e+07 
27 	2.15642e+06	2.33587e+07	5.36284e+07	1.05996e+07
28 	2.15642e+06	2.31098e+07	5.74631e+07	1.04927e+07
29 	2.15642e+06	2.28807e+07	5.61063e+07	1.05933e+07
30 	2.15642e+06	2.26679e+07	5.48325e+07	1.04444e+07
31 	2.15642e+06	2.24459e+07	5.18004e+07	1.05627e+07
32 	2.15642e+06	2.22482e+07	5.11033e+07	1.04223e+07
33 	2.15642e+06	2.19321e+07	5.2404e+07 	1.0347e+07 
34 	2.15642e+06	2.1713e+07 	5.09092e+07	1.00971e+07
35 	2.15642e+06	2.14623e+07	5.09104e+07	1.02461e+07
36 	2.11576e+06	2.12498e+07	5.06831e+07	1.01522e+07
37 	2.11576e+06	2.10106e+07	5.23665e+07	9.88564e+06
38 	1.25122e+06	2.07993e+07	5.23665e+07	9.81736e+06
39 	1.24532e+06	2.05497e+07	5.23736e+07	1.00215e+07
