gen	min        	avg       	max        	std        
0  	4.97187e+06	3.3741e+07	7.59128e+07	1.37195e+07
1  	4.97187e+06	3.33759e+07	7.19419e+07	1.35933e+07
2  	4.74562e+06	3.29425e+07	7.17795e+07	1.36712e+07
3  	4.74562e+06	3.25198e+07	7.10181e+07	1.38996e+07
4  	4.59894e+06	3.21294e+07	6.91041e+07	1.3754e+07 
5  	4.00583e+06	3.17967e+07	7.3965e+07 	1.39469e+07
6  	3.99468e+06	3.14081e+07	7.38932e+07	1.38942e+07
7  	3.99468e+06	3.09517e+07	7.02672e+07	1.36115e+07
8  	3.9775e+06 	3.05623e+07	7.06397e+07	1.36043e+07
9  	3.9775e+06 	3.02144e+07	6.53946e+07	1.3361e+07 
10 	3.22338e+06	2.97969e+07	6.3353e+07 	1.31027e+07
11 	3.22338e+06	2.94705e+07	6.30803e+07	1.32172e+07
12 	3.18806e+06	2.90655e+07	6.28046e+07	1.29925e+07
13 	3.18806e+06	2.88301e+07	6.34964e+07	1.32225e+07
14 	3.18806e+06	2.8456e+07 	7.21565e+07	1.31218e+07
15 	2.38464e+06	2.81178e+07	6.78362e+07	1.29198e+07
16 	2.38464e+06	2.77477e+07	6.78521e+07	1.26827e+07
17 	2.38464e+06	2.72883e+07	6.79919e+07	1.24164e+07
18 	2.38464e+06	2.69961e+07	6.67729e+07	1.23213e+07
19 	2.38464e+06	2.66014e+07	6.20933e+07	1.21989e+07
20 	2.35091e+06	2.63112e+07	6.07903e+07	1.19977e+07
21 	1.61505e+06	2.59419e+07	5.78971e+07	1.20577e+07
22 	1.61505e+06	2.56573e+07	6.02466e+07	1.22094e+07
23 	1.61505e+06	2.53569e+07	6.02466e+07	1.21015e+07
24 	1.61505e+06	2.51281e+07	5.77767e+07	1.19523e+07
25 	1.61505e+06	2.48181e+07	6.40362e+07	1.20072e+07
26 	1.61505e+06	2.43717e+07	6.47019e+07	1.19406e+07
27 	1.61505e+06	2.4013e+07 	6.0289e+07 	1.17535e+07
28 	1.61505e+06	2.37527e+07	6.32231e+07	1.17717e+07
29 	1.61505e+06	2.35698e+07	6.32241e+07	1.17604e+07
30 	1.61505e+06	2.31911e+07	5.93796e+07	1.14718e+07
31 	1.61505e+06	2.28492e+07	5.69277e+07	1.13891e+07
32 	1.60716e+06	2.2645e+07 	5.84154e+07	1.12297e+07
33 	1.60716e+06	2.23782e+07	5.66496e+07	1.10591e+07
34 	1.6014e+06 	2.21126e+07	5.62853e+07	1.09719e+07
35 	1.43088e+06	2.18516e+07	5.27565e+07	1.06759e+07
36 	1.43088e+06	2.16151e+07	5.15478e+07	1.07254e+07
37 	1.43088e+06	2.1289e+07 	5.09737e+07	1.05648e+07
38 	1.42361e+06	2.09808e+07	5.12976e+07	1.05709e+07
39 	1.42361e+06	2.07479e+07	5.08498e+07	1.06709e+07
40 	1.42361e+06	2.05666e+07	4.85852e+07	1.06788e+07
41 	1.42361e+06	2.03008e+07	4.87798e+07	1.0488e+07 
42 	1.42361e+06	2.00055e+07	4.88911e+07	1.03518e+07
43 	1.42344e+06	1.97495e+07	4.91623e+07	1.03301e+07
44 	1.42344e+06	1.9622e+07 	4.90829e+07	1.02152e+07
45 	1.42334e+06	1.94667e+07	5.19922e+07	1.01125e+07
46 	1.42173e+06	1.91931e+07	5.19887e+07	9.94346e+06
47 	1.42173e+06	1.90107e+07	5.17251e+07	1.00818e+07
48 	1.42173e+06	1.87425e+07	4.9126e+07 	1.00399e+07
49 	1.42173e+06	1.85293e+07	5.16139e+07	9.93551e+06
50 	1.41948e+06	1.82589e+07	5.16139e+07	9.62161e+06
51 	1.10785e+06	1.80392e+07	5.02039e+07	9.36973e+06
52 	1.10785e+06	1.79016e+07	5.27109e+07	9.26768e+06
53 	986716     	1.77302e+07	5.26071e+07	9.27113e+06
54 	986716     	1.75706e+07	4.70367e+07	9.11438e+06
55 	986716     	1.72582e+07	4.80574e+07	8.95961e+06
56 	978986     	1.70668e+07	4.85712e+07	9.01864e+06
57 	978986     	1.69156e+07	4.57966e+07	8.9003e+06 
58 	978986     	1.67226e+07	4.57966e+07	8.84709e+06
59 	978986     	1.65585e+07	4.99553e+07	8.80555e+06
60 	978986     	1.63751e+07	4.46549e+07	8.54052e+06
61 	978986     	1.6197e+07 	4.33671e+07	8.52441e+06
62 	978986     	1.59464e+07	4.19332e+07	8.2723e+06 
63 	978986     	1.57714e+07	4.38715e+07	8.24563e+06
64 	978986     	1.55373e+07	4.17436e+07	8.16358e+06
65 	978986     	1.54108e+07	4.0677e+07 	8.12285e+06
66 	978986     	1.51786e+07	5.43911e+07	8.22012e+06
67 	978986     	1.49987e+07	4.14323e+07	7.92215e+06
68 	978986     	1.48099e+07	4.12719e+07	7.76435e+06
69 	978986     	1.46052e+07	4.4627e+07 	7.813e+06  
70 	978986     	1.44366e+07	4.24244e+07	7.66508e+06
71 	959817     	1.42485e+07	4.08492e+07	7.54106e+06
72 	776705     	1.4112e+07 	4.04127e+07	7.53208e+06
73 	776682     	1.39998e+07	4.39035e+07	7.68675e+06
74 	776682     	1.37703e+07	4.11885e+07	7.75553e+06
75 	669011     	1.36526e+07	4.03537e+07	7.56544e+06
76 	669011     	1.35207e+07	4.03545e+07	7.41405e+06
77 	669011     	1.33823e+07	3.96268e+07	7.38664e+06
78 	669011     	1.3246e+07 	3.85563e+07	7.26654e+06
79 	669011     	1.30934e+07	3.85561e+07	7.01827e+06
80 	669011     	1.29171e+07	3.65829e+07	7.04164e+06
81 	669011     	1.27236e+07	3.66032e+07	6.98498e+06
82 	669011     	1.25877e+07	3.53841e+07	6.86584e+06
83 	669011     	1.24033e+07	3.54412e+07	6.84247e+06
84 	667318     	1.22076e+07	3.53818e+07	6.75677e+06
85 	667318     	1.20511e+07	3.50441e+07	6.64315e+06
86 	667318     	1.18945e+07	3.50441e+07	6.61975e+06
87 	667318     	1.17727e+07	3.38249e+07	6.5695e+06 
88 	667318     	1.16368e+07	3.38441e+07	6.45276e+06
89 	667318     	1.15366e+07	3.31787e+07	6.3959e+06 
90 	667318     	1.14056e+07	3.31787e+07	6.22816e+06
91 	667318     	1.12854e+07	3.23195e+07	6.12125e+06
92 	662841     	1.11864e+07	3.11097e+07	5.99021e+06
93 	662841     	1.10598e+07	2.89789e+07	5.81941e+06
94 	662841     	1.0936e+07 	3.05449e+07	5.82176e+06
95 	662841     	1.0847e+07 	3.35251e+07	5.77474e+06
96 	662841     	1.07303e+07	3.18339e+07	5.62935e+06
97 	662841     	1.06443e+07	3.06856e+07	5.62576e+06
98 	662841     	1.05673e+07	2.84385e+07	5.53997e+06
99 	662841     	1.04966e+07	3.02803e+07	5.42151e+06
100	614508     	1.04023e+07	2.92317e+07	5.412e+06  
101	614508     	1.03281e+07	2.90217e+07	5.31353e+06
102	614508     	1.02447e+07	2.93879e+07	5.20913e+06
103	614508     	1.01433e+07	3.35726e+07	5.25497e+06
104	614508     	1.00018e+07	3.30004e+07	5.08866e+06
105	612663     	9.93188e+06	2.88331e+07	4.99895e+06
106	609268     	9.85523e+06	2.81932e+07	4.98114e+06
107	609268     	9.78721e+06	2.70905e+07	4.85664e+06
108	581581     	9.70741e+06	2.85665e+07	4.86559e+06
109	581581     	9.62185e+06	2.77124e+07	4.77091e+06
110	573291     	9.48108e+06	2.69606e+07	4.68455e+06
