gen	min       	avg        	max       	std        
0  	7.7379e+06	3.30473e+07	7.0532e+07	1.31808e+07
1  	5.26783e+06	3.27334e+07	7.10676e+07	1.33356e+07
2  	5.26783e+06	3.23686e+07	7.0532e+07 	1.28502e+07
3  	5.26783e+06	3.19694e+07	6.90381e+07	1.2756e+07 
4  	5.26783e+06	3.16709e+07	6.53611e+07	1.23433e+07
5  	2.80126e+06	3.11461e+07	7.43327e+07	1.2562e+07 
6  	2.80126e+06	3.07621e+07	6.60395e+07	1.24624e+07
7  	2.80112e+06	3.03513e+07	6.86762e+07	1.2254e+07 
8  	2.80112e+06	2.99774e+07	6.41638e+07	1.22076e+07
9  	2.80112e+06	2.95063e+07	6.40844e+07	1.21853e+07
10 	2.80112e+06	2.90858e+07	6.3518e+07 	1.2196e+07 
11 	2.80112e+06	2.87623e+07	6.31472e+07	1.20032e+07
12 	2.70735e+06	2.8293e+07 	6.7016e+07 	1.22144e+07
13 	2.17255e+06	2.77927e+07	6.40978e+07	1.21688e+07
14 	2.17255e+06	2.73497e+07	6.18946e+07	1.20345e+07
15 	2.17255e+06	2.6942e+07 	6.18946e+07	1.18202e+07
16 	2.17255e+06	2.66614e+07	6.03634e+07	1.16158e+07
17 	2.17255e+06	2.64663e+07	6.2755e+07 	1.15015e+07
18 	2.13382e+06	2.61214e+07	6.50811e+07	1.13712e+07
19 	2.0052e+06 	2.58611e+07	6.06742e+07	1.13384e+07
20 	2.0052e+06 	2.55941e+07	5.83763e+07	1.13724e+07
21 	2.0052e+06 	2.53117e+07	5.92443e+07	1.14258e+07
22 	1.98496e+06	2.51105e+07	5.92443e+07	1.11907e+07
23 	1.98496e+06	2.4819e+07 	5.92536e+07	1.11545e+07
24 	1.96913e+06	2.44399e+07	6.31122e+07	1.11473e+07
25 	1.7875e+06 	2.41561e+07	5.87138e+07	1.11209e+07
26 	1.7857e+06 	2.38678e+07	6.93065e+07	1.11037e+07
27 	1.46672e+06	2.36272e+07	6.08349e+07	1.10433e+07
28 	1.46418e+06	2.33726e+07	5.20531e+07	1.06246e+07
29 	1.46418e+06	2.30678e+07	5.20803e+07	1.02244e+07
30 	1.46418e+06	2.27999e+07	5.78579e+07	1.03604e+07
31 	1.46418e+06	2.24401e+07	6.16806e+07	1.07844e+07
32 	1.46418e+06	2.21589e+07	5.63786e+07	1.06066e+07
33 	1.46418e+06	2.1909e+07 	5.50053e+07	1.06141e+07
34 	1.44484e+06	2.17349e+07	5.77518e+07	1.06625e+07
35 	1.44484e+06	2.14506e+07	5.74234e+07	1.08087e+07
36 	1.44484e+06	2.1183e+07 	5.66819e+07	1.08859e+07
37 	1.44484e+06	2.08717e+07	5.37981e+07	1.06356e+07
38 	1.44484e+06	2.06354e+07	5.37981e+07	1.02704e+07
39 	1.39943e+06	2.03482e+07	5.29602e+07	1.01452e+07
40 	1.37332e+06	2.00089e+07	5.29492e+07	1.01064e+07
41 	1.37332e+06	1.97781e+07	5.3286e+07 	9.9269e+06 
42 	1.37332e+06	1.95223e+07	5.15477e+07	9.76604e+06
43 	1.37332e+06	1.92625e+07	5.11234e+07	9.57924e+06
44 	1.37332e+06	1.90711e+07	5.20554e+07	9.5955e+06 
45 	1.37332e+06	1.88037e+07	5.20554e+07	9.36709e+06
46 	1.37314e+06	1.85709e+07	5.20688e+07	9.55511e+06
47 	1.37307e+06	1.83939e+07	5.03353e+07	9.42445e+06
48 	1.37307e+06	1.80774e+07	4.69195e+07	9.31428e+06
49 	1.37307e+06	1.78059e+07	4.69195e+07	8.98196e+06
50 	1.37307e+06	1.76325e+07	4.71387e+07	9.11476e+06
51 	1.37255e+06	1.73637e+07	4.87849e+07	9.16488e+06
52 	1.37255e+06	1.70974e+07	4.68074e+07	8.79738e+06
53 	1.08572e+06	1.69444e+07	4.69204e+07	8.78198e+06
54 	1.03529e+06	1.67217e+07	4.63655e+07	8.34147e+06
55 	1.03529e+06	1.65271e+07	4.61852e+07	8.38416e+06
56 	1.03529e+06	1.63316e+07	4.64728e+07	8.25909e+06
57 	1.03198e+06	1.60794e+07	4.47227e+07	8.15766e+06
58 	1.03198e+06	1.59309e+07	4.29672e+07	8.21908e+06
59 	1.03198e+06	1.574e+07  	4.62379e+07	8.21208e+06
60 	1.03198e+06	1.55325e+07	4.02426e+07	7.98938e+06
61 	1.03198e+06	1.53376e+07	4.02311e+07	7.68968e+06
62 	1.03198e+06	1.52166e+07	3.85208e+07	7.53131e+06
63 	1.03198e+06	1.505e+07  	3.88922e+07	7.56264e+06
64 	1.03198e+06	1.48815e+07	3.84718e+07	7.36339e+06
65 	1.03198e+06	1.4788e+07 	3.79976e+07	7.17827e+06
66 	1.03198e+06	1.46454e+07	3.83198e+07	7.07225e+06
67 	1.03198e+06	1.45452e+07	3.88018e+07	6.91902e+06
68 	1.03198e+06	1.43878e+07	3.87469e+07	6.79948e+06
69 	1.02418e+06	1.42608e+07	3.88275e+07	6.8052e+06 
70 	1.02114e+06	1.41386e+07	3.85991e+07	6.80708e+06
71 	1.02114e+06	1.39876e+07	3.7112e+07 	6.88035e+06
72 	1.02114e+06	1.38281e+07	3.97892e+07	6.88683e+06
73 	1.02114e+06	1.36778e+07	3.97892e+07	6.71263e+06
74 	1.02114e+06	1.35087e+07	3.71932e+07	6.70879e+06
75 	1.02114e+06	1.33914e+07	3.70089e+07	6.56906e+06
76 	1.02114e+06	1.32597e+07	3.47962e+07	6.46456e+06
77 	1.02114e+06	1.30535e+07	3.5598e+07 	6.28042e+06
78 	999568     	1.28966e+07	3.45327e+07	6.19296e+06
79 	999568     	1.27661e+07	3.49899e+07	6.20298e+06
80 	999568     	1.26374e+07	3.40712e+07	5.98611e+06
81 	999568     	1.2414e+07 	3.16802e+07	5.89522e+06
82 	999360     	1.23461e+07	3.10632e+07	5.86399e+06
83 	976365     	1.21975e+07	3.07694e+07	5.81208e+06
84 	976365     	1.20073e+07	3.20002e+07	5.77094e+06
85 	976365     	1.18809e+07	3.1909e+07 	5.8619e+06 
86 	976365     	1.17833e+07	3.19092e+07	5.75853e+06
87 	976365     	1.1675e+07 	3.74457e+07	5.84616e+06
88 	976365     	1.15313e+07	3.56893e+07	5.87731e+06
89 	976365     	1.1387e+07 	3.34849e+07	5.8316e+06 
90 	976365     	1.12867e+07	3.17349e+07	5.76099e+06
91 	976365     	1.11782e+07	3.02908e+07	5.73872e+06
92 	976365     	1.1092e+07 	2.70138e+07	5.53635e+06
93 	976365     	1.09411e+07	2.61573e+07	5.36389e+06
94 	975864     	1.08341e+07	2.67557e+07	5.36956e+06
95 	975864     	1.07466e+07	2.66484e+07	5.27445e+06
96 	975864     	1.06358e+07	2.86266e+07	5.24843e+06
97 	975864     	1.05547e+07	2.86283e+07	5.37403e+06
