gen	min    	avg    	max    	std 
0  	1252.21	4591.66	10782.2	1925
1  	1242.46	4552.08	10021.9	1878.54
2  	1205.96	4491.76	9859.41	1844.39
3  	1171.55	4428.42	9590.43	1795.19
4  	1171.55	4384.56	9592.53	1828.54
5  	1092.89	4334.59	9656.66	1834.46
6  	1092.89	4277.19	9705.69	1814.27
7  	1085.5 	4233.07	9846.87	1784.03
8  	1060.6 	4195.67	9784.04	1750.97
9  	1046.27	4152.59	9568.6 	1765.08
10 	918.385	4110.35	10042.3	1778.53
11 	727.106	4078.47	9800.7 	1761.73
12 	727.106	4026.15	9668.45	1707.04
13 	727.106	3958.77	9343.3 	1676.9 
14 	727.106	3900.11	9289.51	1651.08
15 	632.408	3849.03	9479.02	1670.32
16 	632.408	3803.22	9420.65	1643.32
17 	632.408	3766.19	8612.32	1625.52
18 	632.408	3733.45	8729.15	1654.51
19 	537.636	3697.4 	8592.41	1629.46
20 	537.636	3655.29	8807.66	1626.54
21 	537.636	3610.83	8391.33	1609.36
22 	537.636	3577.97	8205.98	1580.69
23 	537.636	3526.05	7815.26	1541.17
24 	537.636	3489.39	7772.41	1531.03
25 	537.636	3454.62	7703.73	1503.21
26 	537.636	3414.59	7393.38	1489.9 
27 	537.636	3371.9 	8959.92	1485.4 
28 	537.636	3335.05	8777.49	1460.75
29 	513.959	3297.75	8594.72	1472.32
30 	513.959	3261.84	8285.87	1442.9 
31 	513.959	3235.23	7783.65	1442.79
32 	513.959	3198.47	7654.61	1429.33
33 	492.058	3172.29	7336.62	1401.32
34 	492.058	3143.67	7424.52	1364.16
35 	492.058	3116.25	7101.36	1362.42
36 	492.058	3062.9 	7986.94	1360.52
37 	492.058	3032.89	7977.07	1344.95
38 	492.058	3008.42	7970.79	1326.86
39 	492.058	2980.05	7742.33	1308.88
40 	492.058	2940.3 	7877.69	1264.22
41 	492.058	2909.1 	7319.02	1245.31
42 	492.058	2886.6 	7220.25	1242.25
43 	492.058	2855.55	7204.73	1229.47
44 	492.058	2827.22	7195.07	1214.79
45 	492.058	2799.68	7133.61	1182.02
46 	492.058	2774.9 	6817.56	1161.14
47 	488.447	2742.67	6719.62	1149.81
48 	435.409	2713.77	6632.26	1131.57
49 	435.409	2689.51	6244.11	1114.33
50 	435.409	2666.81	6286.51	1128.39
51 	435.409	2644.46	6615.63	1131.67
52 	435.409	2616.66	6546.78	1123.35
53 	410.812	2587.1 	6541.69	1106.89
54 	410.812	2557.7 	6259.12	1091.33
55 	410.812	2527.96	6240.42	1052.86
56 	383.483	2498.9 	6137.93	1042.95
57 	383.483	2474.28	6780.85	1032.72
58 	383.483	2451.09	5995.02	1044.95
59 	375.078	2426.34	6579.37	1034.24
60 	375.078	2397.71	6113.54	1019.51
61 	375.078	2368.01	5868.79	1001.77
62 	375.078	2347.23	5817.2 	967.013
63 	375.078	2328.36	5607.21	955.165
64 	375.078	2309.78	5661.74	975.982
65 	375.078	2284.69	5796.75	968.197
66 	375.078	2255.03	5684.01	954.065
67 	375.078	2234.41	5539.74	942.981
68 	375.078	2215.71	5571.1 	929.534
69 	375.078	2197.9 	5180.83	914.091
70 	375.078	2175.14	5233.95	897.272
71 	375.078	2160.86	5213.38	874.469
72 	375.078	2137.16	5271.47	880.918
73 	375.078	2121.09	5350.64	875.079
74 	328.448	2097.31	5130.91	866.367
75 	328.448	2081.97	5024.62	849.522
76 	313.963	2068.15	4736.41	835.042
77 	313.963	2049.33	4962.29	848.599
78 	313.963	2030.89	4739.75	815.599
79 	313.963	2011.25	4773.7 	797.503
80 	313.963	1995.04	4784.05	778.066
81 	313.963	1980.05	4784.05	761.061
82 	313.963	1960.74	4647.86	762.728
83 	313.963	1939.22	4612.38	745.502
84 	313.963	1923.43	4630.35	737.848
85 	308.975	1909.49	4580.1 	736.004
86 	308.975	1893.44	4384.6 	713.847
87 	308.975	1874.65	4203.01	721.194
88 	308.975	1865.85	4219.1 	714.69 
89 	308.975	1856.72	4088.08	699.016
90 	308.975	1843.17	4169.78	700.606
91 	290.551	1829.34	4304.39	694.335
92 	269.17 	1821.47	4064.18	689.497
93 	269.17 	1807.43	4063.11	677.457
94 	269.17 	1792.76	4052.17	682.925
95 	269.17 	1779.22	3902.54	678.996
96 	269.17 	1764.69	3952.68	672.115
97 	269.17 	1752.44	4162.01	673.617
98 	269.17 	1736.99	4005.37	660.583
99 	269.17 	1722.84	4145.8 	642.96 
100	269.17 	1710.07	3934.17	628.204
101	269.17 	1700.69	3772   	623.593
102	269.17 	1683.04	3586.86	598.732
103	269.17 	1673.6 	3669.45	596.932
104	269.17 	1658.79	3584.35	604.677
105	269.17 	1649.5 	3598.85	597.358
106	253.671	1636.14	3702.03	599.595
107	250.719	1624.12	3744.02	578.649
108	250.719	1615.85	3744.02	561.85 
109	250.719	1605.48	3704.7 	542.272
110	250.719	1594.69	3697.93	532.145
111	250.719	1585.77	3649.12	539.684
112	250.719	1577.02	3649.12	538.688
113	250.719	1564.93	3247.99	528.816
114	250.719	1554.42	3247.99	523.834
115	248.05 	1542.95	3202.5 	522.797
116	240.242	1531.57	3642.08	523.396
117	240.242	1522.58	3619.88	525.975
118	240.242	1513.5 	3359.22	504.919
119	240.242	1503.37	3280.51	505.053
120	238.225	1487.52	3123.44	495.591
121	238.225	1476.85	3188.09	493.264
122	238.225	1465.85	3188.09	470.655
123	238.225	1453.85	3220.39	465.051
124	238.225	1444.87	3086.86	454.665
125	238.225	1435.77	3048.06	436.095
126	190.57 	1427.32	2999.29	429.294
127	190.57 	1421.2 	2960.82	423.559
128	190.57 	1413.29	2997.13	417.443
129	190.57 	1405.27	2943.08	415.628
130	190.57 	1394.91	2752.98	405.067
131	190.57 	1385.87	2750.29	395.335
132	190.57 	1379.88	2597.42	388.768
133	190.57 	1370.15	2746.69	395.508
134	190.57 	1361.45	2552.1 	398.119
135	190.57 	1353.39	2780.03	386.696
136	190.57 	1343.93	2568.9 	377.837
137	190.57 	1338.99	2621.52	376.436
138	190.57 	1332.43	2594.85	380.888
139	190.57 	1323.19	2555.22	360.724
140	190.57 	1316.71	2801.39	369.804
141	190.57 	1311.7 	2534.68	363.632
142	190.57 	1305.5 	2466.1 	357.793
143	160.182	1296.99	2419.12	356.192
144	160.182	1288.39	2409.07	357.42 
145	160.182	1278.73	2409.07	346.304
146	160.182	1273.62	2234.23	343.129
147	160.182	1270.13	2344.49	350.011
148	160.182	1263.64	2297.4 	348.782
149	160.182	1257.42	2347.93	345.078
150	160.182	1248.48	2343.91	347.625
151	160.182	1244.46	2441.46	332.933
152	160.182	1237.45	2441.69	318.527
153	160.182	1229.88	2403.33	327.978
154	160.182	1225.84	2307.51	328.283
155	160.182	1220   	2241.7 	323.639
156	160.182	1214.81	2146.2 	324.103
157	160.182	1209.38	2179.17	321.283
158	160.182	1205.69	2130.24	314.492
159	160.182	1199.48	2282.37	319.419
160	160.182	1195.03	2471.69	312.114
161	153.851	1190.35	2047.21	305.525
162	153.851	1185.76	2072.23	298.951
163	153.851	1181.45	2078.54	300.708
164	153.851	1175.12	2084.4 	300.299
165	153.851	1169.89	2208.02	295.624
166	153.851	1166.76	2133.33	288.439
167	153.851	1163.34	2071.06	284.753
168	153.851	1156.65	2065.8 	278.783
169	153.851	1152.52	2014.27	277.798
170	153.851	1147.49	2025.05	282.004
171	153.851	1144.01	2025.05	277.682
172	153.851	1139.34	2027.13	281.396
173	153.851	1133.9 	1952.03	271.62 
174	153.851	1130.32	2004.07	273.854
