gen	min 	avg    	max    	std    
0  	1110	4689.28	12432.9	1993.79
1  	1075.68	4606.27	11335.3	1958.1 
2  	993.764	4536.33	10801.3	1941.56
3  	993.764	4493.18	10708.8	1920.9 
4  	981.953	4440.06	11193.1	1924.19
5  	981.953	4376.68	11135.7	1916.88
6  	938.343	4338.93	10908.1	1895.37
7  	735.692	4269.06	10846.9	1888   
8  	735.692	4227.53	10747.1	1848.31
9  	735.692	4174.13	10119.6	1799.03
10 	735.692	4122.95	9728.05	1753.15
11 	735.692	4077.24	9383.76	1740.19
12 	735.692	4032.91	9240.21	1721.55
13 	735.692	3990.35	8749.47	1753.06
14 	735.692	3942.1 	8948.09	1756.71
15 	708.732	3908.25	8796.75	1698.59
16 	708.732	3870.15	8833.28	1713.58
17 	708.732	3826.98	8920.86	1686.88
18 	708.732	3791.77	10007.6	1648.74
19 	678.351	3744.47	9676.49	1648.44
20 	604.585	3710.76	9102.68	1625.17
21 	582.868	3673.38	8884.9 	1596.51
22 	582.868	3641.71	9212.22	1585.46
23 	582.868	3580.69	8834.94	1540.08
24 	582.868	3539.55	8680.72	1534.45
25 	582.868	3485.03	8992.8 	1529.71
26 	582.868	3443.68	8848.99	1518.43
27 	582.868	3406.86	8863.32	1511.24
28 	582.868	3379.82	8428.79	1521.55
29 	582.868	3333.11	8523.77	1507.47
30 	450.443	3277.38	8184.4 	1499.03
31 	450.443	3249.03	7967.05	1483.11
32 	450.443	3202.04	7978.81	1461.96
33 	450.443	3164.66	8037.36	1410.84
34 	450.443	3126.8 	7477.47	1388.51
35 	450.443	3100.97	7245.42	1365.91
36 	450.443	3064.01	7522.55	1367.32
37 	450.443	3023.41	7431.73	1336.5 
38 	450.443	2996.66	7045.51	1318.26
39 	450.443	2963.79	6970.06	1306.64
40 	450.443	2925.82	7874.17	1300.82
41 	450.443	2897.94	7176.16	1274.71
42 	450.443	2879.03	6739.34	1251.8 
43 	450.443	2857.92	6948.44	1229.64
44 	450.443	2828.87	7054.73	1226.83
45 	450.443	2800.6 	6876.96	1225.09
46 	450.443	2771.68	7075.29	1226.75
47 	450.443	2746.4 	6583.92	1194   
48 	444.622	2718.54	6726.92	1174.81
49 	383.772	2691.81	6387.4 	1170.28
50 	383.772	2659.31	6343.42	1146.77
51 	383.772	2636.37	6181.17	1116.99
52 	383.772	2612.93	6467.84	1142.07
53 	383.772	2591.34	6211.12	1113.91
54 	383.772	2556.25	6211.12	1100.68
55 	383.772	2529.5 	5881.13	1091   
56 	383.772	2501.38	5782.87	1088.43
57 	383.772	2478.62	6099.7 	1072.47
58 	383.772	2454.84	5984.69	1046.01
59 	383.772	2418.79	6050.47	1025.15
