gen	min    	avg    	max  	std    
0  	1162.55	4661.16	11777	1978.62
1  	1162.55	4605.81	11225.8	1971.17
2  	1162.55	4544.51	13202.3	1952.8 
3  	934.807	4499.86	11574.2	1895.93
4  	934.807	4437.71	10632.7	1856.76
5  	934.807	4378.4 	10478.5	1861   
6  	934.807	4329.41	11577.5	1857.37
7  	931.263	4278.56	10380.4	1880.19
8  	931.263	4217.28	10441.6	1857   
9  	931.263	4153.72	10210.5	1827.1 
10 	931.263	4108.98	10147.8	1796.05
11 	931.263	4063.59	9631.59	1766.29
12 	779.333	4006.66	9407.12	1769.21
13 	779.333	3974.6 	9465.67	1733.65
14 	779.333	3928.94	9050.8 	1711.55
15 	739.568	3868.59	8906.7 	1683.66
16 	674.381	3823.1 	9997.1 	1670.41
17 	674.381	3776.15	10016  	1653.78
18 	674.381	3736.44	9011.99	1623.17
19 	674.381	3688.31	10014  	1611.45
20 	634.726	3633.47	9513.4 	1588.74
21 	634.726	3577.78	9622.29	1596.73
22 	634.726	3545.99	9226.88	1621.92
23 	634.726	3511.15	9523.77	1606.86
24 	634.726	3477.18	8514.82	1580.82
25 	521.153	3447.7 	8700.66	1548.32
26 	488.751	3409.84	8075.43	1511.06
27 	488.751	3373.26	8452.31	1480.01
28 	488.751	3320.65	7981.55	1409.12
29 	488.751	3290.09	7993.36	1429.98
30 	488.751	3259.07	8886.55	1445.7 
31 	488.751	3224.66	8512.86	1413.58
32 	488.751	3177.72	8612.57	1372.15
33 	488.751	3147.64	7937.72	1348.44
34 	488.751	3111.9 	7983.93	1316.31
35 	488.751	3072.92	7224.65	1313.57
36 	488.751	3046   	7520.41	1293.29
37 	488.751	3020.52	7233.21	1303.39
38 	488.751	2986.82	7586.9 	1314.69
39 	474.83 	2954.95	7876.64	1315.05
40 	429.423	2932.6 	7891.02	1324.47
41 	429.423	2888.7 	7800.89	1295.44
42 	388.291	2862.73	7018.18	1284.33
43 	388.291	2827.32	7088.39	1255.64
44 	388.291	2802.03	7087.01	1224.67
45 	388.291	2769.19	6909.22	1232.25
46 	388.291	2745.13	8020.7 	1209.22
47 	388.291	2711.52	6668.52	1173.88
48 	374.228	2681.77	6692.42	1157.51
49 	374.228	2655.46	6791.69	1133.7 
50 	374.228	2629.55	6480.27	1106.38
51 	374.228	2603.77	6416.38	1069.61
52 	352.849	2571.46	6150.5 	1076.31
53 	340.896	2541.26	5997.29	1063.71
54 	340.896	2513.98	6740.54	1076.8 
55 	340.896	2485.94	5806.24	1031.1 
56 	340.896	2467.34	5733.66	1021.39
57 	340.896	2436.9 	7225.13	1020.3 
58 	326.007	2409.76	5981.1 	1003.69
59 	326.007	2379.15	5852.34	999.66 
60 	310.856	2361.71	5987.25	991.703
61 	310.856	2339.59	5726.79	967.677
62 	310.856	2319.9 	6305.32	951.544
63 	310.856	2296.32	5304.62	919.381
64 	310.856	2265.13	5089.74	881.266
65 	310.856	2249.6 	5078.92	872.386
66 	310.856	2221.99	5290.87	883.287
67 	310.856	2198.92	4952.32	864.035
68 	310.856	2174.27	5290.9 	865.805
69 	310.856	2152.21	5008.84	866.804
70 	310.856	2131.62	5687.81	888.379
71 	310.856	2110.94	5157.6 	875.336
72 	310.856	2089.04	5370.06	872.815
73 	310.856	2068.86	6240.14	867.686
74 	310.856	2037.74	5220.74	809.943
75 	310.856	2017.27	4947.34	779.501
76 	310.856	1994.01	4977.98	755.402
77 	310.856	1976.34	4764.55	752.583
78 	310.856	1960.48	4440.87	751.489
79 	310.856	1946.77	4691.97	749.81 
80 	310.856	1931.41	4510.39	732.416
81 	310.856	1917.06	5102.94	733.493
82 	310.856	1902.2 	4477.24	718.846
83 	310.856	1883.29	4576.63	722.797
84 	310.856	1867.3 	4684.43	708.929
85 	310.856	1854.97	4511.86	711.873
86 	310.856	1838.47	4369.04	698.698
87 	310.856	1824.87	4336.31	689.478
88 	310.856	1805.09	4845.55	681.614
89 	310.856	1790.89	4190.06	652.639
90 	310.856	1775.95	4275.63	663.989
91 	310.856	1763.78	4424.11	654.964
92 	310.856	1751.84	4120.49	657.374
93 	310.856	1739.04	4107.75	651.866
94 	310.856	1728.03	3954.95	647.084
95 	310.856	1711.8 	3987.24	631.382
96 	310.856	1704.56	3723.23	630.745
97 	310.856	1693.3 	3928.68	616.06 
98 	310.856	1683.15	3662.2 	603.79 
99 	310.856	1671.82	3594.18	593.106
100	310.856	1661.94	4317.41	594.945
101	310.856	1649.36	4098.97	588.209
102	310.856	1631.44	4284.96	571.453
103	310.856	1613.93	4088.59	562.028
104	310.856	1603.34	3810.47	547.304
105	309.993	1588.41	3851.6 	542.009
106	309.993	1576.34	3713.29	523.952
107	309.993	1560.64	3531.36	511.666
108	309.993	1549.79	3421.86	504.465
109	306.375	1538.82	3555.55	498.696
110	306.375	1529.23	3432.27	494.229
111	259.353	1520.75	3407.61	477.942
112	259.353	1508.46	3151.38	474.514
113	259.353	1498.32	3238.47	467.394
114	259.353	1490.5 	3238.47	472.73 
115	259.353	1483.1 	3117.13	463.838
116	259.353	1473.34	3077.11	462.372
117	243.285	1461.74	2982.59	453.538
118	243.285	1452.66	3097.05	453.352
119	243.285	1442.7 	2965.74	453.406
120	243.285	1432.69	2914.35	445.354
121	243.285	1423.42	2861.66	437.606
122	243.285	1416.24	2934.03	433.583
123	242.534	1407.26	2754.76	420.455
124	242.534	1394.56	2926.26	416.414
125	242.534	1387.21	2907.14	410.205
126	212.602	1377.92	2907.14	411.895
127	212.602	1371.8 	2819.62	404.636
128	212.602	1363.96	2784.65	402.682
129	212.602	1356.89	2688.17	398.049
130	212.602	1352.19	2666.64	390.556
131	212.602	1346.36	2663.21	392.136
132	212.602	1340   	2581.06	383.652
133	212.602	1333.92	2573.53	375.107
134	212.602	1329.63	2416.58	371.705
135	212.602	1323.71	2536.74	372.051
136	212.602	1319.26	2563.81	377.632
137	212.602	1308.99	2522.42	361.9  
138	212.602	1304.72	2339.25	357.525
139	212.602	1299.55	2366.88	356.18 
140	212.602	1293.28	2323.99	349.338
141	212.602	1288.21	2459.39	358.973
142	212.602	1282.09	2405.02	344.29 
143	212.602	1273.46	2382.32	343.9  
144	212.602	1268.73	2383.27	338.85 
145	212.602	1262.51	2376.13	327.288
146	212.602	1257.36	2281.48	325.568
147	212.602	1251.33	2240.99	323.127
148	212.602	1245.08	2240.99	316.176
149	212.602	1235.47	2253.97	313.932
150	212.602	1232.43	2247.59	311.544
151	212.602	1227.86	2311.48	316.102
152	212.602	1222.03	2250.55	314.944
153	212.602	1215.97	2250.55	310.704
154	212.602	1211.24	2250.55	304.393
155	212.602	1203.08	2043.06	302.376
156	212.602	1196.38	2146.37	298.265
157	212.602	1192.63	2125.82	301.789
158	212.602	1186.6 	2094.97	298.592
159	212.602	1181.74	2216.74	295.105
160	212.602	1178.31	2185.46	288.769
161	212.602	1173.67	2012.42	289.896
162	212.602	1169.21	2036.16	294.053
163	212.602	1163.98	1995.77	289.813
164	212.602	1161.09	2041.93	283.599
165	212.602	1156.5 	2075.86	280.144
166	212.602	1150.17	2019.63	270.285
167	212.602	1147.28	1971.57	263.466
168	212.602	1144.28	1946.88	261.97 
169	212.602	1141.72	1939.08	261.812
