/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg  	max    	std    
0  	1734.43	14019	32707.4	6414.98
1  	1734.43	13821.7	33208.9	6409.69
2  	1371.32	13628.3	34331  	6417.58
3  	1371.32	13486.4	34258.5	6384.56
4  	1371.32	13268.6	32700.8	6535.24
5  	1048.9 	13038.7	32608.5	6504.65
6  	1048.9 	12814.7	32198  	6538.24
7  	1010.59	12615.1	32198  	6555.96
8  	1010.59	12442.8	31937  	6364.54
9  	1010.59	12327.9	31740.1	6257.8 
10 	1010.59	12160.8	31089.3	6124.58
11 	1010.59	11971.1	30572.6	6254.65
12 	995.196	11832.9	29173.3	6122.54
13 	995.196	11712  	29581.7	5941.88
14 	940.924	11591.9	28555.7	5872.55
15 	940.924	11404.6	31116.5	5748.39
16 	940.924	11241.5	28430.3	5852.99
17 	848.384	11073.8	27741.8	5916.36
18 	836.177	10903.4	30189.5	5901.19
19 	836.177	10700.3	31238.4	5877.71
20 	836.177	10546  	30215.4	5901.89
21 	836.177	10422.4	27685.3	5856.62
22 	836.177	10327.7	29005.6	5987.47
23 	836.177	10210.9	29179  	5942.47
24 	836.177	10029.9	28675.6	5851.83
25 	836.177	9845.42	27854.3	5591.82
26 	836.177	9717.11	30398.1	5646.97
27 	836.177	9560.18	27383.3	5448.42
28 	836.177	9451.59	25859.4	5308.67
29 	836.177	9334.48	26710  	5258.73
30 	787.787	9202.73	24401.2	5059.12
31 	787.787	9083.88	24445.7	5086.29
32 	787.787	8983.91	23564.9	4940.95
33 	787.787	8859.6 	23136.9	4979.08
34 	778.712	8726.07	25297.4	5046.95
35 	778.712	8616.23	25401  	4931.05
36 	778.712	8483.31	23436.9	4950.55
37 	778.712	8308.19	23005.8	4916.06
38 	736.895	8170.16	22825.5	4765.82
39 	736.895	8052.22	22928.6	4745.32
40 	718.958	7931.43	22852.3	4707.4 
41 	718.958	7862.68	22827.4	4667.44
42 	718.958	7767.5 	22066.6	4573.81
43 	718.958	7611.23	22790.7	4467.86
44 	718.958	7433.79	22893.2	4428.92
45 	718.958	7353.55	22678.1	4443.9 
46 	718.958	7201.33	22872.4	4258.17
47 	718.958	7064.51	24976.1	4353   
48 	718.958	6941.98	24692.5	4275.81
49 	667.65 	6854.73	24706.7	4148.65
50 	667.65 	6751.19	24741  	4118.56
51 	524.877	6617.02	21432.9	4070.39
52 	524.877	6504.08	19735.3	3991.49
53 	524.877	6418   	19412.6	3882.62
54 	524.877	6316.86	19381.6	3923.69
55 	524.877	6238.11	19624.7	3927.7 
56 	524.877	6156.58	19439.1	3887.86
57 	434.861	6020.16	19526.2	3892.52
58 	434.861	5900.27	18254.7	3734.04
59 	434.861	5829.06	17843  	3653.78
60 	415.43 	5729.32	17282.3	3650.48
61 	415.43 	5659.19	16815.4	3627.82
62 	415.43 	5594.76	16174.5	3535.42
63 	415.43 	5518.56	16414.3	3524.56
64 	415.43 	5446.92	15918.2	3539.08
65 	415.43 	5376.15	15834.8	3529.53
66 	415.43 	5285.89	18049.5	3607.44
67 	415.43 	5201.28	16307.2	3539.18
68 	385.708	5136.53	19634.4	3488.11
69 	385.708	5051.56	19627  	3502.69
70 	385.708	4935.07	17492.8	3371.98
71 	385.708	4830.69	16847  	3279.04
72 	372.382	4756.3 	16778.7	3295.17
73 	372.382	4689.63	16768.1	3328.32
74 	372.382	4630.68	15855.8	3142.88
75 	372.382	4590.85	15057.9	3135.18
76 	372.382	4492.67	15659.6	3081.42
77 	350.898	4434.22	13989.7	3001.73
78 	341.968	4383.66	15612.1	2994.34
79 	341.968	4299.1 	16979  	3024.05
80 	341.968	4226.77	13966.4	2953.35
81 	341.968	4156.65	14010.7	2908.86
82 	341.968	4113.6 	14037.3	2935.12
83 	341.968	4055.58	14512.4	2939.77
84 	341.968	3988.55	14508.4	2920.99
85 	341.968	3922.55	14407.2	2849.45
86 	341.968	3871.3 	14868.7	2800.73
87 	341.968	3820.9 	14332.1	2726.55
88 	341.968	3766.65	14069.4	2691.02
89 	334.7  	3725.65	14143.8	2608.72
90 	334.7  	3662.33	13595.5	2599.64
91 	334.7  	3621.57	13516.8	2563.61
92 	334.7  	3581.21	12626.9	2507.65
93 	318.148	3522.27	12562.7	2490.83
94 	318.148	3468.09	12608.5	2446.98
95 	311.167	3422.43	12713.5	2515.47
96 	311.167	3342.06	12429.5	2461.77
97 	274.56 	3286.4 	12504  	2468.21
98 	274.56 	3239.6 	11473.9	2408.35
99 	274.56 	3191.18	13111.3	2386.58
100	274.56 	3134.6 	12335.9	2346.35
101	266.377	3085.48	11541.9	2247.77
102	266.377	3041.84	11135  	2179.02
103	260.518	2989.91	10315.3	2101.69
104	260.518	2955.47	10326.6	2088.34
105	260.518	2925.37	10188.9	2070.48
106	260.518	2889.15	10196.4	2057.28
107	260.518	2852.12	10330.1	2065.39
108	260.518	2805.31	10250.1	1994.47
109	260.518	2762.2 	10088.5	1985.91
110	260.518	2708.84	10375.1	1961.98
111	260.518	2682.18	9449.04	1912.95
112	244.582	2642.08	9322.21	1900.19
113	244.582	2607.53	8721.64	1872.04
114	244.582	2569.14	9102.58	1835.71
115	244.582	2535.88	8635.09	1817.79
116	244.582	2497.19	9418.63	1786.93
117	244.582	2462.9 	8656.33	1770.02
118	244.582	2438.35	9100.74	1754.87
119	244.582	2408.87	8995.96	1745.02
120	244.582	2379.63	8366.37	1723.15
121	244.582	2354.36	7890.56	1628.41
122	244.582	2316.18	7516.34	1575.55
123	236.25 	2282.44	8164.11	1564.02
124	236.25 	2242.96	8205.02	1579.92
125	236.25 	2219.66	7883.19	1557.56
126	236.25 	2185.25	7883.19	1539.67
127	236.25 	2155.24	7806.26	1497.31
128	236.25 	2126.08	8689.7 	1499.25
129	218.101	2105.69	7805.3 	1511.49
130	218.101	2084.29	7689.74	1467.11
131	218.101	2059.02	7573.72	1422.26
132	218.101	2027.47	7439.99	1398.13
133	218.101	2006.25	7108.82	1367.54
134	218.101	1987.68	7013.24	1346.3 
135	140.89 	1960.51	6968.52	1342.23
136	124.71 	1924.6 	6913.75	1300.86
137	124.71 	1890.94	6894.71	1274.14
138	124.71 	1859.3 	7048.36	1275.85
139	118.037	1837.78	6843.2 	1273.55
140	118.037	1816.12	6850.08	1261.13
141	118.037	1792.49	6850.08	1222.4 
142	118.037	1770.72	6675.07	1223.25
143	118.037	1755.49	6716.47	1219.44
144	118.037	1733.28	6638.98	1189.36
145	118.037	1713.59	6575.52	1177.61
146	118.037	1697.24	6138.74	1149.45
147	118.037	1682.52	6059.97	1126.64
148	118.037	1663.08	7100.53	1112.76
149	118.037	1641.71	5949.33	1088.68
150	118.037	1623.67	5926.1 	1059.19
151	118.037	1609.98	5759.39	1052.29
152	118.037	1595.58	5714.29	1036.4 
153	118.037	1577.07	5759.66	1023.69
154	118.037	1543.8 	5637.35	994.211
155	118.037	1523.16	5687.02	988.617
156	118.037	1500.04	5687.02	951.85 
157	118.037	1481.07	5502.47	924.637
158	118.037	1455.76	5484.46	891.124
159	118.037	1440.39	5170.74	874.338
160	115.695	1419.94	5498.63	841.04 
161	115.695	1397.7 	4940.29	813.323
162	115.695	1385.69	4946.05	807.726
163	115.695	1366.77	4665.57	781.616
164	115.695	1353.11	4939.42	762.67 
165	115.695	1339.07	4675.17	746.498
166	115.695	1323.67	4615.91	732.463
167	115.695	1304.32	4857.53	717.195
168	115.695	1285.03	4614.77	694.802
169	115.695	1269.57	4353.64	679.926
170	115.695	1258.91	4353.64	677.467
171	115.695	1245.18	4363.08	659.63 
172	115.695	1231.86	4168.79	650.591
173	115.695	1218.6 	3981.81	645.417
174	115.695	1209.38	3970.35	642.649
175	115.695	1197.91	3923.57	620.137
176	115.695	1183.31	4191.41	604.432
177	115.695	1171.72	3935.1 	590.068
178	115.695	1158.19	3870.86	576.835
179	115.695	1148.67	3734.64	567.471
180	115.695	1139.81	3419.56	547.101
181	115.695	1131.81	3398.12	533.519
182	115.695	1123.81	3395.68	537.265
183	115.695	1114.46	3530.32	534.352
184	115.695	1105.59	3417.54	518.279
185	115.695	1096.6 	3374.51	495.751
186	115.695	1089.09	3199.45	478.642
187	115.695	1081.67	3130.21	481.414
188	115.695	1074.64	3207.46	469.778
189	115.695	1065.3 	3112.54	451.472
190	115.695	1058.35	2967.94	445.872
191	115.695	1050.05	2997.46	442.481
192	115.695	1037.18	3000.1 	437.061
193	115.695	1029.63	2608.24	424.665
194	115.695	1022.83	2741.91	420.841
195	115.695	1014.23	2794.38	409.299
196	115.695	1009.2 	2801.65	400.946
197	115.695	1000.96	2772.7 	398.828
198	115.695	991.018	2637.54	392.123
199	115.695	983.713	2571.28	383.893
Result of algorithm run: SUCCESS, 0, 0, 115.694950, 0
