/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg    	max    	std 
0  	1947.57	13556.8	37061.9	6474
1  	1947.57	13367  	36358  	6379.73
2  	1895.03	13173.5	35185.9	6400.24
3  	1738.27	12966.3	34854.3	6368.37
4  	1738.27	12802.4	33860.3	6438.76
5  	1736.72	12579.7	33785.4	6397.08
6  	1717.28	12396.4	31447.4	6155.69
7  	1717.28	12216.6	30256.6	6191.69
8  	1184.39	12013.6	31159  	6168.62
9  	1184.39	11806.6	30703.1	6072.31
10 	1164.86	11617.2	30260.8	6047.52
11 	1154.04	11447.1	31909.2	5931.38
12 	1126.58	11241.3	31296.7	5826.43
13 	1109.55	11047  	28204.4	5819.96
14 	1078.16	10891.3	28849.4	5764.36
15 	997.701	10704.4	28849.4	5623.65
16 	997.701	10560.7	27086  	5588.92
17 	997.701	10405.6	29186.3	5579.29
18 	962.311	10234.8	29223  	5606.11
19 	962.311	10016.7	28007.3	5496.13
20 	876.261	9866.34	32260.3	5505.88
21 	809.791	9741.31	26435.9	5435.22
22 	785.826	9615.92	26026.7	5279.94
23 	785.826	9492.33	25395.6	5200.63
24 	785.826	9325.61	26643.7	5306.26
25 	785.826	9225.63	26643.7	5304.92
26 	785.826	9144.87	25961.1	5347.51
27 	785.826	8974.49	25313.2	5201.87
28 	785.826	8803.41	25289.5	5132.36
29 	785.826	8670.23	25309.1	5044.3 
30 	757.862	8577.29	24355.2	5006.52
31 	726.323	8465.29	23952.4	4898.65
32 	726.323	8328.15	22808.9	4809.84
33 	726.323	8186.77	27349.9	4817.13
34 	726.323	8087.05	27343.7	4754.32
35 	662.861	7974.04	23495.3	4693.25
36 	662.861	7826.41	26248.7	4759.66
37 	662.861	7644.32	25135.2	4779   
38 	662.861	7555.89	25165.2	4856.9 
39 	662.861	7440.09	23083.2	4757.17
40 	662.861	7341.41	23311.1	4607.06
41 	644.258	7222.38	22657.3	4579.39
42 	605.084	7116.11	22738.4	4526.84
43 	605.084	6981.81	22513.5	4392.53
44 	604.724	6894.66	21351.4	4342.27
45 	570.089	6765.1 	20684.5	4292.09
46 	570.089	6680.16	20409.7	4229.46
47 	570.089	6576.75	20419.4	4119.05
48 	502.198	6491.77	18902  	3997.08
49 	502.198	6382.74	19671  	3977.33
50 	502.198	6296.48	20350.6	4076.74
51 	502.198	6208.19	20413.3	4219.49
52 	502.198	6134.53	20225.5	4225.59
53 	502.198	6022.47	22899.9	4215.75
54 	502.198	5944.75	21365.1	4228.87
55 	502.198	5869.88	21365.1	4188.97
56 	441.793	5800.1 	20672.2	4083.01
57 	441.793	5660.6 	19808.7	3927.28
58 	441.793	5605.64	19690.6	3904.27
59 	441.793	5518.84	20112.9	3924.75
60 	441.793	5405.96	19387.4	3852.43
61 	441.793	5318.42	19290.1	3741.63
62 	423.668	5247.22	18885.3	3652.21
63 	423.668	5145   	18004.2	3560.24
64 	423.668	5075.78	18512.5	3475.94
65 	423.668	5004.11	21235.6	3440.3 
