/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg   	max    	std    
0  	522.071	773.79	993.325	85.0916
1  	518.097	773.269	972.65 	83.5255
2  	482.688	772.076	979.613	85.306 
3  	482.688	770.728	978.861	84.7017
4  	478.052	769.35 	972.438	81.4996
5  	474.163	768.34 	956.269	82.7384
6  	452.355	767.232	952.998	82.8911
7  	452.355	765.936	975.315	81.0982
8  	452.355	765.528	958.912	80.7027
9  	452.355	764.436	965.298	84.1979
10 	452.355	762.824	975.906	85.0991
11 	452.355	761.503	1011.62	84.5491
12 	452.355	760.267	986.89 	81.6896
13 	452.355	759.484	956.232	80.5501
14 	450.279	758.299	970.583	80.3291
15 	445.78 	757.481	942.44 	78.328 
16 	443.812	756.449	925.525	76.1635
17 	443.812	755.536	942.807	78.0665
18 	443.812	754.445	941.903	79.8138
19 	443.812	754.186	933.308	80.7257
20 	443.812	753.022	932.851	79.7939
21 	443.812	752.253	927.294	76.4191
22 	443.812	751.474	933.777	79.8612
23 	443.812	750.433	916.654	77.1841
24 	392.013	749.465	963.805	79.3611
25 	361.742	748.749	943.928	79.7325
26 	361.742	748.045	926.323	78.5074
27 	361.742	747.447	945.942	80.5935
28 	361.742	746.461	927.446	81.3027
29 	361.742	744.865	933.484	81.1734
30 	361.742	743.763	930.935	82.1254
31 	361.742	742.868	930.82 	82.2933
32 	359.688	742.089	926.487	81.2539
33 	359.688	740.728	920.126	79.8468
34 	359.688	739.719	921.705	79.0835
35 	359.688	738.855	921.705	80.5839
36 	359.688	737.716	910.701	78.9191
37 	359.688	736.584	908.184	78.6453
38 	359.688	736.041	917.768	75.7729
39 	359.688	734.634	909.429	75.9173
40 	355.194	733.852	916.085	74.3365
41 	355.194	732.643	932.109	76.9275
42 	346.626	731.341	914.394	76.481 
43 	346.626	730.869	918.156	75.8499
44 	346.626	730.117	920.582	76.5225
45 	346.626	729.221	897.698	76.5006
46 	346.626	728.549	893.754	74.0691
47 	346.626	727.663	900.386	73.7758
48 	346.626	726.898	877.454	76.1258
49 	346.626	726.236	903.682	76.5669
50 	346.626	725.158	908.876	75.8885
51 	346.626	724.571	908.876	73.3263
52 	346.626	724.079	897.51 	73.9485
53 	346.626	723.495	899.48 	75.6254
54 	346.626	723.136	898.942	73.807 
55 	322.772	722.587	896.186	72.914 
56 	322.772	721.761	916.651	72.1764
57 	322.772	720.609	879.478	71.9218
58 	322.772	719.473	883.334	71.0609
59 	322.772	718.874	879.852	71.4974
60 	322.772	717.984	896.494	70.6123
61 	322.772	716.992	888.934	70.6762
62 	311.918	715.879	867.739	71.2361
63 	311.918	715.307	867.434	73.4299
64 	311.918	714.674	859.167	73.2726
65 	311.918	713.915	861.023	70.863 
66 	311.918	713.046	875.475	72.581 
67 	311.918	712.288	859.92 	73.0214
68 	311.918	711.504	853.663	73.7024
69 	311.918	711.038	872.704	71.754 
70 	311.918	710.54 	863.186	73.1181
71 	309.678	710.131	889.308	72.8492
72 	309.678	709.246	876.06 	73.9154
73 	309.678	708.093	874.228	75.0715
74 	309.678	707.558	865.357	72.9734
75 	309.678	706.778	870.665	73.3636
76 	309.678	706.526	867.183	73.7757
77 	309.678	706.117	853.048	71.9979
78 	309.678	706.027	857.797	71.3082
79 	309.678	705.639	858.085	71.4672
80 	309.678	704.705	864.109	72.4524
81 	309.678	704.138	865.987	72.171 
82 	309.678	703.783	865.987	72.5332
83 	309.678	703.019	878.293	71.5893
84 	309.678	702.42 	867.949	69.3682
85 	309.678	701.559	840.28 	66.4329
86 	309.678	700.798	834.107	68.2587
87 	309.678	700.222	830.413	67.9529
88 	309.678	700.068	845.474	67.9909
89 	309.678	699.549	843.39 	68.9435
90 	309.678	699.395	838.248	69.8965
91 	309.678	698.989	845.909	70.8077
92 	309.678	698.702	854.892	68.3294
93 	309.678	698.219	874.054	67.4993
94 	309.678	697.017	868.167	66.5226
95 	309.678	696.503	855.598	67.9126
96 	309.678	696.158	847.381	68.6533
97 	309.678	695.531	862.844	67.6016
98 	309.678	695.155	860.441	66.807 
99 	309.678	694.915	851.455	64.8789
100	309.678	694.232	834.864	64.8868
101	309.678	693.81 	822.474	64.8025
102	309.678	693.21 	820.971	66.8651
103	309.678	692.821	847.648	66.0927
104	309.678	692.184	821.228	66.3949
105	309.678	691.631	822.157	64.4325
106	309.678	691.446	815.458	63.4013
107	309.678	691.206	808.463	63.1725
108	309.678	691.17 	815.628	63.744 
109	309.678	690.522	828.008	63.8694
110	309.678	689.775	826.278	64.6778
111	309.678	689.186	807.456	64.3862
112	309.678	688.866	798.166	63.9717
113	309.678	688.428	809.828	63.3742
114	309.678	687.651	811.606	63.8646
115	309.678	687.324	811.492	63.7145
116	309.678	687.064	823.946	63.1221
117	309.678	686.447	819.639	63.3517
118	309.678	686.115	820.501	63.6682
119	309.678	686.023	817.447	64.1438
120	309.678	685.479	812.638	62.7106
121	309.678	685.558	814.23 	63.5915
122	309.678	685.191	808.568	63.7165
123	309.678	684.642	806.706	64.245 
124	309.678	684.491	808.526	64.0778
125	309.678	683.697	811.579	64.0865
126	309.678	683.347	811.579	64.525 
127	309.678	683.12 	797.62 	63.7173
128	309.678	682.654	817.043	64.4132
129	309.678	682.475	817.043	62.897 
130	309.678	682.417	790.142	62.1357
131	309.678	682.192	794.815	60.7847
132	309.678	681.887	829.688	62.1956
133	309.678	681.335	822.821	62.0714
134	309.678	680.715	802.461	62.2994
135	309.678	679.814	794.209	63.8266
136	309.678	679.826	806.858	65.309 
137	309.678	679.438	806.493	64.2368
138	309.678	679.789	799.586	64.8188
139	309.678	679.475	796.06 	64.0835
140	309.678	679.112	805.881	63.4754
141	295.241	679.077	807.268	63.1195
142	295.241	678.761	812.073	62.4562
143	295.241	678.209	796.5  	61.7497
144	295.241	677.766	793.723	61.0255
145	295.241	677.012	804.239	62.8858
146	295.241	676.73 	790.778	61.9648
147	295.241	676.484	796.776	62.8885
148	295.241	675.814	797.103	64.4656
149	293.726	675.262	805.221	63.7605
150	293.726	674.463	803.112	63.2644
151	293.726	674.084	802.548	61.3779
152	293.726	673.63 	799.51 	60.626 
153	293.726	673.282	799.51 	62.1418
154	293.726	673.127	791.294	62.7438
155	293.726	673.086	796.818	63.7212
156	292.534	672.959	797.493	64.4173
157	292.534	672.37 	790.579	64.1521
158	292.534	671.918	795.03 	62.6365
159	292.534	672.043	793.585	62.3446
160	292.534	671.662	791.345	61.432 
161	289.719	672.108	785.843	60.5632
162	289.719	671.883	782.779	59.8835
163	289.719	671.5  	786.705	60.3218
164	289.719	671.249	780.031	58.1901
165	289.719	671.412	782.125	56.7801
166	289.719	671.443	775.862	57.7048
167	289.719	671.333	771.5  	58.3021
168	289.719	671.301	794.596	60.1658
169	289.719	671.127	793.5  	60.9166
170	289.719	670.878	788.225	61.6733
171	289.719	670.372	783.676	62.112 
172	289.719	670.239	776.944	60.3054
173	289.719	669.923	775.732	60.7935
174	289.719	669.725	778.003	61.4599
175	289.719	669.626	777.423	60.3773
176	289.719	669.092	775.529	59.5234
177	278.751	669.362	783.42 	59.9743
178	278.751	669.001	781.7  	59.6807
179	278.751	668.855	781.408	60.3796
180	278.751	668.271	773.923	61.7729
181	278.751	667.737	770.915	62.3396
182	278.751	667.531	767.374	60.5874
183	278.751	667.571	767.374	60.8413
184	278.751	667.551	785.932	60.6875
185	278.751	667.549	784.364	61.4615
186	278.751	667.072	787.609	61.492 
187	278.751	667.002	785.646	62.112 
188	278.751	666.74 	784.285	62.664 
189	278.751	666.551	788.568	62.1926
190	278.751	666.344	769.176	61.0855
191	278.751	666.103	765.326	61.7057
192	278.751	665.974	765.955	61.8451
