/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg   	max    	std   
0  	474.668	778.89	1001.07	84.112
1  	474.668	777.702	993.949	84.2908
2  	474.668	776.284	990.33 	84.7432
3  	419.703	775.508	974.855	85.1606
4  	419.703	774.085	975.954	85.5731
5  	419.703	773.038	969.955	85.1578
6  	419.703	771.385	980.524	85.1885
7  	419.703	770.086	978.839	84.2935
8  	417.185	769.035	980.797	86.1332
9  	417.185	767.908	958.539	87.2568
10 	417.185	766.269	967.737	86.7263
11 	417.185	765.162	974.406	87.8936
12 	417.185	764.258	970.091	84.4562
13 	414.802	762.809	970.249	85.442 
14 	414.802	761.45 	963.489	84.169 
15 	414.802	760.852	942.361	82.8511
16 	414.802	759.779	966.781	83.0929
17 	414.802	758.933	970.698	83.5438
18 	414.802	757.964	967.571	82.7029
19 	414.802	756.928	947.896	80.0152
20 	414.802	756.356	944.095	78.0715
21 	414.802	755.47 	930.893	77.4047
22 	414.802	754.58 	934.374	78.9663
23 	409.757	753.824	929.824	79.5491
24 	409.757	753.457	928.763	79.461 
25 	409.757	752.469	955.57 	77.4379
26 	409.757	751.626	950.997	80.6879
27 	400.068	750.205	944.47 	79.747 
28 	400.068	749.31 	926.916	79.4052
29 	400.068	748.604	953.853	78.5342
30 	400.068	747.843	937.746	76.8282
31 	400.068	746.805	940.374	75.7274
32 	400.068	745.999	924.707	74.861 
33 	400.068	744.741	929.293	75.9493
34 	395.866	743.037	924.145	78.4538
35 	378.04 	741.907	931.7  	79.5163
36 	378.04 	740.805	929.725	79.9531
37 	378.04 	739.828	916.189	78.593 
38 	378.04 	739.322	937.744	78.0586
39 	378.04 	738.588	905.277	78.6277
40 	378.04 	737.707	901.474	76.8056
41 	378.04 	737.345	919.084	77.8571
42 	378.04 	736.269	906.359	76.5313
43 	378.04 	735.02 	923.229	76.9577
44 	378.04 	734.024	897.67 	76.2293
45 	378.04 	733.089	910.658	74.1602
46 	378.04 	732.265	922.943	74.6448
47 	378.04 	731.661	903.996	74.5495
48 	378.04 	731.109	911.78 	73.6967
49 	378.04 	730.702	885.584	73.9291
50 	378.04 	729.856	901.122	73.9898
51 	378.04 	729.154	904.257	74.9815
52 	378.04 	727.821	894.305	74.5782
53 	378.04 	727.073	894.743	73.0383
54 	378.04 	726.221	909.802	71.6475
55 	378.04 	725.441	895.767	71.4633
56 	378.04 	724.528	889.422	69.9933
57 	376.261	724.02 	879.76 	69.5127
58 	376.261	723.373	888.242	70.6971
59 	376.261	722.616	873.164	70.7475
60 	376.261	721.903	883.182	69.8475
61 	376.261	721.18 	880.839	71.5312
62 	376.261	720.612	868.449	72.3487
63 	376.261	719.947	871.75 	70.7316
64 	376.261	718.665	875.07 	70.9899
65 	376.261	717.637	878.156	72.7692
66 	376.261	717.232	879.081	72.4141
67 	354.186	716.804	900.5  	72.2237
68 	354.186	715.676	884.357	73.0519
69 	354.186	714.98 	876.852	74.7358
70 	354.186	714.227	900.899	73.3974
71 	354.186	713.861	883.931	72.0694
72 	354.186	713.142	890.22 	69.8581
73 	337.315	712.153	890.198	71.2985
74 	337.315	711.719	878.723	69.91  
75 	337.315	711.183	870.203	70.705 
76 	337.315	710.646	870.109	69.5633
77 	337.315	710.223	870.109	68.8356
78 	337.315	709.414	868.963	69.7384
79 	337.315	708.967	873.94 	69.5406
80 	337.201	708.535	859.557	69.1979
81 	337.201	707.69 	851.595	70.6564
82 	337.201	706.99 	856.457	71.5805
83 	337.201	706.323	872.958	73.6079
84 	337.201	705.551	871.918	71.6194
85 	337.201	704.698	889.077	71.3224
86 	337.201	704.043	884.547	72.0148
87 	336.561	703.478	849.633	72.3819
