/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg    	max   	std    
0  	528.796	774.853	993.02	84.4101
1  	523.364	773.681	1015.45	84.1393
2  	523.364	771.717	1015.45	82.0679
3  	504.179	770.74 	1013.91	82.4973
4  	504.179	769.209	973.96 	81.2098
5  	466.505	768.109	974.817	84.1307
6  	460.496	766.916	982.466	83.592 
7  	460.496	766.119	968.322	83.5279
8  	460.496	765.51 	967.7  	85.3109
9  	441.111	763.753	958.248	87.0871
10 	412.876	763.087	967.655	86.4598
11 	412.876	762.487	962.13 	86.2905
12 	412.876	761.828	961.487	87.0707
13 	412.876	761.191	963.744	83.7294
14 	412.876	759.929	965.992	82.4258
15 	405.688	758.734	965.992	81.9039
16 	405.688	757.943	948.271	80.7254
17 	398.598	756.732	975.368	81.815 
18 	378.138	756.105	942.528	82.739 
19 	378.138	755.138	947.453	82.7223
20 	378.138	754.565	932.295	82.9548
21 	378.138	753.387	925.093	82.8494
22 	378.138	752.134	956.617	83.3715
23 	378.138	751.067	931.329	81.5064
24 	378.138	749.698	961.226	81.1693
25 	378.138	748.959	956.549	82.1726
26 	374.203	748.039	976.851	80.8298
27 	351.413	746.688	933.778	82.2759
28 	351.413	745.067	933.778	81.2903
29 	351.413	743.945	919.219	83.2115
30 	351.413	742.951	923.82 	81.3197
31 	351.413	742.106	906.222	79.9579
32 	337.789	741.464	907.344	79.4421
33 	337.789	740.89 	909.509	79.4651
34 	337.789	739.272	933.639	80.6068
35 	337.789	738.455	933.639	81.1971
36 	337.789	737.084	916.487	81.3281
37 	337.789	736.001	918.111	82.1328
38 	337.789	734.893	910.415	79.0561
39 	337.789	734.129	912.111	78.768 
40 	337.789	733.087	922.802	80.8147
41 	337.789	732.042	913.81 	79.8864
42 	337.789	731.377	917.219	80.2898
43 	337.789	730.491	934.683	79.8181
44 	337.789	729.965	895.002	77.4186
45 	337.789	728.924	889.12 	77.9253
46 	337.789	728.121	897.647	76.8436
47 	337.789	727.422	893.023	75.1917
48 	337.7  	726.779	894.197	73.7364
49 	337.7  	725.739	906.624	75.007 
50 	337.7  	724.922	906.624	76.0427
51 	337.7  	723.879	897.707	75.1822
52 	337.7  	722.965	894.137	73.8866
53 	337.7  	722.59 	881.027	72.312 
54 	337.7  	721.353	910.265	74.3506
55 	337.7  	720.326	895.171	74.4279
56 	337.7  	719.866	880.348	73.8136
57 	337.7  	718.864	875.742	73.2779
58 	337.7  	717.988	878.541	72.1038
59 	337.7  	716.734	896.649	71.6293
60 	337.7  	715.859	882.95 	73.711 
61 	337.7  	714.968	910.029	73.6332
62 	337.7  	714.497	887.892	71.9101
63 	337.7  	714.315	873.995	73.209 
64 	337.7  	713.765	878.175	74.3877
65 	337.7  	712.945	866.189	72.7904
66 	337.7  	712.307	849.885	74.3453
67 	337.7  	711.837	862.586	73.2831
68 	337.7  	711.067	858.679	75.1446
69 	337.7  	710.759	866.47 	73.0179
70 	337.7  	709.523	876.793	71.8548
