/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min        	avg        	max        	std   
0  	1.02775e+06	2.17601e+06	4.31412e+06	574668
1  	952214     	2.14512e+06	3.92955e+06	571023
2  	952214     	2.13414e+06	4.11276e+06	567123
3  	570989     	2.12603e+06	4.02919e+06	562002
4  	544595     	2.10669e+06	3.82409e+06	549965
5  	544595     	2.09962e+06	3.64993e+06	575855
6  	544595     	2.09074e+06	3.49051e+06	573286
7  	544595     	2.08491e+06	3.76354e+06	570317
8  	530372     	2.0739e+06 	3.59394e+06	566920
9  	447983     	2.05867e+06	3.89669e+06	555852
10 	447983     	2.0397e+06 	4.03972e+06	574522
11 	447983     	2.02013e+06	3.53022e+06	564134
12 	447983     	2.01923e+06	3.92875e+06	573875
13 	447983     	2.00603e+06	3.49835e+06	554960
14 	447983     	1.99788e+06	3.50049e+06	558183
15 	400565     	1.97537e+06	3.39158e+06	542230
16 	400565     	1.96051e+06	3.26703e+06	533060
17 	400565     	1.94353e+06	3.50217e+06	538916
18 	382845     	1.92449e+06	3.4733e+06 	556018
19 	328608     	1.89331e+06	3.76013e+06	550088
20 	289016     	1.87356e+06	3.80344e+06	537515
21 	242510     	1.86526e+06	3.22623e+06	532210
22 	242510     	1.8495e+06 	3.10064e+06	533333
23 	199741     	1.84215e+06	3.48187e+06	541223
24 	199741     	1.83479e+06	3.41815e+06	547376
25 	199741     	1.83083e+06	3.45925e+06	549656
26 	199741     	1.81855e+06	3.32255e+06	534639
27 	199741     	1.80321e+06	3.52423e+06	529894
28 	195371     	1.78597e+06	3.34542e+06	525946
29 	177296     	1.78083e+06	3.31439e+06	525570
30 	177296     	1.7729e+06 	3.15292e+06	520942
31 	177296     	1.74818e+06	3.19618e+06	521324
32 	177296     	1.73343e+06	3.05109e+06	513622
33 	177296     	1.72739e+06	3.10217e+06	496661
34 	177296     	1.71998e+06	3.11171e+06	489114
35 	177296     	1.70869e+06	2.88519e+06	487698
36 	177296     	1.69371e+06	2.98409e+06	474086
37 	177296     	1.68628e+06	2.91262e+06	481917
38 	177296     	1.67394e+06	2.8749e+06 	479965
39 	177296     	1.65964e+06	2.93549e+06	470978
40 	177296     	1.64618e+06	3.04737e+06	459932
41 	177296     	1.62984e+06	3.03259e+06	467028
42 	177296     	1.62365e+06	2.94988e+06	450030
43 	177296     	1.60995e+06	2.82814e+06	461873
44 	177296     	1.60066e+06	2.7011e+06 	456377
45 	177296     	1.5796e+06 	2.63843e+06	450139
46 	176315     	1.57526e+06	2.89939e+06	457458
47 	176315     	1.5764e+06 	2.76207e+06	456800
48 	176315     	1.5708e+06 	2.81435e+06	448735
49 	176315     	1.56122e+06	2.74039e+06	442684
50 	176315     	1.55774e+06	2.72338e+06	437845
51 	176315     	1.542e+06  	2.77581e+06	442765
52 	176315     	1.5337e+06 	2.90451e+06	435999
53 	143419     	1.5256e+06 	2.59634e+06	432164
54 	143419     	1.51427e+06	2.61206e+06	447878
55 	143419     	1.50888e+06	2.62215e+06	450293
56 	143419     	1.50087e+06	2.60381e+06	446523
57 	143419     	1.49153e+06	2.7077e+06 	445768
58 	143419     	1.48269e+06	2.67847e+06	440236
59 	123201     	1.47753e+06	2.53492e+06	435734
60 	123201     	1.46683e+06	2.6528e+06 	415747
61 	123201     	1.44926e+06	2.54971e+06	410400
62 	123201     	1.44633e+06	2.41008e+06	408598
63 	123201     	1.43624e+06	2.43775e+06	421793
64 	123201     	1.42607e+06	2.40905e+06	421109
65 	123201     	1.41991e+06	2.43259e+06	421265
66 	123201     	1.41087e+06	2.40978e+06	410731
67 	123201     	1.40204e+06	2.57567e+06	412568
68 	123201     	1.39191e+06	2.48634e+06	399711
69 	123201     	1.37404e+06	2.55349e+06	394482
70 	123201     	1.37387e+06	2.61236e+06	406183
71 	123201     	1.35731e+06	2.41637e+06	388370
72 	123201     	1.34942e+06	2.47255e+06	380680
73 	123201     	1.34846e+06	2.41251e+06	384937
74 	123201     	1.34015e+06	2.47645e+06	381946
75 	123201     	1.33616e+06	2.47645e+06	374375
76 	123201     	1.33298e+06	2.5219e+06 	381482
77 	123201     	1.31922e+06	2.41835e+06	380476
78 	123201     	1.32014e+06	2.59685e+06	391568
79 	123201     	1.31254e+06	2.59685e+06	391704
80 	123201     	1.3105e+06 	2.59685e+06	384874
81 	123201     	1.30191e+06	2.39467e+06	375421
82 	123201     	1.29513e+06	2.37606e+06	367461
83 	123201     	1.28815e+06	2.2623e+06 	364561
84 	123201     	1.2877e+06 	2.29899e+06	372372
85 	123201     	1.2789e+06 	2.17046e+06	357491
86 	123201     	1.27433e+06	2.17046e+06	360511
87 	123201     	1.25873e+06	2.17527e+06	351958
88 	123201     	1.25961e+06	2.18298e+06	363706
89 	123201     	1.24954e+06	2.2174e+06 	360697
90 	123201     	1.24143e+06	2.16287e+06	356267
91 	123201     	1.22922e+06	2.31812e+06	351082
92 	123201     	1.22078e+06	2.35425e+06	352338
93 	123201     	1.21744e+06	2.26076e+06	351776
94 	123201     	1.20886e+06	2.18872e+06	339061
95 	123201     	1.19985e+06	2.11876e+06	325939
96 	123201     	1.1946e+06 	2.14126e+06	334814
97 	86993.3    	1.18653e+06	2.14513e+06	329224
98 	86825.9    	1.18364e+06	2.1309e+06 	334943
99 	86825.9    	1.17909e+06	2.1309e+06 	335554
100	86825.9    	1.16882e+06	2.09373e+06	314627
101	86825.9    	1.16473e+06	2.03479e+06	322105
102	71128.9    	1.15534e+06	2.00954e+06	322384
103	71128.9    	1.14534e+06	2.04498e+06	328177
104	71128.9    	1.13781e+06	2.05345e+06	324050
105	71128.9    	1.13587e+06	1.98958e+06	316785
106	71128.9    	1.13232e+06	2.0923e+06 	319014
107	71128.9    	1.12745e+06	2.10125e+06	308960
108	71128.9    	1.1182e+06 	2.09068e+06	299856
109	71128.9    	1.11465e+06	1.9882e+06 	292006
110	71128.9    	1.10943e+06	1.99032e+06	290127
111	71128.9    	1.10931e+06	2.02758e+06	291256
112	71128.9    	1.10472e+06	1.91154e+06	282543
113	71128.9    	1.10329e+06	1.91302e+06	275510
114	71128.9    	1.10316e+06	1.95373e+06	272031
115	71128.9    	1.09685e+06	1.9049e+06 	276918
116	71128.9    	1.09546e+06	1.85926e+06	276373
117	71128.9    	1.09464e+06	1.94425e+06	271896
118	71128.9    	1.09667e+06	1.98279e+06	282514
119	71128.9    	1.08588e+06	1.94678e+06	282091
120	71128.9    	1.08148e+06	1.97978e+06	279124
121	71128.9    	1.07182e+06	1.91343e+06	268006
122	71128.9    	1.06052e+06	1.83061e+06	271900
123	71128.9    	1.05563e+06	1.98117e+06	282799
124	66954.7    	1.05504e+06	1.94707e+06	289276
125	66954.7    	1.0486e+06 	1.9128e+06 	287481
126	66954.7    	1.04336e+06	1.914e+06  	278601
127	63723.5    	1.03942e+06	1.95055e+06	274057
128	63723.5    	1.02923e+06	1.93851e+06	260167
129	63723.5    	1.02733e+06	1.80182e+06	255868
130	63723.5    	1.02073e+06	1.77088e+06	258608
131	63723.5    	1.0214e+06 	1.94055e+06	258488
132	63723.5    	1.01909e+06	1.89526e+06	256620
133	63723.5    	1.01326e+06	1.78542e+06	257001
134	63723.5    	1.01058e+06	1.83884e+06	253634
135	63723.5    	1.00859e+06	1.76565e+06	256508
136	63723.5    	1.00377e+06	1.7918e+06 	251163
137	63723.5    	1.0014e+06 	1.79622e+06	245324
138	63723.5    	998194     	1.809e+06  	250887
139	63723.5    	993432     	1.77533e+06	247382
140	63723.5    	990719     	1.83649e+06	246962
141	63723.5    	987896     	1.76296e+06	243067
142	63723.5    	984620     	1.77295e+06	247442
143	63723.5    	981474     	1.86172e+06	249980
144	61510.9    	977569     	1.7031e+06 	243157
145	61510.9    	972484     	1.847e+06  	252918
146	61510.9    	970039     	1.77995e+06	245135
147	61510.9    	967072     	1.79554e+06	236849
148	61510.9    	969564     	1.85655e+06	246819
149	61510.9    	969279     	1.81536e+06	246534
150	61510.9    	960798     	1.82728e+06	240848
151	61510.9    	952972     	1.74683e+06	229278
152	61510.9    	947910     	1.64194e+06	226604
153	61510.9    	945256     	1.50915e+06	222268
154	61510.9    	937815     	1.5844e+06 	227133
155	61510.9    	937730     	1.68537e+06	224666
156	61510.9    	936744     	1.56747e+06	225126
157	61510.9    	936312     	1.68016e+06	226035
158	61510.9    	934362     	1.64567e+06	225403
159	61510.9    	934115     	1.60177e+06	223022
160	61510.9    	931464     	1.76601e+06	230856
161	61510.9    	926456     	1.58304e+06	237449
162	61510.9    	925298     	1.56025e+06	229119
163	61510.9    	921427     	1.4542e+06 	225440
164	61510.9    	919942     	1.45916e+06	224073
165	61510.9    	920075     	1.64058e+06	223141
166	61510.9    	922156     	1.73616e+06	222540
167	61510.9    	919786     	1.60754e+06	222383
168	61510.9    	914595     	1.51422e+06	222224
169	61510.9    	915484     	1.50914e+06	221709
