/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min   	avg       	max        	std   
0  	628176	2.2257e+06	4.44862e+06	643401
1  	628176	2.20253e+06	4.28256e+06	620850
2  	613042	2.18397e+06	4.63025e+06	609769
3  	613042	2.15064e+06	3.9935e+06 	586147
4  	613042	2.14228e+06	3.87751e+06	556801
5  	613042	2.11669e+06	3.7378e+06 	562062
6  	613042	2.09385e+06	3.7378e+06 	551092
7  	613042	2.07985e+06	3.77359e+06	558617
8  	613042	2.07114e+06	4.37237e+06	560178
9  	585969	2.05894e+06	3.81991e+06	554693
10 	585220	2.04199e+06	3.80688e+06	544495
11 	490208	2.02306e+06	3.48632e+06	523219
12 	453898	2.01956e+06	3.42961e+06	509081
13 	325836	2.00176e+06	3.39209e+06	512267
14 	325836	1.99105e+06	3.23512e+06	518838
15 	200078	1.97278e+06	3.41859e+06	523734
16 	194061	1.95658e+06	3.31172e+06	523847
17 	194061	1.94263e+06	3.41721e+06	535935
18 	194061	1.9301e+06 	3.32977e+06	538705
19 	194061	1.91221e+06	3.5064e+06 	529865
20 	194061	1.89626e+06	3.60484e+06	528801
21 	194061	1.8837e+06 	3.47606e+06	532583
22 	183259	1.87451e+06	3.33356e+06	540759
23 	154111	1.84682e+06	3.32511e+06	527242
24 	154111	1.83529e+06	3.39779e+06	508845
25 	154111	1.81217e+06	3.4717e+06 	516718
26 	154111	1.81238e+06	3.14645e+06	501164
27 	143742	1.79777e+06	3.24132e+06	502479
28 	143742	1.77932e+06	3.09486e+06	504906
29 	143742	1.76667e+06	3.06011e+06	506413
30 	136051	1.74593e+06	3.08914e+06	507297
31 	136051	1.7281e+06 	3.06763e+06	510340
32 	136051	1.70832e+06	3.07854e+06	500157
33 	119370	1.69361e+06	3.03678e+06	501462
34 	119370	1.68596e+06	3.0071e+06 	497970
35 	119370	1.67378e+06	3.1146e+06 	499971
36 	119370	1.6736e+06 	3.07593e+06	488541
37 	119370	1.66287e+06	2.94775e+06	483148
38 	119370	1.65479e+06	2.93476e+06	469803
39 	119370	1.64363e+06	2.8476e+06 	470599
40 	119370	1.6216e+06 	2.97013e+06	461560
41 	119370	1.61758e+06	2.79349e+06	454670
42 	119370	1.61363e+06	2.71792e+06	454890
43 	119370	1.60325e+06	2.76726e+06	465073
44 	119370	1.58882e+06	2.79209e+06	462666
45 	119370	1.57808e+06	2.765e+06  	447716
46 	119370	1.56552e+06	2.81357e+06	461619
47 	119370	1.55545e+06	2.67868e+06	459900
48 	119370	1.54511e+06	2.62323e+06	450030
49 	119370	1.54243e+06	2.68897e+06	451139
50 	119370	1.52921e+06	2.75856e+06	457612
51 	119370	1.51666e+06	2.66357e+06	451275
52 	97295.4	1.51205e+06	2.82345e+06	454728
