/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg    	max    	std   
0  	1206.89	4523.05	9610.59	1504.3
1  	1206.89	4493.87	10370.2	1519.21
2  	1206.89	4450.68	10981.5	1485.11
3  	1206.89	4419.92	9731.38	1418.97
4  	1127.46	4368.84	9840.91	1408.78
5  	1127.46	4278.04	9230.27	1376.35
6  	1127.46	4251.45	9725.11	1423.8 
7  	1127.46	4197.06	9725.11	1437.26
8  	1127.46	4160.79	8786.34	1399.01
9  	1127.46	4125.82	8190.03	1323.9 
10 	1106.78	4099.65	8251.4 	1316.45
11 	1081.21	4062.39	9001.9 	1274.84
12 	1081.21	4030.22	8492.56	1298.29
13 	1081.21	4026.97	8382.04	1324.45
14 	1081.21	4006.24	8391.89	1359.58
15 	980    	3967.87	8499.7 	1340.98
16 	980    	3921.32	8543.37	1333.13
17 	980    	3884.8 	7749.55	1287.24
18 	936.827	3880.9 	8146.92	1306.19
19 	762.608	3801.27	8146.92	1289.04
20 	705.399	3731.22	8134.76	1281.01
21 	705.399	3686.98	7191.41	1248.61
22 	705.399	3630.92	7095.28	1190.84
23 	705.399	3605.6 	7846.97	1196.96
24 	705.399	3606.75	7185.89	1218.66
25 	705.399	3588.55	7585.52	1260.23
26 	705.399	3547   	7585.52	1222.38
27 	705.399	3490.1 	7383.08	1178.55
28 	705.399	3490.25	6950.81	1160.13
29 	705.399	3441.17	6737.61	1120.63
30 	705.399	3448.84	7425.41	1146.36
31 	705.399	3388.64	7205.56	1117.84
32 	705.399	3371.59	7895.39	1129.36
33 	705.399	3347.52	7511.34	1102.42
34 	705.399	3323.24	7500.34	1089.21
35 	705.399	3271.8 	6664.57	1057.21
36 	622.127	3258.21	7067.38	1045.99
37 	622.127	3246.5 	6825.75	1043.84
38 	622.127	3212.21	6753.55	994.742
39 	622.127	3200.46	7006.56	1014.2 
40 	622.127	3210.59	6933.89	1046.92
41 	622.127	3183.22	7522.45	1053.85
42 	622.127	3151.76	7095.14	1046.17
43 	622.127	3115.22	7529.76	1030.08
44 	622.127	3073.05	6829.41	979.587
45 	622.127	3078.97	6578.38	1011.3 
46 	622.127	3036.02	6937.23	954.661
47 	622.127	3046.68	6440.4 	996.083
48 	622.127	3000.86	6155.14	936.69 
49 	622.127	2971.95	6559.62	936.941
50 	622.127	2953.91	6138.73	926.071
51 	622.127	2973.78	6391.58	949.164
52 	622.127	2941.75	6294.55	940.423
53 	520.211	2943.39	6287.82	981.008
54 	520.211	2883.52	6130.55	966.018
55 	520.211	2868.59	6424.93	942.48 
56 	520.211	2860.27	6135.38	929.324
57 	520.211	2847.92	6221.94	917.481
58 	520.211	2805.46	5690.26	879.103
59 	520.211	2786.82	5699.14	906.176
60 	520.211	2798.34	5699.77	900.652
61 	520.211	2774.69	6131.2 	904.714
62 	520.211	2764.16	5828.28	936.323
63 	520.211	2731.18	5902.65	934.051
64 	520.211	2700.39	5836.66	902.381
65 	520.211	2665.42	5755.54	888.409
66 	520.211	2656.91	5875.31	855.622
67 	520.211	2676.4 	6184.14	888.531
68 	520.211	2638.24	5513.65	865.093
