/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min   	avg        	max       	std   
0  	376092	1.47256e+06	2.9364e+06	449193
1  	309282	1.45394e+06	2.77364e+06	443113
2  	309282	1.43527e+06	3.01412e+06	456604
3  	309282	1.41879e+06	2.64761e+06	439639
4  	309282	1.40477e+06	2.67153e+06	447034
5  	299271	1.38484e+06	2.65251e+06	440207
6  	292302	1.36247e+06	2.55545e+06	429917
7  	243476	1.34521e+06	2.55175e+06	422584
8  	186808	1.32927e+06	2.55527e+06	419020
9  	186808	1.31279e+06	2.63951e+06	424430
10 	186808	1.29842e+06	2.62254e+06	415265
11 	186808	1.27916e+06	2.56073e+06	403657
12 	186808	1.26559e+06	2.45088e+06	400054
13 	186808	1.25148e+06	2.37214e+06	394264
14 	186808	1.23335e+06	2.28776e+06	390055
15 	186808	1.2202e+06 	2.20399e+06	397551
16 	186808	1.20739e+06	2.20902e+06	390611
17 	186808	1.19052e+06	2.20235e+06	385014
18 	186808	1.17598e+06	2.12857e+06	379975
19 	184288	1.16041e+06	2.41465e+06	386783
20 	181295	1.14692e+06	2.35382e+06	371099
21 	181295	1.13534e+06	2.27767e+06	363445
22 	181295	1.12584e+06	2.18169e+06	369022
23 	181295	1.11048e+06	2.14348e+06	376584
24 	181295	1.09668e+06	2.11785e+06	370778
25 	140051	1.08426e+06	2.13966e+06	375439
26 	129286	1.07139e+06	2.10381e+06	374070
27 	129286	1.05874e+06	2.04132e+06	375443
28 	129286	1.04164e+06	1.97589e+06	372487
29 	129286	1.02986e+06	2.24269e+06	373892
30 	129286	1.01968e+06	2.08677e+06	365675
31 	129286	1.00984e+06	2.03704e+06	363968
32 	129286	997932     	2.05431e+06	359531
33 	129286	985772     	2.06356e+06	352966
34 	115686	975891     	2.03201e+06	346936
35 	115686	965301     	1.95705e+06	338989
36 	115686	952539     	1.86717e+06	339405
37 	115686	942447     	1.85662e+06	337813
38 	115686	933781     	1.8606e+06 	331188
39 	115686	921544     	1.86507e+06	327224
40 	112436	909543     	1.85635e+06	323284
41 	112436	897832     	1.85635e+06	319970
42 	112436	890227     	1.75884e+06	314282
43 	111019	877765     	1.7445e+06 	315131
44 	110292	867252     	1.73667e+06	307757
45 	110292	859262     	1.75989e+06	304593
46 	110292	849574     	1.7076e+06 	309887
47 	106458	837079     	1.7076e+06 	310637
48 	106458	830095     	1.65153e+06	317051
49 	106458	818352     	1.71486e+06	316638
50 	106458	806631     	2.03428e+06	307747
51 	106458	796435     	1.71776e+06	302283
52 	102334	789893     	1.71925e+06	297019
53 	102334	779935     	1.70391e+06	296370
54 	102334	772570     	1.64885e+06	288173
55 	95291.6	761712     	1.602e+06  	283002
56 	95291.6	755707     	1.60807e+06	283373
57 	95291.6	748393     	1.59222e+06	285274
58 	90703.4	736829     	1.49765e+06	284398
59 	90703.4	729060     	1.53016e+06	277367
60 	90703.4	721123     	1.53439e+06	276096
61 	90703.4	713913     	1.64416e+06	270547
62 	90703.4	704855     	1.49443e+06	267960
63 	90703.4	696099     	1.52542e+06	267485
64 	90703.4	687237     	1.48495e+06	266392
65 	90703.4	677804     	1.37084e+06	257062
66 	90703.4	668425     	1.42743e+06	256834
67 	87312.9	660650     	1.45911e+06	256237
68 	87312.9	649866     	1.51817e+06	259201
69 	87312.9	640503     	1.45802e+06	249272
70 	87312.9	632645     	1.45039e+06	243684
71 	87312.9	623958     	1.57231e+06	242177
72 	87312.9	616543     	1.47923e+06	239024
73 	87312.9	609881     	1.41242e+06	235756
74 	87312.9	603315     	1.28419e+06	232883
75 	87312.9	598327     	1.33389e+06	229192
76 	87312.9	590821     	1.31516e+06	229729
77 	87312.9	585396     	1.27654e+06	226796
78 	87312.9	578652     	1.234e+06  	219874
79 	87312.9	573483     	1.31469e+06	225842
80 	86276.6	567954     	1.23472e+06	219792
81 	85898.4	561424     	1.29339e+06	220323
82 	85898.4	555984     	1.29339e+06	220322
83 	81229.1	550896     	1.23683e+06	218585
84 	81229.1	546855     	1.24202e+06	223405
