/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min   	avg        	max        	std   
0  	389144	1.46537e+06	2.78837e+06	425128
1  	389144	1.45075e+06	2.79042e+06	431114
2  	389144	1.43573e+06	2.83656e+06	433889
3  	389144	1.41918e+06	2.67043e+06	419014
4  	365011	1.39421e+06	2.53917e+06	425206
5  	365011	1.37528e+06	2.64647e+06	424509
6  	365011	1.36021e+06	2.62365e+06	428719
7  	252255	1.34001e+06	2.53548e+06	428747
8  	252255	1.32759e+06	2.65652e+06	415074
9  	252255	1.31305e+06	2.65704e+06	417307
10 	245328	1.29955e+06	2.49739e+06	419768
11 	207204	1.28004e+06	2.61313e+06	417267
12 	207204	1.26823e+06	2.55577e+06	411943
13 	207204	1.24975e+06	2.59977e+06	404704
14 	206963	1.2395e+06 	2.60765e+06	392690
15 	184892	1.22163e+06	2.54065e+06	395349
16 	184892	1.20236e+06	2.44555e+06	388695
17 	184892	1.18836e+06	2.28045e+06	390487
18 	184892	1.17286e+06	2.26484e+06	390279
19 	184892	1.15351e+06	2.336e+06  	391690
20 	179383	1.1399e+06 	2.17475e+06	393119
21 	140086	1.1265e+06 	2.15999e+06	387076
22 	140086	1.11423e+06	2.10525e+06	389568
23 	140086	1.10344e+06	2.09969e+06	399396
24 	140086	1.09087e+06	2.12903e+06	393235
25 	125207	1.07811e+06	2.27837e+06	384599
26 	125207	1.06563e+06	2.1097e+06 	382069
27 	108856	1.05438e+06	2.21163e+06	380505
28 	108856	1.04412e+06	2.20307e+06	383402
29 	108856	1.0337e+06 	2.08393e+06	379140
30 	108856	1.01803e+06	2.08393e+06	375928
31 	108856	1.00332e+06	1.98242e+06	365980
32 	108856	990554     	2.12018e+06	368263
33 	108283	978718     	1.97719e+06	358247
34 	108283	967022     	1.92484e+06	349044
35 	108283	956936     	1.89054e+06	344618
36 	108283	944475     	2.00185e+06	337635
37 	108283	932433     	2.00185e+06	342672
38 	90645.8	922658     	1.93222e+06	334718
39 	90645.8	909896     	1.82349e+06	333243
40 	90645.8	900100     	1.90114e+06	341233
