/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min   	avg   	max        	std   
0  	184418	826385	2.19332e+06	305852
1  	184418	809330	2.12547e+06	309381
2  	184418	782802	2.02939e+06	311486
3  	184418	769535	2.30774e+06	314782
4  	163054	751499	2.30774e+06	318780
5  	163054	745036	2.01179e+06	315164
6  	163054	732602	2.41002e+06	314317
7  	163054	705887	1.81866e+06	282391
8  	105262	700015	2.09561e+06	289157
9  	105262	681818	2.09561e+06	281432
10 	105262	673490	1.76789e+06	283640
11 	105262	658813	1.80124e+06	274850
12 	105262	642949	1.73857e+06	275720
13 	105262	630091	1.70599e+06	277274
14 	81017.2	614619	1.70909e+06	271298
15 	81017.2	603113	1.47254e+06	259329
16 	44335.9	596804	1.78024e+06	254062
17 	44335.9	589309	1.78258e+06	251262
18 	44335.9	576159	1.47239e+06	244203
19 	44335.9	563459	1.40491e+06	247929
20 	44335.9	547549	1.42668e+06	243417
21 	44335.9	538289	1.52634e+06	240289
22 	44335.9	523213	1.33889e+06	230249
23 	44335.9	503895	1.40242e+06	223484
24 	44335.9	493233	1.56679e+06	220769
25 	44335.9	490255	1.83211e+06	217831
26 	44335.9	485297	1.25832e+06	214456
27 	44335.9	474927	1.32399e+06	222494
28 	43498.1	460957	1.23605e+06	205689
29 	43498.1	447043	1.20308e+06	195583
30 	41327.2	443004	1.08853e+06	191093
31 	41327.2	437144	1.08031e+06	194653
32 	41327.2	424751	1.02981e+06	188297
33 	41327.2	420463	1.08475e+06	192498
34 	41327.2	407606	1.05409e+06	191923
35 	34297.2	393413	892014     	174327
36 	34297.2	381187	1.04148e+06	176911
37 	34297.2	378008	1.00811e+06	181145
38 	34297.2	370023	1.16847e+06	185572
39 	34297.2	362622	998963     	170329
40 	34297.2	356788	1.03517e+06	172072
41 	26876.9	347201	967276     	161362
42 	26876.9	341365	891611     	154774
43 	19971.9	336691	929682     	156448
44 	19971.9	327724	992230     	151323
45 	19971.9	318975	968990     	157004
46 	19971.9	312489	857461     	151032
47 	19971.9	306601	843228     	146393
48 	17957.1	302447	836494     	148171
49 	17957.1	294680	842368     	141317
50 	17957.1	289620	824593     	140729
51 	17957.1	281241	939654     	139387
52 	17299.3	272025	755206     	128286
53 	17299.3	270458	773141     	131188
54 	17299.3	262080	756221     	125502
55 	17299.3	258950	783313     	126373
56 	17299.3	252079	872347     	130495
57 	17299.3	244366	721339     	123097
58 	14167.2	239624	687443     	122475
59 	14167.2	233398	719486     	123601
60 	14167.2	227996	719486     	119843
61 	13822.8	223343	733505     	117523
62 	13613.4	219008	630273     	108014
63 	13113.7	211303	560550     	103499
64 	12598.5	210539	615360     	107089
65 	12598.5	206131	602689     	105479
66 	12598.5	209065	610138     	112606
67 	12598.5	206387	622162     	111377
68 	12598.5	200856	648567     	110946
69 	12598.5	197581	736327     	110336
70 	11149  	190651	652904     	103869
71 	10509.8	183804	596822     	95767.2
72 	10509.8	179043	521682     	95992.3
73 	10509.8	175522	573012     	96406.5
74 	10509.8	172654	519524     	94534.2
75 	10509.8	169037	482659     	94448.9
