/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min   	avg   	max       	std   
0  	209222	800364	1.9478e+06	294429
1  	209222	781205	1.67589e+06	288604
2  	174971	757641	1.62734e+06	273233
3  	155171	744189	1.84118e+06	270562
4  	155171	736310	1.77224e+06	275367
5  	155171	717118	1.82654e+06	269747
6  	137539	701425	1.78212e+06	273768
7  	137539	699708	1.7262e+06 	282509
8  	121194	678396	1.7262e+06 	272355
9  	121194	673926	1.65484e+06	279820
10 	105644	658161	1.83671e+06	279638
11 	105644	633687	1.89508e+06	267334
12 	89818.6	619812	1.83671e+06	250633
13 	83022  	597567	1.41878e+06	229447
14 	83022  	586390	1.51091e+06	228465
15 	83022  	583703	1.41597e+06	232158
16 	76618.1	572493	1.46988e+06	222237
17 	76618.1	555259	1.37917e+06	224983
18 	76618.1	543509	1.41562e+06	224388
19 	76618.1	527628	1.29688e+06	218744
20 	76618.1	516984	1.27361e+06	211165
21 	48011.1	509752	1.26372e+06	208922
22 	48011.1	503060	1.3558e+06 	205467
23 	48011.1	485225	1.24443e+06	206468
24 	48011.1	477435	1.05824e+06	198494
25 	48011.1	468894	1.14396e+06	200032
26 	48011.1	458910	1.13056e+06	198739
27 	48011.1	445871	1.09955e+06	189158
28 	48011.1	436508	1.10707e+06	185501
29 	48011.1	430081	1.09812e+06	189478
30 	48011.1	417168	1.04271e+06	183617
31 	47043.4	408624	1.13684e+06	179606
32 	47043.4	405370	1.22228e+06	179415
33 	47043.4	403042	1.04308e+06	185011
34 	47043.4	398064	1.221e+06  	187333
35 	47043.4	386955	1.07388e+06	175656
36 	42665.3	377917	1.13612e+06	179348
37 	42665.3	373468	1.32013e+06	179377
38 	42665.3	364526	1.10756e+06	170217
39 	38181.5	352555	993504     	163722
40 	38181.5	342796	840202     	155741
41 	38181.5	335032	961364     	156770
42 	32651.2	328938	814379     	155713
43 	24304.7	323645	793204     	153015
44 	24304.7	321882	926773     	155223
45 	24304.7	312557	962585     	152838
46 	24304.7	301238	963728     	146916
