(5, 2006, 'EastJapan')
gen	min    	avg   	max     	std    
0  	-428531	-16327	-5439.78	30611.9
1  	-255741	-15774.2	-5439.78	24060.1
2  	-217122	-15449.5	-5163.07	21473.2
3  	-209437	-15162.6	-5040.23	19444.2
4  	-204877	-14866.6	-4950.3 	17390.3
5  	-143768	-14646.1	-4950.3 	15293.7
6  	-136560	-14476.9	-4673.61	14150.1
7  	-136560	-14800.9	-4673.61	14609.8
8  	-111059	-15012  	-4673.61	14576  
9  	-109225	-15117  	-4673.61	14222.2
10 	-110048	-15258.2	-4673.61	14799.4
11 	-102682	-15291.5	-4673.61	13973.5
12 	-101180	-15256.5	-4673.61	13561.1
13 	-98720 	-15381  	-4673.61	13400.3
14 	-100072	-15319.4	-4673.61	12936.9
15 	-95362.1	-15151.6	-4673.61	12374  
16 	-91486.6	-15101.7	-4673.61	11835.9
17 	-91486.6	-15356.3	-4673.61	12165.2
18 	-92032.8	-15484.6	-4673.61	11922.9
19 	-84838.2	-15548.3	-4673.61	11751.5
20 	-74210.6	-15490.7	-4673.61	11243.2
21 	-74350.8	-15604.9	-4673.61	11241.1
22 	-75242.1	-15730.9	-4673.61	11155.8
23 	-75721.9	-15924.8	-4673.61	11256.4
24 	-68251.1	-15900.8	-4673.61	10651.1
25 	-80597.6	-16031.9	-4673.61	10986.7
26 	-80488.1	-15993  	-4673.61	10779.9
27 	-79684.3	-16116.2	-4673.61	10781.2
28 	-79684.3	-16362.7	-4673.61	10986  
29 	-173619 	-17137.8	-4601.2 	13569.6
30 	-79396.6	-17064.1	-4601.2 	12004.6
31 	-206681 	-17567.6	-4601.2 	14675.3
32 	-117762 	-17539  	-4601.2 	13444.2
33 	-104154 	-17417.4	-4601.2 	13107.1
34 	-81867.6	-17471  	-4601.2 	12627  
35 	-189205 	-18031.9	-4601.2 	14977.2
36 	-88440.3	-17722  	-4601.2 	12728.5
37 	-73939.8	-17917.6	-4601.2 	12049.5
38 	-71513.8	-18034.2	-4601.2 	12099.6
39 	-73652.4	-18173  	-4601.2 	12264.6
40 	-75993.2	-18242.4	-4601.2 	12259.8
41 	-82715.5	-18326.4	-4601.2 	12358.5
42 	-83154.9	-18435.6	-4601.2 	12377  
43 	-83652  	-18413.3	-4601.2 	12013.7
44 	-77642  	-18645.8	-4601.2 	12240.9
45 	-78073.2	-18832.3	-4601.2 	12388  
