/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
(5, 2006, 'EastJapan')
gen	min    	avg     	max     	std    
0  	-295442	-15476.1	-5062.89	23274.5
1  	-206437	-14995.9	-5062.89	19598.2
2  	-206712	-15088.3	-5038.47	19687.9
3  	-182281	-15022.2	-4861.13	18944.6
4  	-170876	-15165.5	-4861.13	17911  
5  	-160781	-15090.2	-4861.13	16862.7
6  	-135409	-15015.2	-4769.6 	16029.8
7  	-129744	-14817.6	-4769.6 	15084.8
8  	-126025	-14685.5	-4769.6 	14235.8
9  	-97535.3	-14730.1	-4769.6 	13490.4
10 	-100781 	-14928.4	-4769.6 	13628.7
11 	-108947 	-15123.9	-4769.6 	13853.7
12 	-112178 	-15517.6	-4769.6 	14273.3
13 	-95486.3	-15451.1	-4769.6 	13312.4
14 	-95841  	-15552.8	-4769.6 	13257.9
15 	-95841  	-15488.7	-4769.6 	13136.8
16 	-95741  	-15526.2	-4769.6 	12745.2
17 	-192268 	-16147.4	-4769.6 	15006.2
18 	-95822.4	-16167.6	-4769.6 	13245.4
19 	-135157 	-16352.5	-4769.6 	13843.9
20 	-107777 	-16404.2	-4769.6 	13043.3
21 	-102209 	-16665.8	-4769.6 	13562.5
22 	-102253 	-16810.2	-4769.6 	13703.9
23 	-94773.7	-16682.3	-4728.25	13182  
24 	-97434.6	-16875.1	-4728.25	13596.8
25 	-95270.7	-16970.4	-4728.25	13378.6
26 	-95414.7	-17101.9	-4728.25	13430.8
27 	-95081.2	-17103.7	-4728.25	13207  
28 	-86998.9	-17150.9	-4728.25	12731  
29 	-85915.1	-16964.4	-4728.25	12372.2
30 	-102215 	-17143  	-4728.25	12619.7
31 	-105742 	-16985.6	-4728.25	12341.9
32 	-97482.1	-16909.2	-4728.25	11996.2
33 	-95680.9	-17029.6	-4728.25	12114.3
34 	-83056.2	-17160.6	-4728.25	11523  
35 	-83237.2	-17360.8	-4728.25	11796.1
36 	-82971.8	-17502.4	-4728.25	11975.8
37 	-461569 	-19268.5	-4728.25	25814.7
38 	-228846 	-18416.3	-4728.25	16777.1
39 	-150301 	-18057.6	-4728.25	13790.8
40 	-88814.7	-17955.5	-4728.25	12693.5
41 	-82153.7	-17918.7	-4728.25	12428.7
42 	-100254 	-18137.4	-4728.25	12493.6
43 	-69797.1	-18159  	-4728.25	11934.3
44 	-67594  	-18254  	-4728.25	12086.2
45 	-71093.2	-18242.5	-4728.25	12129.9
