/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg        	max        	std        
0  	72383.7	2.06621e+07	8.54293e+07	1.71704e+07
1  	69789.9	2.06674e+07	7.97027e+07	1.73965e+07
2  	69789.9	2.05868e+07	8.24683e+07	1.73915e+07
3  	69789.9	2.07752e+07	8.23457e+07	1.74621e+07
4  	50428.2	2.08844e+07	8.15292e+07	1.77353e+07
5  	50428.2	2.09545e+07	8.44896e+07	1.80086e+07
6  	50428.2	2.09841e+07	7.94615e+07	1.76839e+07
7  	50428.2	2.10844e+07	7.89774e+07	1.81002e+07
8  	50428.2	2.07736e+07	7.79909e+07	1.77879e+07
9  	50428.2	2.0399e+07 	7.72964e+07	1.7419e+07 
10 	50428.2	2.03667e+07	7.97172e+07	1.75812e+07
11 	50428.2	2.05944e+07	7.87372e+07	1.78378e+07
12 	50428.2	2.0357e+07 	7.87372e+07	1.73333e+07
13 	50428.2	2.01722e+07	7.87372e+07	1.68626e+07
14 	50428.2	2.01618e+07	8.17817e+07	1.72327e+07
15 	50428.2	2.00218e+07	8.02121e+07	1.73898e+07
16 	50428.2	1.98749e+07	8.08171e+07	1.74807e+07
17 	50428.2	1.96498e+07	8.42067e+07	1.73576e+07
18 	50428.2	1.9704e+07 	8.40713e+07	1.74851e+07
19 	50428.2	1.95022e+07	8.1119e+07 	1.7451e+07 
20 	50428.2	1.93023e+07	8.1119e+07 	1.7266e+07 
21 	50428.2	1.91745e+07	8.1119e+07 	1.68515e+07
22 	50428.2	1.89976e+07	8.44653e+07	1.66708e+07
23 	50428.2	1.90981e+07	8.44653e+07	1.68275e+07
24 	50428.2	1.89568e+07	8.42519e+07	1.65434e+07
25 	50428.2	1.91066e+07	8.32433e+07	1.67088e+07
26 	50428.2	1.90187e+07	8.35898e+07	1.63541e+07
27 	50428.2	1.88998e+07	7.89967e+07	1.6062e+07 
28 	50428.2	1.88336e+07	7.74555e+07	1.62202e+07
29 	50428.2	1.85549e+07	7.25283e+07	1.57644e+07
30 	50428.2	1.8434e+07 	7.36693e+07	1.58193e+07
31 	50428.2	1.85963e+07	7.48823e+07	1.59784e+07
32 	40605.5	1.84339e+07	7.56258e+07	1.60709e+07
33 	40605.5	1.83824e+07	8.48015e+07	1.59984e+07
34 	40605.5	1.82307e+07	7.71138e+07	1.57816e+07
35 	40605.5	1.82316e+07	9.22756e+07	1.59068e+07
36 	40605.5	1.83008e+07	7.88765e+07	1.58214e+07
37 	40605.5	1.81569e+07	7.80899e+07	1.57169e+07
38 	40605.5	1.78436e+07	7.40355e+07	1.53408e+07
39 	40605.5	1.7559e+07 	7.46854e+07	1.50201e+07
40 	40605.5	1.74438e+07	7.4401e+07 	1.48932e+07
41 	40605.5	1.75123e+07	7.412e+07  	1.48259e+07
42 	40605.5	1.74931e+07	7.21889e+07	1.45549e+07
43 	40605.5	1.76457e+07	7.79237e+07	1.47453e+07
44 	40605.5	1.77368e+07	7.47196e+07	1.54321e+07
45 	40605.5	1.77759e+07	7.19013e+07	1.56684e+07
46 	40605.5	1.77312e+07	7.59742e+07	1.59791e+07
47 	40605.5	1.76e+07   	7.59742e+07	1.55599e+07
48 	40605.5	1.74239e+07	7.89378e+07	1.56242e+07
49 	40605.5	1.72914e+07	7.71868e+07	1.55374e+07
50 	40605.5	1.72669e+07	7.59742e+07	1.55289e+07
51 	39134.9	1.71352e+07	7.74522e+07	1.53138e+07
52 	39134.9	1.7155e+07 	7.2998e+07 	1.52732e+07
53 	39134.9	1.68285e+07	7.05285e+07	1.47976e+07
54 	39134.9	1.6941e+07 	7.56602e+07	1.52856e+07
55 	39134.9	1.69664e+07	7.56602e+07	1.54042e+07
56 	39134.9	1.69194e+07	8.10608e+07	1.54169e+07
57 	39134.9	1.6953e+07 	7.74887e+07	1.55823e+07
58 	39134.9	1.71438e+07	7.71274e+07	1.59577e+07
59 	39134.9	1.71256e+07	7.71033e+07	1.59944e+07
60 	39134.9	1.69708e+07	8.07056e+07	1.58705e+07
61 	39134.9	1.69543e+07	7.6766e+07 	1.59393e+07
62 	39134.9	1.64695e+07	7.75547e+07	1.51115e+07
63 	39134.9	1.6533e+07 	7.93733e+07	1.52445e+07
64 	39134.9	1.63406e+07	7.41823e+07	1.50709e+07
65 	39134.9	1.6359e+07 	7.35615e+07	1.50098e+07
66 	39134.9	1.65027e+07	7.35615e+07	1.51009e+07
67 	39134.9	1.64448e+07	7.3097e+07 	1.47628e+07
68 	39134.9	1.63146e+07	8.23039e+07	1.46884e+07
69 	39134.9	1.60115e+07	7.2661e+07 	1.44222e+07
70 	39134.9	1.59933e+07	7.5912e+07 	1.47074e+07
71 	39134.9	1.57975e+07	7.27256e+07	1.45229e+07
72 	39134.9	1.55524e+07	7.32744e+07	1.41851e+07
73 	39134.9	1.52172e+07	6.99756e+07	1.36486e+07
74 	39134.9	1.53221e+07	6.78126e+07	1.36947e+07
75 	39134.9	1.52788e+07	6.78126e+07	1.37847e+07
76 	39134.9	1.51748e+07	7.15514e+07	1.41302e+07
77 	39134.9	1.51639e+07	7.78499e+07	1.39735e+07
78 	39134.9	1.52829e+07	7.14755e+07	1.3992e+07 
79 	39134.9	1.52953e+07	7.68789e+07	1.41506e+07
80 	39134.9	1.52852e+07	6.93331e+07	1.43189e+07
81 	39134.9	1.55858e+07	6.93331e+07	1.44993e+07
82 	39134.9	1.56273e+07	6.94924e+07	1.42399e+07
83 	35449.4	1.54981e+07	7.0935e+07 	1.40831e+07
84 	35449.4	1.53934e+07	7.17614e+07	1.41341e+07
85 	35449.4	1.54074e+07	7.51786e+07	1.43096e+07
86 	35449.4	1.51999e+07	7.44964e+07	1.38685e+07
87 	35449.4	1.50944e+07	7.23673e+07	1.37439e+07
88 	35449.4	1.5132e+07 	7.17614e+07	1.3705e+07 
89 	35128.4	1.53995e+07	7.17614e+07	1.42298e+07
90 	35128.4	1.53676e+07	7.3286e+07 	1.45972e+07
91 	35128.4	1.52002e+07	7.98601e+07	1.44278e+07
92 	35128.4	1.50273e+07	7.88791e+07	1.40192e+07
93 	35128.4	1.50352e+07	7.79063e+07	1.42867e+07
94 	35128.4	1.50249e+07	7.65989e+07	1.44151e+07
95 	35128.4	1.49089e+07	7.65989e+07	1.41085e+07
96 	35128.4	1.47328e+07	7.65816e+07	1.37926e+07
97 	35128.4	1.46527e+07	6.90041e+07	1.3682e+07 
98 	35128.4	1.46057e+07	7.23773e+07	1.37892e+07
99 	35128.4	1.45483e+07	6.85779e+07	1.37938e+07
100	35128.4	1.44942e+07	6.59313e+07	1.37005e+07
101	35128.4	1.45855e+07	6.6714e+07 	1.38288e+07
102	35128.4	1.44698e+07	6.9205e+07 	1.36503e+07
103	33553  	1.42975e+07	7.98396e+07	1.34184e+07
104	33553  	1.42441e+07	6.64357e+07	1.33259e+07
105	33553  	1.42811e+07	6.94434e+07	1.37185e+07
106	33553  	1.39658e+07	6.60387e+07	1.2922e+07 
107	33553  	1.36407e+07	6.69064e+07	1.277e+07  
108	33553  	1.34969e+07	6.64584e+07	1.26469e+07
109	33553  	1.34254e+07	6.82633e+07	1.26218e+07
110	33553  	1.32727e+07	6.82633e+07	1.22562e+07
111	33553  	1.32639e+07	6.75298e+07	1.21917e+07
112	33553  	1.33974e+07	7.08346e+07	1.26701e+07
113	33553  	1.34272e+07	7.08346e+07	1.25185e+07
