/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min   	avg        	max       	std        
0  	149848	2.00047e+07	8.1936e+07	1.67599e+07
1  	134734	1.98492e+07	7.71982e+07	1.66528e+07
2  	49676.3	2.00219e+07	7.71982e+07	1.66358e+07
3  	49676.3	1.98219e+07	7.2783e+07 	1.62693e+07
4  	49676.3	1.99339e+07	7.29311e+07	1.62424e+07
5  	49676.3	1.98499e+07	7.473e+07  	1.61041e+07
6  	49676.3	1.95644e+07	7.49275e+07	1.58021e+07
7  	49676.3	1.97056e+07	7.63127e+07	1.62986e+07
8  	49676.3	1.96078e+07	7.45837e+07	1.62216e+07
9  	49676.3	1.97813e+07	7.45837e+07	1.67329e+07
10 	49676.3	1.96168e+07	7.65309e+07	1.66528e+07
11 	47566.3	1.95286e+07	7.88127e+07	1.66023e+07
12 	47566.3	1.95444e+07	7.88127e+07	1.69588e+07
13 	47566.3	1.95933e+07	7.71919e+07	1.6902e+07 
14 	47566.3	1.94369e+07	9.02627e+07	1.71245e+07
15 	47566.3	1.9195e+07 	8.03808e+07	1.62233e+07
16 	47566.3	1.88995e+07	8.34778e+07	1.59225e+07
17 	47566.3	1.86836e+07	7.82531e+07	1.5741e+07 
18 	47566.3	1.85632e+07	7.71528e+07	1.55291e+07
19 	47566.3	1.86359e+07	7.7964e+07 	1.52453e+07
20 	47566.3	1.83994e+07	7.55811e+07	1.48712e+07
21 	47566.3	1.86676e+07	7.58406e+07	1.5747e+07 
22 	47566.3	1.83391e+07	7.58406e+07	1.52252e+07
23 	47566.3	1.83642e+07	7.58406e+07	1.55535e+07
24 	47566.3	1.83343e+07	7.71202e+07	1.56343e+07
25 	47566.3	1.82988e+07	7.54716e+07	1.56705e+07
26 	47566.3	1.82057e+07	7.54716e+07	1.59576e+07
27 	47566.3	1.78147e+07	7.46765e+07	1.58987e+07
28 	37342  	1.79896e+07	7.8865e+07 	1.63013e+07
29 	37342  	1.80515e+07	7.8865e+07 	1.61901e+07
30 	37342  	1.79892e+07	7.70468e+07	1.63094e+07
31 	37342  	1.78984e+07	7.70318e+07	1.58998e+07
32 	37342  	1.77058e+07	7.70318e+07	1.55385e+07
33 	37342  	1.74687e+07	7.60053e+07	1.50404e+07
34 	25986  	1.74382e+07	7.60053e+07	1.49407e+07
35 	25986  	1.75524e+07	7.54797e+07	1.49456e+07
36 	25986  	1.73153e+07	7.8145e+07 	1.45725e+07
37 	22117  	1.72568e+07	7.45081e+07	1.4217e+07 
38 	22117  	1.71137e+07	7.38998e+07	1.42851e+07
39 	22117  	1.70022e+07	7.61894e+07	1.43231e+07
40 	22117  	1.6884e+07 	8.36856e+07	1.47193e+07
41 	22117  	1.68251e+07	7.3208e+07 	1.47134e+07
42 	22117  	1.67857e+07	7.73013e+07	1.46077e+07
43 	22117  	1.69989e+07	7.21642e+07	1.53331e+07
44 	22117  	1.71779e+07	7.21642e+07	1.55873e+07
45 	22117  	1.69027e+07	7.09491e+07	1.49448e+07
46 	22117  	1.67174e+07	6.55813e+07	1.44243e+07
47 	22117  	1.66814e+07	7.59889e+07	1.49148e+07
48 	22117  	1.68988e+07	8.00584e+07	1.53166e+07
49 	22117  	1.70486e+07	8.00584e+07	1.56473e+07
50 	22117  	1.70285e+07	7.36347e+07	1.56506e+07
51 	22117  	1.68358e+07	7.55107e+07	1.52475e+07
52 	21787.4	1.68464e+07	7.77213e+07	1.5478e+07 
53 	21787.4	1.66449e+07	7.83373e+07	1.50319e+07
54 	21787.4	1.66666e+07	7.86573e+07	1.52841e+07
55 	21787.4	1.65819e+07	7.61682e+07	1.51019e+07
56 	21787.4	1.68104e+07	7.60305e+07	1.55718e+07
57 	21787.4	1.68369e+07	7.87583e+07	1.53481e+07
58 	21787.4	1.66976e+07	9.10836e+07	1.54153e+07
59 	21787.4	1.63985e+07	8.26451e+07	1.51542e+07
60 	21787.4	1.65235e+07	8.5026e+07 	1.57603e+07
61 	21787.4	1.64445e+07	7.70772e+07	1.57558e+07
62 	21787.4	1.62022e+07	7.64265e+07	1.53647e+07
