/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg       	max        	std        
0  	72512.2	1.9785e+07	9.47288e+07	1.65736e+07
1  	72512.2	1.98197e+07	7.94893e+07	1.66658e+07
2  	72512.2	1.99815e+07	7.8861e+07 	1.68324e+07
3  	72512.2	1.97782e+07	7.8861e+07 	1.66798e+07
4  	37808  	1.98964e+07	7.72567e+07	1.65698e+07
5  	37808  	1.97963e+07	7.72567e+07	1.65995e+07
6  	37808  	1.96942e+07	7.73455e+07	1.63108e+07
7  	37808  	1.96441e+07	7.70556e+07	1.63291e+07
8  	37808  	1.94579e+07	7.62739e+07	1.63425e+07
9  	37808  	1.92266e+07	8.2055e+07 	1.6334e+07 
10 	37808  	1.93967e+07	7.46864e+07	1.65735e+07
11 	37808  	1.93658e+07	7.46864e+07	1.68015e+07
12 	12440.2	1.91536e+07	7.82635e+07	1.62802e+07
13 	12440.2	1.91607e+07	7.65319e+07	1.64988e+07
14 	12440.2	1.90338e+07	7.65319e+07	1.60642e+07
15 	12440.2	1.89758e+07	7.88213e+07	1.59626e+07
16 	12440.2	1.90455e+07	7.71553e+07	1.60869e+07
17 	12440.2	1.92562e+07	7.31973e+07	1.65494e+07
18 	12440.2	1.92672e+07	7.28852e+07	1.6445e+07 
19 	9782.56	1.94088e+07	7.14386e+07	1.70262e+07
20 	9782.56	1.93425e+07	7.55707e+07	1.7304e+07 
21 	9782.56	1.9024e+07 	7.47874e+07	1.69871e+07
22 	9782.56	1.89195e+07	7.73775e+07	1.72219e+07
23 	9782.56	1.8805e+07 	7.85916e+07	1.72277e+07
24 	9782.56	1.86253e+07	7.73775e+07	1.69006e+07
25 	9782.56	1.86004e+07	8.06493e+07	1.68682e+07
26 	9782.56	1.85886e+07	8.06493e+07	1.68392e+07
27 	9782.56	1.87448e+07	8.06493e+07	1.69552e+07
28 	9782.56	1.8586e+07 	7.80798e+07	1.65706e+07
29 	9782.56	1.84713e+07	7.67291e+07	1.62159e+07
30 	9782.56	1.84712e+07	7.38863e+07	1.59703e+07
31 	9782.56	1.82578e+07	7.71197e+07	1.56892e+07
32 	9782.56	1.81169e+07	7.38863e+07	1.55525e+07
33 	9782.56	1.79812e+07	7.28536e+07	1.56895e+07
34 	9782.56	1.78262e+07	7.30115e+07	1.53832e+07
35 	9782.56	1.76131e+07	7.81717e+07	1.52212e+07
36 	9782.56	1.76807e+07	7.81717e+07	1.54662e+07
37 	9782.56	1.76654e+07	7.82919e+07	1.53237e+07
38 	9782.56	1.76652e+07	7.45191e+07	1.54535e+07
39 	9782.56	1.74315e+07	7.39382e+07	1.52208e+07
40 	9782.56	1.73645e+07	7.73493e+07	1.52481e+07
41 	9782.56	1.72898e+07	7.5739e+07 	1.5715e+07 
42 	9782.56	1.71386e+07	7.3904e+07 	1.51946e+07
43 	9782.56	1.73213e+07	7.92443e+07	1.56255e+07
44 	9782.56	1.71807e+07	7.63941e+07	1.5635e+07 
45 	9782.56	1.68083e+07	7.39836e+07	1.51241e+07
46 	9782.56	1.68332e+07	8.16073e+07	1.52144e+07
47 	9782.56	1.68093e+07	8.03152e+07	1.53861e+07
48 	9446.92	1.67134e+07	7.79225e+07	1.48769e+07
49 	9446.92	1.66363e+07	7.5919e+07 	1.49027e+07
50 	9446.92	1.67307e+07	7.5919e+07 	1.51793e+07
51 	9446.92	1.6688e+07 	7.56199e+07	1.51391e+07
52 	9446.92	1.63919e+07	7.56199e+07	1.47941e+07
53 	9446.92	1.63923e+07	7.4791e+07 	1.49259e+07
54 	9446.92	1.64397e+07	7.46995e+07	1.52914e+07
55 	9446.92	1.64378e+07	8.64813e+07	1.54862e+07
56 	9446.92	1.66016e+07	8.77548e+07	1.55817e+07
57 	9446.92	1.66728e+07	7.85133e+07	1.56216e+07
58 	9446.92	1.65176e+07	7.85133e+07	1.57413e+07
59 	9446.92	1.63472e+07	7.81661e+07	1.54488e+07
60 	9446.92	1.63498e+07	7.57566e+07	1.54538e+07
61 	9446.92	1.59543e+07	7.44267e+07	1.51496e+07
62 	9446.92	1.56471e+07	8.23434e+07	1.47685e+07
63 	9446.92	1.61747e+07	7.27945e+07	1.52544e+07
64 	9446.92	1.59457e+07	7.81394e+07	1.54342e+07
65 	9446.92	1.57594e+07	7.81394e+07	1.51498e+07
66 	9446.92	1.5633e+07 	7.59682e+07	1.52148e+07
67 	9446.92	1.55841e+07	7.89721e+07	1.49776e+07
68 	9446.92	1.55165e+07	7.55086e+07	1.48234e+07
69 	9446.92	1.56776e+07	8.2015e+07 	1.54216e+07
70 	9446.92	1.5707e+07 	8.02055e+07	1.55058e+07
71 	9446.92	1.5707e+07 	7.57545e+07	1.57015e+07
72 	9446.92	1.55472e+07	7.52887e+07	1.53192e+07
73 	9446.92	1.55285e+07	8.03661e+07	1.51947e+07
74 	9446.92	1.54232e+07	7.35386e+07	1.51059e+07
75 	9446.92	1.55424e+07	7.35386e+07	1.53978e+07
76 	9446.92	1.55515e+07	7.35386e+07	1.5122e+07 
77 	9446.92	1.52656e+07	7.47971e+07	1.45519e+07
78 	6648.47	1.5199e+07 	7.08249e+07	1.42287e+07
79 	6648.47	1.49468e+07	7.03264e+07	1.36012e+07
80 	5247.65	1.49878e+07	7.29709e+07	1.43414e+07
81 	5247.65	1.44964e+07	7.1614e+07 	1.3709e+07 
82 	5247.65	1.45362e+07	7.43832e+07	1.38174e+07
83 	5247.65	1.44437e+07	7.23811e+07	1.32759e+07
84 	5247.65	1.43275e+07	6.87427e+07	1.28995e+07
85 	5247.65	1.42817e+07	7.48132e+07	1.29108e+07
86 	5247.65	1.40919e+07	7.48132e+07	1.30285e+07
87 	5247.65	1.41285e+07	7.46406e+07	1.35197e+07
88 	5247.65	1.42243e+07	8.36146e+07	1.37952e+07
89 	5247.65	1.42881e+07	8.36146e+07	1.39708e+07
90 	5247.65	1.43315e+07	7.9819e+07 	1.37643e+07
91 	5247.65	1.44531e+07	7.35809e+07	1.40369e+07
92 	5247.65	1.40394e+07	7.35809e+07	1.35734e+07
93 	5247.65	1.40467e+07	6.81916e+07	1.33635e+07
94 	5247.65	1.41493e+07	6.81916e+07	1.36361e+07
95 	5247.65	1.4321e+07 	6.81916e+07	1.38764e+07
96 	5247.65	1.41615e+07	7.45736e+07	1.35217e+07
97 	5247.65	1.41177e+07	7.19598e+07	1.38691e+07
98 	5247.65	1.39538e+07	7.04918e+07	1.38223e+07
99 	5247.65	1.38818e+07	7.04918e+07	1.34694e+07
100	5247.65	1.37586e+07	7.61368e+07	1.3899e+07 
101	5247.65	1.35798e+07	7.57336e+07	1.39429e+07
102	5247.65	1.36664e+07	7.30049e+07	1.39745e+07
103	5247.65	1.35281e+07	7.66509e+07	1.38518e+07
104	5247.65	1.35467e+07	7.44662e+07	1.39309e+07
105	5247.65	1.36865e+07	7.83176e+07	1.42505e+07
106	5247.65	1.36312e+07	7.8155e+07 	1.42659e+07
107	5247.65	1.36337e+07	8.04137e+07	1.42907e+07
108	5247.65	1.39692e+07	7.66015e+07	1.45585e+07
109	5247.65	1.35088e+07	7.33135e+07	1.36532e+07
110	5247.65	1.34114e+07	7.30685e+07	1.33458e+07
111	5247.65	1.33552e+07	7.30685e+07	1.32618e+07
112	5247.65	1.33255e+07	7.30685e+07	1.3085e+07 
113	5247.65	1.33513e+07	7.30685e+07	1.32728e+07
114	5247.65	1.31216e+07	7.30685e+07	1.28266e+07
115	5247.65	1.30958e+07	7.30685e+07	1.27481e+07
116	5247.65	1.28014e+07	6.84694e+07	1.23324e+07
117	5247.65	1.29066e+07	6.77703e+07	1.2892e+07 
118	5247.65	1.3042e+07 	8.16213e+07	1.31658e+07
119	5247.65	1.28665e+07	8.13459e+07	1.29696e+07
120	5247.65	1.28828e+07	6.83383e+07	1.29909e+07
121	5247.65	1.26072e+07	6.76816e+07	1.26015e+07
122	5247.65	1.26899e+07	7.66925e+07	1.28023e+07
123	5247.65	1.26466e+07	7.66925e+07	1.28366e+07
124	4296.1 	1.26396e+07	7.30893e+07	1.2933e+07 
125	4296.1 	1.22366e+07	7.30893e+07	1.20091e+07
126	4296.1 	1.23331e+07	6.96555e+07	1.19448e+07
127	4296.1 	1.22744e+07	6.96555e+07	1.16207e+07
128	4296.1 	1.23852e+07	6.90996e+07	1.15646e+07
129	4296.1 	1.24413e+07	7.12613e+07	1.18608e+07
130	4296.1 	1.25102e+07	7.45653e+07	1.18622e+07
131	4296.1 	1.22844e+07	7.1668e+07 	1.17492e+07
132	4296.1 	1.21012e+07	6.63925e+07	1.1261e+07 
133	4296.1 	1.21697e+07	6.63925e+07	1.11539e+07
