/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min  	avg        	max        	std        
0  	85788	2.01837e+07	8.21789e+07	1.67172e+07
1  	85788	2.01976e+07	8.21789e+07	1.70317e+07
2  	38555.8	2.00302e+07	8.11936e+07	1.66625e+07
3  	38555.8	2.00653e+07	8.11936e+07	1.69413e+07
4  	38555.8	2.0254e+07 	7.57028e+07	1.70845e+07
5  	38555.8	2.01257e+07	7.92059e+07	1.71392e+07
6  	38555.8	2.02013e+07	7.75222e+07	1.75283e+07
7  	38555.8	2.01167e+07	8.08032e+07	1.73577e+07
8  	38555.8	1.99979e+07	7.72369e+07	1.70287e+07
9  	38555.8	1.9592e+07 	7.87346e+07	1.67009e+07
10 	38555.8	1.95028e+07	8.24267e+07	1.63563e+07
11 	38555.8	1.96701e+07	8.24267e+07	1.68021e+07
12 	38555.8	1.9623e+07 	8.41511e+07	1.70356e+07
13 	38555.8	1.96537e+07	8.41511e+07	1.69374e+07
14 	38555.8	1.94209e+07	8.24267e+07	1.66106e+07
15 	38555.8	1.92669e+07	8.18098e+07	1.63168e+07
16 	38555.8	1.92964e+07	8.18098e+07	1.67685e+07
17 	38555.8	1.90849e+07	7.73685e+07	1.66697e+07
18 	38555.8	1.90803e+07	8.55135e+07	1.70599e+07
19 	38555.8	1.89778e+07	7.94537e+07	1.69158e+07
20 	38555.8	1.87317e+07	7.94537e+07	1.66306e+07
21 	38555.8	1.87296e+07	7.76984e+07	1.6904e+07 
22 	38555.8	1.85693e+07	7.8056e+07 	1.65179e+07
23 	38555.8	1.85243e+07	7.74099e+07	1.64717e+07
24 	38555.8	1.8515e+07 	7.6996e+07 	1.66589e+07
25 	38555.8	1.81782e+07	8.6707e+07 	1.65429e+07
26 	38555.8	1.83594e+07	7.84652e+07	1.65889e+07
27 	38555.8	1.85254e+07	8.15346e+07	1.69856e+07
28 	38555.8	1.8214e+07 	7.84652e+07	1.65826e+07
29 	38555.8	1.82743e+07	7.84306e+07	1.66066e+07
30 	38555.8	1.83032e+07	7.55271e+07	1.66098e+07
31 	38555.8	1.81924e+07	7.55271e+07	1.6571e+07 
32 	38555.8	1.82418e+07	7.46257e+07	1.6147e+07 
33 	38555.8	1.83224e+07	7.49035e+07	1.623e+07  
34 	38555.8	1.8455e+07 	7.57957e+07	1.71231e+07
35 	38555.8	1.81517e+07	7.57957e+07	1.6858e+07 
36 	38555.8	1.79824e+07	7.57933e+07	1.66148e+07
37 	38555.8	1.77995e+07	7.88617e+07	1.62386e+07
38 	38555.8	1.78214e+07	7.85607e+07	1.64499e+07
39 	38555.8	1.78026e+07	8.3831e+07 	1.65024e+07
40 	38555.8	1.73141e+07	8.3831e+07 	1.58707e+07
41 	38555.8	1.75603e+07	7.70127e+07	1.63067e+07
42 	38555.8	1.74278e+07	7.82912e+07	1.61092e+07
43 	38555.8	1.71343e+07	7.92906e+07	1.56252e+07
44 	38555.8	1.69405e+07	7.37295e+07	1.52203e+07
45 	38555.8	1.675e+07  	7.63204e+07	1.54787e+07
46 	38555.8	1.67128e+07	7.43967e+07	1.52095e+07
47 	38555.8	1.66368e+07	7.30075e+07	1.51729e+07
48 	38555.8	1.64162e+07	7.51209e+07	1.46026e+07
49 	38555.8	1.63059e+07	7.42525e+07	1.45745e+07
50 	38555.8	1.63076e+07	8.09708e+07	1.48303e+07
51 	38555.8	1.60987e+07	8.09708e+07	1.42619e+07
52 	38555.8	1.60287e+07	8.026e+07  	1.44613e+07
53 	38555.8	1.60375e+07	7.49934e+07	1.44991e+07
54 	38555.8	1.59811e+07	7.22773e+07	1.42996e+07
55 	38555.8	1.57234e+07	7.59238e+07	1.40754e+07
56 	38555.8	1.56925e+07	6.9086e+07 	1.41483e+07
57 	38555.8	1.56548e+07	7.23263e+07	1.42489e+07
58 	38555.8	1.54265e+07	7.60426e+07	1.39197e+07
59 	38555.8	1.53887e+07	7.89973e+07	1.3659e+07 
60 	38555.8	1.52525e+07	6.96162e+07	1.31034e+07
61 	38555.8	1.54014e+07	7.1556e+07 	1.39262e+07
62 	38555.8	1.5357e+07 	7.14254e+07	1.37581e+07
63 	38555.8	1.50861e+07	7.43068e+07	1.3559e+07 
64 	38555.8	1.546e+07  	6.9301e+07 	1.40512e+07
65 	38555.8	1.53605e+07	6.83851e+07	1.43304e+07
66 	38555.8	1.55936e+07	7.67297e+07	1.47861e+07
67 	38555.8	1.55928e+07	7.70593e+07	1.45523e+07
68 	38555.8	1.56762e+07	7.54922e+07	1.47852e+07
69 	38555.8	1.56658e+07	7.44893e+07	1.47498e+07
70 	38555.8	1.54682e+07	7.44893e+07	1.4515e+07 
71 	38555.8	1.51302e+07	7.44893e+07	1.42469e+07
72 	38555.8	1.50032e+07	7.58662e+07	1.39889e+07
73 	38555.8	1.48736e+07	7.52499e+07	1.41205e+07
74 	38555.8	1.47704e+07	7.52499e+07	1.39993e+07
75 	38555.8	1.45866e+07	6.88034e+07	1.35975e+07
76 	38555.8	1.43086e+07	7.68166e+07	1.35239e+07
77 	38555.8	1.45215e+07	7.62209e+07	1.43666e+07
78 	38555.8	1.47879e+07	7.32551e+07	1.43128e+07
79 	38555.8	1.44306e+07	7.25069e+07	1.39152e+07
80 	38555.8	1.43171e+07	7.25069e+07	1.39419e+07
81 	38555.8	1.42676e+07	7.25069e+07	1.37445e+07
82 	38555.8	1.41003e+07	7.54323e+07	1.35345e+07
83 	37959.6	1.40849e+07	6.94414e+07	1.33625e+07
84 	37959.6	1.42941e+07	6.92534e+07	1.34343e+07
85 	37959.6	1.43594e+07	7.09856e+07	1.35506e+07
86 	37959.6	1.41019e+07	7.18738e+07	1.35033e+07
87 	37959.6	1.42365e+07	7.52504e+07	1.40509e+07
88 	37959.6	1.41431e+07	7.43078e+07	1.40198e+07
89 	37959.6	1.42292e+07	7.28091e+07	1.40915e+07
90 	37959.6	1.39621e+07	7.20298e+07	1.38009e+07
91 	37959.6	1.38591e+07	6.82907e+07	1.36257e+07
92 	37959.6	1.37796e+07	7.3819e+07 	1.34567e+07
93 	37959.6	1.3862e+07 	7.47373e+07	1.3917e+07 
94 	37959.6	1.38888e+07	7.11187e+07	1.37947e+07
95 	37959.6	1.37404e+07	6.69145e+07	1.33808e+07
96 	30014.8	1.37423e+07	7.50013e+07	1.37101e+07
97 	30014.8	1.38719e+07	8.26823e+07	1.39309e+07
98 	30014.8	1.38767e+07	7.4557e+07 	1.39518e+07
99 	30014.8	1.38642e+07	7.58597e+07	1.39946e+07
100	30014.8	1.37686e+07	7.25726e+07	1.37766e+07
101	30014.8	1.37481e+07	7.15954e+07	1.40677e+07
102	30014.8	1.34762e+07	7.49333e+07	1.36739e+07
103	30014.8	1.33286e+07	7.15954e+07	1.34269e+07
104	30014.8	1.33403e+07	7.39927e+07	1.34016e+07
105	30014.8	1.32484e+07	6.86998e+07	1.32493e+07
106	30014.8	1.30868e+07	6.86998e+07	1.32529e+07
107	30014.8	1.28909e+07	6.69822e+07	1.26292e+07
108	30014.8	1.31254e+07	6.55479e+07	1.28261e+07
109	30014.8	1.30501e+07	6.82457e+07	1.29954e+07
110	30014.8	1.2978e+07 	7.42288e+07	1.31277e+07
111	30014.8	1.28828e+07	8.15032e+07	1.32434e+07
112	30014.8	1.29346e+07	8.04777e+07	1.30775e+07
113	30014.8	1.28954e+07	7.86474e+07	1.28663e+07
114	30014.8	1.25488e+07	7.34452e+07	1.28703e+07
115	30014.8	1.25469e+07	7.23319e+07	1.29851e+07
116	30014.8	1.25058e+07	6.49558e+07	1.25915e+07
117	30014.8	1.24201e+07	7.06186e+07	1.24655e+07
118	30014.8	1.23395e+07	7.36001e+07	1.24069e+07
119	30014.8	1.23413e+07	7.66261e+07	1.29778e+07
