/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min   	avg        	max        	std       
0  	178149	2.00874e+07	8.72699e+07	1.6387e+07
1  	149172	1.98841e+07	7.78883e+07	1.61544e+07
2  	149172	1.97871e+07	7.83778e+07	1.62522e+07
3  	149172	1.98214e+07	8.24096e+07	1.65035e+07
4  	149172	1.98316e+07	7.8226e+07 	1.61676e+07
5  	149172	1.99116e+07	7.58418e+07	1.64476e+07
6  	149172	1.9703e+07 	7.82745e+07	1.65801e+07
7  	149172	1.96006e+07	8.04932e+07	1.63778e+07
8  	105239	1.97507e+07	7.74439e+07	1.68426e+07
9  	105239	1.96989e+07	8.08014e+07	1.6475e+07 
10 	99644.5	1.96038e+07	7.28104e+07	1.62908e+07
11 	99644.5	1.94712e+07	7.57318e+07	1.64168e+07
12 	88124.8	1.93866e+07	7.95326e+07	1.63891e+07
13 	88124.8	1.94827e+07	7.53775e+07	1.64382e+07
14 	88124.8	1.93087e+07	7.53775e+07	1.61422e+07
15 	87216.4	1.91852e+07	7.41199e+07	1.63469e+07
16 	87216.4	1.91474e+07	7.64259e+07	1.62609e+07
17 	87216.4	1.90052e+07	7.64259e+07	1.64557e+07
18 	87216.4	1.88642e+07	7.64287e+07	1.61165e+07
19 	87216.4	1.8823e+07 	7.64287e+07	1.61625e+07
20 	82262.3	1.8861e+07 	7.46092e+07	1.59649e+07
21 	81246.8	1.90041e+07	7.46092e+07	1.63681e+07
22 	81246.8	1.88668e+07	7.90437e+07	1.65553e+07
23 	81246.8	1.8724e+07 	7.90437e+07	1.64064e+07
24 	81246.8	1.8666e+07 	7.41276e+07	1.62112e+07
25 	68319  	1.87353e+07	8.00455e+07	1.6624e+07 
26 	68319  	1.87842e+07	7.91042e+07	1.67986e+07
27 	68319  	1.87994e+07	7.91042e+07	1.68318e+07
28 	68319  	1.86822e+07	7.46477e+07	1.66242e+07
29 	68319  	1.85543e+07	7.3382e+07 	1.60909e+07
30 	68319  	1.84592e+07	7.72917e+07	1.60062e+07
31 	68319  	1.80433e+07	7.68904e+07	1.54106e+07
32 	68319  	1.80474e+07	7.38366e+07	1.52975e+07
33 	68319  	1.77534e+07	7.79006e+07	1.5211e+07 
34 	68319  	1.77358e+07	7.79006e+07	1.53788e+07
35 	68319  	1.79426e+07	7.72452e+07	1.59605e+07
36 	68319  	1.78996e+07	8.08783e+07	1.59715e+07
37 	68319  	1.77022e+07	7.94333e+07	1.59541e+07
38 	63331.1	1.74271e+07	7.86958e+07	1.53857e+07
39 	63331.1	1.75385e+07	7.50122e+07	1.55269e+07
40 	63331.1	1.74918e+07	7.24343e+07	1.56021e+07
41 	63331.1	1.75936e+07	7.66114e+07	1.60985e+07
42 	63331.1	1.7585e+07 	7.14515e+07	1.60865e+07
43 	63331.1	1.75171e+07	7.68843e+07	1.59878e+07
44 	63331.1	1.73106e+07	7.32656e+07	1.53241e+07
45 	63331.1	1.75484e+07	7.45452e+07	1.56688e+07
46 	63331.1	1.7223e+07 	7.45452e+07	1.52288e+07
47 	63331.1	1.69591e+07	7.24535e+07	1.50776e+07
48 	63331.1	1.71513e+07	7.47642e+07	1.53426e+07
49 	63331.1	1.71197e+07	7.47642e+07	1.53709e+07
50 	63331.1	1.71033e+07	7.73869e+07	1.52057e+07
51 	63331.1	1.697e+07  	8.6806e+07 	1.55741e+07
52 	63331.1	1.70014e+07	7.21335e+07	1.56316e+07
53 	63331.1	1.7001e+07 	7.21335e+07	1.56159e+07
54 	63331.1	1.67127e+07	7.26293e+07	1.5212e+07 
55 	63331.1	1.68436e+07	7.70027e+07	1.52117e+07
56 	63331.1	1.66058e+07	7.84956e+07	1.49942e+07
57 	63331.1	1.64568e+07	7.70027e+07	1.48334e+07
58 	63331.1	1.63218e+07	7.54615e+07	1.44344e+07
59 	63331.1	1.61965e+07	7.1545e+07 	1.43905e+07
60 	63331.1	1.64768e+07	7.92564e+07	1.51578e+07
61 	63331.1	1.61988e+07	7.29539e+07	1.45372e+07
62 	63331.1	1.6259e+07 	7.76482e+07	1.51773e+07
