/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg        	max        	std       
0  	138.363	5.33522e+06	4.15157e+07	6.9226e+06
1  	138.363	5.42723e+06	4.06425e+07	6.82889e+06
2  	138.363	5.30503e+06	3.39966e+07	6.6311e+06 
3  	138.363	5.28932e+06	4.68453e+07	6.79368e+06
4  	114.889	5.32861e+06	3.90055e+07	6.71306e+06
5  	114.889	5.24109e+06	4.14834e+07	6.58033e+06
6  	114.889	5.06718e+06	4.9308e+07 	6.59663e+06
7  	114.889	5.0499e+06 	4.14834e+07	6.66658e+06
8  	114.889	4.95486e+06	3.80031e+07	6.4501e+06 
9  	114.889	4.87351e+06	4.04241e+07	6.46462e+06
10 	114.889	4.98966e+06	4.22777e+07	6.47732e+06
11 	114.889	5.09069e+06	3.84559e+07	6.4802e+06 
12 	114.889	5.11761e+06	4.34371e+07	6.67333e+06
13 	114.889	5.07086e+06	3.56865e+07	6.48085e+06
14 	114.889	5.20415e+06	3.2788e+07 	6.39275e+06
15 	114.889	5.26747e+06	3.79383e+07	6.61697e+06
16 	114.889	5.22884e+06	3.72695e+07	6.44608e+06
17 	114.889	5.0301e+06 	3.44555e+07	6.40002e+06
18 	114.133	4.88362e+06	3.84606e+07	6.44481e+06
19 	114.133	4.73867e+06	3.84606e+07	6.16298e+06
20 	114.133	4.85429e+06	3.90382e+07	6.08012e+06
21 	114.133	4.74547e+06	3.13048e+07	5.94552e+06
22 	114.133	4.64565e+06	2.95272e+07	5.73072e+06
23 	114.133	4.63964e+06	2.93264e+07	5.76095e+06
24 	114.133	4.65652e+06	2.88717e+07	5.73382e+06
25 	109.5  	4.86574e+06	3.26324e+07	5.97169e+06
26 	109.5  	5.06135e+06	3.36868e+07	6.23646e+06
27 	109.5  	4.9517e+06 	4.16479e+07	6.2029e+06 
28 	109.5  	5.07235e+06	3.50981e+07	6.34503e+06
29 	109.5  	4.88995e+06	3.16183e+07	6.12696e+06
30 	109.5  	4.88659e+06	3.27679e+07	6.15975e+06
31 	109.5  	4.90115e+06	3.06625e+07	6.04143e+06
32 	109.5  	5.08351e+06	4.38793e+07	6.29431e+06
33 	109.5  	4.94576e+06	3.69752e+07	5.95491e+06
34 	109.5  	5.12074e+06	3.24583e+07	6.44504e+06
35 	109.5  	5.24649e+06	3.40445e+07	6.40513e+06
36 	109.5  	5.226e+06  	3.40445e+07	6.27651e+06
37 	109.5  	5.13376e+06	3.99233e+07	6.35467e+06
38 	109.5  	5.10474e+06	3.87154e+07	6.33559e+06
39 	109.5  	5.02598e+06	3.34546e+07	6.13152e+06
40 	109.5  	5.02479e+06	3.60928e+07	6.18766e+06
41 	109.5  	4.77694e+06	3.60928e+07	6.06065e+06
42 	109.5  	4.74548e+06	3.7489e+07 	6.18189e+06
43 	109.5  	4.70042e+06	3.73052e+07	6.05293e+06
44 	109.5  	4.84509e+06	3.68503e+07	6.31716e+06
45 	109.5  	4.9163e+06 	3.49947e+07	6.22313e+06
46 	109.5  	4.84769e+06	4.13401e+07	6.3832e+06 
47 	109.5  	4.72724e+06	4.13401e+07	6.29506e+06
48 	109.5  	4.55742e+06	3.95744e+07	5.86387e+06
49 	109.5  	4.33037e+06	3.16457e+07	5.7045e+06 
50 	109.5  	4.3546e+06 	3.48255e+07	5.67832e+06
51 	109.5  	4.38062e+06	4.75584e+07	5.91112e+06
52 	109.5  	4.32452e+06	3.34738e+07	5.42497e+06
53 	109.5  	4.43698e+06	3.34827e+07	5.60495e+06
54 	109.5  	4.53819e+06	3.34827e+07	5.7847e+06 
55 	109.5  	4.46805e+06	3.13976e+07	5.57032e+06
56 	109.5  	4.39472e+06	2.90234e+07	5.37395e+06
57 	109.5  	4.29208e+06	2.90273e+07	5.42963e+06
58 	109.5  	4.35699e+06	3.2299e+07 	5.74185e+06
59 	109.5  	4.33395e+06	3.36169e+07	5.62103e+06
60 	109.5  	4.44709e+06	3.33299e+07	5.67725e+06
61 	109.5  	4.4135e+06 	2.65255e+07	5.52308e+06
62 	109.5  	4.4626e+06 	4.34023e+07	5.48493e+06
63 	109.5  	4.77404e+06	3.54089e+07	5.74795e+06
64 	109.5  	4.70306e+06	3.96719e+07	6.01227e+06
65 	109.5  	4.60218e+06	3.09496e+07	5.7756e+06 
66 	109.5  	4.42671e+06	3.80721e+07	5.54031e+06
67 	109.5  	4.40337e+06	3.81448e+07	5.55674e+06
68 	109.5  	4.40173e+06	3.50552e+07	5.50926e+06
69 	109.5  	4.42141e+06	3.42418e+07	5.63654e+06
70 	109.5  	4.51833e+06	4.24428e+07	5.76647e+06
71 	109.5  	4.37858e+06	4.22458e+07	5.5797e+06 
72 	109.5  	4.35837e+06	2.88204e+07	5.564e+06  
73 	109.5  	4.51942e+06	4.44131e+07	5.92611e+06
74 	109.5  	4.69266e+06	3.28749e+07	6.01443e+06
75 	109.5  	4.76562e+06	3.68495e+07	6.16007e+06
76 	109.5  	4.86141e+06	3.77397e+07	6.3174e+06 
77 	109.5  	4.87186e+06	3.77397e+07	6.32885e+06
78 	109.5  	4.59815e+06	3.77397e+07	6.20377e+06
79 	109.5  	4.56272e+06	2.92516e+07	6.04218e+06
80 	109.5  	4.69182e+06	3.37413e+07	6.24744e+06
81 	109.5  	4.77666e+06	3.37413e+07	6.21726e+06
82 	109.5  	4.92354e+06	3.79787e+07	6.254e+06  
83 	109.5  	4.86512e+06	4.02149e+07	6.17987e+06
84 	109.5  	4.87135e+06	3.16355e+07	5.94874e+06
85 	109.5  	4.97241e+06	3.68109e+07	6.11583e+06
86 	109.5  	5.016e+06  	3.68898e+07	6.44922e+06
87 	109.5  	4.86585e+06	3.2387e+07 	6.19292e+06
88 	109.5  	4.80266e+06	3.29606e+07	6.08768e+06
89 	109.5  	4.75118e+06	2.98377e+07	6.01318e+06
90 	109.5  	4.72165e+06	3.23879e+07	5.9393e+06 
91 	109.5  	4.75555e+06	2.81953e+07	5.90433e+06
92 	109.5  	4.57001e+06	2.81953e+07	5.66996e+06
93 	109.5  	4.41261e+06	2.97674e+07	5.67507e+06
94 	109.5  	4.39386e+06	3.22049e+07	5.62594e+06
95 	109.5  	4.37133e+06	3.22049e+07	5.63513e+06
96 	109.5  	4.48735e+06	2.90538e+07	5.6947e+06 
97 	108.179	4.41104e+06	3.40298e+07	5.60277e+06
98 	108.179	4.44637e+06	2.95723e+07	5.57751e+06
99 	108.179	4.49899e+06	3.08527e+07	5.59704e+06
100	108.179	4.5936e+06 	3.14168e+07	5.64557e+06
101	108.179	4.3303e+06 	3.14702e+07	5.41697e+06
102	108.179	4.34926e+06	3.14702e+07	5.53108e+06
103	108.179	4.45778e+06	3.36978e+07	5.58277e+06
104	108.179	4.50006e+06	3.94324e+07	5.57637e+06
105	108.179	4.30534e+06	2.993e+07  	5.33811e+06
106	108.179	4.12515e+06	3.34142e+07	5.0492e+06 
107	108.179	4.37599e+06	3.42215e+07	5.3767e+06 
108	108.179	4.34249e+06	3.39587e+07	5.43258e+06
109	108.179	4.40467e+06	3.53765e+07	5.69704e+06
110	108.179	4.4512e+06 	3.99224e+07	5.63707e+06
111	108.179	4.5135e+06 	3.99224e+07	5.58973e+06
112	108.179	4.57026e+06	3.10359e+07	5.51743e+06
113	108.179	4.54619e+06	3.48676e+07	5.60212e+06
114	108.179	4.50929e+06	3.05299e+07	5.51947e+06
115	108.179	4.66472e+06	3.31514e+07	5.7163e+06 
116	108.179	4.5752e+06 	3.31514e+07	5.63607e+06
117	108.179	4.54695e+06	3.4117e+07 	5.68799e+06
118	108.179	4.52996e+06	3.29634e+07	5.64262e+06
119	108.179	4.52039e+06	2.98113e+07	5.63885e+06
120	108.179	4.35246e+06	2.98113e+07	5.46734e+06
121	108.179	4.26842e+06	2.98113e+07	5.25267e+06
