/usr/lib/python2.7/site-packages/deap/tools/_hypervolume/pyhv.py:33: ImportWarning: Falling back to the python version of hypervolume module. Expect this to be very slow.
  "module. Expect this to be very slow.", ImportWarning)
gen	min    	avg        	max       	std        
0  	137.239	5.34717e+06	4.0798e+07	6.59004e+06
1  	137.239	5.18314e+06	4.0798e+07	6.65576e+06
2  	137.239	5.20758e+06	3.71178e+07	6.45388e+06
3  	137.239	5.08628e+06	5.26452e+07	6.60227e+06
4  	137.239	5.1952e+06 	3.44216e+07	6.52023e+06
5  	137.239	5.34085e+06	3.5897e+07 	6.49935e+06
6  	137.239	5.10849e+06	3.25878e+07	6.19684e+06
7  	137.239	5.14154e+06	2.96105e+07	6.26146e+06
8  	128.704	5.2199e+06 	3.52238e+07	6.53097e+06
9  	128.704	5.25284e+06	3.64704e+07	6.55958e+06
10 	128.704	5.07803e+06	3.55014e+07	6.29302e+06
11 	128.704	5.08287e+06	3.44979e+07	6.37816e+06
12 	126.7  	5.13766e+06	3.90946e+07	6.59851e+06
13 	126.7  	5.35137e+06	3.69068e+07	6.72781e+06
14 	121.92 	5.26414e+06	3.69068e+07	6.7736e+06 
15 	121.92 	5.27899e+06	3.69068e+07	6.69042e+06
16 	121.92 	5.25785e+06	3.71074e+07	6.60907e+06
17 	121.92 	5.24729e+06	3.39665e+07	6.46961e+06
18 	121.92 	5.30012e+06	4.48907e+07	6.8184e+06 
19 	121.92 	5.16098e+06	3.62303e+07	6.53637e+06
20 	121.92 	4.98041e+06	3.79193e+07	6.52167e+06
21 	121.92 	5.06425e+06	3.74763e+07	6.51915e+06
22 	121.92 	5.03237e+06	3.74763e+07	6.46087e+06
23 	121.92 	5.31024e+06	3.84843e+07	6.84594e+06
24 	121.92 	5.23338e+06	3.87131e+07	6.49646e+06
25 	121.92 	5.19205e+06	4.39871e+07	6.60477e+06
26 	121.92 	4.98827e+06	3.44466e+07	6.34997e+06
27 	121.92 	4.87289e+06	3.85541e+07	6.4151e+06 
28 	121.92 	4.91345e+06	3.36312e+07	6.2612e+06 
29 	121.92 	4.94702e+06	3.58441e+07	6.34786e+06
30 	121.92 	4.9814e+06 	3.58441e+07	6.38679e+06
31 	121.92 	4.9734e+06 	3.44142e+07	6.15342e+06
32 	121.92 	4.99545e+06	2.92329e+07	5.95866e+06
33 	121.92 	4.93195e+06	3.82891e+07	5.89131e+06
34 	121.92 	5.03365e+06	3.84703e+07	6.24206e+06
35 	121.92 	5.03464e+06	3.82891e+07	6.18326e+06
36 	121.92 	5.16806e+06	3.8005e+07 	6.32855e+06
37 	121.92 	5.09839e+06	3.77777e+07	6.48242e+06
38 	121.92 	5.13051e+06	3.46098e+07	6.37782e+06
39 	121.92 	5.2276e+06 	3.42014e+07	6.51635e+06
40 	121.92 	5.25373e+06	3.25744e+07	6.6335e+06 
41 	115.867	5.1575e+06 	3.7647e+07 	6.60001e+06
42 	115.867	5.09611e+06	3.7647e+07 	6.57577e+06
43 	115.867	5.05966e+06	3.73759e+07	6.38866e+06
44 	115.867	4.78074e+06	3.73379e+07	6.05776e+06
45 	115.867	4.70967e+06	3.2759e+07 	5.86219e+06
46 	115.867	4.79294e+06	3.23277e+07	6.04736e+06
47 	115.867	4.94461e+06	3.94398e+07	6.3507e+06 
48 	115.867	5.10805e+06	3.94398e+07	6.34912e+06
49 	115.867	5.12395e+06	4.03109e+07	6.61605e+06
50 	115.867	5.26301e+06	6.01001e+07	6.72172e+06
51 	115.867	5.13546e+06	3.81774e+07	6.53827e+06
52 	115.867	5.22344e+06	3.58113e+07	6.6016e+06 
53 	115.867	5.21531e+06	3.33346e+07	6.72304e+06
54 	115.867	5.31187e+06	3.98372e+07	6.76651e+06
55 	115.867	5.26559e+06	3.98372e+07	6.78036e+06
56 	115.867	5.22512e+06	3.79064e+07	6.5056e+06 
57 	115.867	5.37395e+06	4.91966e+07	6.85589e+06
58 	115.867	5.21679e+06	4.31781e+07	6.60855e+06
59 	115.867	5.26299e+06	4.31781e+07	6.66777e+06
60 	115.867	5.30668e+06	4.67593e+07	6.74403e+06
61 	115.867	5.33359e+06	3.78824e+07	6.61395e+06
62 	115.402	5.35559e+06	3.555e+07  	6.69823e+06
63 	115.402	5.24013e+06	5.14341e+07	6.80927e+06
64 	115.402	5.20951e+06	3.83592e+07	6.43042e+06
65 	115.402	5.22848e+06	3.37816e+07	6.32903e+06
66 	115.402	4.97858e+06	3.77029e+07	6.12235e+06
67 	115.402	5.03182e+06	3.21318e+07	6.0874e+06 
68 	115.402	5.06968e+06	4.06717e+07	6.12869e+06
69 	106.402	5.10374e+06	3.18861e+07	6.15673e+06
70 	106.402	5.29108e+06	4.0927e+07 	6.54182e+06
71 	106.402	5.11678e+06	3.27112e+07	6.40138e+06
72 	106.402	5.3317e+06 	4.84712e+07	7.05988e+06
73 	106.402	5.50583e+06	4.37696e+07	7.0272e+06 
74 	106.402	5.30956e+06	4.15664e+07	6.68337e+06
75 	106.402	5.34751e+06	3.83093e+07	6.88667e+06
76 	106.402	5.12899e+06	3.42123e+07	6.44095e+06
77 	106.402	5.26552e+06	3.62814e+07	6.54909e+06
78 	106.402	5.34516e+06	3.42123e+07	6.49719e+06
79 	106.402	5.19849e+06	3.52016e+07	6.49866e+06
80 	106.402	5.37378e+06	3.35398e+07	6.49913e+06
81 	106.402	5.3646e+06 	3.53374e+07	6.50494e+06
82 	106.402	5.4316e+06 	3.62939e+07	6.68669e+06
83 	106.402	5.34471e+06	3.78808e+07	6.61025e+06
84 	106.402	5.29587e+06	3.68462e+07	6.57674e+06
85 	106.402	5.10095e+06	3.86148e+07	6.27928e+06
86 	106.402	4.94211e+06	3.30441e+07	6.10308e+06
87 	106.402	4.95803e+06	3.5771e+07 	6.13498e+06
88 	106.402	5.08182e+06	3.14825e+07	6.08949e+06
89 	106.402	4.94091e+06	2.93188e+07	6.02265e+06
90 	106.402	4.91202e+06	3.68079e+07	6.13126e+06
91 	106.402	4.87102e+06	3.38047e+07	6.25209e+06
92 	106.402	4.81493e+06	3.87279e+07	6.38347e+06
93 	106.402	4.83369e+06	4.00983e+07	6.28163e+06
94 	106.402	4.87866e+06	4.04192e+07	6.27708e+06
95 	106.402	4.92535e+06	3.9456e+07 	6.40722e+06
96 	106.402	4.77917e+06	3.44434e+07	6.01693e+06
97 	106.402	4.84588e+06	3.44434e+07	6.12148e+06
98 	106.402	4.77492e+06	3.37415e+07	6.09442e+06
99 	106.402	4.70195e+06	3.37971e+07	5.90479e+06
100	106.402	4.62603e+06	3.38038e+07	6.00873e+06
101	106.402	4.70139e+06	3.14715e+07	6.19896e+06
102	106.402	4.72139e+06	3.80694e+07	6.35309e+06
103	106.402	4.79419e+06	3.63317e+07	6.2673e+06 
104	106.402	4.67391e+06	3.35742e+07	5.95321e+06
105	106.402	4.54005e+06	3.67521e+07	5.97089e+06
106	106.402	4.39768e+06	3.29752e+07	5.67627e+06
107	106.402	4.29311e+06	3.29752e+07	5.49382e+06
108	106.402	4.43894e+06	3.55231e+07	5.77813e+06
109	106.402	4.50158e+06	3.66665e+07	5.74436e+06
110	106.402	4.35258e+06	3.98112e+07	5.36109e+06
111	106.402	4.27142e+06	4.74939e+07	5.46818e+06
112	106.402	4.25757e+06	4.42579e+07	5.39859e+06
113	106.402	4.39112e+06	3.98112e+07	5.6383e+06 
114	106.402	4.40346e+06	3.89408e+07	5.66509e+06
115	101.653	4.44892e+06	3.5938e+07 	5.61349e+06
116	101.653	4.4261e+06 	3.6305e+07 	5.7394e+06 
117	101.653	4.41451e+06	3.5938e+07 	5.61313e+06
118	101.653	4.50712e+06	3.5938e+07 	5.65987e+06
119	101.653	4.71292e+06	4.22332e+07	6.00146e+06
120	101.653	4.70992e+06	3.71972e+07	5.96522e+06
121	101.653	4.77199e+06	3.57809e+07	5.91939e+06
122	101.653	4.5811e+06 	3.57809e+07	5.68236e+06
123	101.653	4.64753e+06	4.40037e+07	5.90962e+06
124	101.653	4.65174e+06	3.10029e+07	5.70622e+06
125	101.653	4.59835e+06	3.19483e+07	5.6398e+06 
126	101.653	4.51175e+06	3.19483e+07	5.79245e+06
127	101.653	4.5259e+06 	3.29157e+07	5.87245e+06
128	101.653	4.63482e+06	3.68798e+07	5.97156e+06
129	101.653	4.63292e+06	3.771e+07  	5.8858e+06 
130	101.653	4.61261e+06	3.18529e+07	5.75303e+06
131	101.653	4.44289e+06	3.18529e+07	5.65599e+06
132	101.653	4.48949e+06	3.06447e+07	5.50364e+06
133	101.653	4.49975e+06	3.69904e+07	5.72915e+06
134	101.653	4.40497e+06	3.69904e+07	5.54416e+06
135	101.653	4.4494e+06 	3.48647e+07	5.36582e+06
136	101.653	4.50675e+06	3.48647e+07	5.67255e+06
137	101.653	4.24978e+06	3.1577e+07 	5.47006e+06
138	101.653	4.37738e+06	2.88298e+07	5.62571e+06
139	101.653	4.33718e+06	3.15049e+07	5.70686e+06
140	101.653	4.29989e+06	3.21511e+07	5.73762e+06
141	101.653	4.26248e+06	3.15049e+07	5.5994e+06 
142	101.653	4.33984e+06	3.69862e+07	5.48931e+06
143	101.653	4.24725e+06	3.59295e+07	5.62715e+06
144	101.653	4.41217e+06	3.57939e+07	5.76137e+06
145	101.653	4.41659e+06	3.53139e+07	5.83554e+06
146	101.653	4.45692e+06	3.53574e+07	6.04742e+06
147	101.653	4.40895e+06	3.53574e+07	5.76837e+06
148	101.653	4.244e+06  	3.16847e+07	5.54783e+06
149	101.653	4.39866e+06	3.31312e+07	5.66551e+06
150	101.653	4.3916e+06 	2.86078e+07	5.37543e+06
151	101.653	4.5414e+06 	3.83696e+07	5.60648e+06
152	101.653	4.50984e+06	3.25213e+07	5.50564e+06
153	101.653	4.39488e+06	3.25213e+07	5.49581e+06
154	101.653	4.22561e+06	3.15946e+07	5.27604e+06
155	101.653	4.22478e+06	3.02077e+07	5.35668e+06
156	101.653	4.43408e+06	3.67714e+07	5.72014e+06
157	101.653	4.3288e+06 	3.05852e+07	5.4214e+06 
158	101.653	4.30186e+06	3.01615e+07	5.32953e+06
159	101.653	4.34358e+06	2.71939e+07	5.31556e+06
160	101.653	4.42417e+06	3.58384e+07	5.47424e+06
161	101.653	4.34809e+06	3.40319e+07	5.3877e+06 
162	101.653	4.45162e+06	3.40319e+07	5.53382e+06
163	101.653	4.54223e+06	3.59107e+07	5.75777e+06
164	101.653	4.45045e+06	3.51722e+07	5.54022e+06
165	101.653	4.45462e+06	3.68068e+07	5.62015e+06
166	101.653	4.36761e+06	3.03817e+07	5.54964e+06
167	101.653	4.29803e+06	3.15016e+07	5.4879e+06 
168	101.653	4.42478e+06	3.57434e+07	5.68804e+06
169	101.653	4.4131e+06 	3.57434e+07	5.7434e+06 
170	101.653	4.65131e+06	4.23569e+07	5.83264e+06
171	101.653	4.42023e+06	3.09331e+07	5.6251e+06 
172	101.653	4.46723e+06	2.79616e+07	5.57553e+06
173	101.653	4.54173e+06	2.94356e+07	5.68376e+06
174	101.653	4.25313e+06	3.0215e+07 	5.37908e+06
175	101.653	4.25993e+06	3.0215e+07 	5.43056e+06
176	101.653	4.30987e+06	2.98242e+07	5.46707e+06
177	101.653	4.27281e+06	2.94598e+07	5.35781e+06
178	101.653	4.14813e+06	2.99579e+07	5.3791e+06 
179	101.653	4.14007e+06	3.59143e+07	5.64401e+06
180	101.653	4.12973e+06	3.69705e+07	5.5591e+06 
181	101.653	4.17381e+06	3.67207e+07	5.48869e+06
182	101.653	4.34328e+06	3.70525e+07	5.77578e+06
183	101.653	4.31076e+06	3.70525e+07	5.73717e+06
184	101.653	4.3171e+06 	3.70525e+07	5.69982e+06
185	101.653	4.32056e+06	3.35082e+07	5.71192e+06
186	101.653	4.37853e+06	3.75861e+07	5.78838e+06
187	101.653	4.47835e+06	3.64703e+07	5.56418e+06
188	101.653	4.44271e+06	4.20373e+07	5.52643e+06
189	101.653	4.29946e+06	4.20373e+07	5.32564e+06
190	101.653	4.22828e+06	2.88719e+07	5.10965e+06
191	101.653	4.26597e+06	3.15243e+07	5.28862e+06
192	101.653	4.20766e+06	2.85718e+07	5.3597e+06 
193	101.653	4.199e+06  	3.89799e+07	5.4833e+06 
194	101.653	3.95544e+06	3.07481e+07	5.11673e+06
195	101.653	4.00829e+06	2.94719e+07	5.11616e+06
196	101.653	4.02182e+06	3.22096e+07	5.1837e+06 
197	101.653	3.92481e+06	2.93903e+07	5.03835e+06
198	101.653	3.90737e+06	2.69405e+07	4.9206e+06 
199	101.653	3.90959e+06	2.88337e+07	4.95352e+06
200	101.653	3.85047e+06	3.59769e+07	5.03386e+06
201	101.653	3.74477e+06	3.22414e+07	4.67539e+06
202	101.653	3.64647e+06	3.10099e+07	4.58869e+06
203	101.653	3.80035e+06	2.89343e+07	4.85852e+06
204	101.653	3.87165e+06	3.14457e+07	5.11008e+06
205	101.653	3.99217e+06	3.5e+07    	5.21323e+06
206	101.653	3.91106e+06	3.01815e+07	5.01057e+06
207	101.653	4.01325e+06	3.1817e+07 	5.18138e+06
208	101.653	3.73856e+06	3.08842e+07	4.84963e+06
209	101.653	3.76075e+06	2.78049e+07	4.87491e+06
210	101.653	3.83624e+06	2.78049e+07	4.88335e+06
211	101.653	4.00256e+06	2.78049e+07	5.10518e+06
212	101.653	4.05238e+06	2.74624e+07	5.15647e+06
213	101.653	4.07003e+06	2.67534e+07	4.97598e+06
214	101.653	4.19406e+06	2.82495e+07	5.19671e+06
215	101.653	4.17946e+06	2.91466e+07	5.29675e+06
216	101.653	4.12179e+06	2.91466e+07	5.26135e+06
217	101.653	4.14903e+06	3.4812e+07 	5.46351e+06
218	101.653	4.15896e+06	3.18963e+07	5.396e+06  
219	101.653	4.24607e+06	3.78683e+07	5.54469e+06
220	101.653	4.52317e+06	3.18963e+07	5.69416e+06
221	101.653	4.31656e+06	3.36736e+07	5.60098e+06
222	101.653	4.3002e+06 	3.24035e+07	5.57772e+06
223	101.653	4.04146e+06	3.01679e+07	5.41771e+06
224	101.653	3.91938e+06	2.99625e+07	5.19198e+06
225	101.653	3.82168e+06	3.05149e+07	4.96177e+06
226	101.653	3.67661e+06	3.18971e+07	4.7888e+06 
227	101.653	3.77968e+06	2.68269e+07	4.87631e+06
228	101.653	3.72255e+06	3.5014e+07 	5.10697e+06
229	101.653	3.75682e+06	2.93883e+07	5.13228e+06
230	101.653	3.79204e+06	3.17388e+07	5.26691e+06
231	101.653	3.73654e+06	3.08672e+07	5.28918e+06
232	101.653	3.88099e+06	3.19944e+07	5.37361e+06
233	101.653	3.85001e+06	2.77318e+07	5.27172e+06
234	101.653	3.89695e+06	2.77318e+07	5.18585e+06
235	101.653	3.94974e+06	2.87865e+07	5.12215e+06
236	101.653	3.83578e+06	2.75461e+07	4.85357e+06
237	101.653	3.84831e+06	3.23591e+07	5.26583e+06
238	101.653	3.90103e+06	3.04078e+07	5.21079e+06
239	101.653	3.91853e+06	3.01412e+07	5.24164e+06
240	101.653	3.98847e+06	3.01412e+07	5.2863e+06 
241	101.653	4.06255e+06	2.9942e+07 	5.32679e+06
242	90.2391	4.0735e+06 	2.83303e+07	5.26941e+06
243	90.2391	4.00526e+06	2.63689e+07	4.99736e+06
244	90.2391	3.93405e+06	3.21697e+07	4.91212e+06
245	90.2391	3.85226e+06	2.97452e+07	4.89812e+06
246	90.2391	3.9623e+06 	2.94189e+07	4.9764e+06 
247	90.2391	4.09255e+06	2.94189e+07	5.18882e+06
248	90.2391	3.96479e+06	2.66004e+07	5.04588e+06
249	90.2391	3.83962e+06	2.85212e+07	5.00105e+06
250	90.2391	3.86468e+06	2.85212e+07	5.00349e+06
251	90.2391	3.91559e+06	3.41646e+07	5.21528e+06
252	90.2391	3.86124e+06	3.31154e+07	5.00034e+06
253	90.2391	3.82583e+06	2.88957e+07	4.78873e+06
254	90.2391	3.922e+06  	2.55109e+07	4.84334e+06
255	90.2391	3.9717e+06 	2.90997e+07	5.02267e+06
256	90.2391	3.88331e+06	3.9068e+07 	5.03883e+06
257	90.2391	3.83419e+06	2.90997e+07	4.91702e+06
258	90.2391	3.8956e+06 	2.90997e+07	4.99832e+06
259	90.2391	3.97055e+06	3.47555e+07	5.08647e+06
260	90.2391	4.08217e+06	3.47555e+07	5.18783e+06
261	90.2391	4.38876e+06	3.89307e+07	5.87153e+06
262	90.2391	4.30118e+06	4.00083e+07	5.94849e+06
263	90.2391	4.21808e+06	3.5675e+07 	5.71704e+06
264	90.2391	4.27696e+06	4.14817e+07	5.64531e+06
265	90.2391	4.50965e+06	4.23346e+07	6.07385e+06
266	90.2391	4.31721e+06	3.79372e+07	5.91388e+06
267	90.2391	4.14765e+06	3.549e+07  	5.49925e+06
268	90.2391	4.06365e+06	3.549e+07  	5.38638e+06
269	90.2391	4.01105e+06	3.03455e+07	5.18113e+06
270	90.2391	3.90431e+06	3.03455e+07	5.28106e+06
271	90.2391	3.84288e+06	2.79696e+07	5.14084e+06
272	90.2391	3.95712e+06	3.07562e+07	5.17807e+06
273	90.2391	3.94171e+06	2.63481e+07	5.22882e+06
274	90.2391	3.86297e+06	3.23381e+07	5.18898e+06
275	90.2391	3.8641e+06 	2.76265e+07	5.19002e+06
276	90.2391	3.86004e+06	3.81168e+07	5.29229e+06
277	90.2391	3.97483e+06	3.32295e+07	5.44933e+06
278	90.2391	3.82018e+06	3.27213e+07	4.99836e+06
279	90.2391	3.92521e+06	3.27213e+07	4.91e+06   
280	90.2391	4.10687e+06	3.27213e+07	5.33147e+06
281	90.2391	3.99618e+06	4.23958e+07	5.40992e+06
282	90.2391	4.00482e+06	3.20017e+07	5.29556e+06
283	90.2391	3.92193e+06	3.40203e+07	5.01302e+06
284	90.2391	3.8467e+06 	3.00057e+07	5.07137e+06
285	90.2391	3.78584e+06	2.76583e+07	5.02304e+06
286	90.2391	3.78874e+06	3.6092e+07 	5.0127e+06 
287	90.2391	3.89795e+06	2.89584e+07	4.95592e+06
288	90.2391	3.91528e+06	2.96431e+07	5.03875e+06
289	90.2391	3.86129e+06	2.89584e+07	4.96204e+06
290	90.2391	3.65039e+06	2.69983e+07	4.75641e+06
291	90.2391	3.71202e+06	2.7491e+07 	4.87089e+06
292	90.2391	3.674e+06  	3.4113e+07 	4.9599e+06 
